wavelength,Back_SicRaim,Belly_SicRaim,Breast_SicRaim,Crissum_SicRaim,Crown_SicRaim,DorTail_SicRaim,Patch10_SicRaim,Rump_SicRaim,Throat_SicRaim,WingTip_SicRaim
795.47,30.685,56.7236666667,38.59,58.6796666667,25.1426666667,24.8573333333,24.1643333333,22.168,43.9283333333,25.2445
795.78,32.9403333333,57.5866666667,42.217,59.473,26.7293333333,25.6683333333,25.629,24.214,44.7326666667,26.887
796.09,31.761,56.8396666667,42.1773333333,58.6083333333,25.6286666667,24.5673333333,25.4323333333,23.8206666667,43.7496666667,26.7685
796.40,32.5233333333,57.4846666667,42.4383333333,59.7993333333,27.276,26.08,27.1603333333,24.5756666667,44.8303333333,28.241
796.70,33.602,57.181,42.5116666667,59.4086666667,26.4593333333,26.421,27.2656666667,23.5406666667,45.046,28.1685
797.01,34.194,58.138,43.271,60.3286666667,26.0566666667,26.6043333333,27.2693333333,23.396,45.6963333333,28.58
797.32,33.6863333333,57.7646666667,42.7056666667,59.1373333333,25.8433333333,26.4313333333,26.941,24.157,45.1763333333,28.353
797.63,32.3706666667,57.6013333333,41.356,58.644,24.9093333333,26.5943333333,25.2303333333,24.4683333333,45.5273333333,27.136
797.93,31.9853333333,57.1483333333,41.3806666667,58.415,25.2856666667,27.0833333333,25.4083333333,24.5506666667,46.242,27.7575
798.24,31.929,56.7536666667,40.768,57.951,24.2046666667,26.7656666667,26.105,24.5356666667,46.3033333333,27.3855
798.55,33.2916666667,57.238,42.2613333333,59.3656666667,25.4066666667,28.202,27.6593333333,24.906,46.4326666667,28.6605
798.85,32.5356666667,55.7096666667,40.68,57.6826666667,23.426,26.8263333333,25.8186666667,24.6013333333,46.2216666667,28.0855
799.16,31.8783333333,55.203,37.9186666667,57.7603333333,23.8536666667,26.7636666667,25.529,24.515,46.4726666667,27.778
799.47,32.258,55.7346666667,37.6793333333,58.3333333333,23.387,27.4643333333,25.8963333333,24.9106666667,48.4316666667,27.218
799.78,30.926,54.0276666667,38.0093333333,57.4073333333,21.4353333333,25.787,24.213,24.1203333333,47.963,26.25
800.08,29.3353333333,54.3003333333,37.4246666667,56.532,20.5953333333,26.081,22.9663333333,23.803,47.8383333333,26.778
800.39,29.5306666667,54.8353333333,38.0283333333,56.9953333333,20.798,26.197,22.5823333333,24.2723333333,47.8403333333,26.7605
800.70,29.7946666667,54.7586666667,38.7373333333,56.815,20.469,26.0643333333,22.3336666667,23.4336666667,48.589,27.8335
801.00,29.2926666667,53.7276666667,39.2973333333,56.5176666667,20.635,23.7613333333,22.4146666667,22.174,47.0416666667,27.0565
801.31,28.7456666667,52.66,38.5063333333,56.3203333333,19.7656666667,23.4746666667,20.4003333333,21.913,46.8033333333,25.915
801.62,29.3123333333,53.1006666667,38.227,57.5096666667,20.785,24.1763333333,19.816,22.1896666667,47.093,27.3985
801.92,29.4176666667,54.4293333333,38.1303333333,57.1706666667,20.4113333333,25.0613333333,19.628,21.684,48.3113333333,28.047
802.23,28.7426666667,54.9903333333,38.9223333333,58.0336666667,21.357,26.4473333333,20.5586666667,21.9063333333,46.7066666667,27.7695
802.54,29.088,55.716,39.1223333333,56.8743333333,21.756,26.628,21.2253333333,21.6596666667,45.152,27.4965
802.84,28.7403333333,56.297,38.1153333333,54.64,22.0643333333,26.8936666667,20.502,21.1646666667,41.9506666667,27.912
803.15,29.143,58.2863333333,37.3823333333,54.4726666667,22.8816666667,26.648,21.0453333333,21.8926666667,41.0546666667,27.613
803.46,30.354,58.5663333333,37.43,55.3073333333,23.9293333333,27.188,22.8583333333,23.5566666667,40.6423333333,28.492
803.76,29.1376666667,58.4146666667,36.83,54.8253333333,24.289,27.506,23.17,23.4033333333,40.3263333333,28.252
804.07,29.5013333333,59.1873333333,37.7196666667,56.7866666667,25.9926666667,28.9476666667,24.3306666667,24.8846666667,41.5053333333,29.155
804.38,30.727,60.4023333333,38.546,57.293,27.2976666667,30.8186666667,25.2856666667,26.1086666667,43.9416666667,31.207
