wavelength,Back_DacNigm,Belly_DacNigm,Breast_DacNigm,Crissum_DacNigm,Crown_DacNigm,DorTail_DacNigm,Rump_DacNigm,Throat_DacNigm,WingTip_DacNigm
202.33,27.1241666666,43.3005,-9.64049999998,51.7973333333,53.1046666666,-0.653333333333,10.2943333333,-3.75833333335,85.6211666666
202.71,24.9998333333,33.8651666667,-18.9715,46.6311666667,45.3898333333,-12.4113333333,5.85116666665,-14.7163333333,74.2908333333
203.09,7.93649999999,22.8173333333,-35.3176666667,30.9525,30.3571666667,-38.492,-10.3175,-31.1505,67.8571666667
203.47,-6.79833333334,19.2983333333,-46.2718333334,28.7278333333,35.3068333333,-42.5436666667,-24.1228333333,-39.9123333333,70.614
203.85,-13.2885,25.2251666667,-38.5136666666,40.991,32.2071666667,-45.4956666667,-27.2523333333,-29.9548333333,76.3515
204.22,-26.5256666667,18.31,-44.6008333333,28.8731666667,21.5961666666,-70.892,-46.4788333334,-51.4083333334,71.3615
204.60,-85.294,-10.7841666666,-83.6601666666,-1.3071666667,-13.072,-128.104666667,-98.693,-120.261666666,55.8823333333
204.98,-113.829833334,-44.3263333332,-106.028333334,-32.9786666666,-28.0141666667,-163.120666667,-128.014166667,-162.0565,30.4963333333
205.36,-133.75,-60.4166666665,-136.25,-41.6666666667,-42.0833333333,-196.666666667,-163.75,-202.5,25.0
205.74,-137.5,-72.0833333333,-148.333333333,-35.0,-48.75,-195.0,-171.666666667,-204.583333333,10.8333333334
206.12,-226.282,-163.461666667,-262.179666667,-99.9998333333,-125.0,-374.359,-303.205,-359.615666667,-41.6665
206.50,-213.441,-168.817166667,-251.612833333,-123.656,-127.419333334,-352.688333333,-283.3335,-309.6775,-70.9678333335
206.87,-120.155,-81.3955000002,-138.759666667,-53.876,-62.0155,-205.426333333,-162.015333333,-184.496333333,-10.8528333334
207.25,-111.111166666,-74.4443333332,-122.222333333,-37.4071666666,-46.2965,-172.592333333,-144.4445,-166.666666666,-10.7406666667
207.63,-89.2591666668,-60.3704999999,-112.962666667,-21.852,-39.2593333333,-166.666666667,-125.185,-161.111,3.33316666665
208.01,-170.4545,-160.606,-262.878666667,-80.3031666668,-91.6666666667,-369.697333333,-253.787833334,-339.393833333,-13.6361666665
208.39,-131.333333333,-132.666666667,-194.0,-48.0000000001,-62.6666666667,-310.666666667,-208.666666667,-268.0,-20.0
208.77,-54.365,-48.016,-98.4126666669,3.96816666665,-0.39666666667,-157.936666667,-95.2381666667,-123.4125,40.079
209.14,-30.9523333333,-20.5358333333,-51.7858333335,26.1905,8.3335,-107.738,-60.4165,-73.5118333333,46.726
209.52,-6.504,1.4228333333,-17.2765,28.8616666667,20.3251666666,-60.569,-26.2195,-34.5528333334,51.626
209.90,9.354,13.7755,3.06133333335,38.9458333334,31.4626666666,-41.1563333333,-4.76216666666,-12.7551666666,53.9116666666
210.28,16.5136666667,20.6421666667,13.6083333333,48.1651666666,40.0611666666,-22.6296666667,5.65749999998,6.42200000002,63.9141666666
210.66,18.6728333333,29.6296666667,21.6048333333,55.0925,44.5988333334,-18.2103333333,8.17883333332,12.0368333333,74.9998333333
211.03,3.10083333332,20.155,8.1395,55.4263333334,50.3878333334,-37.9846666667,-10.8528333333,2.13166666667,77.5195
211.41,-0.793666666665,18.8491666667,1.9841666667,46.0316666666,48.2143333333,-42.857,-13.0951666667,0.99216666667,79.1666666667
211.79,-0.189499999999,15.7195,5.303,39.9621666667,34.8485,-43.1816666667,-17.235,-3.03016666667,65.1515
212.17,5.98699999998,19.5795,14.725,42.3946666666,32.201,-30.4206666667,-7.11966666665,-1.2945,53.0741666667
212.55,8.87866666665,16.355,8.8785,40.6543333333,25.3891666667,-32.7103333333,-9.81299999998,-6.54216666667,50.4671666667
212.92,17.6901666667,25.0001666667,17.8363333333,47.5146666667,32.0175,-23.3916666667,-0.43883333333,7.30966666665,45.614
213.30,15.527,21.225,17.3788333333,41.8805,28.3475,-26.7803333333,-3.70366666667,5.55566666665,37.8915
213.68,15.5553333333,24.2856666667,18.254,47.4601666667,23.3333333334,-34.6033333333,-9.20633333331,1.58716666667,36.1903333333
214.06,16.055,22.9358333334,24.3118333333,47.2478333333,19.7248333333,-33.945,-7.79833333335,6.57499999998,34.4038333334
214.44,10.767,21.9761666667,23.7461666666,42.0353333334,12.3895,-33.3333333333,-6.19466666667,-1.91750000002,29.3511666667
214.81,8.91816666665,11.9883333333,22.807,36.8421666667,11.842,-32.4563333333,-6.43283333334,-8.4795,18.1286666667
215.19,14.463,12.2591666667,29.0633333333,36.0881666666,7.02466666667,-26.9973333333,-2.61716666666,-6.0605,20.1105
215.57,21.6146666666,17.8385,35.026,41.0158333333,9.24466666666,-19.271,1.43233333333,-6.77083333332,25.9113333333
215.95,17.9008333334,17.7778333333,29.0125,39.136,11.6048333333,-18.0246666667,1.9755,-5.18516666667,24.4445
216.32,9.76566666665,16.1456666667,26.5625,37.1093333334,8.07283333333,-25.2603333333,-4.16666666666,-5.72933333333,25.1298333333
216.70,8.41116666667,20.0935,33.1775,46.729,14.486,-27.7256666667,-0.93466666667,-1.09033333333,33.3336666667
217.08,1.05266666665,8.772,25.263,34.9123333333,-1.05266666666,-47.3683333333,-15.965,-26.1401666666,25.965
217.46,16.6668333333,17.5436666667,34.5613333333,39.649,7.54383333332,-33.6843333333,-3.15783333333,-16.3158333333,35.614
217.83,4.98083333335,10.9193333334,27.2031666666,30.4598333334,2.29883333334,-45.977,-12.069,-18.0076666666,28.9273333333
218.21,-11.4286666666,3.09533333335,14.2856666667,17.1428333334,-7.14283333332,-69.5236666667,-42.1428333333,-36.4285,28.3331666667
218.59,10.5393333333,17.8921666666,23.0391666667,28.1863333333,11.5193333333,-52.9413333333,-30.6371666667,-15.9313333334,45.8333333334
218.97,22.4748333333,33.5856666667,31.3131666667,36.3636666667,15.4041666667,-49.495,-19.4443333334,-2.7776666667,57.5756666667
219.34,27.7026666667,38.964,34.9098333333,33.3331666667,19.5946666667,-32.4326666667,-3.60333333333,4.72966666665,57.8828333333
219.72,23.4938333333,33.735,34.5381666667,32.3293333334,18.2731666667,-34.1363333333,2.40966666668,7.22866666666,39.558
220.10,26.3713333333,33.7551666667,44.3036666667,35.4428333334,24.4725,-34.5993333333,3.79733333335,14.346,47.0468333334
220.47,26.4956666666,23.077,36.1111666666,27.7776666667,25.2136666666,-37.607,7.26466666667,1.7095,26.0683333334
220.85,17.7631666667,13.158,26.3158333333,10.5263333333,18.6403333333,-46.4916666667,0.21933333333,-12.2808333333,13.5966666667
221.23,14.3836666667,12.557,27.854,16.6666666666,22.831,-42.9223333333,5.02283333333,-1.14133333335,14.1555
221.61,-8.78783333335,-0.303,21.5153333334,12.7273333333,17.5756666667,-61.818,4.24216666666,-24.5455,6.0605
221.98,-4.80783333334,-0.96166666665,37.1796666667,19.8718333333,16.9871666667,-61.5386666667,14.4231666667,-34.6151666667,8.65383333335
222.36,0.833333333335,1.94433333335,32.5,17.5,17.7776666667,-57.2223333333,22.2223333333,-29.4445,2.22216666665
222.74,-13.7428333333,2.339,35.0878333334,18.1286666667,16.9591666666,-69.5903333333,19.5906666667,-34.5028333334,-21.3451666667
223.11,-48.9131666666,-20.29,23.1883333334,-4.34783333335,-9.78283333335,-107.970666667,7.97116666668,-73.1883333333,-55.7968333333
223.49,-51.7006666666,-24.4898333333,12.9251666667,-8.50333333335,-12.2448333333,-108.843666667,-3.4015,-79.5918333331,-64.286
223.87,-92.9295000002,-52.0200000002,1.01016666667,-15.1515,-37.3738333333,-158.586,-33.8385,-125.2525,-109.090833333
224.24,-109.047666667,-55.2383333333,-8.0951666667,-23.8095,-65.2381666667,-147.619,-47.1428333333,-152.856833333,-128.571666666
224.62,-104.040333333,-52.0201666666,4.04066666665,-13.6365,-71.212,-139.394,-44.4443333334,-144.4445,-118.182
225.00,-94.3091666665,-52.8455,-3.6586666667,-23.5771666667,-78.8616666667,-135.772,-43.4958333333,-114.634,-113.821166667
225.38,-94.2981666668,-62.2808333333,5.70166666665,-29.8245,-90.7893333334,-145.614333333,-44.737,-120.175333333,-119.736833334
225.75,-54.386,-28.9475,9.649,-19.2983333333,-65.4971666667,-106.432666667,-32.4561666667,-64.3275,-76.9006666667
226.13,-54.0936666667,-30.117,2.04683333335,-26.3156666666,-67.8363333333,-102.924,-42.3978333333,-75.4388333334,-85.6725
226.51,-69.9346666667,-42.4836666667,2.2875,-24.8366666666,-83.0065,-106.535666667,-50.6536666667,-97.7126666665,-99.3463333334
226.88,-120.833333334,-105.416666666,-37.5,-70.8333333331,-147.916666667,-174.166666667,-112.916666667,-173.333333333,-150.416666667
227.26,-51.9046666667,-43.8095,-2.3808333333,-21.4286666666,-58.8093333333,-79.5236666667,-49.5238333333,-79.0478333333,-64.7616666667
227.64,-64.1025,-53.077,-7.4358333333,-15.3848333334,-66.9231666667,-99.487,-55.1281666666,-88.7178333334,-71.795
228.01,-39.881,-31.5476666667,1.7856666667,-7.53966666665,-42.0636666667,-69.4446666667,-32.1428333333,-64.4841666666,-38.6905
228.39,-26.491,-21.0525,11.0525,-6.49133333335,-26.4911666667,-55.7893333333,-15.7895,-48.2453333334,-26.4915
228.76,-12.853,-5.50850000001,18.3616666667,3.67233333335,-7.90966666669,-29.096,-0.84733333335,-26.4125,-6.77966666665
229.14,2.03833333333,11.391,31.6545,24.8201666667,12.71,-2.15833333333,18.4653333333,-9.47233333335,8.0335
229.52,3.871,17.6343333333,30.3225,31.7205,18.7098333334,1.075,22.0428333333,-7.20433333333,12.9031666667
229.89,0.871333333335,16.9936666667,24.9453333333,33.987,20.2613333333,1.743,19.4988333333,-9.91299999999,12.7451666667
230.27,-0.724666666665,15.8385,25.1551666667,36.1281666667,23.499,3.93366666667,23.7058333333,-5.27966666666,15.4243333333
230.65,4.45083333333,22.2538333333,29.5455,38.9203333334,28.7878333333,11.7426666667,31.5341666667,2.36766666667,20.7386666667
231.02,10.351,29.0351666666,33.0701666667,41.228,31.0523333333,16.1403333333,39.035,7.2805,22.0175
231.40,16.0256666667,34.707,36.9048333333,44.5055,34.066,18.315,43.2235,7.14299999999,23.4431666667
231.78,15.4255,35.461,35.0178333333,38.741,33.3331666667,20.39,41.2233333333,4.69866666666,23.3153333333
232.15,18.5713333333,41.1426666667,40.3808333333,42.762,37.9998333333,25.143,47.238,7.99983333331,22.4761666667
232.53,20.505,45.3536666666,42.7275,49.4948333334,40.909,27.879,49.0908333333,10.5051666667,28.4848333334
232.90,18.2446666666,43.7868333334,43.2938333333,51.5778333333,39.9408333333,27.0216666667,46.844,7.59366666666,31.1636666667
233.28,12.9845,41.6668333333,38.3721666667,45.7363333333,33.4301666667,22.868,39.5346666667,2.13183333333,27.1316666666
233.66,18.9188333334,43.8738333334,41.0811666666,46.9368333333,34.4141666666,28.1083333333,43.0631666666,10.991,27.5675
234.03,20.1571666667,42.5826666667,45.4623333334,48.4293333334,36.213,33.1586666667,46.946,12.2163333333,30.0175
234.41,19.537,38.3333333333,42.1295,45.3705,35.463,33.148,44.4445,10.7405,27.9628333333
234.78,11.5625,34.1666666667,36.0416666667,44.4791666667,29.6875,29.1666666667,38.8541666667,7.70833333334,20.7291666667
235.16,7.20433333334,32.043,38.4946666667,44.516,27.4195,28.172,34.6236666667,9.355,21.398
235.54,0.000166666665,24.134,31.71,41.9913333333,19.9133333333,23.593,29.5453333334,8.44149999999,19.0475
235.91,-0.658,21.0525,34.3203333333,44.9561666667,16.9956666667,20.6143333333,30.1536666667,14.693,19.7368333333
236.29,-0.648166666665,15.6483333333,28.611,37.7778333333,12.0371666667,16.4816666667,25.3701666667,13.9815,18.0556666666
236.66,5.41666666666,16.25,30.0833333333,40.9166666667,15.4166666667,21.8333333333,28.6666666667,16.5833333333,18.8333333333
237.04,10.4738333334,20.4916666667,33.6066666666,42.9871666666,18.8526666667,18.397,32.2405,19.1256666666,21.6756666667
237.41,15.0701666667,22.8543333333,35.529,45.2096666667,22.0556666666,18.1636666667,35.1298333333,23.8521666666,26.7461666666
237.79,15.2776666667,24.0385,37.6068333333,43.2693333333,21.9016666667,20.2993333333,33.5471666666,20.9401666667,30.128
238.17,15.6596666667,27.5166666667,37.8076666667,40.7158333333,19.2395,15.8836666667,32.4386666667,24.4966666667,28.3001666667
238.54,23.8523333333,40.4191666666,45.2096666667,47.1056666667,25.1498333334,22.7543333333,44.012,32.3355,35.4291666667
238.92,32.6005,46.0623333333,48.9011666666,46.52,31.7765,24.1756666667,52.2895,34.3406666667,40.3845
239.29,34.9998333333,49.5613333333,47.8945,48.6841666667,36.8421666667,27.544,57.9823333333,36.0528333334,42.5436666666
239.67,35.0241666666,50.8051666667,50.2415,49.4363333333,40.4993333333,30.4346666667,59.8226666667,34.7826666667,39.855
240.04,33.3333333333,48.472,45.0,44.0276666667,39.4445,29.722,55.2778333334,30.0001666667,37.2916666667
240.42,33.073,47.5263333333,46.2241666667,43.0338333334,38.8671666667,27.8646666667,55.0783333333,26.302,35.9378333333
240.79,29.1228333333,48.1871666667,44.9126666666,39.766,35.9066666666,24.5616666667,52.7485,24.5615,33.5088333333
241.17,22.923,43.2308333333,39.846,36.8203333333,30.5128333334,24.1023333333,47.4356666667,20.1026666666,28.2561666666
241.54,20.0088333334,38.979,37.8046666667,34.8688333333,27.4161666666,24.2093333333,44.8508333333,18.428,26.016
241.92,16.6668333333,34.562,34.1931666667,32.0638333333,24.4065,21.5393333333,41.6871666667,15.684,22.0313333333
242.29,15.7596666667,34.0136666667,33.787,32.7663333333,24.8678333333,22.827,41.2321666667,13.9456666666,22.109
242.67,13.8003333334,31.6348333333,31.6701666667,31.6346666667,23.8145,22.0806666667,38.252,11.9605,21.09
243.05,13.0535,29.243,30.402,32.2766666667,23.449,24.9486666667,36.8778333333,11.2471666667,19.836
243.42,11.8766666666,27.0013333334,28.7073333334,30.9055,21.0303333334,24.344,34.252,9.02233333332,18.1103333333
243.80,11.7248333333,26.2918333333,28.5853333334,30.5233333333,19.832,25.4523333333,34.2701666666,9.72233333334,18.8955
244.17,10.7235,26.389,29.522,31.46,19.0243333333,26.2276666667,34.7221666667,8.36566666666,19.1215
244.55,9.75866666665,26.8278333333,28.16,31.4746666667,19.1758333333,25.7126666667,34.139,8.829,19.7956666666
244.92,8.523,23.993,26.649,30.1811666667,18.243,23.409,32.3116666666,5.95433333334,18.7683333334
245.30,8.8035,23.4848333333,26.9068333334,29.4408333333,17.6595,21.9436666667,31.6091666667,6.2955,17.9206666666
245.67,7.808,22.9705,26.0028333334,28.4146666666,17.1681666667,19.7226666667,30.8023333333,4.70383333333,17.168
246.05,6.96433333334,21.5286666667,24.8356666667,27.9236666666,15.8783333333,17.7836666667,30.3328333333,3.24116666667,16.601
246.42,7.17983333334,21.4201666667,24.4828333334,27.6253333333,16.0896666667,17.2233333333,30.0915,3.59983333333,16.408
246.79,8.0645,21.828,25.3763333334,27.7958333333,16.1468333334,17.4913333333,30.448,4.8565,16.38
247.17,7.51633333333,21.977,24.9181666667,27.6961666667,15.5228333333,15.98,29.5098333334,4.41183333334,15.8493333333
247.54,7.9085,22.6288333333,25.6566666667,28.0815,15.956,16.4036666667,29.7651666666,4.94283333333,16.3266666666
247.92,8.43766666666,23.077,25.1191666667,28.2648333333,16.5026666667,15.951,29.2935,4.59183333333,16.2343333334
248.29,8.22316666667,22.6326666667,24.597,28.2468333333,16.5786666667,15.919,28.6426666667,4.79333333334,15.5235
248.67,7.98266666667,22.9333333333,24.8583333334,28.7823333333,16.6516666667,16.1146666667,29.2298333334,4.6705,15.3836666667
249.04,7.0585,22.497,24.005,27.9693333334,15.5783333333,15.703,28.9646666667,4.26,14.583
249.42,6.553,22.7013333333,23.8046666667,28.1846666666,15.0953333333,15.7136666667,29.1706666666,3.92833333333,14.109
249.79,7.52,22.9448333333,24.8163333334,28.8038333333,15.5998333333,16.6843333333,29.0836666667,5.08933333333,14.4105
250.17,8.71166666666,24.7878333334,26.6518333333,29.7343333334,16.9435,18.125,29.2728333333,6.792,14.9316666666
250.54,8.01233333334,24.2901666667,26.0405,28.9185,16.0443333334,17.5806666667,28.2768333333,5.63966666667,14.2161666667
250.92,7.52083333333,24.3125,26.0208333333,29.0625,15.8125,16.75,28.5416666667,4.72916666667,13.7708333333
251.29,7.34516666667,24.663,26.8195,28.9756666667,15.5661666667,16.0376666667,28.4141666667,4.29016666666,14.6675
251.66,7.776,24.4663333334,26.3465,29.0855,15.8076666667,15.3666666667,28.1336666667,4.17833333333,14.4153333333
252.04,6.81066666667,23.4771666666,26.5705,28.537,15.2756666667,15.4916666667,28.3691666666,3.14166666667,14.1726666666
252.41,6.44066666666,23.7463333334,27.36,28.122,15.5113333333,14.9953333333,28.638,2.48266666666,13.4465
252.79,7.68466666667,23.4458333333,27.7531666666,28.2671666667,16.1283333333,15.9076666667,28.0471666666,3.45083333333,13.1911666667
253.16,9.51666666666,24.8551666666,29.4443333333,30.5796666667,18.116,17.4393333333,29.2268333333,5.57966666667,15.0001666666
253.54,10.1293333333,24.0181666666,28.975,30.9148333333,19.3726666666,17.337,29.6933333334,5.69933333333,15.6608333334
253.91,10.6081666666,24.8515,29.4015,31.4045,19.3126666666,17.458,30.6873333334,5.4155,15.9495
254.28,9.23333333334,23.7913333333,28.2151666667,30.5553333333,18.6728333333,16.4096666667,30.7096666667,3.75533333333,15.3551666666
254.66,10.3503333333,23.9916666666,28.9806666667,30.7855,18.2325,16.9853333333,31.6613333334,5.0955,16.0828333333
255.03,10.4896666667,24.7913333334,29.0761666667,31.1353333333,18.948,17.8076666667,30.5785,4.92483333334,16.7225
255.41,10.631,23.5603333334,28.2391666667,29.2635,18.7708333334,17.8293333333,29.4575,4.7065,16.0575
255.78,8.90566666665,22.613,27.75,27.6943333333,18.5091666667,18.314,29.0061666667,3.85283333333,15.913
256.15,7.72616666666,21.661,26.4075,26.4626666667,17.5498333334,16.777,28.0353333333,3.311,14.2106666667
256.53,8.35983333334,21.5498333333,25.5571666666,26.672,16.8791666667,16.242,28.5295,3.60916666667,14.464
256.90,6.5915,20.9271666666,24.7616666667,25.3131666666,15.4388333333,15.2883333333,27.2681666666,2.00483333333,14.0603333333
257.28,6.4245,20.8333333333,24.5575,24.5111666667,15.107,14.9906666667,27.6766666667,1.9785,12.9423333333
257.65,7.40516666667,22.1123333334,24.6081666666,24.443,14.8721666667,15.6766666667,27.3926666667,2.7435,13.49
258.02,7.48666666667,22.353,24.0463333333,24.8841666667,15.508,15.6863333333,27.433,3.35083333334,13.2261666667
258.40,8.09033333333,22.723,24.0436666667,25.8956666667,15.832,16.181,27.793,4.17466666666,13.3121666667
258.77,8.04216666667,22.5133333333,24.3386666667,26.1643333334,16.1905,15.688,27.7513333333,4.49733333333,13.0423333333
259.15,8.05033333334,21.9705,23.8093333334,26.0845,15.806,15.2993333333,27.864,4.5615,12.282
259.52,8.561,22.41,24.4796666666,27.048,16.3523333333,15.9733333333,28.7603333333,5.15816666667,12.668
259.89,8.65016666667,22.454,24.9591666667,27.1063333334,16.0431666666,14.8056666667,28.7423333334,5.317,12.3823333333
260.27,8.79083333333,22.615,25.1656666666,27.4436666667,16.1213333334,14.9923333333,28.5241666667,6.05566666667,13.2688333333
260.64,8.60566666666,22.789,25.3105,27.1728333333,16.1891666666,15.301,28.405,6.27516666667,13.5623333333
261.01,8.97516666667,23.1126666667,25.2708333333,27.2865,16.7143333334,15.307,28.7411666666,6.56033333334,13.3295
261.39,9.01616666667,23.1328333333,25.11,27.2683333334,16.7048333333,15.4153333333,28.1855,6.68583333333,13.0943333333
261.76,8.88166666667,23.11,25.4408333333,27.6145,16.9016666667,15.237,27.9376666667,7.10916666667,12.9751666667
262.13,8.89183333334,23.2023333333,26.1013333333,27.6786666667,16.9125,15.632,28.0886666667,7.49833333333,13.2451666667
262.51,8.573,23.1103333333,26.5328333333,27.369,17.1681666667,15.92,27.6143333333,7.64766666666,13.0213333334
262.88,8.95350000001,23.4463333333,26.8116666666,27.6711666667,17.6125,16.1873333333,27.3396666666,7.65166666667,13.2645
263.25,9.00183333334,24.1273333333,27.4278333334,27.4821666666,17.9896666666,16.5846666667,27.2095,7.97866666667,13.939
