wavelength,Back_ChlCalm,Belly_ChlCalm,Breast_ChlCalm,Crissum_ChlCalm,Crown_ChlCalm,DorTail_ChlCalm,Patch10_ChlCalm,Patch11_ChlCalm,Patch12_ChlCalm,Patch13_ChlCalm,Rump_ChlCalm,Throat_ChlCalm,WingTip_ChlCalm
198.16,76.5958000001,18.5816,81.5601999999,80.9929333334,40.0000000001,81.5249285714,25.1064000001,71.3474,178.014166667,58.5107499999,100.851,71.4894,78.7234666666
198.54,78.4446000001,4.44433333334,100.0,97.3333333333,42.8888666666,92.0793690475,12.0000666666,86.6666666666,251.944416666,59.1665833333,127.555466667,66.6666666665,90.2221333335
198.92,62.3076666667,-21.0256666667,80.5128666667,93.3333999999,27.6923999998,78.1594119047,-17.6923333332,80.7693333333,272.435916667,32.3716666666,133.0768,54.3589333333,71.0256000001
199.30,85.2777999999,-11.3889333335,103.333266667,122.500133333,50.5555999999,107.390804762,-11.1111333333,90.0000000001,305.902666667,43.4027499999,158.888866667,68.0555333333,96.3889333333
199.68,74.8148000001,-35.0617333333,83.9506,81.9751999999,40.4938666665,88.0775452381,-30.6172666665,71.6049999999,258.333416667,32.0986666667,137.530733333,51.1111333333,68.8889333335
200.06,62.2806666667,-23.6842666667,66.4912666666,65.6139999999,44.0351333333,75.1190166668,-6.31566666666,56.4912,186.622916667,43.64025,111.4036,52.4560666667,56.6665999999
200.44,65.0847333334,2.59893333334,60.2260666667,61.356,52.0905333333,67.9821833333,15.0282666667,52.0902,136.016916667,45.48025,92.5423999999,46.7797333333,57.4011999999
200.82,68.9265333333,7.34446666668,60.9038666666,66.7797333334,59.322,75.2703357143,18.7571333333,52.6554,135.734416667,54.2372500001,99.6609333333,50.0565333333,55.1411999999
201.19,67.4852666667,6.90066666667,59.5322000001,62.4562666667,61.1694666667,76.2741023809,18.4795333333,50.9940666667,126.608166667,54.0934999999,98.8303333332,57.5439333333,52.7485333333
201.57,55.2940666667,-13.3332666667,47.3202,49.1503333333,55.4248000001,70.0093785715,6.14373333334,36.3399333333,121.40525,38.7256666667,98.6927999999,55.9476666667,30.719
201.95,40.136,-30.4761999999,22.8572000001,27.483,43.5374,59.0428095238,-11.4285333333,15.3740666667,99.8299166668,22.7890833333,82.0408666667,44.6258,16.7347333333
202.33,33.7705333333,-16.8306666667,20.7649333333,25.9015333333,35.3004000001,50.601047619,-5.90159999999,18.4699333333,77.0492500001,17.21325,67.8688666666,32.1312666667,15.9564
202.71,35.9110666667,-5.86673333336,27.6445333333,26.2223333333,35.7333333333,55.0476214286,8.62213333334,23.7332,68.8889166667,21.6668333333,63.3778666667,36.8889333333,23.3778666667
203.09,26.5657333333,-16.3637333333,25.9596666667,14.5454,36.4645333333,56.8072309524,5.15139999999,20.606,63.51,19.4445833333,63.5353333333,35.1514666666,18.1817333333
203.47,15.2224,-28.6667333334,13.7779333333,-0.88893333332,28.3334666667,45.8572095238,-2.55546666666,8.77773333333,52.361,7.22216666667,51.5556,27.0000666667,6.99999999998
203.85,27.4998,-12.2916666666,22.9167333333,11.6668,38.2290666666,54.8141214286,12.2918,18.9582666667,55.3385000001,14.7134166667,55.625,37.4999333333,15.8334
204.22,26.5408666667,-12.8302,20.2515333333,9.93706666666,39.3709999999,60.8221833333,10.4403333333,22.6414,60.8490833334,4.55983333333,57.8618,40.6288666667,15.7232666667
204.60,7.16046666666,-24.8149333333,7.03699999999,-14.9382666667,18.0246666667,47.5176309524,2.83946666666,9.62959999999,41.20375,-7.09866666665,41.9753333333,28.8888,-4.8148
204.98,-17.2973333335,-50.8108,-5.94586666667,-51.3513333333,0.90086666668,50.9266357144,-17.6575999999,-11.8919333333,29.054,-38.2883333334,30.9910666667,17.1172,-36.5765333333
205.36,-3.50000000006,-27.6666666665,14.0,-32.1666666667,17.3333333333,65.7083333333,0.666666666614,1.66666666667,43.5416666667,-18.3333333332,39.1666666666,18.5,-30.5000000001
205.74,15.2689333333,7.20426666666,29.4622666667,-3.76339999999,34.5162666667,60.5068071428,16.6666,21.0752,43.9515833334,5.37624999997,43.3331999999,26.9891333333,2.04286666666
206.12,9.82453333341,3.27493333334,32.8655333333,-2.68999999998,36.4912666667,60.4260928571,14.1520666667,21.4034,38.7425,2.04691666667,37.0760666667,25.3801333333,-0.46786666666
206.50,-12.3578,-29.9187333334,22.7642,-27.9674,28.6178666666,55.8883833334,-4.22766666667,2.60166666666,17.4797499999,-20.1219166667,30.4065333333,23.7398,-27.317
206.87,-22.8283333334,-47.8786666669,13.7373333333,-55.1516666667,18.1818666667,43.0736785715,-28.0808000001,-2.22226666666,-4.54541666683,-36.3636666666,15.7575333333,17.9797333333,-49.2928666667
207.25,-0.701733333273,-24.9122666667,38.7718666667,-40.3507333333,31.0526666667,54.2605928572,-8.0701333334,21.0525999999,12.5000833333,-13.3770833333,18.421,30.3508666667,-25.9648666667
207.63,8.22213333326,-33.3333999999,65.3332666666,-43.3331999999,46.4444666668,76.3969166666,-6.66653333334,47.5556,23.3332500001,-11.1109999999,39.3333333333,40.2222,-21.9999333333
208.01,-124.666666667,-234.0,78.6666666667,-262.0,0.6666666668,110.619047619,-125.333333333,32.6666666667,-60.8333333335,-159.166666667,13.3333333333,-40.6666666667,-152.666666667
208.39,-99.9999333332,-200.5128,56.9229999999,-198.9744,-2.5641333336,86.9232047619,-109.7436,17.9486666665,-62.8204999998,-107.051333333,9.74360000006,-52.8206,-105.128266667
208.77,-740.0,-2026.66666666,1120.0,-2080.0,813.333333334,1653.0952381,-1120.0,893.333333333,-450.000000002,-1000.0,120.000000001,-233.333333332,-793.333333334
209.14,19.5062,-33.0863333335,79.7530666666,-38.7654,77.037,105.008740476,19.0122666666,85.4322,25.926,3.08641666658,55.0617999999,42.9630666667,34.8148000001
209.52,4.6464666668,-38.9897333332,54.5455333333,-41.0101333333,54.1414000001,71.3780976191,16.7675333332,60.4040666666,4.79783333335,-6.81816666665,42.8281333333,26.6667333333,29.6970666668
209.90,-63.3333333335,-179.047666667,42.8571999999,-181.428533333,9.9999999998,78.3333214287,-31.4286666667,33.3333333332,-95.2380000001,-72.0238333332,12.3808666666,-32.8571333334,-21.9047333333
210.28,-40.4762666667,-144.762066667,68.5714666666,-174.761866667,26.6667333333,100.119111905,14.762,40.0000000001,-90.4762500002,-42.8571666667,33.3334000001,-17.1429333333,6.6666
210.66,20.8888666667,-74.2222000001,110.2222,-103.111066667,70.6666000001,150.031723809,71.5556000001,72.4443999999,-11.1110833334,7.2222500001,62.6667333333,29.7775999999,44.4443999999
211.03,-184.444466667,-637.7778,291.111133333,-755.5556,264.444400001,665.555466667,273.333199999,113.3334,-316.66675,-180.555666667,42.2221999992,-40.0,48.8888666674
211.41,-1500.0,-2326.66666667,-239.999999999,-2840.0,160.0,1398.80952381,286.666666667,-580.0,-1883.33333333,-1091.66666667,-373.333333333,-1093.33333333,-686.666666665
211.79,-2046.66666667,-2046.66666667,-633.333333333,-3593.33333333,-113.333333333,1381.9047619,139.999999999,-646.666666667,-2083.33333333,-1300.0,-593.333333333,-1166.66666667,-899.999999999
212.17,1426.66666667,1060.0,-79.9999999986,3053.33333333,-753.333333334,-2397.85714286,-859.999999999,113.333333333,1666.66666667,416.666666668,-246.666666664,333.333333333,533.333333336
212.55,143.076733333,135.897466667,16.9231333333,305.641,-10.2563999999,-147.380980952,-28.2050666669,77.9487333333,178.846166667,67.3077499999,52.8204666668,65.1281999999,118.461466667
212.92,92.7083333333,101.041666667,42.0833333333,162.916666667,40.625,-21.7485119049,15.4166666667,73.1250000001,111.979166667,59.6354166667,59.7916666667,56.4583333333,93.75
213.30,61.3043999999,70.7246666667,29.4202666667,106.956466667,25.6521999999,-21.7596547619,10.0000666667,48.6956,70.65225,32.4275833334,41.884,39.7102,63.4783333334
213.68,60.1059333333,70.0529333332,41.4815333333,92.0636000001,33.6507999999,-1.27363095239,24.2327999999,50.4762,68.5185,41.6666666667,49.5238,43.7038,65.2910666666
214.06,57.2443333333,60.3554000001,41.6000666667,85.7778000001,26.5778666667,0.882583333334,21.1555333333,44.6222,62.8889166666,42.2221666666,48.0001333333,40.0888,57.5112666666
214.44,53.6585333333,54.3902666667,43.1708,81.4634000001,25.9349333333,0.865266666652,22.1950666667,40.9755333333,58.5365833334,43.9024166667,40.8130666667,35.5286,52.4389333333
214.81,60.8695333333,58.0434666667,49.7102,87.9710000001,32.1013333333,13.9932857143,31.0868666667,48.9130666667,66.0325833333,51.9929166667,48.9854,47.4638666667,57.7536
215.19,57.4828,53.6734666667,44.0136,83.6734,34.0137333333,14.2710904762,30.4761333333,48.5034666667,62.7551666667,48.29925,45.1021333333,48.8435333333,55.9862666667
215.57,46.7974666667,42.6798,35.5556,72.6144,27.7124,9.46091666667,21.1764666666,39.6733333334,57.5161666667,42.97375,40.0000666667,40.9804,48.0393333333
215.95,45.6638,41.5928666667,37.8171333333,68.7315333333,29.8524666667,15.6848238095,22.6548666667,43.7758,60.7671666666,41.2241666666,43.4218,45.0148,49.7344666667
216.32,49.4488,45.7744,42.7822,70.3936666667,36.3779333333,26.0687452381,27.874,49.6588666667,63.4513333334,46.063,50.6562,48.6614,52.7035333333
216.70,45.0242666667,39.2271333333,40.2897333333,59.9998,33.0918,27.4551476191,27.971,45.5073333333,59.48075,43.9614166667,45.5556,45.7971333333,46.6182666667
217.08,47.6846,37.3536666667,41.8829333333,61.7812,33.6896,28.8876595238,30.4834,47.9898666667,63.67675,44.6564166667,48.3969333334,48.3459333333,46.2086666667
217.46,54.4828666667,42.7586666667,47.6322666667,66.9426666667,41.747,39.8506476191,39.2644,54.9425333333,70.9771666666,50.22975,56.1379333333,53.5172,51.7702
217.83,55.7916666667,43.9166666667,48.1666666667,68.1666666667,42.7083333334,43.4866071428,40.4583333333,55.4583333333,70.625,50.9375,57.3333333333,53.75,51.2916666666
218.21,57.2146,43.6074,46.9407333333,69.2236,43.5616666667,44.9641404762,41.7807333333,56.4384,73.2876666667,50.97025,60.2283333333,53.7442,52.1004666667
218.59,59.3712666666,46.2474,49.1404,70.7337333333,48.7209333333,51.1904404762,45.1572666667,60.3772666667,74.7903333333,51.7295833333,65.4508,57.7778,57.4842666667
218.97,54.1366,41.8474,45.3012666667,65.8232666667,46.747,47.4325714286,42.008,54.3775333333,70.281,46.7871666667,62.4899333333,52.0080666667,52.8112
219.34,52.9782666667,38.5405333333,43.6292,62.4063333333,42.6036666667,44.9956928571,39.8423333333,51.716,66.1241666667,45.51275,60.0001333333,50.2959333333,50.6114666667
219.72,54.356,42.0833333333,46.0227333334,65.1136666667,45.3788666667,47.4351095238,44.4697333333,54.4318,66.3351666667,47.1590833333,60.7955333333,52.9544666667,51.5908
220.10,51.6864,38.3530666667,42.4705333333,63.5292666667,41.9998666667,43.3963976191,42.4705333333,51.9215333333,63.5783333334,42.2549166667,58.3923333333,49.6863333334,47.6472
220.47,45.7516,31.7647333333,37.3857333333,61.9608666667,36.6014,37.6035761905,40.8278666667,47.451,61.65575,36.05675,54.9892,45.4467333333,43.6165333333
220.85,42.1758666667,28.6110666667,35.2778,64.8610666667,32.4537333333,31.8219904762,36.3889333333,43.6112,60.1850833333,29.6296666667,49.537,42.7777333333,42.2222
221.23,36.8448666667,23.2061333333,28.7023333333,61.4758,25.8016,26.0612904762,32.8752666667,39.1858,58.0789166667,23.72775,41.8320666667,37.3027333333,37.0992666667
221.61,24.6195333333,10.3412666667,15.8530666667,48.6614666667,13.8582,12.4615047619,21.7320666667,25.4593333333,45.1445,14.895,28.3990666667,26.6144,27.8216
221.98,17.1902,2.42413333333,6.77686666665,42.6996,10.5234666667,4.15774523809,16.4738,22.6447333333,37.8099166667,6.61166666668,21.3222666667,23.5813333333,23.4159333333
222.36,19.4724,7.48199999999,12.0383333333,39.7602,14.4844,7.79034761905,17.8416666667,24.6044,39.14875,10.2518333333,22.8776,29.8320666667,25.3236
222.74,9.08139999999,-3.20206666665,-1.25986666667,29.6063333333,-0.997533333334,-6.16050000001,5.82673333333,13.3857333333,31.4304166667,-0.98416666665,10.3411333333,21.3648666667,14.7507333333
223.11,1.99996463834e-11,-14.0384,-10.2563333333,24.1025333333,-11.2821333333,-20.8241095238,-4.10280000002,6.34626666668,30.2885,-10.4165833333,0.128133333334,17.3078,7.37186666666
223.49,-3.07699999999,-11.2178666667,-9.99993333333,23.2692666667,-9.16666666667,-18.7524047619,-5.0000666667,6.79486666666,33.97425,-10.2563333333,-0.448799999994,16.8590666667,8.46153333334
223.87,-3.51193333335,-10.4760666667,-11.4879333333,18.7499333333,-8.69033333335,-14.5577404762,-6.13093333334,6.96433333333,31.8451666667,-9.67258333333,-2.26186666665,14.4048,11.3095333333
224.24,2.37033333334,0.148266666672,-4.5432,20.0494666667,-0.444533333334,-4.72480000001,1.4814,14.6173333333,32.8395,-0.06183333335,4.4444,18.1234666667,18.9135333333
224.62,11.2888666667,8.35553333333,5.06666666667,24.6666666667,7.51126666666,4.51914285714,6.71113333333,22.2222666667,33.9444166667,7.00008333332,11.3777333333,25.0222666667,26.3556
225.00,14.1351333333,7.59486666667,7.08873333333,21.6455333333,9.8312,6.54611666666,5.56966666665,23.7130666667,32.43675,11.498,15.6118666667,23.9239333333,26.4558
225.38,13.6398,5.55566666666,7.85426666666,19.9617333333,8.85059999999,7.54918333334,3.60146666666,21.3026,27.5384166667,11.59,13.9845333333,24.4060666666,23.8696666667
225.75,13.4832,6.779,9.88766666667,21.3858,8.98873333331,9.50364761903,3.44560000001,22.0972,28.6985833333,9.41024999999,14.3820666667,26.2170666667,22.9587333333
226.13,7.61386666667,0.765,6.44813333333,17.4499333333,2.84139999999,4.97535238096,-0.0728,15.4462,24.7723333333,6.28416666667,9.54453333331,18.9799333333,15.8107333333
226.51,-0.280733333333,-6.66673333333,-1.61413333335,8.63146666667,-4.00000000001,-2.37958809524,-4.63179999999,6.8772,16.4034166666,-2.63149999999,0.947400000006,8.87740000001,6.45620000001
226.88,2.98946666667,-1.94326666667,3.97599999998,11.1807333333,2.03293333333,2.52406190476,1.52459999999,8.93866666667,17.9373333333,2.46633333334,4.39473333334,10.314,8.52006666667
227.26,9.09973333334,3.64966666667,8.39420000002,14.7203333333,6.86133333333,8.12042619048,6.47219999999,12.7494,18.1569166667,6.23475000001,9.00253333334,14.5743333333,12.5546666667
227.64,5.63613333333,0.546866666668,6.16193333333,11.083,5.15246666667,5.98228571428,5.00533333335,10.0736,13.0388333333,4.36383333334,6.33013333334,10.3891333333,9.25340000001
228.01,3.9248,0.0937999999993,6.49753333334,9.08926666667,4.71359999999,4.0260952381,4.93879999999,8.86380000001,9.78883333332,2.67608333332,5.953,9.67140000001,7.1174
228.39,-0.336,-4.22626666667,3.20066666666,3.96113333333,-0.335933333314,0.271038095237,0.74273333334,3.67806666666,3.58116666667,-1.37041666666,1.1848,5.65880000001,1.7682
228.76,-4.79313333333,-6.88526666667,-0.530733333332,-0.874266666664,-3.59093333333,-2.37770952381,-2.06086666666,-0.624533333335,-0.0390833333325,-4.85950000001,-1.93606666667,1.31139999999,-2.88826666667
229.14,-5.63093333333,-6.27293333333,-2.18813333333,-1.82346666667,-4.20133333333,-2.70129761905,-2.12980000001,-1.42973333333,-0.893666666659,-6.21808333333,-3.13633333333,0.248066666666,-3.7782
229.52,-4.8888,-4.8056,-1.45826666666,-1.55566666667,-2.41653333334,-1.63889047619,-0.986200000006,0.0694666666666,0.173500000008,-4.89575000001,-1.95826666667,0.680466666666,-2.4306
229.89,-2.72486666667,-3.00266666667,-0.648066666666,-0.277733333334,-0.30413333334,0.133664285715,0.542266666666,2.56613333333,1.04174999999,-2.89349999999,-0.2778,1.45493333333,-1.17713333333
230.27,-1.78186666667,-2.0312,0.3988,-0.548200000002,0.274133333332,1.30444761905,1.0716,3.12753333333,1.44858333333,-2.757,0.274133333333,1.86913333333,-0.0749333333354
230.65,-1.03326666667,0.061333333334,2.30013333333,1.6606,2.10326666666,2.80763571429,2.20173333333,4.76006666666,2.10625000001,-1.10716666666,1.4022,3.00126666667,1.86966666666
231.02,-1.23013333333,-0.405999999999,1.90653333333,1.68506666667,2.31240000001,2.66703333333,2.1524,5.08,0.353666666667,-1.476,1.64826666667,3.09973333333,2.0294
231.40,-5.0126,-2.88806666667,-0.496266666667,-1.93373333333,-0.598,0.0625666666666,-0.305266666674,2.55726666666,-2.83083333333,-4.32558333333,-1.23406666667,-0.2672,-1.3358
231.78,-5.68740000001,-3.1388,-1.69,-3.03153333333,-1.42186666667,-0.347795238096,-1.01940000001,1.9584,-3.21933333333,-5.71775,-2.22673333334,-0.509733333333,-2.495
232.15,-8.36520000001,-6.21373333333,-5.4352,-6.05806666667,-4.71333333333,-2.09684761905,-3.99153333333,-1.2598,-6.42258333332,-9.11166666667,-5.4778,-3.77913333333,-6.29859999999
232.53,-7.35533333334,-5.50913333333,-4.83506666666,-4.68853333333,-2.56413333334,-0.289397619047,-2.56413333334,0.410199999999,-5.10991666667,-7.52750000001,-4.32233333333,-2.75453333333,-4.93773333333
232.90,-6.85353333335,-5.57619999999,-4.25239999999,-4.68833333333,-1.88466666667,0.136352380953,-2.27406666667,1.0592,-3.68000000001,-6.61991666667,-4.95326666666,-1.32426666667,-4.65733333333
233.28,-4.30106666666,-3.871,-1.29033333333,-2.13513333333,0.522199999993,2.41986904762,0.768133333334,3.04146666667,-1.53616666667,-4.47391666666,-2.35026666667,1.0598,-2.55
233.66,-3.89253333333,-3.34066666667,-0.417533333333,-1.44673333333,0.730933333339,3.08984761905,2.13266666666,2.83373333333,-0.577999999991,-4.21325,-1.83446666667,1.223,-2.08806666667
234.03,-6.50299999999,-5.50586666667,-2.08326666667,-3.97326666667,-1.83033333334,0.985266666666,0.863266666665,-0.282666666667,-3.40408333333,-6.47325,-4.36006666667,-0.1636,-4.06266666667
234.41,-5.14760000001,-3.43653333333,-0.678466666666,-2.31559999999,-0.354000000007,2.51853571429,2.49253333333,0.973466666668,-2.98674999999,-4.97775,-3.53980000001,1.38633333333,-2.94993333333
234.78,-5.12706666667,-4.32826666667,-1.5106,-3.89246666667,-1.19093333334,2.59577142857,2.38206666667,0.203399999999,-2.99566666666,-5.04733333333,-3.878,1.01673333333,-3.384
235.16,-6.93093333334,-5.97653333333,-2.64306666667,-7.01919999999,-2.90746666667,0.709026190476,0.807600000002,-1.4832,-3.52416666667,-6.7365,-6.54920000001,-1.0278,-5.28640000001
235.54,-4.62406666666,-3.98573333333,-1.16326666667,-4.82266666667,-1.4042,2.09378333333,2.53906666667,0.156066666665,-1.117,-4.37958333333,-4.51073333334,-0.0142,-3.16313333333
235.91,-4.6666,-3.8056,-0.388933333334,-4.0696,-0.847266666665,1.71394761905,2.99993333334,0.194466666667,-0.798583333333,-3.95841666667,-3.76386666667,-0.0554666666654,-2.09726666667
236.29,-3.9676,-2.55053333333,1.33593333333,-2.96893333333,0.0540666666654,1.71973809524,3.80566666666,1.3226,0.219333333342,-3.17133333333,-3.21179999999,0.620666666666,-0.742199999998
