wavelength,Back_SicLuaf,Belly_SicLuaf,Breast_SicLuaf,Crissum_SicLuaf,Crown_SicLuaf,DorTail_SicLuaf,Patch10_SicLuaf,Rump_SicLuaf,Throat_SicLuaf,WingTip_SicLuaf
189.05,81.3094666667,71.8452333334,49.0474,46.4880619048,61.4881666666,114.166733333,89.2261666667,52.3691066667,11.7856666667,85.7738666667
189.43,69.3566666665,66.7836000001,40.1754,37.7695714286,55.9648666667,114.7368,90.9943333333,53.5906666667,6.08199999993,81.9883666667
189.81,77.5642000001,75.1281666667,52.0512333333,40.7325047619,67.3076666667,126.538333333,99.0384,64.1024933333,12.4358666667,88.5898000001
190.19,94.5579333333,81.6325333334,60.9524,52.9348333333,75.7142333333,136.598733333,112.448933333,70.7755933333,15.9183999999,101.700733333
190.57,96.4780000001,86.4151000001,62.8303666667,57.6729904763,79.1195,130.062866667,112.075533333,73.9371,24.4026000001,109.4967
190.95,69.4976666667,66.5752666666,43.1507333333,44.572652381,63.105,99.2694666667,84.6118,58.66662,24.5663333333,91.8263
191.33,68.5859333333,58.9393666667,31.4647,32.9870095238,60.7575999999,97.7776666667,88.1818000001,57.82832,13.6364,93.0809333333
191.71,60.5883333334,56.2254,22.5,30.4341571429,58.4315,89.3138666666,89.6078,57.0881866667,15.0980666667,85.0981333333
192.09,48.1386,49.0043,11.6451666667,22.0841095238,55.1949,74.1991333333,75.2381000001,47.2986866667,14.5453333333,72.2510999999
192.47,54.2707333334,58.0728000001,16.3539666667,24.932852381,69.3228333333,85.5208,90.5206666667,53.9893933333,17.8123333333,90.6247999999
192.85,39.1869333334,45.6910999999,-28.2925999999,0.94075238094,66.748,88.6180000001,102.113866667,37.0244266667,-0.97560000006,93.6586666666
193.23,39.1667333335,40.6944666667,-27.1527666667,7.91675714293,61.2499333333,72.9166666665,93.6806666665,29.3194466666,3.75013333333,77.8472333333
193.61,61.0145999999,50.5797333333,-15.8696333334,23.2298428571,70.6522000001,77.2463333334,107.8261,40.6521533333,21.8841999999,94.3477666667
193.99,65.2940666667,34.9019666667,-52.8433,8.65542857142,73.0392,80.1961333333,124.6077,22.74488,17.8431333333,101.9609
194.37,44.8484666668,14.0908333335,-146.515033333,-36.0173285715,73.1817666667,79.6969333335,143.939466667,-11.1211666667,-4.84853333332,120.0001
194.75,16.9230666668,-21.0257,-291.538466667,-109.853428571,70.5129,96.4104,174.1027,-54.3076733333,-62.5641333332,149.487333333
195.13,-9.38249922364e+13,-6.09862449539e+14,-2.62496739645e+15,-1.27943171232e+15,1.36472715982e+14,2.30297708218e+14,1.06192832123e+15,-9.65117988326e+14,-8.44424930132e+14,7.63394255018e+14
195.51,22.2222,278.888866666,1350.0001,668.254080954,-2.22230000006,0.000133333400015,-553.333300002,615.333399999,355.555466665,-272.222166667
195.89,296.666666667,-91.666666666,-1836.66666667,-667.142857143,101.666666666,239.999999999,1023.33333333,-679.333333335,-273.333333333,768.333333333
196.27,248.000000001,132.000000001,-596.000000001,-134.761904762,64.0000000002,166.666666667,516.0,-171.466666667,49.3333333334,413.999999999
196.65,68.6666666668,9.0,-377.666666667,-147.380952381,-44.6666666667,-15.3333333333,166.666666667,-180.066666667,-41.3333333333,98.0
197.03,94.9020666667,60.5881999999,-153.725533333,-53.1653904762,20.1961333333,34.1175333333,147.647133333,-70.54904,11.7646000001,100.784266667
197.40,-211.1112,-76.1111333326,498.333299999,270.0793,45.5555999998,21.1111333334,-300.0,339.444293333,87.7778,-208.333333333
197.78,-40.4166666667,-9.5833333334,219.166666667,140.178571429,48.3333333333,46.6666666667,-73.75,172.666666667,61.2500000001,-29.5833333333
198.16,41.8391333333,45.4022666665,181.954066667,125.615757143,95.2874333332,87.8159333333,11.0345333334,145.333233333,87.3564000001,39.0804000001
198.54,3.88094286072e+14,2.11106232535e+14,-2.09400323583e+15,-1.23617473538e+15,-9.44647080931e+14,-8.27365840634e+14,8.82807881502e+14,-1.60568679896e+15,-4.77654505932e+14,1.47134646916e+14
198.92,81.2698666665,78.7302666666,-75.3968333333,-46.5532571429,-7.77763333346,-18.7303333333,119.047733333,-67.2063133332,31.4286666669,66.6665333333
199.30,40.9999999999,49.3333333333,-34.5833333333,-18.0,-1.58333333339,-11.1666666667,69.0,-23.3333333333,23.5,34.6666666667
199.68,33.4482000001,44.5978666666,-13.3333666667,-0.205328571414,9.19533333333,5.05753333333,52.9310333334,-2.908,25.4024,34.3678333334
200.06,19.2821333333,34.8206333333,-12.7179333333,-4.21229047621,2.51269999993,0.102666666668,36.1025999999,-5.50773999998,14.2564,20.5641666667
200.44,4.73433333332,19.372,-25.9420333333,-16.8529809524,-5.94203333339,-17.6811333333,21.1110666667,-17.81648,-1.73926666668,9.03390000006
200.82,6.036,14.5944333333,-23.2433666667,-13.5457714286,-4.95496666666,-11.8017333333,21.3965,-8.92786000002,1.8018,13.2883666666
201.19,-17.8744,-6.57010000001,-50.4349333333,-34.6237428571,-29.9516333333,-36.8115333333,-3.04329999994,-28.48318,-12.8501333333,-3.52650000002
201.57,-43.9216000001,-22.8430666667,-69.1177000001,-50.2731333333,-49.5097333333,-55.8822666667,-22.4020666667,-39.8921066667,-30.9804,-19.7548666667
201.95,-36.5854,-14.4715,-51.8699333333,-37.6771571429,-35.2846666666,-39.2683333333,-13.2521,-28.34956,-20.7318666667,-16.0162666667
202.33,-6.79000000001,10.5246333333,-17.9321333333,-6.0537095238,-2.71606666668,-8.88893333333,10.5556333333,0.357973333333,3.58026666667,9.62966666667
202.71,-13.8,4.36666666668,-26.0666666667,-14.0047619048,-5.26666666667,-16.4,5.13333333334,-5.49333333334,-1.13333333334,2.90000000002
203.09,-26.8751333333,-7.95136666668,-41.7361333333,-23.3978095238,-19.8263666667,-31.111,-7.25703333335,-19.95836,-12.5695333333,-14.757
203.47,-21.9476666667,-6.17980000001,-39.2884,-17.7260809524,-19.7378666667,-27.1161333333,-3.89506666666,-19.9700466667,-10.4868666667,-12.5842666667
203.85,-33.0629333333,-14.9548333333,-53.2431666667,-24.8584380952,-32.0271,-38.1982,-9.41443333334,-30.9009466667,-14.7748,-21.7118333333
204.22,-43.2819999999,-29.282,-71.9487,-37.4944380952,-42.8717999999,-53.2308,-18.7692333333,-43.8975066667,-19.0769333333,-28.8204999999
204.60,-34.2856666667,-20.7144,-58.0477,-27.1836857143,-34.2858666667,-36.8572,-8.66669999994,-33.6665933333,-12.0952,-19.3332
204.98,-36.3543333333,-13.125,-58.4377333333,-24.1295761905,-31.4063,-36.7710666667,-5.05219999992,-37.01058,-12.1875333334,-18.9584333333
205.36,-19.6722666666,5.46440000006,-43.8797666667,-6.72902857144,-13.1147666667,-25.0272666667,5.13653333326,-24.9945466667,-1.63920000006,-7.8688666666
205.74,5.25486666666,24.4706000001,-15.3334,12.2073666667,11.6862,-3.29419999999,21.2156999999,-1.02748666668,19.3725333333,9.96063333334
206.12,7.81593333332,21.4177000001,-16.4368,14.8878666667,11.6091,-4.67433333333,17.0114666667,-0.107280000006,23.7548,14.4826000001
206.50,0.872999999974,14.6426999999,-21.4682333333,9.24039523811,0.87296666666,-11.1111333333,9.4444,-10.4683866667,20.5555333333,9.127
206.87,-9.60000000001,10.6222,-28.6665333333,7.10479523808,-6.88886666665,-15.8222666667,5.3777666666,-17.7244,21.1555333333,4.4002
207.25,-19.3939999999,0.808166666726,-43.586,-2.99426666666,-15.8080666667,-27.1718,-1.1616,-27.65644,11.9189999999,-3.9395333334
207.63,-13.6110666667,6.34253333334,-35.3242,2.53313809524,-5.41670000001,-18.889,3.79609999994,-20.4722133333,23.2408,2.26840000014
208.01,-20.9804666667,-3.62739999995,-41.5685333333,-10.5461761905,-13.2843666667,-24.5098666667,-7.59816666666,-25.4607666667,15.0980000001,-1.8138
208.39,-12.2549333333,6.3235333334,-29.6078333333,-5.46230000001,-8.08816666667,-20.6861333333,-0.392166666674,-18.41176,24.1176,4.9509333334
208.77,-24.8,-3.73333333334,-49.2,-18.6095238095,-21.5333333333,-35.4666666667,-15.4666666666,-34.7066666667,22.9333333333,-5.66666666666
209.14,-36.8794666665,-19.7163333333,-65.8156333333,-35.6230857143,-41.4183666667,-56.7376666667,-24.7516333333,-48.28358,13.7588666667,-21.3472666667
209.52,-20.3448666667,-7.47113333332,-42.0116333333,-19.5238857143,-24.1954,-31.7242666667,-3.90803333333,-26.6782266667,22.4137333334,-7.7011
209.90,-4.37153333326,0.60106666666,-23.9344333333,-7.5252952381,-11.8033,-12.7868,5.19130000001,-13.5955733333,34.5355333333,3.77066666674
210.28,-3.45679999992,1.4198,-25.8642666667,-14.7442238095,-14.8148666666,-17.4074,8.76543333327,-17.99998,26.4198,-4.5062333334
210.66,-11.0000000001,-7.41666666668,-48.5,-39.8095238095,-27.8333333335,-31.0000000001,0.0833333334,-26.8,18.0000000001,-24.5833333332
211.03,0.89753333332,-1.66659999998,-32.7564333333,-22.7563571429,-19.8074666666,-21.6665333334,2.05150000007,-17.5128,9.74366666666,-12.0510666667
211.41,16.9525333333,15.2856,-8.47623333332,1.91838571428,2.80950000001,1.71426666666,15.1428333333,6.08569333334,27.4286666667,8.6666333334
211.79,14.0084,15.5696,-4.59913333333,1.09700952381,2.70030000001,0.9282,14.3881666667,6.07596,22.0254,11.4767999999
212.17,17.9166666667,22.1526666667,3.9931,13.3879857143,11.6667333334,7.29153333332,21.3543,10.92368,27.7084,15.2430666667
212.55,3.16833333335,8.11890000002,-8.31690000001,1.20231904763,-0.263999999988,-4.2904,4.8184,-0.204560000006,11.7492666667,1.22106666666
212.92,5.1634,6.6667,-7.35306666667,3.53872380951,0.62083333334,-5.2942,2.41833333334,2.60778666665,13.7908,-1.30733333332
213.30,7.29173333333,4.65263333332,-7.67356666667,4.09722380955,4.9306,-2.01400000002,-2.118,2.97909999999,14.0973333333,-1.2152666666
213.68,-1.20573333333,-6.2056,-15.8865,-3.02931904763,-0.744700000006,-7.02126666665,-8.4752,-3.34768666667,10.6382,-8.40426666666
214.06,-6.66666666666,-8.02083333333,-18.0206666667,-5.39181428571,-4.23606666668,-8.12493333333,-10.2081666667,-6.21522666667,6.80573333334,-10.6598666667
214.44,-12.4399333333,-13.1272333333,-19.8968666667,-4.89937619047,-5.53259999999,-13.6082666667,-15.0516,-9.48454000001,4.32999999998,-9.5533
214.81,-9.91153333334,-9.97053333333,-12.0943,-0.446699999994,0.796533333334,-8.90866666667,-11.4748666667,-4.53081999999,8.2596,-3.39246666666
215.19,-10.4761333334,-8.92853333334,-13.4821666667,-1.83240000001,3.69046666669,-6.24993333332,-10.5953666667,-3.93460000001,9.46426666666,-5.65476666668
215.57,-21.0988666666,-21.8682666667,-25.1647,-12.6477571429,-4.83526666666,-14.5786666667,-20.0000333333,-13.8682333333,-0.219800000008,-17.1428333333
215.95,-36.2036666667,-39.6295666667,-45.1852,-26.9510285714,-18.3333333333,-25.0000666667,-36.3425666667,-27.50002,-13.426,-35.8333999999
216.32,-25.662,-27.4885333333,-36.6667,-17.2668238095,-5.5252,-14.6118666667,-31.0957666667,-16.3927533333,-3.83566666666,-24.7489666666
216.70,-17.5862,-21.1492666667,-26.4369333333,-10.0739190476,9.82756666674,-1.14933333334,-19.0804333333,-10.6322266667,8.96553333333,-11.3794333333
217.08,-18.6020666667,-17.1504333334,-21.8278666667,-10.3148571429,9.67749999999,-0.64513333332,-13.9246666667,-13.7957066667,5.05366666665,-4.56983333347
217.46,-13.3333333333,-8.52393333334,-14.2381333333,-1.36048571428,8.76183333334,-0.19053333334,-7.19043333334,-9.30484666665,4.76186666667,0.380900000067
217.83,-14.554,-9.3897,-14.8825,-4.03760476191,5.96256666668,-6.76066666667,-8.63843333334,-16.8827466667,-1.22053333334,-0.234800000066
218.21,-4.99999999999,-4.56153333334,-8.24543333334,3.52130476191,12.1491,-2.193,0.78946666668,-11.0614933333,5.1754,9.38580000006
218.59,5.78313333334,6.18476666667,-2.53019999999,8.42794285714,16.6265333333,6.6668,8.71483333332,-0.803120000008,16.4659333333,15.8633666666
218.97,14.1176,12.9412666667,2.27463333333,14.3472952381,17.4118,12.1568666667,14.6276,6.15676666669,21.1763333333,19.1374000001
219.34,20.9960666667,19.6935333333,11.6477,21.0016428571,22.9886666666,14.7892666667,20.8429333333,13.6091866667,27.6629333333,25.7471333333
219.72,20.0785333333,20.8235333333,14.7450333333,22.3921190476,24.0784,15.0589333333,21.1372,12.64314,28.7058666667,28.7452
220.10,19.6212,20.4925333333,19.7727,21.0551952381,24.7348666667,14.0908666667,20.0000666667,15.34844,28.8636,28.6742000001
220.47,16.5890666667,15.2713666667,19.5348666667,17.4530142857,18.0621333334,9.69,22.752,15.2945866667,27.3642666667,26.3177666667
220.85,11.8954,12.1895,9.9673,12.6424904762,10.0980333333,2.35293333333,14.6733,11.7646466667,19.085,16.6013666667
221.23,19.9404666667,20.4167333333,14.5833333333,18.9497428572,18.0654666667,7.7974,24.0475666667,22.5178133333,27.4999333333,25.1785
221.61,15.7522,18.1709666667,7.9056,13.6746761905,16.7551666667,4.01193333335,21.0618,19.882,26.4896666667,25.1032333333
221.98,22.6667333333,28.0248,16.3704,23.7213571429,22.395,13.3827333333,27.1850333333,29.43206,33.1358,31.2098333333
222.36,14.4643333333,18.1845333333,7.67856666666,15.7738666667,12.7382,1.96426666666,18.8096,25.7439866667,26.3689333333,20.5656
222.74,3.92853333333,5.98213333334,-1.75576666667,5.47625238096,2.2025,-7.381,5.92269999999,15.29744,12.619,7.41066666667
223.11,5.89980000001,6.31266666668,-2.41903333333,5.81533333332,3.27436666667,-5.89973333333,7.16803333333,13.04428,10.8554666667,7.28606666666
223.49,0.62900000002,-2.26416666665,-9.46546666667,-0.0268904762,-0.943399999994,-11.2578666667,1.1007,5.98752000001,3.20759999999,0.1259
223.87,4.30306666666,2.03023333333,-9.90916666667,1.93943333334,1.42426666669,-7.57586666666,1.12116666666,7.03024666667,5.87873333333,-2.12119999999
224.24,-1.33333333335,-2.29999999999,-20.8666666667,-2.86666666668,-0.333333333346,-13.7333333333,-4.13333333333,2.20666666667,0.933333333332,-8.13333333333
224.62,-5.255,-5.05886666667,-28.6666333333,-7.86565714285,1.8039,-20.0000666667,-10.0782666667,-3.42737333334,-3.05886666665,-12.9411333333
225.00,-5.71419999998,-8.35506666665,-30.1733,-8.09512380952,5.02156666666,-15.1516,-11.7315333333,-3.77480666667,-2.51093333334,-10.3029333333
225.38,-15.0236666667,-12.8637333333,-35.3989333333,-13.6351714286,3.56806666665,-19.5306,-18.2158,-18.2159266667,-11.1736,-20.9858333333
225.75,-1.58333333333,-2.58333333332,-15.5833333333,1.26785714284,14.9166666667,-0.41666666668,-4.79166666667,-6.61666666668,-1.16666666667,-11.5833333333
226.13,-20.0000666667,-25.5357333333,-36.4285666667,-20.6293095238,9.46420000001,-9.40466666667,-23.5118666667,-27.6547666667,-22.9762666666,-35.5951
226.51,-37.9365333334,-38.2538333333,-60.8731333333,-33.4467333333,14.2857666667,-14.4444,-43.254,-48.5397333333,-37.4604,-47.7778333333
226.88,-17.4358666666,-19.8292666666,-39.9144666667,-12.1855857143,34.6153666666,10.0854666666,-14.8716666667,-39.04264,-12.1369333333,-31.8803333333
227.26,-9.13033333335,-15.3623333333,-23.2608333333,-1.09731904762,36.8842333333,11.3043333333,-4.27529999999,-22.14488,0.28979999998,-19.3478333333
227.64,3.66013333333,-1.76463333334,-8.49680000001,15.3967904762,44.1830666667,27.4508666667,15.1633333333,0.392206666673,16.6013333333,2.54913333332
228.01,2.39586666667,-4.42700000001,-2.13546666667,15.9151904762,35.7812666667,21.1457333333,23.4895666667,3.66663333333,16.25,13.8021
228.39,18.2905333333,12.3076333333,18.5897,28.1195952381,43.718,37.1794666667,38.205,17.7692466667,27.7778,25.2994
228.76,16.3922,6.78436666666,15.6078,26.0841666667,38.9411666667,39.5293333333,32.3922666667,16.4314266667,21.9608,23.4510333333
229.14,9.39393333333,3.2197,6.62880000001,20.3462666667,31.7804,30.3788,26.3258666667,8.73484666666,15.5302666667,11.1740666667
229.52,14.0278,6.25,11.9791333333,22.0437,31.5624666667,34.5139333333,28.8887666667,16.6667133333,17.3610666667,16.4931
229.89,7.10626666667,0.329766666668,8.42493333333,18.9690047619,26.1539333333,27.0328666667,23.7362666667,10.7032733333,10.8426,14.1392666667
230.27,8.43126666667,0.94773333334,8.0718,20.7095904762,19.3464666667,23.2679333333,23.0066,10.65352,11.2418,12.2220666667
230.65,12.4548666667,6.51156666667,13.4626,21.2993619047,19.3022666667,25.7882,26.7959,14.1086133333,14.5219333333,16.8475333333
231.02,16.0361333333,13.4909666667,18.1305666667,22.3262047619,24.4595,28.7386666667,30.9910666667,21.9188733333,18.4234666667,24.7972
231.40,16.6884666667,16.0784333333,18.4530666667,22.3063428571,23.1373,30.3704666667,30.5665333333,21.9302733333,19.1284666667,26.9717666667
231.78,12.2222666667,11.4119666667,16.2038,15.8301238095,18.3565,26.1574666667,24.6064666667,16.2036066667,12.8704,23.8658
232.15,14.0528,12.8776666667,18.6090666667,17.3518809524,21.5588333333,30.2158,24.3885666667,18.39328,15.1078666667,25.8514
232.53,11.4023333333,9.54023333333,15.5632666667,15.6290857143,17.9080666667,25.9769333333,18.6206666667,14.4230066667,13.0575333333,23.0114333333
232.90,10.0000666667,9.2,14.8666333333,13.6127047619,13.8001333333,19.8222,16.7333666667,13.4888533333,11.6889333333,19.2446333333
233.28,20.4570666667,18.0762333333,24.9141666667,22.1740285714,22.0761333333,26.9332666667,26.8762,22.57522,19.4287333333,26.9904
233.66,17.9888,17.5790333333,22.5884333333,21.3621190476,19.0503,24.8789333333,24.3760333333,21.1769,18.2868666667,23.6687
234.03,21.0048666667,19.3634666667,23.9197333333,23.2735809524,22.1273,27.0688,27.3031333333,24.4422666667,22.479,24.8743666667
234.41,21.0614666667,20.8126666667,25.3565,23.0182666667,24.2287333333,27.0646666667,26.2521333333,25.2802333333,22.4544666667,26.451
234.78,23.0666666667,23.3166666667,27.15,24.1952380952,24.5666666667,27.6666666667,26.05,26.8533333333,23.7666666667,26.7833333333
235.16,20.3108,18.9980666667,24.0070333333,24.7668333333,20.5180333333,25.4576666666,22.4007333333,22.8738933333,20.2763333333,21.0881
235.54,15.0878,14.3332333333,20.351,19.9848047619,17.386,21.5437333333,18.0174666667,17.9788,16.3509333333,15.9823
235.91,13.7383333333,14.2367333333,18.3176666667,20.1736047619,15.7789333333,19.6573333333,17.0403666667,16.6604,16.3863333333,14.8598333333
236.29,10.8641333333,13.2098333333,14.9691,16.4066047619,12.0987333333,14.6604666667,14.676,14.2129533333,12.8086666667,10.2778333333
236.66,7.70933333332,11.2954666667,11.2954,14.2856523809,8.30956666666,10.4265333333,13.7442,12.33178,10.3317333333,8.27790000001
237.04,7.68979999999,12.5907666667,11.7325333333,15.806152381,8.82836666666,12.2772,15.5282666667,11.9274333333,12.0461333333,10.5774
237.41,2.20973333334,6.64783333333,7.45316666667,14.1465904762,3.3334,10.0748666667,11.1611333333,7.64048666667,8.83886666667,6.49829999999
237.79,5.56180000001,8.15846666667,11.1603666667,17.3901523809,6.79553333333,14.5488,13.7201333333,11.55802,13.3702666667,13.057
238.17,1.25926666667,5.81483333333,7.22216666667,12.1058333333,1.99993333333,11.8520666667,10.3334333333,8.62594666666,9.2222,10.4444333333
238.54,-1.1052,2.19273333333,3.08393333334,9.75291904763,-0.516999999994,10.7664,8.71656666667,5.88232,7.23706666667,7.25489999999
238.92,0.137400000006,0.343666666664,1.80410000001,9.91163333333,-0.89346666668,10.9966666667,9.57043333334,6.08938666667,7.8352,6.76966666667
239.29,0.333333333342,1.06666666666,1.46666666666,6.80952380952,-0.016666666652,11.0666666667,7.54999999999,5.57,7.23333333333,7.28333333333
239.67,7.74553333335,7.09543333334,8.58916666667,12.284247619,7.27529999999,16.2932666667,14.4815,11.6487333333,13.3609333333,13.9834
240.04,12.8589333333,12.3470333333,13.4329333333,14.8261809524,11.7228666667,20.774,18.1272666667,16.6741133333,17.3532666667,18.8015666667
240.42,16.9436,13.9692666667,17.0871333333,18.3604047619,15.0154,24.123,20.8,19.4154133333,20.2666666667,22.5742333333
240.79,17.3158,15.0086666667,17.6666333333,18.1542285714,16.0613666667,24.8596666667,20.7720666667,19.2016933333,20.1229333333,23.0174333333
241.17,17.0354,14.4174,17.0059666667,16.6698,15.5605,23.6724666667,19.0339,18.19466,18.7758,21.8286666667
241.54,15.6968,13.9179333333,15.1958666667,13.9627523809,14.1619333333,21.3359333333,16.7952333333,16.62304,16.1082,20.8671333333
241.92,13.6028666667,11.6462,12.6713666667,11.2426619048,12.0092333333,18.3010666667,14.2999666667,13.8065066667,13.0405333333,17.6098666667
242.29,13.7164666667,10.8592,12.4741,11.0461857143,11.7187,17.4493333333,13.3278,13.2502,12.2606,17.1266
242.67,14.953,12.0428666667,14.0178666667,11.8756285714,12.8214,17.9414666667,14.0073666667,14.3084533333,13.208,18.5318333333
243.05,14.8378,12.5959666666,14.5083,11.8710380952,13.2449666667,17.9449333333,14.2035333333,14.38444,13.2546,18.7218333333
243.42,15.3466,13.2725666667,14.9436666667,12.7736047619,13.2912333333,18.4737333333,15.1124666667,15.1084933333,13.7828666667,19.3211666667
243.80,13.1136666667,11.6284666667,12.5692666667,11.1918190476,11.6904333333,16.7431333333,13.3571333333,13.7536066667,11.576,17.9371333333
244.17,10.9270666667,9.68643333333,10.1964,9.85814285714,10.1545666666,14.7848,11.6900333333,11.94398,9.97186666665,16.1750666667
244.55,8.87339999999,8.47303333333,8.21709999999,7.90526666667,8.29623333333,13.0448666667,9.72536666667,9.92748666667,7.71886666666,14.3109333333
244.92,9.25240000001,7.97289999999,8.23426666667,7.9601047619,8.21623333333,12.9550666667,9.09016666667,10.0497266667,7.90986666667,14.0720333333
245.30,8.3956,7.39776666667,7.35913333334,7.15262857143,7.3937,11.9054,8.27523333335,9.35061333333,6.89893333334,12.873
245.67,9.18626666667,8.63063333334,8.70106666667,8.79215714286,8.62293333333,13.0518,9.4561,10.2675933333,8.82619999999,13.6581333333
246.05,9.677,9.60000000001,9.4492,9.74834285715,8.8843,13.7124,9.88053333334,10.7481333333,9.50179999999,14.1475333333
246.42,9.31039999999,9.59776666666,9.26249999999,9.72453809524,8.40043333334,13.8315333333,9.60106666666,10.3333066667,9.41906666666,13.5602
246.79,8.72246666667,9.06793333333,8.45243333333,9.34912380952,7.73803333333,13.3798,9.04183333333,9.64338666666,8.87933333333,12.9470333333
247.17,8.36413333334,8.92443333333,8.47086666667,9.27176190476,7.5153,13.5361333333,8.60953333334,9.39108000001,8.60426666667,13.0611
247.54,7.7854,8.20483333333,7.8642,8.69923809524,7.28946666667,13.023,8.004,8.93465333333,8.08026666667,12.6189333333
247.92,8.77626666667,8.93803333333,8.76173333334,9.50494285712,8.0906,13.8981333333,8.73043333333,9.60034666666,9.14793333333,13.1933333333
248.29,9.30799999999,9.33386666666,9.56126666666,9.89443809525,8.49873333334,14.5392,9.21876666667,9.93581333333,9.59893333334,13.6502
248.67,9.57033333334,9.56773333334,9.98153333333,10.1453904762,8.91053333334,14.8664666667,9.4518,10.18856,9.98373333334,13.6934333333
249.04,9.50773333333,9.6462,9.8805,10.0289761905,8.69426666667,14.4866,9.58983333333,10.1266,9.92040000001,13.4435333333
249.42,9.45773333333,9.68646666667,9.87846666668,9.84543809524,8.6336,14.2816,9.62313333333,10.1765733333,9.86153333333,13.3819666667
249.79,9.35579999999,9.4791,9.71513333333,9.69200476191,8.52956666667,13.9286,9.40210000001,10.1324466667,9.44313333333,13.1766666667
250.17,9.23533333333,9.00193333333,9.54689999999,9.63779999999,8.29576666666,13.6892,9.0519,9.86537333334,9.3468,13.1025333333
250.54,9.81833333333,9.7246,10.3513666667,10.3258952381,9.08906666666,14.3409333333,9.9618,10.6702933333,10.123,13.8663333333
