wavelength,Back_TanMexm,Belly_TanMexm,Breast_TanMexm,Crissum_TanMexm,Crown_TanMexm,DorTail_TanMexm,Patch10_TanMexm,Patch11_TanMexm,Rump_TanMexm,Throat_TanMexm,WingTip_TanMexm
769.44,5.35173333333,66.0244,16.7627333333,55.5273167642,6.00006666667,7.21943333334,6.79933333333,14.0769333333,18.1829333333,16.3344,12.0713333333
769.76,4.8564,65.7515333333,16.1152666667,55.0920729045,5.34613333333,6.67770000001,6.12193333333,13.4344666667,17.6912666667,15.9029333333,11.4900666667
770.07,5.0128,65.9824666667,16.3952666667,55.2365651072,5.45213333333,6.87063333334,6.20253333333,13.588,17.9866,16.0432666667,11.6443333333
770.38,4.56426666667,65.9151666667,15.9696,55.1493783626,5.01926666667,6.51086666667,5.82673333333,13.4443333333,17.7386666667,15.5856,11.4232666667
770.69,4.21133333333,65.1996666667,15.7314,54.8957440546,4.74893333333,6.24866666667,5.62326666667,13.4022666667,17.5678,15.0014666667,11.1532666667
771.00,4.27086666667,64.9182666667,15.8413333333,54.9613226121,4.60553333333,6.19800000001,5.6598,13.5691333333,17.6582666667,15.0678,11.0509333333
771.32,4.67873333333,65.3587,16.1015333333,55.0915756335,4.88973333333,6.23263333333,5.81453333333,13.8036,17.8334,15.2829333333,11.2841333333
771.63,4.7176,65.4250333333,16.3650666667,55.1103750488,4.9712,6.2908,5.9574,13.6962,18.0523333333,15.291,11.2876
771.94,4.6242,65.299,16.3209333333,55.2052009747,4.97826666667,6.23916666667,5.90053333334,13.6955333333,18.0943333333,15.4186666667,11.0898
772.25,4.88886666667,65.2574333333,16.3979333334,55.3162214425,5.34886666667,6.49486666666,6.29613333333,13.9188666667,18.3581333333,15.73,11.0035333333
772.56,5.01606666667,65.4024666667,16.5020666667,55.3384202729,5.22106666667,6.55989999999,6.15673333333,14.2120666667,18.1896666667,15.8220666667,10.8904666667
772.87,5.23786666667,65.1632333333,16.7668,55.1266518518,5.126,6.65086666666,6.32773333333,14.4996,18.28,15.7074666667,10.8721333333
773.18,5.44793333333,65.0070333333,16.9116666667,54.9891385965,5.32753333333,6.80646666667,6.4492,14.6957333333,18.4837333333,15.7309333333,11.2182
773.50,5.76866666667,64.9270666667,16.89,54.8623859649,5.4932,7.03213333333,6.83793333333,14.8776666667,18.8131333333,15.9237333333,11.4516
773.81,5.47673333333,64.6812,16.5248666667,54.7278237817,4.94286666667,6.72883333333,6.42346666667,14.3672,18.6332,15.7051333333,11.0165333333
774.12,5.78146666667,64.6595333333,16.6107333333,54.4894582846,5.28,6.92916666667,6.6724,14.5432,18.6128666667,16.1979333333,11.2960666667
774.43,5.58966666666,64.3760333334,16.3086666667,53.990845809,5.03666666667,6.87830000001,6.54533333333,14.0446,18.3288666667,15.9448666667,11.3677333333
774.74,4.91693333333,63.8696,15.6906666667,53.7690647174,4.37286666667,6.44813333334,5.92126666667,13.3947333333,17.9280666667,15.4649333333,11.0516666667
775.05,5.73313333333,64.1199666667,16.3405333333,54.0314892787,5.08026666667,7.27673333334,6.79066666667,14.2025333333,18.5306,16.045,11.9213333333
775.36,6.1946,64.5112666667,16.8209333333,54.4768863548,5.58333333333,7.78656666667,7.24033333333,14.6254666667,18.9948,16.362,12.5073333333
775.67,6.0996,64.3223333333,16.9098666667,54.5875124757,5.46286666667,7.62713333333,7.06033333333,14.5478666667,18.7659333333,16.3085333333,12.6737333333
775.98,6.37833333333,63.9347333333,16.967,54.4649596491,5.84573333333,7.93946666667,7.35373333333,14.4480666667,18.8596666667,16.2826,12.9518666667
776.30,6.18766666667,63.7384333333,16.8842666667,54.3388452242,6.10046666667,7.93053333333,7.30053333334,14.1636,18.6402666667,16.3372,12.9253333333
776.61,6.01813333333,63.7585666667,16.9294666667,54.3530206628,6.25846666667,7.83033333335,7.56766666666,14.0632666667,18.6612666667,16.3166,12.6584
776.92,5.5644,63.4410666667,16.6326,54.1137990254,6.21593333333,7.38083333333,7.34053333333,13.5650666667,18.2527333333,15.9758666667,12.3511333333
777.23,5.9038,63.5018666667,17.063,54.0451122807,6.63539999999,7.47716666667,7.81946666667,13.8361333333,18.3162,16.1680666667,12.4977333334
