wavelength,Back_TanXacm,Belly_TanXacm,Breast_TanXacm,Crissum_TanXacm,Crown_TanXacm,DorTail_TanXacm,Patch10_TanXacm,Patch11_TanXacm,Patch12_TanXacm,Rump_TanXacm,Throat_TanXacm,WingTip_TanXacm
545.87,50.7892222222,35.5393333333,68.6028888889,17.8781666667,15.951,12.1604444444,81.2883333333,64.6242222222,5.79777777778,73.1033333333,6.21388888889,8.88605555554
546.21,51.0397777778,35.6792222222,68.8975555555,17.9251111111,16.1862222222,12.1673888889,81.5325555556,65.0594444444,5.786,73.3712222222,6.22311111111,8.89872222222
546.55,51.2432222222,35.7874444444,69.1254444445,17.9876666667,16.4164444444,12.1775,81.7092222222,65.4391111111,5.819,73.5523333333,6.25155555556,8.89172222222
546.90,51.4696666667,35.9162222222,69.4071111111,18.0541111111,16.6728888889,12.2030555556,81.8898888889,65.8341111111,5.84,73.7718888889,6.28211111111,8.95722222223
547.24,51.6436666667,36.0205555555,69.6084444444,18.0657777778,16.8671111111,12.1814444445,82.0697777778,66.225,5.84666666667,73.9514444444,6.29844444445,8.97377777777
547.58,51.8868888889,36.1556666666,69.8731111111,18.157,17.1123333333,12.2148888889,82.2875555555,66.6887777778,5.85144444444,74.2198888889,6.31888888889,8.9961111111
547.92,52.0692222222,36.2752222222,70.0685555556,18.241,17.345,12.2019444444,82.445,67.0823333333,5.87322222222,74.3791111111,6.35011111111,9.03066666668
548.27,52.239,36.3733333333,70.2514444445,18.289,17.5803333333,12.2110555556,82.5705555556,67.4553333333,5.88488888889,74.526,6.368,9.06266666667
548.61,52.4253333333,36.49,70.4211111111,18.3549444444,17.8296666667,12.238,82.677,67.8382222222,5.90388888889,74.6881111111,6.40477777778,9.06333333332
548.95,52.5895555556,36.639,70.6811111111,18.4542777778,18.1125555556,12.2487777778,82.8225555556,68.2486666667,5.93755555555,74.9038888889,6.43344444445,9.0883888889
549.29,52.8243333333,36.7782222222,70.8942222222,18.5284444445,18.4022222222,12.2908333333,83.0285555555,68.6737777778,5.96333333333,75.1867777778,6.47144444445,9.13844444444
549.64,53.0183333333,36.8912222222,71.0675555555,18.5633333333,18.6555555556,12.2770555556,83.2162222222,69.0987777778,5.93544444444,75.412,6.453,9.11244444446
549.98,53.1694444444,36.9953333333,71.2394444445,18.636,18.9037777778,12.2966111111,83.3274444444,69.5141111111,5.98255555556,75.6127777778,6.50522222222,9.14205555557
550.32,53.3933333333,37.1426666667,71.4905555555,18.7076111111,19.2341111111,12.3167222222,83.5056666667,69.9554444445,6.01788888889,75.8433333333,6.55533333333,9.2171111111
550.66,53.5528888889,37.2195555556,71.6541111111,18.7102777778,19.4714444444,12.2838888889,83.646,70.3956666667,6.00533333333,76.0277777778,6.55044444444,9.18950000001
551.01,53.8368888889,37.3914444444,71.9456666667,18.8512222222,19.8216666666,12.3312222222,83.8774444444,70.8744444444,6.04388888889,76.3406666667,6.58477777778,9.20783333333
551.35,53.9968888889,37.4312222222,72.0493333333,18.8544444444,20.0381111111,12.3045555555,83.9416666667,71.1686666667,6.04811111111,76.4307777778,6.58888888889,9.20072222222
551.69,54.2151111111,37.5098888889,72.3382222222,18.8838333333,20.2967777778,12.3362222222,84.1076666667,71.569,6.03422222222,76.6592222222,6.55544444444,9.18044444446
552.03,54.4565555556,37.6575555556,72.6067777778,18.95,20.57,12.3789444445,84.3043333333,71.965,6.06911111111,76.9168888889,6.60377777778,9.21977777777
552.38,54.6303333334,37.7163333333,72.9072222222,19.004,20.7986666667,12.3306666667,84.4964444444,72.3616666667,6.05444444445,77.1906666667,6.58688888889,9.2423888889
552.72,54.8155555556,37.7878888889,73.1153333333,19.0196666667,21.0106666666,12.3542777778,84.6371111111,72.734,6.03888888889,77.406,6.59544444444,9.25833333334
553.06,54.9644444445,37.8477777778,73.3155555555,19.0614444444,21.2372222222,12.3687222222,84.7344444445,73.0916666667,6.04622222222,77.5591111111,6.60388888889,9.25283333332
553.40,55.1127777778,37.9134444444,73.4878888889,19.1243888889,21.4614444444,12.386,84.7886666667,73.3875555555,6.06555555556,77.6951111111,6.61733333333,9.28955555556
553.74,55.2774444444,37.968,73.6332222222,19.1670555556,21.6792222222,12.3437777778,84.8802222222,73.653,6.01222222222,77.8053333333,6.58111111111,9.28311111112
554.09,55.3596666667,38.0293333333,73.7526666667,19.1852777778,21.8508888889,12.3191111111,84.9915555556,73.9916666666,5.99,77.959,6.54655555555,9.26694444444
554.43,55.5171111111,38.1726666667,73.9643333333,19.3002222222,22.1022222222,12.3524444444,85.0615555555,74.3342222222,6.055,78.1505555556,6.579,9.30505555556
554.77,55.5881111111,38.2377777778,74.1073333333,19.3311666667,22.3002222222,12.3191111111,85.095,74.6288888889,6.05733333333,78.2215555556,6.583,9.31522222221
555.11,55.7638888889,38.362,74.3301111111,19.3530555556,22.579,12.3285555556,85.195,75.0494444445,6.04144444445,78.4357777778,6.61022222222,9.32955555557
555.45,55.8872222222,38.4534444445,74.4201111111,19.3835555555,22.8357777778,12.3151666667,85.25,75.3941111111,6.03011111111,78.5558888889,6.635,9.31611111112
555.80,55.9788888889,38.488,74.483,19.4212777778,23.0383333333,12.2606666667,85.2197777778,75.7112222222,6.00877777778,78.6564444445,6.61433333333,9.29733333333
556.14,56.0707777778,38.5522222222,74.4357777778,19.4378888889,23.2675555556,12.2788333333,85.1573333333,75.9901111111,6.02355555556,78.6562222222,6.602,9.29633333332
556.48,56.1684444445,38.5582222222,74.4201111111,19.4346666667,23.4585555556,12.1976666667,85.1045555555,76.1936666667,6.00922222222,78.65,6.58044444444,9.24027777778
556.82,56.3166666667,38.675,74.5893333333,19.4802777778,23.6921111111,12.1901111111,85.1884444445,76.5966666667,5.98822222222,78.7934444444,6.54488888889,9.2218888889
557.16,56.4561111111,38.7695555556,74.7175555555,19.5144444445,23.9385555556,12.2057777778,85.1983333333,76.9007777778,6.036,78.8813333333,6.58177777778,9.266
557.50,56.5635555555,38.8371111111,74.8203333333,19.492,24.1984444444,12.2031666667,85.1876666667,77.2616666667,6.06455555556,79.0103333333,6.56733333333,9.27566666668
557.85,56.7087777778,38.8998888889,74.8918888889,19.5266111111,24.4803333333,12.2470555556,85.0956666667,77.5156666667,6.06644444444,79.0688888889,6.59188888889,9.27694444444
558.19,56.8412222222,38.8764444445,75.0154444444,19.5183888889,24.7065555556,12.1937222222,85.1317777778,77.8375555556,5.987,79.1671111111,6.56077777778,9.23
558.53,57.0351111111,38.9668888889,75.14,19.5327777778,24.9534444444,12.2263888889,85.1217777778,78.1417777778,5.97977777778,79.2522222222,6.566,9.23277777778
558.87,57.1442222222,39.0083333333,75.1977777778,19.5825555556,25.1908888889,12.2095,85.0825555555,78.443,5.99211111111,79.2743333333,6.54355555556,9.25522222223
559.21,57.3172222222,39.0797777778,75.3545555556,19.6180555556,25.4093333333,12.1615,85.0793333333,78.8186666667,5.99355555555,79.4215555556,6.52622222222,9.24188888889
559.55,57.4722222222,39.1878888889,75.5452222222,19.6324444445,25.6447777778,12.1713333333,85.1101111111,79.2045555555,5.99033333333,79.5231111111,6.53455555555,9.24144444444
559.89,57.6606666667,39.2931111111,75.7281111111,19.6704444444,25.9082222222,12.185,85.0881111111,79.4388888889,6.01022222222,79.6143333333,6.57566666667,9.27172222221
560.23,57.7885555556,39.4147777778,75.8632222222,19.7401111111,26.1968888889,12.2546666667,85.1035555555,79.8071111111,6.047,79.7567777778,6.60777777778,9.33722222222
560.58,57.8918888889,39.434,75.9022222222,19.7527777778,26.418,12.2171666667,84.9871111111,80.0118888889,6.02433333333,79.7914444444,6.624,9.36422222222
560.92,57.9681111111,39.4735555555,75.9583333333,19.7872222222,26.658,12.1945,84.9415555555,80.315,5.99577777778,79.8456666667,6.589,9.31272222223
561.26,58.068,39.5296666667,75.9996666667,19.8449444445,26.8705555556,12.2211666667,84.792,80.5646666667,5.987,79.8503333333,6.61122222222,9.32088888888
561.60,58.1834444444,39.533,76.0958888889,19.89,27.0738888889,12.1518888889,84.7496666667,80.9254444445,5.96066666667,79.897,6.59755555556,9.31288888888
561.94,58.2863333333,39.6558888889,76.1074444445,19.9185,27.3108888889,12.194,84.6753333334,81.2337777778,6.00411111111,79.9328888889,6.64677777778,9.35527777779
562.28,58.4306666667,39.692,76.2304444444,19.9696666667,27.5647777778,12.1806666667,84.6313333333,81.5661111111,5.99444444444,80.0391111111,6.65744444445,9.37116666668
562.62,58.5601111111,39.7951111111,76.3043333333,20.0226666667,27.8032222222,12.2045555556,84.5563333334,81.8562222222,5.99888888889,80.1307777778,6.66511111111,9.40527777779
