wavelength,Back_HapUnif,Belly_HapUnif,Breast_HapUnif,Crissum_HapUnif,Crown_HapUnif,DorTail_HapUnif,Patch10_HapUnif,Rump_HapUnif,Throat_HapUnif,WingTip_HapUnif
756.93,13.4041333333,35.5369,29.9562,30.7708666667,12.5354,15.9092,20.5656,15.0438333333,25.8654,16.6431333333
757.24,13.6452,35.6396333333,30.0182,31.0403333333,12.9151333333,16.2934666667,20.9325333333,15.5433,26.2520666667,16.8475333333
757.56,14.1462,35.6184666667,30.2903333333,31.4104666667,13.5161333333,16.8707666667,21.4723333333,16.1556666667,26.6176,17.4958666667
757.87,14.6244,36.0585333333,30.7546,32.1203333333,13.9024,17.4098,22.0194666667,16.4828,27.174,18.0846
758.18,14.3434666667,35.5837,30.0339333333,31.533,13.3074,16.8934,21.5282,15.9430333333,26.5824666667,17.6266666667
758.50,14.1418,35.6276,29.8683333333,31.5701333333,13.1871333333,16.7071,21.3248,15.8109666667,26.4394,17.2302666667
758.81,13.7638666667,35.3359333333,29.5726666667,31.4546666667,12.6941333333,16.1969333333,20.9784666667,15.6149,26.3926666667,16.9700666667
759.13,13.7465333333,35.3993333333,29.4615333333,31.6154,12.5882666666,16.0955333333,21.0281333333,15.5328333333,26.3086,17.1076
759.44,13.7760666667,35.1946333333,29.4199333334,31.3588666667,12.5125333333,16.3370666667,20.9921333333,15.7361,26.2304,17.0851333333
759.75,13.7192666667,35.2065666667,29.4998666667,31.3329333333,12.5968666667,16.2710666667,20.7526,15.8273333333,26.1168,16.8484666667
760.07,13.3811333333,34.6476,28.9154,30.7464666667,12.1340666667,15.8596666667,20.4338666666,15.5757,25.7160666667,16.3382
760.38,13.8620666667,35.2365666667,29.3613333333,31.5112,12.8110666667,16.4691,21.013,16.1985333333,26.2367333334,17.006
760.69,14.6928666667,36.1386666667,29.9422666667,32.2425333333,13.5615333333,17.3730666667,21.7785333333,16.9714666667,26.9418,17.9247333334
761.01,14.6593333333,36.2327,29.6823333333,32.1415333333,13.422,17.1173333333,21.7658666667,16.8028,26.7796666667,17.8001333333
761.32,14.8680666667,36.1379666667,29.7836,31.9073333333,13.8106,17.1527666667,21.8766,17.1026666667,26.6755333333,17.9761333333
761.63,15.5037333333,37.0733666667,30.5595333333,32.5626666667,14.7585333333,17.9459333333,22.5073333333,17.9374666667,27.3268,18.6966666667
761.94,16.1634,37.5973666667,31.0624,32.9968666667,15.2706,18.5309,23.1150666667,18.5511,27.8252666667,19.4110666667
762.26,16.8250666667,37.97,31.4860666667,33.3434666667,15.9448,19.2087333333,23.6485333333,19.1484333333,28.2619333333,19.9255333333
762.57,17.1104,37.9536666667,31.3756666667,33.2422,16.1687333333,19.4280333333,23.6636666667,19.2530333333,28.3481333334,19.931
762.88,17.3783333333,38.1977333333,31.3652,33.3355333333,16.5898,19.5808666667,23.9479333333,19.4696,28.5636,19.9762
763.20,17.4854,38.3520333333,31.3656,33.3540666667,16.6712666667,19.7453,24.2289333333,19.5044666667,28.5692666667,20.0792
763.51,17.6002,38.5788,31.5658,33.8082666667,16.808,19.8436333333,24.422,19.6572,28.7144,20.1692
763.82,17.2455333333,38.1651666667,31.2355333334,33.3173333333,16.4492666667,19.4726666667,24.022,19.3354666667,28.3184666666,19.723
764.14,17.041,37.9763333333,31.0326,33.1116,16.327,19.1996666667,23.8022,19.1741,28.0988,19.5287333333
764.45,17.1220666667,38.1642333333,31.2793333333,33.413,16.4929333333,19.5035,23.885,19.2852,28.3427333333,19.6361333333
764.76,17.2237333333,38.5495,31.1790666667,33.6888,16.5394,19.6804666667,23.9889333333,19.413,28.5566666667,19.7549333333
765.07,17.3234666667,38.4337,31.1103333333,33.8019333333,16.3041333333,19.6535666667,24.0972,19.4343666667,28.5283333333,19.8181333333
765.39,17.4559333333,38.4617666667,31.0202666667,33.8084666666,16.4407333333,19.6248666667,24.2211333333,19.5299666667,28.6396,19.9376666667
765.70,17.0764666666,38.1940333333,30.6721333333,33.5519333333,16.0055333333,19.2049666667,23.9972,19.1858333333,28.1146,19.4506666667
766.01,16.7856,38.1693333333,30.7398,33.7628,15.8166,19.1006,23.9512,19.0846666667,27.9634,19.2689333333
766.32,16.367,37.9222333333,30.5547333333,33.6653333333,15.4357333333,18.8735333333,23.6944666667,18.7366333333,27.6103333333,19.1976666667
766.64,16.0159333333,37.3492333333,30.032,33.3556,15.1514666667,18.6921333333,23.263,18.4784666667,27.4322,18.9633333333
766.95,15.8498666667,37.0437666667,29.6278,32.7306666667,14.9440666667,18.5441333333,22.9018,18.2245,27.0619333334,18.8899333333
767.26,16.563,37.3256,30.1206,33.2959333333,15.5917333333,19.3003333333,23.5727333333,18.8589,27.7127333333,19.7316
767.57,16.3520666667,36.9007666666,29.9022,32.8897333333,15.2376666667,18.9814,23.1550666667,18.5656333333,27.3094666667,19.3326
767.88,16.4206,37.1497,30.0217333333,32.9134,15.3238666667,18.9956666667,23.2247333333,18.9052333333,27.3181333333,19.5655333333
