wavelength,Back_ButAurm,Belly_ButAurm,Breast_ButAurm,Crissum_ButAurm,Crown_ButAurm,DorTail_ButAurm,Patch10_ButAurm,Patch11_ButAurm,Patch12_ButAurm,Rump_ButAurm,Throat_ButAurm,WingTip_ButAurm
740.23,38.6409333333,46.2428,42.4492,20.3492666667,9.70153333333,10.6836,10.5206,6.00353333333,27.5662,41.2247333333,9.14326666665,10.3485333333
740.54,38.6432,46.2090666667,42.2542,20.0306,9.59713333333,10.7268666667,10.1085333333,5.51813333333,27.3150666667,41.1388666667,9.21779999999,10.1658666667
740.86,38.4277333333,46.0768666667,41.9316,19.7861333333,9.59326666665,10.7223333333,10.0231333333,5.1016,27.3082,40.7728666667,9.19399999999,10.2098
741.18,38.9072,46.4606666666,42.2552666667,19.837,9.85493333335,10.6413333333,9.98193333334,4.96713333333,27.6640666667,41.2636666667,9.14973333332,10.3491333333
741.49,38.0030666667,46.182,41.7674,19.2845333334,9.12573333334,9.99846666667,9.21353333332,4.3096,27.3057333333,40.4985333333,8.39486666667,9.53593333333
741.81,37.6622,45.7355333333,41.4436666667,19.006,8.73300000001,9.31266666665,8.56293333333,3.87486666667,26.7858666666,40.3553333334,7.93933333333,9.20993333333
742.12,37.7527333333,46.2734,41.5268,19.3740666667,9.03320000001,9.50139999999,8.81006666666,4.1024,26.926,40.706,8.03679999999,9.59306666667
742.44,37.0407333333,45.7840666666,41.1466666667,18.5275333333,8.41780000001,8.60713333333,8.31713333333,3.62733333333,26.4208,40.0856666667,7.102,9.20753333333
742.76,37.3530666667,46.494,41.3666666667,18.2258,7.96119999999,8.24046666667,8.06579999999,3.4152,26.4930666667,40.1813333333,6.62239999999,8.99346666668
743.07,37.3589333333,46.5595333333,41.4728,18.057,7.66793333334,7.66700000001,7.37726666666,3.23566666667,25.945,40.4073333333,6.40713333334,8.77039999999
743.39,37.2194666667,46.2958,41.2362,17.6699333333,7.31,7.4546,6.84980000001,2.65666666667,25.5901333334,40.5054666667,5.99333333334,8.13579999999
743.70,38.2087333333,47.0658,42.459,18.4348666667,7.77506666667,8.05826666667,7.02293333333,3.1252,25.9732,41.279,6.45553333333,8.95446666668
744.02,37.2145333333,46.5978666667,41.9165333333,17.9528,6.98646666666,7.19473333333,6.49453333333,2.57153333333,25.4678,40.7160666667,5.7504,8.51493333335
744.34,36.722,46.0803333333,41.6938,17.8778666666,6.79653333333,6.80520000001,6.08373333334,2.58806666667,25.4050666667,40.443,5.31526666667,8.12006666667
744.65,36.0660666667,45.4474,41.1254,17.3396666667,5.935,6.20186666666,5.38066666667,1.9378,24.4159333333,39.5698666667,4.81293333333,7.45926666668
744.97,36.9642,46.1142,41.5217333333,18.3434,7.14420000001,7.17053333333,6.30333333333,3.07166666667,24.88,40.5350666667,5.93953333333,8.46899999999
745.28,36.9889333333,45.9858666667,41.6171333333,18.2398,7.23406666667,7.047,6.37426666667,3.18926666667,24.8921333333,40.4733333333,5.882,8.69659999999
745.60,36.5000666667,45.3458666667,41.2772666667,17.9827333333,7.3816,7.00286666667,6.23040000001,3.0166,25.052,40.4224,5.94706666667,8.39746666668
745.91,36.3564666667,45.1055333333,41.017,17.9792,7.44986666665,7.27860000001,6.17346666667,2.67373333333,25.3488,40.2968,6.36093333333,8.20806666667
746.23,36.2409333334,44.7156,41.1244666667,18.0168666667,7.30113333333,7.13773333333,5.98679999999,2.31666666667,25.006,40.2504666667,6.32526666667,7.93999999999
746.55,36.313,44.6601333333,40.7958,18.2115333333,7.80973333333,7.40039999999,6.73206666668,2.21213333333,25.5914,40.0354666667,6.58173333333,8.1302
746.86,36.3332666667,44.873,40.8717333333,18.2767333333,8.03220000001,7.1948,6.74699999999,2.2142,25.9693333333,39.9279333333,6.5368,8.27833333333
747.18,35.5911333333,44.2322666667,39.9064,17.5416666667,7.18880000001,6.12579999999,5.73879999999,0.983066666667,25.5300666667,39.2009333333,5.4206,7.20600000001
747.49,35.6029333333,43.6171333333,39.4500666667,17.5274666667,7.4706,6.42793333333,5.75319999999,0.973599999999,25.3660666667,39.0013333334,5.45226666667,7.26246666666
747.81,36.2975333333,43.597,39.6593333334,17.2606,7.75346666667,6.87273333333,6.09686666665,1.1254,25.5296666667,39.0091333333,5.9172,7.71180000001
748.12,36.3618,43.706,39.85,17.7852666667,8.46979999999,7.58879999999,6.8614,1.69426666667,26.318,39.4211333333,6.51166666667,8.2374
748.44,36.7336666666,43.7499333333,40.0402,17.9122666667,8.69466666667,7.71040000001,7.02026666667,1.70113333333,26.7940666667,39.3025333333,6.88453333333,8.3166
748.75,37.2870666667,44.2679333333,40.272,18.2450666667,9.50126666666,8.35846666666,7.33373333332,2.0198,27.478,39.9649333333,7.4324,8.47906666667
749.07,37.402,44.2256666666,40.3229333333,18.3780666666,9.48640000001,8.70700000001,7.21780000001,2.14306666667,27.6453333333,39.981,7.43799999999,8.64680000001
749.38,37.6216666667,44.6604,40.9243333333,18.8352,9.55073333334,8.94553333333,7.49553333335,2.29606666666,27.9685333333,40.4046666667,7.46653333333,8.97846666666
749.70,37.1018,44.879,40.6278,18.7842666667,9.97153333333,9.03579999999,7.47520000001,2.27813333333,28.094,40.0615333333,7.4638,8.96666666667
750.01,37.4968,45.2280666667,41.142,18.933,10.1802666667,9.50860000001,7.45333333335,2.58386666667,28.2136,40.7068,7.7502,9.45293333335
750.33,37.5288666667,45.0523333333,41.1636666667,18.6608,10.414,9.72993333331,7.53153333334,2.54913333333,28.0697333333,40.8518666667,7.83273333334,9.59053333331
750.64,37.8130666667,45.2047333333,42.0703333333,19.5171333333,11.7640666667,11.1384666667,9.04313333332,3.9932,28.9184,41.2704,9.16640000001,10.7181333333
750.96,38.4822,45.8689333333,42.9866666667,19.5736,12.1500666667,11.3961333333,9.21766666666,4.29053333333,29.8018666667,41.7824,9.45526666668,10.9099333333
751.27,37.5326666666,45.6541333333,42.9089333333,19.1617333333,11.3093333333,10.5292,8.25426666667,3.64553333333,29.5074666667,41.6526,8.76933333333,10.0658666667
751.59,36.9848666667,45.1732666667,42.2244666667,18.5994,11.0214,10.0519333333,7.39486666665,3.41006666667,28.7983333333,41.1274666667,8.26340000001,9.83306666667
751.90,36.495,44.5936666667,41.8838,18.0674,10.3163333334,9.51520000001,6.92339999999,3.21626666667,28.4084,41.0224,7.38993333333,9.42599999998
752.22,36.0347333333,43.9462666667,41.5068666667,17.5494,9.2298,8.68493333333,6.3038,2.45533333334,27.7332666667,40.1732666666,6.71493333333,8.65773333333
752.53,35.9991333333,44.0074,41.2201333333,17.0855333333,8.96886666666,8.27159999999,6.25886666667,2.221,27.5848666666,39.6879333333,6.50453333333,8.26526666666
752.85,35.8698,43.6665333333,40.6614,16.6327333333,9.23993333334,8.02653333334,5.9812,2.365,27.3484666667,39.3774666667,6.44346666667,8.22226666666
753.16,35.6348,42.5526,40.3263333334,15.8128666667,8.32453333334,7.27053333333,5.28406666667,1.99,26.9448666667,39.3046666667,5.90606666667,7.65566666667
753.47,35.8255333333,42.7899333333,40.4702,15.9866666667,8.2606,7.20453333333,5.36386666666,1.98846666666,27.2887333333,39.5712666667,6.03806666667,7.35219999999
753.79,36.1782666667,43.206,40.9786,16.7381333334,8.81606666667,7.80879999999,5.75013333333,2.91426666667,27.937,40.0468666667,6.84293333333,8.06200000001
754.10,35.661,42.9720666667,40.1016,15.8918666667,7.81026666667,6.6154,4.46566666667,2.12873333333,26.9363333333,39.4678,6.20233333333,7.45260000001
754.42,35.6656666667,42.9942666667,39.9796,16.1612666667,7.89826666666,6.85286666668,4.82473333334,2.6134,26.8957333333,39.5414,6.55566666667,7.91179999999
754.73,36.692,43.7352,40.3142666667,17.2450666667,8.93973333333,7.75986666667,5.91906666666,3.49946666667,27.5714,40.342,7.67846666667,8.7742
755.05,37.3792,44.1812,40.7042666667,17.5028666667,8.91293333333,8.02079999999,6.16313333333,3.72446666667,27.9024666667,40.9076666667,8.03279999999,8.82486666667
755.36,37.4774,44.4605333333,40.8644,17.7967333333,9.36000000001,8.47433333333,6.41806666667,3.96359999999,28.3032,41.3514,8.62073333334,9.2416
755.67,38.6000666667,45.3593333333,41.8767333333,18.7604666667,10.514,9.69199999999,7.3884,4.86606666667,29.3881333333,42.9990666667,9.738,10.2006666667
755.99,38.8677333333,45.3004666667,42.6538666667,19.0761333333,10.9332666667,10.0755333333,7.84753333334,5.64233333333,29.677,43.6309333333,10.1008666667,10.651
756.30,39.0159333333,45.1084,43.0467333333,19.5538,10.9860666667,10.139,8.16166666666,5.72540000001,29.9618666667,44.0298666667,10.1236,10.6914666667
756.62,40.6281333333,46.6567333333,44.6078,21.3829333333,12.7136,11.6349333333,10.0196666667,7.1118,31.6461333333,45.504,11.9133333333,11.9781333333
756.93,40.7385333333,47.0773333333,45.0248,21.6733333333,12.6534666667,11.65,10.3252666667,7.46766666667,31.7591333333,45.6982666667,12.2432666667,12.0482
757.24,40.3373333333,46.7956,44.7548666667,21.3686666667,12.2424666667,11.2798666667,10.3642666667,7.15193333333,31.5535333333,45.4020666667,11.9910666667,11.4334
757.56,41.0067333333,47.2308666667,45.318,21.9883333333,12.4754666667,11.7030666667,10.9679333333,7.44273333333,32.4779333333,46.399,12.1646666667,11.4806666667
757.87,40.8872,47.0141333333,45.1344,22.296,12.0770666667,11.15,10.6201333333,7.18,32.4255333333,46.7720666667,11.6088,10.9508666667
758.18,40.31,46.6092666667,45.0674,22.1817333334,11.7971333333,10.7909333333,10.4799333333,6.82553333333,32.4582,46.5140666667,11.2519333333,10.4192666667
758.50,40.4323333333,46.7825333333,45.7875333333,22.7487333333,12.5128,11.2178,11.0058666667,7.42613333334,33.2297333333,46.7806666666,11.6774,10.9887333333
758.81,40.6354,47.2304,46.3956666667,23.1729333333,12.2732666667,11.3457333333,11.1008,7.58713333334,33.327,47.1556,11.7092,10.9655333333
759.13,39.6631333333,46.9704,46.072,22.8473333333,11.9359333333,10.8922,10.8250666667,7.33366666667,33.0857333333,46.6537333333,11.0402666667,10.8512
759.44,39.078,46.3378666667,45.2665333333,22.2028666666,11.3015333333,10.0852666667,10.0945333333,6.38373333333,32.3853333334,46.014,10.15,10.2184666667
759.75,39.1036666667,46.4609333333,45.0338,22.0693333333,11.5408,10.5558666667,10.4628666667,6.71760000001,32.4896666667,46.0736,10.2774,10.4538
760.07,38.491,45.9653333333,44.4542666667,20.9668,10.6728666667,10.0921333333,9.60380000001,6.28146666667,31.6697333333,45.5694666667,9.35786666668,9.89886666667
760.38,38.0214,45.4232666667,43.8690666667,21.0953333333,10.6192,10.0757333333,9.50840000001,6.28053333333,31.5686666667,44.9559333333,8.83626666666,9.98566666666
760.69,38.5482,45.5991333333,44.3056666667,21.6726,10.7182,10.2783333333,10.0262,6.57199999999,31.9351333333,45.4896666667,9.0216,10.5876666667
761.01,38.5338666667,45.5493333333,44.5857333333,21.6449333333,10.9506,10.3501333333,10.1103333333,6.69239999999,32.1328,45.1698,9.12293333333,10.7606
761.32,38.0432,45.3026666667,44.6270666667,21.2386666666,10.3819333333,10.0673333333,9.88000000001,6.27233333333,31.6651333334,44.6511333333,9.07886666666,10.5393333333
761.63,38.1773333333,45.2916,44.8787333333,21.1872666667,9.70906666666,9.73566666666,9.87700000002,6.0746,31.3791333333,44.5030666667,8.62253333335,10.4346
761.94,37.8800666667,44.7180666667,44.4758,20.9874666667,9.38419999999,9.56833333333,9.85739999999,5.75560000001,30.8356,44.0162,8.35533333333,10.328
762.26,37.9114,44.3474666667,43.8769333333,20.7576666667,9.17726666667,9.068,9.69493333333,5.30773333333,30.6416,43.5387333334,8.09733333333,10.0464
762.57,38.1976666667,44.2219333333,44.1742,21.2300666667,9.18853333333,9.16406666666,9.96533333335,5.73640000001,30.7464666667,43.4452,8.51846666667,10.2828
762.88,38.6917333333,44.5610666667,44.5255333333,21.8912666667,9.78333333335,9.76193333333,10.6960666667,6.574,31.3418,43.9263333333,9.27226666667,10.7578666667
763.20,38.9106666667,44.7874666667,45.0494666667,21.9337333333,9.30166666667,9.55886666666,10.4818666667,6.28353333333,31.2166666667,44.0584,9.27593333333,10.5025333333
763.51,39.0196666667,44.8780666666,45.3166666667,22.5228666667,9.51926666666,9.72953333333,10.8370666667,6.52179999999,31.6754666667,44.3348666667,9.60833333333,10.8366
763.82,38.6813333333,44.539,45.2584666667,22.0914,9.24206666667,9.34253333333,10.5364666667,6.33393333333,31.3658666667,44.4346,9.55353333333,10.4192
764.14,38.5972666667,44.3436,45.1702666667,22.2098,9.11173333334,9.24019999999,10.0622666667,6.383,31.2445333333,44.5233333333,9.69946666667,10.2137333333
