wavelength,Back_ChlRief,Belly_ChlRief,Breast_ChlRief,Crissum_ChlRief,Crown_ChlRief,DorTail_ChlRief,Patch10_ChlRief,Patch11_ChlRief,Patch12_ChlRief,Rump_ChlRief,Throat_ChlRief,WingTip_ChlRief
308.17,4.13533333333,12.8213333333,8.01413333333,4.33926666666,3.606,4.79333333333,24.9452666667,1.0452,17.8605333334,8.68199999999,1.90926666667,5.12666666667
308.54,4.1502,12.8505333333,8.12373333333,4.38066666666,3.59186666667,4.83413333333,25.2272666667,1.1008,18.1961333333,8.70913333333,1.8976,5.1031
308.90,4.29373333333,13.0205,8.31226666667,4.4336,3.7862,4.94566666667,25.6084666667,1.17486666667,18.5466,8.90886666667,1.93766666667,5.0788
309.27,4.20673333333,12.9393,8.15786666667,4.26473333334,3.60046666666,4.79926666667,25.7440666667,0.973266666665,18.5191333333,8.83573333333,1.733,4.9185
309.64,4.1034,12.8801,8.17493333334,4.21153333334,3.45686666667,4.73986666667,25.9161333333,0.818333333335,18.6692666667,8.7812,1.59646666667,4.84806666667
310.01,4.251,13.1344666667,8.4166,4.36686666667,3.64953333333,4.88033333333,26.2270666667,0.893199999999,19.0049333333,8.95406666667,1.64253333333,5.0381
310.38,4.3334,13.3968,8.522,4.40166666666,3.7108,4.9478,26.5765333333,0.903933333334,19.3624,9.12553333333,1.6506,5.13553333333
310.75,4.31526666667,13.4205,8.4708,4.33933333333,3.6834,4.90693333333,26.5833333333,0.845133333335,19.4714666667,9.17233333334,1.53573333333,4.99066666667
311.12,4.36326666667,13.5171,8.43513333333,4.22613333333,3.67086666667,4.77473333333,26.8769333333,0.770866666668,19.6538,9.31366666667,1.46053333333,4.92573333333
311.49,4.59606666667,13.781,8.64846666667,4.47266666667,3.87446666667,4.99006666667,27.2596,0.972333333332,19.9589333333,9.68833333334,1.69273333333,5.12526666667
311.85,4.67866666667,13.958,8.86266666667,4.61866666667,4.00666666667,5.044,27.5706666667,1.12933333334,20.2306666667,9.83066666667,1.81466666667,5.15733333333
312.22,4.43126666667,13.8863666667,8.74766666667,4.40159999999,3.8356,4.90373333333,27.4572666667,0.999133333333,20.2097333333,9.66820000001,1.622,4.96556666667
312.59,4.33926666667,13.8926666667,8.71426666667,4.32406666666,3.77573333334,4.75113333334,27.5498,0.880600000001,20.2619333333,9.67760000001,1.49513333333,4.7705
312.96,4.18113333333,13.8422,8.57013333333,4.15013333333,3.61166666667,4.53806666667,27.5228,0.625666666668,20.2292,9.60506666666,1.35253333333,4.62816666667
313.33,4.22993333333,14.0222,8.7124,4.12466666667,3.70626666667,4.53146666667,27.7976666666,0.588533333335,20.5395333333,9.69186666666,1.33446666667,4.59423333333
313.70,4.24706666667,14.0456333333,8.6148,4.05966666667,3.72673333333,4.43026666667,27.9649333333,0.464133333334,20.6157333333,9.66320000001,1.19413333333,4.47013333333
314.07,4.26166666667,14.0319666667,8.67126666666,4.10653333333,3.72153333333,4.4246,28.0608666666,0.4734,20.65,9.66053333333,1.2344,4.3296
314.43,4.47873333333,14.1332,8.89193333333,4.21879999999,3.9216,4.54253333333,28.3270666667,0.704933333333,20.8310666667,9.85846666667,1.46453333333,4.43973333333
314.80,4.5594,14.2695666667,8.98793333333,4.22886666667,3.95113333333,4.62646666667,28.6718,0.688066666667,21.0088,9.92339999999,1.56433333333,4.54656666667
315.17,4.53733333333,14.3587666667,9.10240000001,4.34226666667,3.96073333333,4.6896,28.8075333333,0.650266666667,21.2219333333,9.9984,1.5626,4.55936666667
315.54,4.3208,14.1985,8.90759999999,4.13939999999,3.7218,4.47226666667,28.7413333333,0.427600000001,21.0998,9.693,1.2962,4.34676666667
315.91,3.904,13.9488666667,8.50500000001,3.73439999999,3.27826666667,4.17373333333,28.6933333333,-0.0866,20.892,9.40713333333,0.890266666665,3.98136666667
316.28,3.50873333333,13.7479,8.11153333333,3.32646666667,2.8862,3.71013333334,28.5586666667,-0.583133333334,20.6432666667,9.04539999999,0.395599999998,3.5561
