wavelength,Back_DacAlbm,Belly_DacAlbm,Breast_DacAlbm,Crissum_DacAlbm,Crown_DacAlbm,DorTail_DacAlbm,Patch10_DacAlbm,Rump_DacAlbm,Throat_DacAlbm,WingTip_DacAlbm
224.62,-59.6899166667,-57.6550833333,-91.1820833333,-83.5756249999,-67.0542499999,-93.9923333334,-110.36825,-68.0230833333,-93.5078333334,-89.9224166667
225.00,-50.17725,-47.7836666667,-79.5212499999,-72.650625,-58.06725,-77.3935,-94.6808333332,-58.2446666667,-75.7093333333,-77.9256666666
225.38,-56.0860833332,-56.2733333333,-85.3932500002,-78.9325833333,-63.2021666666,-81.1798333333,-99.4381666666,-62.17225,-81.92875,-86.6105
225.75,-64.1762500001,-64.4636666666,-91.6666666667,-87.4522083332,-69.1570000001,-87.0689166666,-107.662833333,-68.7738333333,-87.5479166666,-97.2220833334
226.13,-72.08825,-76.7067500001,-99.3975833333,-101.857333333,-77.5099999999,-98.3935833333,-115.361416666,-77.5100000001,-98.1928333333,-109.1365
226.51,-60.1065833333,-65.1596666667,-83.3334166667,-85.2837499999,-66.7551666667,-81.8262499999,-95.0353333334,-62.1453333334,-82.6241666667,-94.4149166668
226.88,-29.9243333333,-35.8585833333,-46.9065833333,-45.29675,-35.41675,-44.38125,-55.2398333333,-34.659,-46.9065833333,-56.3130833334
227.26,-19.3775,-21.53625,-31.2751666667,-31.5512916667,-23.29325,-28.4135833334,-37.7006666667,-23.745,-29.4176666667,-38.5540833333
227.64,-15.5320833333,-20.8115833333,-25.4363333333,-30.017625,-20.2441666666,-24.3891666667,-35.3404166667,-19.1971666667,-24.651,-34.9040833334
228.01,-15.6249166667,-20.633,-24.1585833333,-30.388625,-19.5113333333,-24.2789166667,-35.5769166667,-18.79,-23.9984166667,-33.9341666667
228.39,-8.64825,-13.7255,-16.9118333333,-22.163875,-12.2199166667,-17.92725,-27.7660833333,-13.3054166667,-17.367,-25.7353333333
228.76,-6.03783333333,-12.5470833333,-13.8364166667,-18.2862083333,-10.8490833333,-16.00625,-24.7171666666,-11.478,-15.3145,-23.8679166667
229.14,-5.70316666668,-12.7954166667,-13.2386666667,-15.9721666667,-11.4656666667,-16.3416666667,-24.7635833333,-11.0815833333,-15.7800833333,-24.0840833333
229.52,-0.707666666667,-7.49491666666,-7.78308333333,-9.42083333334,-7.41616666668,-11.9495833333,-20.1519166667,-6.81341666666,-10.8228333333,-17.8721666667
229.89,4.35191666668,-1.27291666667,-2.73141666667,-4.409875,-2.80091666667,-6.34266666666,-14.16675,-2.61583333333,-4.83783333332,-11.9908333333
230.27,5.27625000001,0.566166666675,-1.42666666667,-3.023,-2.01533333333,-4.80083333333,-13.08875,-1.33608333333,-3.01158333334,-10.643
230.65,4.00908333332,-0.74325,-3.69375,-5.14637499999,-2.99541666667,-6.37391666667,-15.3153333333,-2.81533333334,-3.96399999999,-11.892
231.02,2.75441666666,-2.94100000001,-5.27541666666,-8.42670833334,-5.509,-9.22033333332,-18.0206666667,-3.64141666667,-6.46591666667,-13.6086666667
231.40,1.24741666667,-5.88816666666,-7.73458333334,-10.60375,-7.50991666667,-12.0009166667,-21.1328333333,-5.43916666667,-9.25658333333,-16.7165
231.78,4.83541666666,-2.88075000001,-5.78691666667,-7.07316666668,-4.78400000001,-9.61941666666,-17.6440833333,-3.035,-6.43008333335,-14.5575833333
232.15,8.09141666666,-0.0270000000075,-3.81708333333,-4.35483333334,-1.90858333333,-6.98916666665,-14.51625,-0.215083333333,-3.03766666666,-12.3119166667
232.53,6.55958333333,-1.49208333333,-4.89866666668,-5.67279166667,-4.02583333333,-8.89650000002,-15.0900833333,-0.731999999997,-3.65991666668,-13.37275
232.90,8.52975,1.06616666666,-3.61941666667,-3.77379166667,-1.62741666668,-6.95858333334,-12.4299166667,1.45891666667,-1.79566666666,-10.4658333333
233.28,9.65341666667,2.09008333334,-3.27275,-2.97041666667,0.302666666668,-6.62824999999,-11.90875,1.81524999999,-1.56766666667,-8.80091666668
233.66,8.24866666667,0.985333333325,-5.94025000001,-5.25045833333,-0.788416666665,-8.13616666666,-12.72525,0.872666666658,-3.23758333332,-10.8671666667
234.03,7.31225,-0.662083333333,-5.32558333333,-3.93216666667,-0.745,-8.19525000001,-11.893,2.23516666667,-3.55975000001,-9.87866666668
234.41,9.14308333335,0.313499999993,-3.86616666667,-0.156708333343,1.35850000001,-6.55699999999,-10.0051666667,4.20591666667,-0.522500000007,-6.71366666667
