wavelength,Back_CypHirm,Belly_CypHirm,Breast_CypHirm,Crissum_CypHirm,Crown_CypHirm,DorTail_CypHirm,Patch10_CypHirm,Rump_CypHirm,Throat_CypHirm,WingTip_CypHirm
184.87,-33.3333333333,-16.3218666666,-0.45973333332,9.42533333333,-0.229800000066,87.8161333333,29.6550666667,72.6435333333,118.390733333,37.4711333334
185.25,-149.473733333,-136.842133333,-96.1403333334,-93.6842666667,-90.8771999999,38.9473999999,-54.7368666668,6.66666666668,73.6841333333,-55.4384666667
185.63,-111.794933333,-109.7436,-77.9488000001,-79.2307333333,-82.5640666665,24.6152666666,-35.6410666667,5.6411333334,36.9231333333,-62.8205333333
186.01,-156.969733333,-162.727266667,-137.575866667,-137.2728,-140.909133333,-14.2422666666,-86.9696666668,-35.1516666666,10.3031333334,-120.000133333
186.39,-420.833333333,-505.0,-452.5,-429.166666667,-419.166666667,-100.833333333,-239.166666667,-128.333333333,-13.3333333334,-421.666666667
186.77,-417.333333333,-638.666666667,-592.0,-504.0,-493.333333333,77.3333333334,-257.333333333,-10.6666666668,126.666666667,-525.333333334
187.15,620.0,1197.77786667,1004.44446667,904.444333333,913.3334,-146.666733334,495.555533335,4.4443333342,-184.444533333,946.666733334
187.53,122.898466667,180.000133333,169.855066667,134.492866667,153.043466667,10.4347333335,88.4058000002,26.0868666666,15.0726000001,162.318933333
187.91,133.333466667,166.666733333,190.196066667,129.019533333,179.215733333,-39.6076666667,68.6274666668,-20.0000666667,-26.6666666668,165.882266667
188.29,288.888866667,257.7778,396.666733333,270.000066667,366.666599999,-211.111066667,53.3332666667,-180.000066667,-173.333333333,304.444533333
188.67,-74.2856666668,-63.8095333334,-131.904666667,-102.857133333,-131.428666667,98.0950666667,12.8572,123.809666667,62.3810000001,-138.571466667
189.05,-68.0700666668,-56.8419999999,-112.6316,-91.228,-116.1402,34.3859999999,-5.26299999986,77.1929333333,-4.91220000008,-132.280733333
189.43,13.8211333333,20.6505333333,-3.90233333332,-5.52833333334,-15.1219333334,51.5448666667,36.5853333333,75.935,28.9430666667,-8.94293333334
189.81,-2.54906666666,2.94120000002,-34.9020666667,-27.8432,-45.2940000001,19.8040000001,12.9411333334,68.2351999999,8.2354,-35.4901333334
190.19,8.29266666669,13.0082666667,-15.935,-14.6340666667,-29.2683333333,31.2196666666,23.9024666667,66.9918000001,19.8374,-15.1219333333
190.57,23.0064666667,29.281,8.7582,7.0588,-12.5489333333,43.5294666667,30.0652,64.1829999999,27.1894666667,10.5882
190.95,7.53093333333,17.284,-9.13573333332,-4.32093333333,-27.1604,15.0618,17.1605333334,43.2098,11.3580666667,-4.321
191.33,-5.85013333334,12.245,-39.7278000001,-22.0408,-50.4761999999,-7.34699999998,-7.61906666668,29.2517333335,-11.4285333334,-27.0748666667
191.71,-3.58993333335,8.71780000002,-41.6665333333,-23.3334,-45.2565333333,-6.28219999998,-10.5128,29.3589999999,-8.33326666666,-22.6922
192.09,-25.1162666667,-17.2092666667,-71.3178000001,-48.0621999999,-79.69,-33.4883999999,-32.2480666666,13.3333333333,-35.1937333333,-49.9223333333
192.47,-11.5053333333,-11.7206,-51.7203333334,-28.2795333333,-50.8602000001,-17.7419333333,-18.8172,13.0108,-21.9354,-32.0428666667
192.85,-33.4615333333,-30.1281333333,-78.9744000001,-47.5638666667,-79.7435999999,-32.6922666666,-41.7947999999,-1.02559999994,-39.359,-50.2564666667
193.23,-34.4242666667,-32.1211333333,-85.4545333332,-45.9395333333,-75.7575333335,-33.2122000001,-40.6058666667,-1.33326666654,-35.8786666667,-41.0909333333
193.61,-49.0122666667,-46.7901333333,-108.518533334,-53.0863333333,-94.3210666667,-50.4938666668,-57.9011999999,-16.0494,-52.2221333334,-63.5802
193.99,-14.6491333333,-11.5789333333,-53.5086666667,-17.8070666667,-43.9474,-10.7894666667,-21.1403333333,7.89466666668,-15.2631333333,-25.5262666667
194.37,-26.5700666667,-21.8356666667,-71.6906666667,-32.8500666667,-54.9759333333,-25.1208,-38.2608,0.289733333314,-28.4057333333,-38.2608666667
194.75,-30.5746666666,-22.6437333333,-92.4138666667,-37.931,-57.4713333333,-34.7126666667,-44.7127333333,3.10346666666,-35.6321333334,-50.8046
195.13,-11.4124666667,-11.7515333333,-77.627,-25.1977333333,-36.7231333334,-16.2712666667,-25.9886,17.6272666667,-25.1978,-37.5141333333
195.51,11.401,14.2028666667,-38.6473333333,3.76806666665,-4.15453333333,8.88873333332,5.70053333334,35.4588000001,-1.5458,-6.57
195.89,21.5022,26.385,-23.0986666667,17.1830666667,2.72306666666,19.8122,12.77,42.0657999999,3.75586666665,-2.44126666666
196.27,14.7825333333,21.0628,-34.7827333334,8.79233333333,-7.92273333331,9.27553333334,0.289866666666,30.6279333334,-8.21259999998,-16.7149333333
196.65,16.0656,23.4974,-36.9398666667,7.65026666667,-17.3769333333,8.41540000002,-6.12020000001,28.7431333333,-15.9562666667,-22.6230666667
197.03,24.6948666667,26.1972,-25.2582,15.8686,-5.53986666669,12.3005333333,0.938799999994,29.1079333333,-7.60553333333,-16.7136
197.40,29.8850666667,33.0268666667,-8.65893333334,23.9081333333,3.52499999999,18.3142666667,6.43699999999,33.9463333334,3.065,-11.8006666667
197.78,37.5756,47.5325333333,1.55846666666,35.6708666667,16.4502666666,27.0130666667,14.9784666667,48.0518666667,14.3724,-0.865799999994
198.16,29.2307333333,44.6152666667,-17.564,29.2308,-0.769199999974,11.0256,-8.46153333332,45.7692666666,-9.23073333332,-27.8206666667
198.54,28.1818666667,45.1514666666,-22.5756666666,35.6060666667,-10.9092,-0.757600000086,-10.7576,45.4546000001,-24.0908666667,-36.212
198.92,-5.5914666666,17.2042666667,-67.9569333333,6.66659999993,-61.9356,-49.6773999999,-59.1397333333,13.3334000001,-75.9139333335,-84.9462666666
199.30,-47.9011999999,-4.19753333333,-103.703666667,-29.1358000001,-106.419866667,-106.4198,-108.148333333,-20.9878,-118.0248,-118.0248
199.68,-92.7535333333,-54.2028666667,-162.029066667,-62.0290666667,-159.710133333,-173.623333333,-155.652133333,-67.5361333333,-175.072466667,-186.956533333
200.06,-90.0,-67.5556,-148.000133333,-77.1112,-148.4444,-167.7778,-136.0,-84.2222,-164.888733333,-157.111066667
200.44,-66.6666000001,-52.3809999999,-104.5714,-51.6190666666,-115.4286,-146.6668,-107.4286,-66.0952,-142.6666,-121.523866667
200.82,-373.3334,-319.394,-449.090866666,-283.0304,-495.1516,-673.333333333,-495.7576,-369.090866667,-621.212133333,-506.6666
201.19,-1390.0,-1200.0,-1546.66666667,-1135.0,-1645.0,-2253.33333333,-1741.66666667,-1331.66666667,-2105.0,-1635.0
201.57,1003.33326667,892.222266665,1140.0,887.777733334,1202.2222,1618.88893333,1275.55553333,1016.66666667,1555.55566667,1193.33333333
201.95,375.1852,362.963066667,434.4444,378.5186,460.740866667,611.481533333,475.185133333,411.111133333,610.0,466.296333333
202.33,587.2222,582.222266667,702.222200001,603.333333333,730.555533332,957.777733335,722.222133333,658.333266667,952.222199999,708.333333333
202.71,1338.66666667,1296.0,1569.33333334,1324.0,1660.0,2226.66666667,1689.33333333,1525.33333334,2190.66666667,1638.66666667
203.09,-6326.66666667,-6173.33333334,-7420.00000001,-6246.66666666,-8213.33333334,-10940.0,-8213.33333333,-7293.33333333,-10820.0,-8313.33333333
203.47,3260.0,3110.0,3603.33333333,3006.66666667,4080.0,5436.66666667,4173.33333333,3890.0,5543.33333333,4360.0
203.85,644.242466667,608.484866667,647.878933333,600.606,750.909133333,1026.66653333,833.3332,756.3636,1048.48493333,820.000066668
204.22,523.5898,491.282133333,510.769266667,466.666866666,581.025666667,822.051266666,658.4616,609.743533334,864.615466667,651.794866667
204.60,974.444466667,905.555466666,996.666800002,902.2222,1078.88886667,1592.22213333,1236.66666667,1176.66653333,1655.55553333,1283.33333333
204.98,-625.7142,-573.3334,-706.666600001,-597.142866667,-689.523799999,-1074.2856,-800.000066667,-743.809466667,-1196.19053333,-948.571466666
205.36,-730.666666666,-612.0,-837.333333334,-642.666666666,-824.000000001,-1384.0,-898.666666667,-906.666666667,-1520.0,-1176.0
205.74,314.761933333,273.809533333,332.381,251.428533333,326.190533333,563.333266667,340.952466667,398.0952,583.3334,444.762
206.12,1090.0,898.333333333,1113.33333333,773.333333333,1050.0,1940.0,1181.66666667,1413.33333333,1920.0,1580.0
206.50,251.4816,208.148133333,251.851866666,164.074,242.592533333,468.148133333,282.592466667,325.555533333,437.4074,371.851733333
206.87,281.851733333,230.740733333,277.037,207.4074,262.962933333,526.296266667,300.740733334,354.444333333,472.592466667,383.703666667
207.25,332.083333333,266.666666667,323.333333333,245.416666667,288.75,610.0,336.666666667,417.083333333,540.416666667,420.0
207.63,1029.33333333,795.999999999,985.333333333,726.666666665,889.333333333,1940.0,975.999999999,1220.0,1668.0,1309.33333333
208.01,-352.2222,-247.7778,-357.777666666,-221.111066667,-343.888933333,-729.999933334,-306.6666,-428.333333333,-625.0,-481.111066667
208.39,-602.222133333,-356.666733334,-626.6668,-353.333400001,-606.666666667,-1483.33326667,-521.111066666,-736.666600001,-1078.88893333,-871.111066666
208.77,632.222399999,453.333333333,656.666666667,387.777733333,677.777866666,1537.7776,585.5556,771.111066667,1115.55546667,909.999999999
209.14,-4213.33333333,-2700.0,-3946.66666667,-2433.33333333,-4373.33333333,-9966.66666666,-3833.33333333,-5093.33333333,-6833.33333334,-5586.66666667
209.52,2173.33333333,1403.33333333,1626.66666667,1220.0,2070.0,4913.33333333,1880.0,2586.66666667,3316.66666667,2793.33333333
209.90,1606.66673333,1093.33333333,1071.11113333,1139.99993333,1515.55553333,3302.222,1375.55566667,1831.111,2446.6666,1999.9998
210.28,334.901933333,238.039266667,231.764733333,236.862733333,338.823533333,634.117533333,292.9412,353.725533333,473.3334,381.960666667
210.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.03,429.777733333,318.222266667,276.0,336.000066667,444.888866667,724.000066667,363.555466667,452.8888,601.7778,479.555666667
211.41,256.9048,196.6666,157.857133333,201.4286,250.238133333,407.857,207.619066667,253.8096,337.1428,274.523866667
211.79,227.474666667,181.212266667,142.222333333,181.6162,210.100933333,354.545466667,189.2928,224.848533333,292.9294,233.1314
212.17,204.957266667,166.495866667,125.811866667,164.102533333,179.658,325.299133333,172.820466667,202.3932,256.068266667,202.051266667
212.55,197.124333333,163.7908,122.875733333,155.294066667,174.6404,278.6928,170.849733333,187.189666667,235.947733333,192.679733333
212.92,200.754866667,159.622733333,119.622666667,154.339533333,171.949733333,277.861533333,166.037666667,186.0376,239.622533333,191.949733333
213.30,155.897466667,127.4872,88.3078666667,122.153733333,133.2306,216.410333333,130.051266667,148.1026,191.589933333,144.718
213.68,159.3748,130.833133333,101.458266667,127.187266667,140.624866666,221.041466667,132.604133333,151.041466667,198.853866667,148.854
214.06,166.5498,130.994133333,105.1462,121.403466667,146.198866667,243.040866667,132.982533333,151.228066666,209.7076,151.812733333
214.44,165.084733334,130.056533333,104.632666667,124.180866667,144.7458,236.271133333,130.6214,152.5424,207.6836,151.2994
214.81,170.0,131.282066667,103.205066667,125.769333333,144.230733333,247.307733333,130.641,155.640933333,215.512733333,154.743666667
215.19,243.125,181.875,134.791666667,170.416666667,197.5,377.083333333,186.875,216.458333333,317.916666667,230.0
215.57,236.6666,164.444533333,126.444466667,163.1112,200.2222,381.3334,176.444466667,212.666733333,325.333333333,219.777933333
215.95,201.6092,134.4828,97.2414666666,123.218266667,188.7356,364.597733333,145.057466667,186.436733334,303.6782,200.459866667
216.32,258.2608,180.869533333,139.130533333,176.811666667,245.507266667,453.333333333,185.507333333,237.6812,404.637733333,253.333266667
216.70,725.714333333,479.047733333,346.666733333,460.952333334,635.238000001,1330.47613333,457.1428,661.904800001,1208.57133333,672.381
217.08,454.5456,296.9696,216.9696,270.303133333,403.636333333,836.969733333,289.0908,436.969666667,768.484733333,399.393933333
217.46,409.523933333,298.571466667,220.4762,284.762,391.4286,722.857133333,276.190466667,370.476133333,650.476266666,395.714533333
217.83,1053.33333333,711.999999999,460.000000001,649.333333334,950.666666666,1952.0,707.999999999,917.333333334,1701.33333333,1076.0
218.21,-583.809533333,-415.238,-181.904866666,-320.000066667,-516.190400001,-1250.4762,-402.8572,-568.571466667,-1055.23806667,-695.238133333
218.59,-96.7999999999,-45.3333333334,16.8000000002,-11.4666666666,-50.9333333333,-272.8,-40.8,-91.7333333335,-224.0,-117.6
218.97,-196.190466667,-111.904733333,-4.76186666654,-46.6666666666,-119.999933333,-519.5238,-92.8570666666,-189.999933333,-424.761866667,-239.999933333
219.34,-95.4545999998,-37.5758666667,24.5454666667,13.3334,-28.7880666667,-289.393866667,-31.5151999999,-92.4242000001,-230.302866667,-113.3334
219.72,-97.8570666667,-56.9047333333,-14.0476666666,-1.1905333332,-35.9524,-246.666666667,-69.5238,-100.714333334,-197.619066667,-125.238266667
220.10,-113.563333333,-67.8161333334,-22.7587333335,-14.7127333333,-45.9770000001,-237.931,-82.2987333333,-104.8276,-199.310333333,-130.3448
220.47,-147.666666667,-71.9999999999,-0.99999999994,29.0000000001,-59.3333333333,-315.0,-97.6666666667,-135.333333333,-256.0,-170.666666667
220.85,-254.8718,-154.8718,-53.3332666667,6.66666600045e-05,-150.769333333,-527.179466667,-191.282,-253.333333333,-414.359133333,-291.794933333
221.23,-142.777733333,-91.6666666667,-37.5001333333,-17.2221333334,-83.8888666667,-276.944466667,-105.5556,-139.444466667,-218.333333333,-152.777733333
221.61,-123.466666667,-62.4000000001,-22.9333333334,18.1333333332,-55.4666666667,-250.933333333,-82.9333333335,-139.733333333,-187.2,-121.6
221.98,-492.380933333,-356.1904,-157.142933333,-11.4287333332,-298.095333333,-983.8094,-366.666533333,-608.5714,-712.380933334,-460.952333334
222.36,1526.66666667,1059.99993333,671.111133333,286.666533334,1048.88886667,2531.11106667,1166.66653333,1742.22213333,1966.66673333,1260.00006667
222.74,981.333333334,745.333333333,482.666666668,349.333333333,781.333333333,1593.33333333,789.333333333,1089.33333333,1237.33333333,949.333333333
223.11,444.444466667,356.1112,217.7778,163.888866667,341.111066667,671.111133333,363.888933333,460.555666667,533.333266667,406.666866667
223.49,188.686866667,158.989933333,109.090933333,87.6767999999,159.191866667,270.101133333,154.7474,197.373866667,218.585866667,171.1112
223.87,245.641066667,213.0768,132.820466667,126.153866667,225.8974,344.359,180.512733333,252.564,286.410333333,220.7692
224.24,314.285666667,276.825466667,168.2538,169.5238,295.873066667,438.4128,230.476133333,319.682533333,370.793733333,288.254
224.62,608.0,547.333333333,299.333333333,306.0,554.666666667,843.333333333,425.333333333,589.333333333,711.333333333,574.666666667
225.00,5133.33333333,4293.33333333,2160.0,1973.33333333,4360.0,7266.66666667,3113.33333333,4960.0,6346.66666667,5000.0
225.38,-556.666666667,-479.166666667,-215.0,-157.5,-475.833333333,-789.166666667,-335.0,-537.5,-723.333333333,-563.333333333
225.75,-178.260866667,-158.260866667,-51.8839999999,-36.8117333334,-155.072533333,-224.9274,-106.956666667,-151.304266667,-232.463733333,-187.826133333
226.13,-54.1519333333,-43.0408666666,0.35093333342,4.67833333332,-42.2222,-58.4795333333,-26.0819333333,-40.1170666667,-73.5671999999,-54.0350666666
226.51,-36.2771333333,-29.2641333333,6.40686666668,6.3204,-31.2554666667,-34.6321333333,-12.9870666667,-23.723,-44.5887333333,-37.6622666667
226.88,-26.4584,-26.8055333333,2.36106666666,6.3888,-28.0554,-27.2918,-10.0694666666,-23.1249333333,-35.2777333333,-26.9444
227.26,-14.2546,-18.2654666667,3.25206666668,7.64226666666,-22.5472666667,-19.0784666667,-3.73993333332,-18.2655333333,-23.0894666667,-17.7777333333
227.64,-8.37713333334,-13.3772,3.99133333334,9.29826666666,-18.3334,-13.3333333333,-0.3508,-12.807,-16.0088666666,-14.386
228.01,-3.46813333333,-11.0982,3.73799999999,10.9440666667,-14.5664666667,-10.7515333333,-0.578,-9.94213333332,-11.5221333333,-9.90366666666
228.39,-0.5474,-6.11920000001,4.9276,9.75853333333,-9.21093333333,-6.95673333334,1.96453333333,-7.11746666665,-5.92593333333,-5.31400000001
228.76,-1.92526666665,-6.12059999999,2.67246666667,6.43666666666,-9.4828,-8.50586666667,0.02873333334,-8.44839999999,-6.26446666665,-4.6264
229.14,-1.92300000001,-6.33340000001,2.02546666667,5.48719999999,-10.1795333333,-7.97433333333,-0.128199999998,-6.69226666667,-5.61539999999,-3.69233333334
229.52,-4.58333333333,-7.86773333333,0.955800000008,2.8676,-12.5244666667,-11.3479333333,-2.57346666667,-7.91659999999,-7.47546666665,-6.27439999999
229.89,-4.8966,-7.88513333333,-0.873599999994,1.4482,-12.138,-13.6320666667,-2.48273333333,-7.67820000001,-8.27573333331,-7.24133333333
230.27,-10.6992666667,-13.5898,-7.34259999999,-4.52226666667,-18.3216666667,-21.6783333333,-7.20266666667,-14.0793333333,-14.5220666667,-13.6830666667
230.65,-11.6838666667,-14.8912,-10.7445333333,-7.21653333335,-18.6942,-24.4672,-8.63673333333,-15.3952,-16.6322,-15.5785333333
231.02,-13.7470666667,-15.1036,-11.7240666667,-7.74733333333,-19.1034666667,-25.4023333333,-9.54026666668,-14.6666,-17.2644666667,-15.7471333333
231.40,-10.3366666667,-10.0326,-7.55700000001,-3.27893333333,-13.9848,-20.4344666667,-4.58206666667,-9.16393333334,-12.1824,-11.0964666667
231.78,-10.8038,-9.60346666667,-7.90986666665,-4.67306666667,-12.9474,-20.3644,-3.30120000001,-8.06,-11.8758,-10.4394666667
232.15,-12.9581333333,-9.33759999999,-8.63126666666,-5.91606666666,-12.9802,-21.6117333333,-2.98013333334,-7.54973333333,-12.5607333333,-12.2736666667
232.53,-16.7370666667,-13.7323333333,-13.7324,-8.56819999999,-17.1595333333,-25.7278,-6.99533333333,-10.6573333333,-15.892,-16.9717333333
232.90,-19.4485333333,-15.1558,-16.6906666666,-10.5276,-20.2636666667,-27.7698,-9.85613333333,-12.5180666667,-18.0096,-20.1439333333
233.28,-19.22,-12.5532,-15.201,-10.2600666667,-18.2743333333,-24.1844,-10.331,-11.4892,-15.5793333333,-19.2671333333
233.66,-15.5411333333,-9.09286666667,-12.2842666667,-7.38813333333,-13.9453333334,-18.8415333333,-7.62840000001,-7.0384,-10.6448,-15.0164666667
234.03,-12.5878,-6.32593333334,-9.79773333333,-5.17573333334,-11.1608,-13.7594666667,-5.6018,-5.21840000001,-7.51859999999,-12.4175333333
234.41,-6.75013333332,-0.729266666667,-5.31260000001,-0.083333333328,-6.20853333333,-6.47919999999,-0.458333333333,0.958266666668,-2.43766666666,-8.49999999999
234.78,-4.63753333333,0.165599999999,-3.14693333333,2.21533333334,-5.73499999999,-2.36026666667,0.993800000001,3.0642,-1.263,-6.52166666666
235.16,-1.27453333334,2.68633333333,-0.509799999994,4.5294,-3.35293333334,0.54906666666,3.54893333333,4.9608,0.176400000001,-3.6666
235.54,-5.18966666667,-0.123066666665,-3.65113333334,1.0052,-6.07193333333,-1.35399999999,-0.041,1.354,-4.12299999999,-6.8514
235.91,-5.6024,1.20473333333,-3.012,1.5864,-5.72293333333,-0.9438,-2.0282,1.18486666667,-4.47793333333,-6.96766666667
236.29,-1.53693333333,4.49573333333,0.268999999998,5.80206666666,-2.3246,3.55433333333,1.46006666667,3.61206666667,-0.845400000007,-2.57446666667
236.66,-0.335399999999,5.9764,2.16966666667,6.17360000001,-2.48506666666,4.83233333334,2.8402,4.97033333333,-1.06506666666,-1.65673333333
237.04,3.27753333333,7.41160000001,5.43773333333,8.4172,0.167666666674,8.52886666667,7.24400000001,8.11913333333,1.97393333333,1.89959999999
237.41,3.42846666667,6.83813333333,5.02860000001,8.30480000001,-0.780933333335,6.95240000001,7.56186666667,7.61893333333,0.628533333333,1.31426666666
237.79,5.00953333333,8.19053333333,6.15233333333,11.0667333333,0.209533333333,8.43813333334,9.06659999999,8.41899999999,0.819200000001,2.79993333333
238.17,5.41073333333,9.19653333333,6.05706666667,11.3572,-6.66666668e-05,8.31019999999,9.71346666667,9.06733333332,1.20033333333,4.33973333335
238.54,1.08433333333,4.83566666666,2.542,6.48879999999,-4.07113333333,3.60913333333,5.40446666667,4.64006666667,-2.8088,1.68873333333
238.92,1.14886666667,6.4888,3.85113333333,6.61813333333,-2.37846666667,2.91253333332,5.58253333333,5.0162,-1.81226666667,3.4628
239.29,1.9548,7.5128,4.98906666667,7.48353333333,-0.962933333334,4.46379999999,6.25826666667,6.08306666667,0.0729333333332,4.9744
239.67,2.48206666667,7.0954,4.9252,7.00473333333,-0.272933333333,4.82139999999,6.25079999999,6.52366666667,0.974666666667,4.73046666667
240.04,4.14933333333,7.88520000001,5.96553333333,8.19533333333,1.80466666667,6.86206666667,7.83919999999,7.73559999999,2.86213333333,6.4022
240.42,4.75893333333,8.06753333334,6.37846666667,7.77946666667,2.7522,7.03426666667,7.53120000001,8.51466666668,3.7258,6.5176
240.79,4.14153333333,7.48786666667,5.88026666667,7.16466666667,3.43386666667,6.71026666667,6.92886666667,8.40553333333,4.36866666667,7.01620000001
241.17,2.7386,6.43186666667,4.5932,5.845,3.01246666667,5.93893333333,5.74346666667,7.19873333333,3.64626666667,6.1738
241.54,2.7112,5.7698,4.34493333333,5.35973333333,3.14906666667,5.84633333334,5.77686666667,6.95186666667,4.12933333333,6.0826
241.92,3.03086666667,5.6648,4.30993333333,4.65673333333,3.47206666667,5.73413333334,6.03026666667,6.94406666667,4.63146666667,5.9106
242.29,3.3334,5.90146666666,4.97386666667,4.9218,4.16806666666,6.03473333333,6.4348,7.3392,5.345,6.3422
242.67,4.66986666667,7.42499999999,6.14833333333,6.33393333333,5.62466666667,7.5832,7.7958,8.7778,6.6992,7.63760000001
243.05,5.184,8.06399999999,6.352,6.86933333333,6.0,8.50133333334,8.29866666667,9.30666666668,7.20533333333,7.952
243.42,4.88233333333,7.90599999999,6.11653333333,6.4636,5.68906666667,7.97006666666,8.10893333333,9.07046666667,6.9176,7.38246666666
243.80,4.05666666667,7.24853333333,5.47113333333,5.7592,4.7558,7.01893333333,7.28573333333,8.26266666667,6.3838,6.8214
244.17,2.77153333333,5.6402,4.13826666667,4.03586666667,2.85786666667,5.55373333333,5.74286666667,6.87733333333,4.81906666667,5.42953333333
244.55,2.02606666667,4.8222,3.5606,3.3252,2.14926666667,5.04146666667,5.1858,6.0518,3.89206666667,4.77953333333
244.92,2.57933333333,4.71193333333,3.8538,3.7166,2.2138,5.41766666667,5.55466666667,6.0268,3.9452,5.02153333333
245.30,2.76506666667,4.60693333333,3.83986666667,3.45173333333,2.07866666667,5.04753333333,5.19893333333,5.7622,3.7074,5.19406666667
245.67,2.9466,4.446,3.7852,3.5028,2.09906666667,5.18913333333,4.9284,5.61506666667,3.45926666667,5.30646666667
246.05,2.67466666667,4.07986666667,3.465,3.07786666667,1.6406,4.93013333333,4.4032,5.16566666667,2.88613333333,5.16166666667
246.42,2.18066666667,3.21946666666,2.658,2.34953333333,0.745199999999,4.23993333333,3.704,4.38326666667,2.09986666667,4.54473333333
246.79,1.855,2.90893333333,2.47573333333,1.9574,0.617199999999,4.0,3.2976,4.19106666667,2.1484,4.5866
247.17,1.5222,2.27533333333,2.17346666666,1.4712,0.416333333335,3.6288,2.952,3.72113333333,1.9352,4.15006666667
247.54,1.79066666667,2.3374,2.28626666667,1.67333333333,0.811266666667,3.99566666667,3.21766666667,3.95966666667,2.16613333333,4.40433333333
247.92,2.62373333333,3.02713333333,3.0126,2.44086666667,1.61373333333,4.83813333333,3.9704,4.7976,2.76306666667,5.04146666667
248.29,3.1508,3.54133333333,3.64046666667,3.12526666667,2.2504,5.3192,4.55773333333,5.34186666667,3.40266666667,5.66453333333
248.67,3.3876,3.77273333333,3.8214,3.36466666667,2.40293333333,5.585,4.7946,5.69073333333,3.7244,6.14733333333
249.04,3.79533333333,4.37526666667,4.08973333333,3.673,2.87133333333,6.0164,5.1828,6.1886,4.15693333333,6.44226666666
249.42,3.94546666667,4.69086666667,4.32566666667,3.98826666667,3.1048,6.30473333333,5.59606666667,6.60226666667,4.5252,6.52553333333
249.79,4.11093333334,4.95413333333,4.4258,4.07486666666,3.1692,6.40086666667,6.0006,6.96193333333,4.65213333333,6.52886666667
250.17,4.21786666667,5.21453333333,4.7518,4.5738,3.47393333333,6.7592,6.45306666667,7.35706666667,5.06146666667,6.65953333333
250.54,4.3386,5.47193333333,5.1732,4.79033333333,3.83686666666,7.0496,6.77006666667,7.91886666667,5.26913333333,6.636
250.92,4.67226666667,5.6494,5.545,5.13873333333,4.04113333333,7.1532,7.2256,8.18653333333,5.36793333333,6.61026666667
251.29,5.1964,6.0828,5.99873333333,5.75926666667,4.49913333333,7.41446666667,7.81346666667,8.85940000001,5.74673333333,7.30533333334
251.66,5.1172,6.0678,5.9244,5.69006666667,4.2796,7.08773333333,7.639,8.73253333334,5.76386666667,7.13973333333
252.04,4.62393333333,5.57193333333,5.19366666666,4.8598,3.5604,6.324,7.30313333333,8.20633333334,5.17133333333,6.6578
252.41,4.47966666667,5.4492,4.62213333333,4.4106,3.37693333333,6.08326666667,7.25013333333,8.1554,4.96213333333,6.29446666667
