wavelength,Back_HemXanf,Belly_HemXanf,Breast_HemXanf,Crissum_HemXanf,Crown_HemXanf,DorTail_HemXanf,Rump_HemXanf,Throat_HemXanf,WingTip_HemXanf
188.29,-144.285733333,-156.1904,-292.381,-160.476066667,-268.5714,-143.809533333,-110.0,-126.190466667,-155.2382
188.67,-160.000066667,-140.0,-263.111133333,-147.999933333,-238.222266667,-136.4444,-99.9999333334,-127.111066667,-144.888866667
189.05,-200.889,-172.444466667,-311.5556,-203.555533333,-274.222266667,-174.222266667,-154.666666666,-167.5556,-191.555533333
189.43,-829.333333333,-722.666666667,-1112.0,-818.666666667,-998.666666667,-736.000000001,-706.666666667,-701.333333334,-745.333333333
189.81,1129.33333333,1013.33333333,1328.0,1108.0,1280.0,999.999999999,981.333333332,909.333333332,981.333333334
190.19,3180.0,2726.66666667,3526.66666667,3143.33333333,3470.0,2720.0,2686.66666667,2426.66666667,2536.66666667
190.57,-296.4706,-237.255,-346.666466667,-298.823533333,-324.313733333,-225.882466667,-221.5686,-184.3138,-203.137333333
190.95,-172.5926,-124.197666667,-194.320933333,-143.703666667,-165.926066667,-121.7282,-113.580133333,-99.5062000001,-88.1482666666
191.33,-93.3333999999,-56.4101333333,-99.6582000001,-63.9315333334,-74.5300000001,-62.5639999999,-50.0854666666,-34.7009333333,-29.0597333333
191.71,-124.629666667,-80.7408,-135.740666667,-92.963,-107.037133333,-88.1480000001,-79.8148666666,-54.6296000001,-47.0371333333
192.09,-157.011466667,-129.1954,-191.724266667,-128.7356,-160.229933333,-128.735466667,-126.896466667,-95.1723333331,-74.2528666667
192.47,-131.852,-103.148066667,-152.037,-102.407333333,-137.5926,-103.333266667,-101.296333333,-76.1110666667,-64.6295333334
192.85,-145.263133333,-122.456066667,-161.228066667,-119.8246,-154.912266667,-120.0,-116.1404,-92.6315333333,-77.7192666667
193.23,-92.9630000001,-75.3086666666,-95.5554666667,-71.7284666667,-97.6544666668,-70.4939333334,-68.7654666667,-56.4197333333,-43.9507333333
193.61,-67.7966,-51.4124000001,-69.4914666667,-48.3614666667,-69.8305333333,-49.1526666666,-40.791,-29.7176,-30.8473333333
193.99,-63.1036,-51.8390000001,-71.2643333334,-46.5518000001,-68.2758666667,-49.1954666668,-37.931,-27.5861333333,-30.6897333333
194.37,-62.3530666666,-55.9478666668,-71.2418666667,-44.8365333334,-72.6795333333,-51.5032666667,-31.5032666667,-21.1765333333,-30.7189333333
194.75,-50.4302666667,-38.9248,-54.4085333333,-35.5913999999,-57.4194,-39.0322666667,-23.2258,-16.8818666667,-23.6559333333
195.13,-50.5376666667,-37.2043333333,-55.1612666667,-38.6020000001,-62.2581333333,-32.3655999999,-25.2688,-15.3762666667,-27.4193333334
195.51,-58.3333333333,-43.2142666666,-66.4285333333,-46.9046666667,-73.0951999999,-37.5000666667,-23.6904,-19.7619333333,-35.0000000001
195.89,-21.9792666667,-11.6666,-30.729,-11.5624,-37.5,-10.1040666667,6.66666666665,6.14586666667,-5.31240000001
196.27,-22.587,-5.97033333331,-31.1443333333,-7.46273333332,-30.5472,-7.76120000001,8.45773333333,11.9404,-6.66666666667
196.65,-8.85433333335,11.4581333334,-22.9167333333,1.66653333333,-14.7916666667,7.18733333333,26.3542666667,32.2916,9.27066666664
197.03,1.95413333334,25.1724666667,-18.6206666667,12.0688,-7.70113333334,18.1608666667,34.2528666667,47.0115333333,16.6666
197.40,8.51053333334,35.3192000001,-17.0212666667,25.9574,-1.98586666666,24.2553333333,55.0354666666,71.7730666667,31.7729333333
197.78,-1.26119999994,32.6126666668,-35.4955333333,14.2341333334,-22.883,14.4143333333,42.8828666666,63.7837333333,27.5674666667
198.16,7.5554666668,42.0001333333,-24.8888000001,14.4443999999,-24.4443333334,23.7776666668,62.2222666667,75.5556666667,47.1110666667
198.54,-15.1109999999,14.4443999999,-47.7779333334,-9.77786666653,-39.5555333333,11.3333333333,46.8889333333,49.5556666665,22.6668
198.92,-65.1281333333,-22.0512666668,-136.410333334,-49.7436666668,-122.051266667,-3.07700000006,71.7948666666,74.8717333335,-1.53846666666
199.30,-18.9333333333,-1.60000000006,-66.6666666667,-26.4000000001,-51.7333333334,-15.2000000001,45.3333333333,38.1333333333,5.60000000006
199.68,-7.04766666672,8.38093333328,-41.7141999999,-16.5713333332,-36.5713333333,-6.85726666668,31.4285999999,32.381,1.1428
200.06,-48.0458666667,-29.8849999999,-90.1148666667,-71.7241999999,-75.1722666667,-37.4712666666,-6.89653333334,-0.45973333346,-41.1494666666
200.44,-12.4325333333,-5.58546666666,-37.2972666667,-35.6758,-35.1351333333,-7.9278666666,17.8379333333,18.7388,-0.360400000014
200.82,-5.52853333334,2.1138,-22.439,-26.8292666666,-25.5284666667,-0.3252,13.4959999999,12.1951333335,8.9432
201.19,4.16666666666,8.05553333333,-0.694399999994,-18.3332666666,-6.94453333326,6.8056,18.3333999999,20.1388000001,15.9722666667
201.57,14.8,20.0,6.53333333333,-11.7333333333,1.20000000006,16.4,22.4,26.9333333333,19.8666666666
201.95,13.0770666667,27.5641333333,13.0769333334,-3.46153333326,9.99993333339,29.1025333333,35.3847333333,37.8206000001,27.8206000001
202.33,0.36353333332,20.0,1.2122,-7.75766666674,0.121200000014,21.9394,27.0303333334,30.9090666667,12.7274
202.71,11.6162,25.3536,10.0000666666,-3.13126666666,9.09079999999,28.6868,23.1313333333,36.7675333334,19.3938666667
203.09,8.23533333332,20.9803333333,9.70593333333,-8.82353333334,4.70579999999,24.2156666667,19.5097333333,36.1765333333,16.7648
203.47,9.10053333336,17.037,13.3334,-9.84126666666,1.90460000001,29.2063333333,22.4338666666,40.6349333333,15.5556666667
203.85,23.5417333333,26.0417333333,24.375,-3.43746666669,16.8751333333,42.6044666667,34.8959333333,49.0625999999,29.2709333333
204.22,34.8484666667,38.7878,37.7777333333,11.818,25.2525333333,52.4242666667,47.8788000001,60.3030000001,37.9798666667
204.60,26.8686,28.7878666667,28.4848666667,-0.10113333332,15.4544,41.9192666667,36.7677999999,50.4040000001,23.3335333333
204.98,29.3506666667,23.5497333333,25.7142,2.59746666667,11.8614,36.0174,36.9698,45.8008666667,20.6060666667
205.36,28.9202,23.7558,19.7184,-1.40839999999,6.00953333332,32.7699333333,40.3755333333,46.0093333333,19.7182666667
205.74,28.2906000001,20.8547333333,21.1965333333,-2.0514,4.87186666666,27.3504,36.4957333333,38.8888666667,18.1196666667
206.12,25.4628666667,12.7776,12.1297333333,-14.4443333333,-3.42593333333,18.2407333333,24.0739333333,28.0556,9.35179999998
206.50,29.8412666667,24.0211333333,11.6402666667,-15.1322,-1.90473333338,20.8466,23.0688666667,31.8519333333,12.1692
206.87,47.5132666666,46.7725333333,29.1005333333,8.78306666666,13.1216666667,32.8042666667,46.5608666667,46.3492,30.1588
207.25,63.0409333333,67.8361333333,39.4152,25.0292666667,23.6257333334,46.4326666667,61.0525333333,57.0760666667,48.8888666667
207.63,65.0000666667,72.8205333334,41.1538666667,26.4103333334,23.8462666667,49.2306666667,62.1796000001,62.5639333334,51.1538
208.01,68.8172,95.0536666666,46.0214000001,24.9464,-1.72060000002,59.785,66.4516666666,75.4838666667,51.8280666667
208.39,48.7179333333,92.5641333335,25.1281999999,-15.1282666668,-25.8973333332,41.7949333333,42.3077333332,59.2308666667,35.641
208.77,90.7247333333,151.3042,60.8695333333,17.9709999999,7.24646666666,92.4638000001,79.7101333335,102.8984,73.9130000001
209.14,118.730066667,195.873,88.2540666667,48.2540666665,36.8255333335,126.984066667,109.841266667,141.587333333,111.4286
209.52,169.523733333,276.1904,108.0952,47.6190666668,52.3809333333,198.0952,138.095133333,195.7142,139.523933333
209.90,162.051133333,282.5642,104.615533333,55.8975333333,61.5383333333,236.410266667,141.538466667,243.589666667,128.717866667
210.28,154.444533333,230.3704,128.518533333,81.1110666667,73.3332666667,204.4444,143.333333333,240.370466667,120.0
210.66,129.487133333,164.102533333,107.692266667,64.3590666667,74.6153333334,148.205133334,126.153933333,185.897466666,96.1538
211.03,194.166666667,217.083333333,148.75,67.0833333333,99.5833333335,207.083333333,167.916666667,278.333333333,128.333333333
211.41,161.052466667,160.350866667,133.6842,51.2281333333,74.7369333332,160.350733334,128.070133333,227.3684,77.1930666666
211.79,198.0,193.0,150.0,85.9999999999,95.9999999999,180.666666667,146.666666667,249.0,102.333333333
212.17,137.222266667,124.074,105.7408,67.4074666666,86.2962666665,115.370466667,104.074066667,164.2592,82.5927333333
212.55,142.7642,119.512066667,107.804733334,85.3658666665,90.7315999999,117.073133333,105.2032,159.3496,86.8292666666
212.92,158.000066667,127.555466667,103.555466667,87.1111999999,81.5556000001,112.6666,102.888933333,176.4444,81.3334000001
213.30,861.666666667,576.666666667,480.000000001,335.0,316.666666667,515.0,348.333333334,976.666666668,253.333333333
213.68,237.083333333,170.833333333,165.833333333,136.25,127.5,155.416666667,118.333333333,275.416666667,92.0833333332
214.06,242.963066667,191.4816,155.555533333,142.962866667,140.0,155.9258,111.8518,247.7778,113.333266667
214.44,146.904733333,127.857133333,85.9524666666,91.6667333333,92.619,95.2381333333,69.5238666665,145.952266667,67.1427999999
214.81,123.247866667,116.239466667,84.6153333333,96.7519999999,87.6922000001,97.2649333334,60.6838666667,125.641,69.9145333333
215.19,102.370333333,104.740666667,73.9258666667,87.8518,74.0739999999,87.8518666665,48.5926666667,107.999933333,57.0370000001
215.57,110.133333333,107.066666667,76.9333333332,86.8000000001,82.0,93.7333333333,58.1333333333,108.933333333,68.7999999999
215.95,101.575733333,94.7879333333,74.5455333333,82.9091333334,83.6364666665,87.8787333334,58.909,100.969733333,71.5151333333
216.32,101.904733333,94.5578666667,67.8909999999,87.7551999999,78.5034666666,79.4558,54.4218,101.4966,66.6664666666
216.70,84.058,75.7971999999,52.4638,74.2028666666,67.6811333333,64.2029333333,40.4348,89.5651333334,52.6086666667
217.08,77.2093333334,64.3410666667,52.2481333334,70.6976666666,69.9224666667,57.5192666667,31.6280000001,84.496,42.0153999999
217.46,71.0202,62.1768666667,50.8844,72.3810000001,61.2245333333,48.1632,31.9727999999,74.2856666667,34.5580000001
217.83,68.6274666667,59.8692666667,49.9347333333,68.1046000001,47.0588666665,40.2614,28.4968,65.2288666667,30.8496
218.21,65.1389333334,55.5555333333,45.8333333333,66.1110666667,42.7778666667,38.0555333333,29.1665333333,61.5277999999,31.1112666667
218.59,94.3435333334,75.7575999999,64.6464666667,97.9799333335,55.3535333333,50.3028,44.8484666666,82.4242666666,50.1010666666
218.97,114.942533334,73.7930666667,84.138,120.0,53.7929999999,52.6438,53.7930666667,90.5748666667,55.1724000001
219.34,112.982533333,83.5088666666,96.6665999999,123.333333333,75.9648666666,62.6316,71.2280666667,98.0701999999,77.8947333333
219.72,88.4684666666,68.2883333333,78.9189333332,111.711733333,56.0361333332,43.7836666667,57.4775333333,83.9639333334,61.6216666666
220.10,70.3029999999,64.6464000001,67.0706666665,92.7272,40.4040666667,19.394,42.0200666666,66.0605333333,39.5958666666
220.47,62.4762,66.4763333334,62.6668666667,85.5237333333,34.6666666667,25.7142666667,43.4285333333,55.8096000001,43.2381333333
220.85,64.0578666667,72.6087333334,65.6522,85.9421333333,40.4347333333,39.855,51.4492666666,58.9856666667,49.7102666667
221.23,73.4782666667,87.2463333333,74.9275999999,84.6376666665,42.4638000001,57.2463333333,67.1014000001,62.4638,61.0143333333
221.61,66.5556666667,84.6666666666,70.7778666668,68.9999333333,46.8889333334,62.4445333333,65.2220666667,59.0000666667,65.0000666667
221.98,61.7778666667,82.7778,68.5556000001,62.6666,44.8888666667,63.3334,61.1109333333,59.8888666667,60.2222
222.36,57.5383999999,73.4358666667,65.1282000001,50.6666666667,40.5128,55.9999333333,56.5127333334,56.3074666667,51.9999333333
222.74,53.8333333333,66.6666666667,63.3333333333,49.6666666667,40.75,53.8333333334,54.1666666666,60.0,53.75
223.11,49.75,65.75,58.1666666667,41.75,40.3333333333,52.0833333333,53.7499999999,59.9166666667,53.4166666667
223.49,41.3332666667,63.8888,53.2220666667,31.1111333333,26.2220666667,48.4443333333,49.9999333334,53.4444,42.5556
223.87,44.8148,70.0,56.5432666667,29.5060666667,30.2469333333,47.0369333333,46.7901333333,54.9383333333,44.3208
224.24,46.3094666666,67.619,51.7857333333,30.4761333333,30.7142666667,46.3094666667,43.9285999999,53.0952,41.3095333333
224.62,48.3077333333,58.564,51.1795333333,22.5641333334,33.4358,39.5896666667,39.3846666666,51.1796,35.077
225.00,43.2143333333,53.8096,51.3096,5.71413333334,25.5952,33.3334,36.1906,42.9762666667,29.6428
225.38,48.4849333333,57.8788,51.4142,21.2122,33.8383333333,36.1614666667,41.8181999999,52.5252666666,41.1112
225.75,45.0704,51.3615333333,45.9154666667,19.906,30.5164666667,29.8592666667,38.9672666667,46.1033333333,35.9623333333
226.13,44.7619333333,47.0634,42.5396666667,21.1110666666,30.7938,25.7936,33.889,38.1744666667,34.6824666667
226.51,44.2353333333,46.9803333333,44.5490666667,26.4314,30.8235333334,25.9608,30.196,37.7254666667,34.5097333333
226.88,29.6124,30.155,28.062,11.3952,13.7984666666,12.093,13.1783333333,17.3643333333,15.1936666667
227.26,19.0653333333,19.1278666667,16.9470666667,6.47979999999,7.10286666667,5.2336,7.04053333335,8.72266666666,10.6543333333
227.64,17.9948666667,16.8922,14.1854,6.01520000001,9.52373333333,7.16799999999,7.26813333331,10.1254666667,14.1354
228.01,16.3374,15.3086,13.1688,7.4486,8.18926666667,9.17706666668,8.76533333334,9.50626666667,12.2222666667
228.39,17.483,15.8504,16.4286,10.1360666667,10.4422,12.3809333333,11.0884666667,12.1088,14.1496
228.76,15.8294666667,16.1034666667,15.0988,12.2372666667,8.85846666665,13.8813333333,10.685,12.1461333333,15.9512
229.14,16.5276666667,16.2498666667,15.3055333333,14.0000666667,10.8889333333,13.0833333333,10.2222,14.6666666667,15.9167333333
229.52,13.4652,12.9118666667,13.1224666667,11.7787333333,9.22273333333,10.4346666667,7.85246666666,11.8050666667,12.3058
229.89,11.6539333333,9.84733333333,10.4326,9.59286666667,7.6082,9.54193333332,6.3358,11.1449333333,10.8650666667
230.27,9.89826666669,8.626,8.26966666667,8.95699999999,6.71760000001,10.0000666667,5.92866666666,10.7634,10.6614
230.65,7.15380000001,7.05120000001,5.0256,6.17946666667,4.35879999999,7.38440000001,4.10246666667,8.28219999999,8.51280000001
231.02,7.9562,8.2482,6.4964,6.37466666667,6.30166666667,8.07786666667,5.20686666666,9.19706666667,10.0244
231.40,7.8326,9.40426666667,7.75653333334,6.59046666667,6.76813333334,8.36506666667,4.99373333333,9.25206666667,9.15093333333
231.78,7.01633333333,9.71286666667,8.88886666667,5.36820000001,6.5668,7.76526666666,4.69399999999,8.63926666667,8.68919999999
232.15,7.98979999999,10.8142,10.0763333333,5.44520000001,7.45540000001,8.0916,5.26726666667,10.2544666667,9.61826666667
232.53,6.85333333333,10.16,8.69333333334,5.19999999999,5.99999999999,8.07999999999,5.2,9.44,9.25333333333
232.90,2.15413333333,5.3566,6.75393333333,1.5138,3.40599999999,4.6288,0.989866666668,5.44393333333,3.98846666667
233.28,-0.786,3.69733333333,4.91999999999,-0.989800000013,1.7176,3.72633333333,-1.92133333333,2.09599999999,2.99846666667
233.66,-0.9686,3.56126666667,5.07126666667,-0.655333333334,1.79493333333,4.67246666667,-2.64946666667,2.16526666666,3.76060000001
234.03,-0.691466666667,3.95573333333,5.44953333334,-0.138266666658,2.51733333334,5.61553333334,-3.31939999999,1.65979999999,3.01513333333
234.41,-0.984533333332,1.80033333333,4.41626666667,-2.2222,1.4344,4.89446666667,-4.05073333333,0.478199999995,1.68766666667
234.78,1.49613333333,2.78213333333,6.06306666666,-0.209933333326,2.57213333333,5.5644,-2.41473333333,1.91593333333,3.80573333333
235.16,1.77613333333,3.08886666667,6.07466666668,1.69873333334,2.98586666666,5.86886666667,-1.67326666667,2.62553333333,4.16973333333
235.54,5.047,6.1972,8.5446,4.41320000001,5.84506666666,8.45060000001,1.07986666667,5.84513333334,7.723
235.91,4.21913333333,5.47786666667,7.99526666667,4.73186666666,3.91613333333,7.9254,-0.139866666668,5.29146666667,6.27033333333
236.29,2.90353333334,4.41373333333,6.43440000001,3.48413333333,2.64813333333,6.82940000001,-0.975600000001,3.06613333333,5.01746666667
236.66,2.4854,4.5528,7.03833333334,3.55393333333,3.2056,5.76080000001,-0.185933333332,3.41460000001,5.06380000001
237.04,3.73339999999,6.57766666667,7.02226666667,3.53346666666,3.1556,6.19993333334,2.02213333333,4.08893333334,6.2222
237.41,4.68366666666,7.2996,6.94093333333,4.24046666667,3.29113333333,6.45566666667,2.384,4.34586666667,6.09713333332
237.79,4.31866666667,6.79239999999,6.35213333333,3.16553333333,1.94973333333,5.42979999999,2.57873333333,2.95593333333,5.19913333333
238.17,5.96706666667,9.58859999999,8.20993333332,5.00006666667,2.86006666667,6.66666666666,5.51453333333,4.0534,7.77780000001
238.54,6.98953333333,11.6240666667,10.1044,7.1414,4.10240000001,7.88233333333,6.4198,4.90026666667,9.70559999999
238.92,5.30433333334,10.1544,9.10073333333,4.90473333333,2.7248,7.30253333333,4.59593333333,3.79653333333,8.51946666666
239.29,3.66493333334,8.01053333333,6.6318,2.4608,0.942333333335,5.82906666667,2.46066666667,1.3262,6.71900000001
239.67,2.22206666667,5.73533333334,4.232,1.74846666667,-0.767866666665,4.6732,0.866199999999,-0.964,5.06533333333
240.04,2.67546666667,5.19166666667,3.16706666667,1.8078,-0.0144666666654,4.81566666667,1.80766666667,-0.3182,5.55306666667
240.42,3.35846666667,5.522,3.7736,2.8554,1.16973333333,6.25173333333,2.1384,1.25773333333,6.83006666666
240.79,0.555533333334,2.7112,0.666666666668,0.0999999999974,-1.63333333333,4.54466666667,-0.8666,-1.19993333333,4.5554
241.17,0.768599999999,2.68973333333,0.874266666667,0.547666666668,-0.835733333333,5.0816,-0.5284,-0.6148,5.07186666667
241.54,1.49326666667,2.9424,1.1418,1.221,-0.333933333333,5.80586666666,0.772866666668,0.404133333333,6.28013333334
241.92,1.11526666667,2.57513333333,0.794199999999,0.858466666666,-0.6096,5.7602,0.280866666667,0.786066666668,5.91253333333
242.29,1.60486666667,2.38206666667,1.12566666667,1.4742,0.399466666667,6.1872,0.609933333333,1.5832,6.4924
242.67,0.4852,0.991533333333,-0.0843333333338,0.471266666667,-0.5204,5.2462,-0.196933333333,0.851066666667,5.68906666667
243.05,0.351600000002,0.744666666665,-0.331000000001,0.682533333333,-0.544666666668,5.4946,0.282733333333,0.958266666667,5.81866666667
243.42,1.2598,1.96993333333,0.824199999999,1.588,0.569533333332,6.6868,1.635,2.3854,7.042
243.80,1.98353333333,2.77946666667,1.83766666667,2.14926666667,1.43953333333,7.36333333333,2.52753333333,3.65526666667,7.8342
244.17,2.1912,3.0146,2.17126666667,2.3506,1.53393333333,7.603,2.324,3.9774,7.895
244.55,1.25826666667,1.871,1.44913333333,1.469,0.7444,6.62053333333,1.71926666667,2.9974,6.91046666667
244.92,2.2264,3.062,2.56306666667,2.35113333333,1.75866666666,7.2966,2.68786666667,3.90393333333,7.81413333333
245.30,1.83833333333,2.81926666667,1.9796,1.8914,1.59746666667,6.50806666667,2.09106666667,3.70046666667,7.724
245.67,1.55,2.77813333333,1.79126666667,1.59306666667,1.39993333333,6.12493333333,1.84493333333,3.5398,7.5462
246.05,2.5196,3.5112,2.4484,2.624,2.363,6.66186666667,2.67606666667,4.17553333333,8.47926666667
246.42,2.06533333334,3.27686666667,2.0784,2.30933333333,1.76906666667,6.3574,2.2484,3.63833333333,7.9346
246.79,2.97073333333,4.10746666667,2.83366666667,3.01793333333,2.5436,7.15673333333,3.0492,4.49533333333,8.49313333333
247.17,3.5598,4.8148,3.23986666667,3.51673333333,2.9162,7.48646666666,3.40166666667,4.8902,8.75579999999
247.54,3.44173333333,4.69446666667,3.108,3.52093333333,2.6812,7.26553333333,3.10786666667,4.729,8.61113333333
247.92,3.21866666667,4.4012,2.717,3.25186666667,2.41173333333,6.9922,2.86333333333,4.37793333333,8.30766666667
248.29,3.1954,4.47806666667,2.79926666667,3.3318,2.41926666667,6.85173333333,3.0654,4.33846666667,8.37146666666
248.67,3.52406666667,4.97913333333,3.065,3.69873333333,2.6188,7.08693333333,3.35273333333,4.71393333334,8.70986666667
249.04,3.66553333334,5.13093333333,3.05453333333,3.8224,2.724,7.01733333333,3.45513333333,4.87746666667,8.79646666667
249.42,4.1346,5.569,3.46826666667,4.34853333333,2.8968,7.34006666667,3.92433333333,5.22186666667,9.10053333333
249.79,4.52246666667,5.99033333333,3.8424,4.84946666667,3.1216,7.62913333333,4.2624,5.50706666667,9.4836
250.17,4.24086666667,6.12906666667,3.8368,4.78673333333,2.90273333334,7.60853333333,4.19253333333,5.42546666667,9.55306666667
250.54,4.125,6.31093333333,3.7606,4.6454,2.854,7.23486666667,4.00346666667,5.5042,9.42526666666
250.92,3.74126666667,6.22606666666,3.4364,4.36933333333,2.30666666667,6.65733333333,3.58186666667,4.9882,9.02020000001
251.29,3.28626666667,6.07686666667,3.28133333333,4.2626,2.23046666667,6.41886666667,3.57386666667,4.81786666667,8.91193333333
251.66,3.5094,6.52386666667,3.331,4.453,2.47893333333,6.69733333333,3.91226666667,5.03446666667,8.93139999999
252.04,3.4494,6.9142,3.40813333333,4.491,2.28413333333,6.8162,4.02173333333,4.98073333333,8.89926666665
252.41,3.94653333333,7.48433333334,3.8994,5.23046666667,2.88786666667,7.63633333333,4.74846666667,5.5294,9.366
252.79,3.50226666667,6.92946666667,3.6848,4.8164,2.4296,7.36933333333,4.24246666667,5.11126666667,8.95146666666
253.16,3.8826,6.9844,4.2058,5.13733333333,2.76786666667,7.85133333333,4.3672,5.342,9.19759999999
253.54,4.0878,7.11113333333,4.6364,5.31693333333,3.30873333333,8.27993333333,4.52126666667,5.56386666667,9.19613333333
253.91,4.0908,6.99773333333,4.8484,5.42086666667,3.69253333333,8.63633333334,4.42766666667,5.66773333334,8.95059999999
254.28,4.96386666667,7.4112,5.52393333333,5.5814,4.3752,9.13133333332,4.8256,6.24533333333,9.16013333335
254.66,5.53173333333,7.86740000001,6.1888,6.1708,5.1374,9.91039999999,5.49586666667,6.92953333333,9.73119999999
255.03,5.14813333333,7.5424,6.04913333333,5.82853333333,5.24266666666,9.69753333334,5.2488,7.0068,9.54640000002
255.41,4.92373333333,7.1636,5.89786666667,5.51366666667,4.83113333333,9.271,4.36713333333,6.6534,9.41666666667
255.78,5.6738,7.63933333333,7.01113333333,5.78866666667,5.43733333333,9.80740000001,4.84293333333,7.18673333334,10.0845333333
256.15,5.2006,6.6876,6.7994,5.0052,5.12386666667,9.26360000001,4.24433333333,6.76440000001,9.79386666668
256.53,4.31893333333,5.57146666667,5.75633333333,3.81233333333,4.38726666667,8.03560000001,2.868,5.85206666667,9.07613333333
256.90,4.54933333333,6.1918,5.82613333334,4.29906666667,4.8124,8.29640000001,3.5224,6.2688,9.66946666666
257.28,4.19166666667,5.76713333333,4.90306666667,3.96833333333,4.18,7.63073333333,3.40966666667,5.90233333333,9.37673333333
257.65,3.8322,5.17493333333,4.3364,3.6574,3.534,7.19146666667,3.43626666667,5.47326666666,9.15119999999
258.02,4.23126666667,5.6548,4.34093333333,3.87653333333,3.57,7.13533333333,3.87206666667,5.44466666667,9.15446666667
258.40,4.1988,5.8032,4.45566666667,4.0982,3.73346666667,7.44846666667,4.2508,5.46433333333,9.27986666668
258.77,3.66426666667,5.23573333333,3.65753333333,3.51013333333,2.9208,7.0956,3.59206666667,4.8264,8.67053333332
259.15,4.06346666667,5.52026666667,3.90953333333,3.93273333333,3.06193333333,7.57220000001,3.88913333333,4.99193333334,9.04939999999
259.52,4.44986666667,5.756,4.05433333334,4.18413333333,3.26833333333,7.91180000001,4.2906,5.14533333333,9.15706666666
259.89,3.96873333333,5.28406666667,3.45533333334,3.83653333333,2.71806666667,7.47886666667,3.85906666667,4.64133333334,8.76426666667
260.27,3.828,5.25806666667,3.3096,3.8568,2.6472,7.41293333333,3.7608,4.53093333333,8.72786666667
260.64,3.48193333333,4.96106666667,2.92526666667,3.39693333333,2.1704,7.14073333333,3.51253333333,4.13066666666,8.40986666667
