wavelength,Back_SalMamf,Belly_SalMamf,Breast_SalMamf,Crissum_SalMamf,Crown_SalMamf,DorTail_SalMamf,Patch10_SalMamf,Patch11_SalMamf,Patch12_SalMamf,Rump_SalMamf,Throat_SalMamf,WingTip_SalMamf
553.40,11.7746666667,33.9638,20.1368,20.3447333333,7.69,8.7366,9.2128,4.83186666667,44.8302666667,10.8256666667,29.2492,8.71946666667
553.74,11.7792,34.0138,20.1490666667,20.3776666667,7.67366666667,8.70963333333,9.21086666667,4.798,44.8654666667,10.8225703704,29.2974,8.71453333333
554.09,11.7852,34.0838,20.1629333333,20.4035333333,7.6712,8.72766666667,9.22680000001,4.801,44.9115333333,10.8278962963,29.3398666667,8.7072
554.43,11.8066666667,34.1398666667,20.1828,20.4566,7.67626666667,8.76196666667,9.24053333333,4.81226666667,44.9457333333,10.8435481481,29.3961333333,8.72486666667
554.77,11.8079333333,34.2124,20.2463333333,20.5424,7.69013333333,8.7717,9.24633333333,4.8142,44.9976,10.8724814815,29.4595333333,8.73786666667
555.11,11.8496,34.3046,20.2922,20.6142666667,7.6978,8.80520000001,9.26693333334,4.83293333333,45.0618666667,10.9045333333,29.5461333333,8.7466
555.45,11.8783333333,34.3636,20.3297333333,20.6722666667,7.7218,8.83333333333,9.27126666668,4.8498,45.1015333333,10.9199185185,29.6112,8.752
555.80,11.8838666667,34.3970666667,20.3537333333,20.6939333333,7.72466666667,8.82933333333,9.2566,4.849,45.1153333333,10.9237407407,29.661,8.75326666667
556.14,11.9229333333,34.4074,20.4018,20.7327333333,7.7788,8.89153333334,9.30079999999,4.90373333333,45.1336,10.9735259259,29.7210666667,8.78506666667
556.48,11.9251333333,34.4166666667,20.4306,20.7693333334,7.79826666667,8.90143333333,9.32093333333,4.90853333333,45.1438,10.9890074074,29.7766666667,8.7746
556.82,11.9722,34.5078666667,20.5391333333,20.866,7.8566,8.94820000001,9.36126666668,4.95353333333,45.2432,11.0456666667,29.8838,8.81946666667
557.16,11.9698666667,34.5101333333,20.5685333333,20.868,7.85786666667,8.95293333333,9.36126666667,4.96233333333,45.2392,11.0479925926,29.9156,8.79453333333
557.50,12.0258666667,34.5612,20.6396666667,20.9342,7.91286666667,9.02326666667,9.39606666668,5.03246666667,45.3078,11.1052740741,30.0322666667,8.82206666667
557.85,12.0978,34.6634,20.7314,21.05,7.99293333333,9.10223333333,9.4444,5.07726666667,45.4055333333,11.1677777778,30.1621333333,8.88413333334
558.19,12.0806666667,34.6826,20.7256,21.0536,7.95853333333,9.08223333334,9.39153333334,5.05553333333,45.4118,11.150762963,30.1987333333,8.86166666667
558.53,12.1033333333,34.7025333333,20.7379333333,21.0615333333,7.92546666667,9.08486666666,9.37499999999,5.044,45.4174666667,11.1490962963,30.2408666667,8.8592
558.87,12.1240666667,34.7254,20.7594,21.0764666667,7.94106666667,9.083,9.39053333333,5.0444,45.4573333333,11.1668,30.326,8.87626666667
559.21,12.1415333333,34.7867333333,20.8225333333,21.1513333333,7.95893333333,9.09890000001,9.42626666667,5.0672,45.4998666667,11.2081703704,30.4198666667,8.93166666667
559.55,12.1664666667,34.8242666667,20.8534,21.2205333333,7.9996,9.14679999999,9.46093333333,5.09613333334,45.5095333333,11.2440962963,30.4896666666,8.9732
559.89,12.1483333333,34.9016666667,20.8738,21.2553333333,7.99286666667,9.12259999999,9.4592,5.06406666667,45.5282666667,11.2379925926,30.5541333333,8.98653333333
560.23,12.1293333333,34.8928,20.8513333333,21.2581333333,7.9524,9.11453333334,9.42653333333,5.03753333333,45.4737333333,11.2135259259,30.5590666667,8.97146666667
560.58,12.1192,34.8858,20.8151333333,21.2537333333,7.92186666667,9.09406666667,9.39913333332,5.00913333333,45.4535333333,11.1966074074,30.5594,8.94653333333
560.92,12.0944,34.888,20.8083333333,21.279,7.89073333333,9.08580000001,9.36213333334,4.95513333333,45.4325333333,11.1609333334,30.5699333333,8.9488
561.26,12.0625333333,34.8972,20.7852666667,21.3103333333,7.86973333333,9.07413333333,9.35226666667,4.92506666667,45.4106666667,11.144037037,30.5755333333,8.94446666667
561.60,12.0007333333,34.8496666667,20.7256666667,21.2865333334,7.79646666667,9.01336666666,9.29779999999,4.86666666667,45.3642666667,11.0979925926,30.5294,8.88646666667
