wavelength,Back_DigMysf,Belly_DigMysf,Breast_DigMysf,Crissum_DigMysf,Crown_DigMysf,DorTail_DigMysf,Patch10_DigMysf,Patch11_DigMysf,Patch12_DigMysf,Rump_DigMysf,Throat_DigMysf,WingTip_DigMysf
304.47,9.44366666665,6.94833333333,8.08293333333,6.47166666667,8.57893333333,10.6960666667,11.9748,6.90033333333,11.1708,9.81288888889,6.66546666667,10.6838666667
304.84,10.0350666667,7.60826666667,8.72933333333,7.1156,9.23180000001,11.2290666667,12.7049333333,7.4846,11.9547666667,10.5203481482,7.31583333333,11.2583333333
305.21,10.4968,8.14086666666,9.22893333333,7.52879999999,9.65133333333,11.6309333334,13.224,7.92706666666,12.3922333333,11.0482592593,7.70983333333,11.8033333333
305.58,10.5594,8.34846666666,9.34880000001,7.626,9.80793333332,11.8183333333,13.4348,8.1334,12.5070333334,11.2837555556,7.88196666667,12.0092
305.95,10.2657333333,8.04666666667,9.1782,7.3422,9.51979999999,11.624,13.2382666667,7.90526666667,12.3372,11.1154518519,7.681,11.7922666667
306.32,10.18,7.94226666666,9.04026666666,7.33786666667,9.21299999999,11.4286666667,13.2618666667,7.75733333333,12.4204,11.0225777778,7.53636666667,11.8060666667
306.69,10.1877333333,7.95813333332,9.10606666667,7.40746666667,9.22719999999,11.4714666667,13.3728666667,7.75806666667,12.5113,11.1189111111,7.55913333333,11.8543333333
307.06,10.1272,7.83733333333,9.07246666666,7.289,9.00079999999,11.3967333333,13.3580666667,7.6474,12.5429666667,11.0362592593,7.45346666666,11.9650666667
307.43,10.1746666667,7.83913333333,9.13386666666,7.42886666666,8.87766666667,11.3814666667,13.3797333333,7.5582,12.4977666667,11.0106592593,7.57543333333,11.9701333333
307.80,9.85813333333,7.72633333333,8.81526666666,7.17126666667,8.683,11.2712666667,13.1555333333,7.32033333333,12.3011666667,10.8535777778,7.40443333333,11.6341333333
308.17,9.17853333333,6.94526666667,8.00273333333,6.4424,7.8706,10.7556,12.5352666667,6.5674,11.7268333333,10.2175111111,6.59586666667,10.8167333333
308.54,9.16973333333,7.03340000001,7.91706666667,6.39553333333,7.84193333333,10.8576,12.5521333333,6.53233333333,11.7355,10.1400296296,6.645,10.755
308.90,9.22206666667,7.07059999999,7.91126666667,6.382,7.737,10.8485333333,12.6272,6.51006666667,11.7422333334,10.1250296296,6.65773333333,10.8396666667
309.27,8.95139999999,6.8162,7.66593333333,6.08593333333,7.55293333333,10.6193333333,12.4771333333,6.23106666667,11.641,9.87865925925,6.56193333333,10.6299333333
309.64,8.73606666666,6.42933333334,7.39086666667,5.7774,7.25066666667,10.2816,12.2563333333,5.9054,11.4494666667,9.55605185185,6.23953333334,10.2135333333
310.01,8.71820000001,6.42766666667,7.4236,5.78826666667,7.42353333334,10.254,12.3672,5.83006666667,11.5117666667,9.59150370371,6.32396666667,10.2162
310.38,8.43166666667,6.34766666667,7.24266666667,5.6276,7.3108,10.0311333333,12.3526,5.61586666667,11.3708666667,9.39811111112,6.09466666667,10.0934666666
310.75,8.24633333333,6.18853333333,6.9382,5.32793333333,7.07206666667,9.76653333333,12.1438,5.32993333333,11.2325666666,9.09198518519,5.7286,9.81446666667
311.12,8.35906666667,6.4312,6.97166666667,5.3996,7.2126,9.74859999999,12.3392,5.441,11.4046666667,9.12842962963,5.78933333333,9.88786666668
311.49,8.3098,6.34773333333,6.94246666667,5.33866666667,7.2444,9.79359999999,12.3822666667,5.46426666667,11.5849333333,9.09082222223,5.6874,9.83126666667
311.85,8.29253333333,6.28026666667,6.8504,5.24693333333,7.1994,9.6896,12.3563333333,5.45146666667,11.5967333333,8.96893333334,5.45326666667,9.72893333334
312.22,8.42693333333,6.39113333334,7.09813333333,5.3664,7.33006666667,9.71193333333,12.5539333333,5.54886666667,11.7726666667,8.97874074073,5.5632,9.86786666667
312.59,8.54013333333,6.40793333333,7.25213333333,5.30886666667,7.38446666667,9.63326666667,12.8061333333,5.59086666666,12.0892333334,9.09382962962,5.71253333333,9.90566666665
312.96,8.57566666667,6.32106666667,7.13946666667,5.1748,7.39986666667,9.42786666666,12.8764666667,5.61973333333,12.2357333333,8.99151851852,5.58603333333,9.88273333333
313.33,8.67839999999,6.50833333333,7.24526666667,5.3412,7.53540000001,9.53919999999,13.1526666667,5.75113333333,12.4788333333,9.08057037037,5.5563,10.0101333333
313.70,8.4624,6.50726666667,7.1114,5.25293333333,7.45133333333,9.43993333334,13.2222666667,5.66393333333,12.4428333333,9.05046666667,5.45213333333,9.95386666666
314.07,8.38073333333,6.47286666667,6.99606666667,5.17006666667,7.2416,9.3626,13.202,5.72126666667,12.4871,8.96145925926,5.18413333333,9.87293333333
314.43,8.70553333333,6.76306666667,7.25653333333,5.45,7.55233333333,9.84113333333,13.5395333334,6.1274,12.8533333333,9.33528148149,5.463,10.1326666667
314.80,8.87926666667,6.935,7.57166666667,5.64753333333,7.69026666667,10.0839333333,13.8406,6.38726666667,13.0763333333,9.57077037036,5.74583333333,10.3788666667
315.17,9.04026666668,6.9314,7.70506666667,5.73313333333,7.85806666666,10.2774,14.0454666667,6.52286666667,13.3687666667,9.78337777779,5.92826666667,10.5100666667
315.54,9.22773333332,7.01940000001,7.69693333334,5.6548,7.9322,10.136,14.2185333333,6.47306666667,13.4093,9.87888148148,5.9879,10.5326666667
315.91,9.54386666666,7.24633333333,8.03773333333,5.89853333333,8.18666666667,10.3492,14.6043333333,6.68066666667,13.8280666667,10.2659925926,6.3954,10.9170666667
316.28,9.48606666668,7.27306666666,8.01306666667,5.8588,8.19573333334,10.3196,14.7313333333,6.72973333333,13.8813333333,10.3861037037,6.38556666667,10.8934
316.64,9.50500000001,7.35320000001,8.00233333333,5.94473333333,8.16466666666,10.314,14.7325333333,6.7584,13.8964333333,10.3560222222,6.2681,10.9301333333
317.01,9.34566666669,7.2808,7.95673333333,5.93426666667,8.03453333334,10.2268666667,14.6185333333,6.5888,13.7537,10.3067333333,6.24036666667,10.8102666667
317.38,9.42093333335,7.45540000001,8.128,6.10306666667,8.06633333333,10.2356,14.6146,6.76606666667,13.8308,10.3405037037,6.29246666667,10.9484
317.75,9.90059999999,7.98353333333,8.64066666667,6.61466666667,8.58860000001,10.6383333333,15.0946,7.17973333333,14.3782666667,10.7719925926,6.8216,11.4587333333
318.12,9.69533333334,7.64520000001,8.35713333333,6.2594,8.3286,10.3475333333,14.9524,6.75,14.2368,10.4995703704,6.63333333333,11.0857333333
318.49,9.72306666667,7.50006666666,8.28073333333,6.10326666667,8.21873333333,10.1408,14.9426666667,6.46366666667,14.2526,10.3912518519,6.61413333333,10.9479333333
318.85,9.84260000001,7.73973333334,8.33633333333,6.30566666667,8.49999999999,10.2081333333,15.2628666667,6.4838,14.5856,10.5991703704,6.76653333333,11.0478
319.22,10.0341333333,8.09099999999,8.48546666667,6.5522,8.69966666665,10.4455333333,15.6246,6.63026666667,14.932,10.8767703704,6.97706666667,11.3221333333
319.59,10.1614666667,8.33886666667,8.5978,6.75786666667,8.83226666667,10.6155333333,15.9058666667,6.77746666667,15.1645,11.1496666667,7.1931,11.5626
319.96,10.0522,8.16753333334,8.38946666666,6.59933333333,8.68353333334,10.5459333333,15.8514,6.61186666667,15.0312333333,10.9520222222,7.03063333333,11.2914
320.32,10.2943333333,8.30326666667,8.48546666666,6.734,8.90213333333,10.7110666667,16.0803333333,6.78646666667,15.2057666667,11.0616814815,7.2005,11.4820666667
320.69,10.2200666667,8.14719999999,8.33393333334,6.62946666667,8.84146666667,10.8075333333,16.1827333333,6.62186666667,15.2196333333,10.9042740741,7.112,11.4370666667
321.06,10.1678666667,7.96860000001,8.32406666666,6.49786666667,8.75386666667,10.9107333333,16.3200666667,6.54733333333,15.3163,10.8676666667,6.9761,11.3554666667
321.43,10.3013333333,7.895,8.35573333333,6.44506666666,8.86906666667,11.0388666667,16.6591333333,6.47726666667,15.6264333333,11.0109185185,6.9942,11.2880666667
321.80,10.6766666667,7.99506666666,8.59853333333,6.55533333333,9.05386666665,11.29,16.9301333333,6.6246,16.0605333333,11.2028296296,7.09216666667,11.3815333333
322.16,11.1031333333,8.41053333334,9.00153333335,7.11166666667,9.55866666666,11.7038666667,17.3756,7.0364,16.6193333333,11.6245555556,7.51066666667,11.8642666667
322.53,11.2397333333,8.5484,9.23666666667,7.36446666667,9.63200000001,11.6754666666,17.5014666667,7.26693333333,16.8833666667,11.7062296296,7.63616666667,11.9804
322.90,11.3738,8.45899999999,9.28866666666,7.33833333333,9.46773333333,11.5922666667,17.5081333333,7.3316,16.8979666667,11.5533481481,7.60583333333,12.0339333333
323.27,11.2042666667,8.15819999999,9.18773333333,7.14206666667,9.27559999999,11.4047333334,17.4113333333,7.1534,16.6645333333,11.3443259259,7.41016666667,11.7134
323.63,11.1539333333,8.02659999999,9.28413333333,7.18326666667,9.24259999999,11.3240666667,17.3193333333,7.20066666667,16.7297666667,11.3357851852,7.41093333333,11.6399333333
324.00,11.1146,7.97473333334,9.3186,7.19493333333,9.18546666666,11.1632,17.4642666667,7.1696,16.7743666667,11.2163407408,7.364,11.6936666667
324.37,11.0784,7.96846666666,9.27433333334,7.14653333333,9.11239999999,11.0537333333,17.3902,7.13413333333,16.7271333333,11.0501481481,7.40566666667,11.5211333333
324.74,10.7376666667,7.6582,9.00653333333,6.76946666667,8.77073333333,10.514,17.1403333333,6.82986666667,16.3947,10.711762963,7.18963333333,11.1728
325.10,10.5194666667,7.563,8.8018,6.68846666667,8.56439999999,10.1474666667,17.095,6.64286666667,16.2303333333,10.4719481481,7.10506666667,11.026
325.47,10.1503333333,7.21966666667,8.5202,6.41813333333,8.14246666667,9.72073333333,16.786,6.3834,15.8922666667,10.2195925926,6.814,10.6511333333
