wavelength,Back_CamHelf,Belly_CamHelf,Breast_CamHelf,Crissum_CamHelf,Crown_CamHelf,DorTail_CamHelf,Rump_CamHelf,Throat_CamHelf,WingTip_CamHelf
577.58,12.3362,29.0110666667,20.3754,29.5593,9.56159999999,11.4092974359,13.9198333333,22.3895,11.9634782609
577.92,12.3901333333,29.0913333333,20.4369333333,29.6051,9.58833333334,11.4426179487,13.9496666667,22.4420666667,12.0085043478
578.26,12.4286,29.1639333333,20.4831,29.6595333333,9.65433333333,11.4987153846,14.0145,22.4846333333,12.0551768116
578.60,12.4398,29.1694666666,20.5035333333,29.6778,9.66573333332,11.4842282051,14.0109,22.5108,12.0602492754
578.94,12.4474666667,29.2232,20.5234,29.7001666667,9.69019999999,11.5217051282,14.0434,22.5616333333,12.0800144928
579.28,12.4376,29.2089333333,20.5538333333,29.7258,9.67806666667,11.5092487179,14.0402333333,22.5492333333,12.0748521739
579.61,12.4342666667,29.1894666667,20.5493333333,29.7149666667,9.67753333332,11.5189435897,14.0290666667,22.5409,12.0789797101
579.95,12.4232,29.2138,20.5320666667,29.7703666667,9.67073333334,11.5032666667,14.0223,22.5598,12.0575362319
580.29,12.4323333333,29.2746666667,20.5982666667,29.8095333333,9.6816,11.5426923077,14.0697333333,22.5627,12.0904318841
580.63,12.4322666667,29.2882666667,20.5937666667,29.82,9.68766666667,11.5377666667,14.0746333333,22.5741666667,12.104057971
580.97,12.4392666667,29.287,20.5775333333,29.8145666666,9.66879999999,11.5307435898,14.0761333333,22.5857,12.1517217391
581.31,12.4548666667,29.2820666667,20.5599,29.8327666667,9.69346666666,11.5163717949,14.0833333333,22.5498,12.1672521739
581.65,12.463,29.2757333333,20.571,29.8831333333,9.70819999999,11.5278871795,14.0885,22.5701,12.1339333333
581.98,12.4310666667,29.2304666667,20.5588666667,29.8339666667,9.64519999999,11.4704384615,14.0189,22.5119,12.1170289855
582.32,12.4880666667,29.2651333334,20.5937333333,29.8787333333,9.69433333333,11.5116435897,14.0562,22.5347,12.2018811594
582.66,12.4814,29.2475333333,20.609,29.8808333333,9.66253333333,11.4751974359,14.0369,22.5367666667,12.2009884058
583.00,12.449,29.2429333334,20.5695,29.8805,9.644,11.4527153846,14.0213666667,22.5326,12.1678
583.34,12.4888,29.2956666667,20.6265,29.9334,9.67986666667,11.4954307693,14.0750333333,22.5992,12.1941710145
583.68,12.5086666667,29.301,20.6566333333,29.9535666667,9.69620000001,11.5060538461,14.0938666667,22.5985333333,12.2200347826
584.01,12.5324666667,29.2944,20.6376333333,29.9921333333,9.72380000001,11.5250820513,14.1082,22.6245666667,12.2628956522
584.35,12.5541333333,29.3008666667,20.6322,29.9789,9.70333333333,11.5520051282,14.1078666667,22.6445333333,12.2847072464
584.69,12.5654666667,29.3071333333,20.6511,30.0109333333,9.70833333333,11.5694948718,14.1095,22.6464333333,12.2817536232
