wavelength,Back_RamPasf,Belly_RamPasf,Breast_RamPasf,Crissum_RamPasf,Crown_RamPasf,DorTail_RamPasf,Rump_RamPasf,Throat_RamPasf,WingTip_RamPasf
247.54,2.36866666667,4.63522222222,3.11033333333,2.57266666667,2.52622222222,4.32466666667,2.13222222222,4.20422222222,5.59477777778
247.92,2.49,4.904,3.18877777778,2.70488888889,2.77211111111,4.39333333333,2.06911111111,4.31733333333,5.80855555556
248.29,2.34655555556,4.64022222222,3.13155555556,2.57155555556,2.57166666667,4.23011111111,1.98044444445,4.33611111111,5.80022222222
248.67,2.352,4.56288888889,2.94788888889,2.75366666667,2.44022222222,4.17011111111,2.06955555555,4.44788888889,5.69244444444
249.04,2.336,4.57655555556,2.89611111111,2.70933333333,2.53177777778,4.15755555556,2.00366666667,4.47633333333,5.756
249.42,2.306,4.52544444444,2.94322222222,2.71144444444,2.40277777778,4.12488888889,1.96855555555,4.44344444445,5.72677777778
249.79,2.19966666667,4.29611111111,2.67344444444,2.41077777778,2.05533333333,3.97677777778,1.73588888889,4.34233333333,5.32633333333
250.17,2.51088888889,4.72877777778,2.78744444445,2.49977777778,2.251,4.23644444444,1.85288888889,4.75088888889,5.34255555555
250.54,2.83722222222,5.12633333333,2.94466666667,2.84333333333,2.44411111111,4.56,1.90744444445,5.19788888889,5.42455555556
250.92,3.04766666667,5.13677777778,2.939,2.69644444444,2.40877777778,4.46611111111,1.73166666667,5.17533333334,5.284
251.29,3.72811111111,5.34944444445,3.25622222222,3.10344444444,3.05022222222,4.65833333333,2.17955555556,5.47566666667,5.74822222222
251.66,3.86855555555,5.24288888889,3.161,3.17444444444,3.23644444444,4.21233333333,2.31566666667,5.52466666667,5.75133333333
252.04,3.92277777778,4.95755555556,3.01377777778,2.99988888889,2.81811111111,3.94366666667,2.32855555556,5.25133333333,5.48222222222
252.41,4.50544444445,5.41366666667,3.59722222222,3.71788888889,3.37733333333,4.50544444445,2.89477777778,5.54144444444,5.86066666667
252.79,4.81733333333,5.92844444444,4.473,4.30822222222,4.15055555555,4.932,3.49833333333,6.02144444445,6.40855555556
253.16,4.53011111111,6.02311111111,4.42844444444,4.36322222222,3.979,4.98644444444,3.711,6.01588888889,6.32033333333
253.54,4.1,5.82922222222,4.23855555555,4.22411111111,3.83011111111,4.74944444444,3.81555555556,6.04811111111,6.17211111111
253.91,4.43566666667,6.29355555556,4.92766666667,4.54566666666,4.47977777778,5.34644444445,4.56044444444,6.37444444444,6.96922222222
254.28,4.75866666666,6.32988888889,5.49533333334,5.06688888889,4.909,5.811,5.10455555555,6.578,7.35233333333
254.66,4.26088888889,5.32188888889,5.05277777778,4.18944444445,4.60133333333,5.16355555556,4.66455555556,5.90788888889,6.52577777778
255.03,3.20644444444,4.59855555556,4.48255555556,3.52144444444,4.26711111111,4.20933333333,3.97722222222,5.06277777778,5.91622222222
255.41,2.96222222222,4.82133333333,4.60422222222,3.40555555556,4.23944444445,4.17877777778,4.03088888889,4.87366666667,5.95066666667
255.78,2.84577777778,4.97344444444,4.67566666667,3.39722222222,4.34288888889,4.65811111111,4.20288888889,4.79822222222,5.97144444444
256.15,2.87633333333,5.43733333333,5.35822222222,3.98144444445,4.81466666666,5.095,4.69155555556,5.12133333333,6.20022222223
256.53,2.96122222222,5.56855555556,5.517,4.02322222222,4.826,5.016,4.73966666667,5.42188888889,6.026
256.90,3.21622222222,5.49055555556,4.88944444445,3.61455555556,4.516,5.00311111111,4.42655555556,5.10066666667,5.69355555556
257.28,3.70366666667,5.47755555556,4.82444444444,3.45133333333,4.80966666667,5.13622222222,4.33466666667,5.16588888889,5.81155555556
257.65,3.76977777778,5.44955555555,4.49088888889,3.201,4.64944444444,5.05288888889,3.98822222222,4.86766666667,5.87288888889
258.02,3.05366666667,4.636,3.46244444444,2.82622222222,3.77188888889,4.10455555555,2.90166666667,4.23877777778,5.34822222222
