wavelength,Back_OryMaxm,Belly_OryMaxm,Breast_OryMaxm,Crissum_OryMaxm,Crown_OryMaxm,DorTail_OryMaxm,Rump_OryMaxm,Throat_OryMaxm,WingTip_OryMaxm
396.76,4.866,4.921,4.54716666666,3.66566666666,4.308,6.0835,4.97516666667,4.43566666666,5.8695
397.12,4.7795,4.83883333333,4.4615,3.55183333333,4.25916666667,6.04083333333,4.88833333333,4.37566666667,5.82083333333
397.48,4.76566666667,4.8095,4.455,3.48533333333,4.22166666667,5.99583333333,4.88033333333,4.37133333333,5.82416666667
397.84,4.806,4.87083333333,4.42633333334,3.51166666666,4.23283333333,6.02516666666,4.86983333334,4.42516666666,5.78783333333
398.20,4.7945,4.84433333333,4.38883333334,3.515,4.2225,6.0175,4.86616666667,4.3935,5.78416666666
398.56,4.89116666666,4.91983333334,4.4505,3.56716666666,4.28933333333,6.10683333334,4.93833333334,4.49083333333,5.84
398.92,4.97933333334,5.03316666667,4.53066666667,3.69983333333,4.402,6.22233333333,5.05483333333,4.598,5.97833333333
399.28,4.99583333333,5.04583333334,4.5395,3.70883333333,4.429,6.2375,5.1075,4.63566666667,5.999
399.64,4.963,5.02166666667,4.54083333333,3.6905,4.43083333334,6.2125,5.034,4.64716666667,5.94966666667
400.00,4.997,5.03166666667,4.5625,3.71466666666,4.42383333333,6.187,5.03283333334,4.65166666666,5.95766666667
400.36,5.0605,5.137,4.63066666667,3.78966666667,4.48566666666,6.23816666667,5.10983333334,4.71466666666,6.0295
400.72,5.148,5.26433333333,4.755,3.89083333334,4.59883333333,6.336,5.196,4.82183333334,6.11366666666
401.08,5.21516666667,5.36366666667,4.83366666666,3.972,4.685,6.3995,5.295,4.888,6.1945
401.44,5.16566666667,5.31283333333,4.82866666667,3.913,4.6695,6.37383333333,5.27216666667,4.844,6.17383333333
401.80,5.07516666666,5.21916666667,4.79683333333,3.81966666667,4.62783333333,6.31383333333,5.23966666667,4.7435,6.07783333333
402.16,5.08783333334,5.25883333333,4.8445,3.8245,4.65966666667,6.3255,5.28516666666,4.78916666667,6.097
402.52,5.07183333333,5.26016666667,4.83066666666,3.8325,4.65683333333,6.3205,5.3075,4.77016666667,6.0875
