wavelength,Back_SteDiam,Belly_SteDiam,Breast_SteDiam,Crissum_SteDiam,Crown_SteDiam,DorTail_SteDiam,Patch10_SteDiam,Patch11_SteDiam,Patch12_SteDiam,Rump_SteDiam,Throat_SteDiam,WingTip_SteDiam
198.16,40.9909333333,45.3153333334,35.946,52.7027333333,88.2882000001,38.5586666667,62.2523333333,43.8738666667,25.3154,42.6126666667,56.3964,16.6666666667
198.54,33.2366666667,50.3382666668,34.9758,50.0482666667,92.5604666666,37.5846,66.5701333333,36.5217333333,20.0,47.3430666667,58.8407333333,13.2366666667
198.92,17.1556,40.9776666667,15.5555333333,35.289,72.5333333333,25.5111333333,48.8,23.9999333333,10.4888,39.8222666667,42.5778,-0.17773333332
199.30,-18.9091333333,13.6968666667,-21.4547333333,9.57573333334,52.4849333333,-2.06046666665,23.8788,-3.15153333333,-24.3635333334,8.84846666667,24.0000666667,-36.6061999999
199.68,-54.2666666667,-14.4,-47.2000000001,-15.7333333333,36.2666666667,-37.6,-0.8,-27.7333333333,-54.0,-12.1333333333,3.06666666666,-63.4666666666
200.06,-41.3724666667,-19.4117333333,-42.1568,-19.5098666667,14.8039333333,-40.0980666667,-8.0392,-28.2352666667,-44.9019999999,-21.8626666667,-8.7254,-52.6471333333
200.44,-131.481466667,-93.5185333333,-142.592533333,-85.9259333334,-24.074,-134.8148,-62.037,-105.5556,-137.592666667,-93.1481333333,-77.4074666667,-164.999933333
200.82,-57.0831333334,-31.5623333333,-59.3749333333,-30.729,8.5416,-52.7081999999,-18.2289333333,-42.3955999999,-60.4165333333,-35.5206666667,-30.4166,-69.6875333334
201.19,-110.588133333,-73.0718666668,-109.673133333,-68.2352666666,-22.8756666667,-92.6797333334,-55.8169333332,-87.4509999999,-111.111066667,-76.4705333333,-79.6079999999,-114.6406
201.57,-127.6596,-93.9007999999,-125.815666667,-73.6170666667,-37.1630666667,-114.042533333,-54.4681999999,-96.5956,-134.7518,-89.2199333333,-93.6170666666,-130.3546
201.95,-125.0,-101.9444,-122.638866667,-78.6110666665,-45.6944,-117.916533333,-54.0278666666,-104.1668,-131.8054,-92.0833333333,-101.249933333,-131.250066667
202.33,-81.7434666667,-70.0513333333,-83.7948666667,-53.5384000001,-25.9487333333,-78.3590666667,-38.3589333333,-72.5128666667,-91.1794,-60.7178666666,-63.795,-90.3588666667
202.71,-119.1026,-115.384533333,-123.9742,-88.2051333333,-59.1025333333,-119.615266667,-68.4617333333,-113.461466667,-128.077066667,-95.2564666666,-102.8206,-129.487
203.09,-124.871733333,-132.4358,-128.8462,-106.923,-71.6665333334,-130.641,-76.4102,-132.435866667,-147.564066667,-112.1796,-117.9486,-139.1026
203.47,-76.3841333333,-85.4238666667,-73.7852666667,-56.4972666667,-17.2880666667,-79.5480666667,-27.6836,-86.7796666667,-90.1694000001,-64.2938666666,-72.9943999999,-87.0056666666
203.85,-55.2525333334,-67.4748666666,-56.5655999999,-42.1212666667,-8.78793333332,-54.4444,-23.1312666667,-73.4343333335,-79.7978666666,-53.4342000001,-63.9393333333,-62.2221333333
204.22,-94.6376000001,-112.174,-91.0144,-67.6811999999,-22.6086666667,-83.6231333332,-43.6231333334,-118.840533333,-126.087,-87.6810666666,-112.028933333,-102.898533333
204.60,-95.9184,-107.346933333,-83.5373999999,-71.9728666667,-21.6326666667,-79.1837333333,-48.5715333333,-115.510133333,-129.115666667,-84.4898666667,-105.169933333,-87.7550666666
204.98,-93.4640000001,-99.6077333334,-81.3072666666,-69.9346000001,-19.3464,-79.8691333333,-46.5360666666,-104.052333333,-128.889,-79.7386000001,-94.7713333333,-81.8301333335
205.36,-168.7718,-182.456133333,-158.9474,-144.912333333,-65.6140000001,-164.035066667,-109.649133333,-186.315733333,-219.1228,-150.877133333,-170.000066667,-157.192933333
205.74,-280.000066667,-289.230866667,-253.589933334,-254.6154,-140.0,-257.179533333,-198.718,-293.8462,-342.051266667,-237.9488,-283.076933333,-253.589666667
206.12,-624.6154,-645.128133333,-568.205266666,-544.1026,-317.948733333,-556.410266667,-446.6668,-610.769266667,-751.794866667,-538.461533333,-585.640933333,-552.8206
206.50,1511.42853333,1478.09526666,1341.9048,1314.28566667,893.333333333,1313.33326667,1158.0952,1450.47633333,1727.61906667,1283.8096,1454.28566667,1348.5714
206.87,616.666666667,570.000066667,524.444333333,530.370333333,355.555533333,545.555533333,470.370333333,554.814866667,694.074066667,507.407333333,570.3704,516.296266667
207.25,426.9136,400.493866667,351.604933333,363.703666667,231.6048,373.827066667,337.284066667,380.493933333,463.950533333,353.086533333,385.1852,343.950666667
207.63,499.487066667,448.461533333,413.333266667,437.435933333,297.435933333,445.384666667,404.359,438.974466667,548.2052,399.999866667,448.974333333,401.5384
208.01,338.254066667,304.761933333,281.111066667,295.3968,211.745933333,306.984133333,266.1904,293.0158,357.619133333,262.381066667,301.745933333,273.1746
208.39,238.080866667,213.737333333,196.767533334,214.3434,162.0202,216.4648,192.727333333,212.626133333,248.484866667,185.252466666,208.888933333,190.404133333
208.77,221.9444,198.425933333,183.981533333,198.426,155.8334,198.611133333,180.092733333,197.2222,233.2408,171.574133333,195.5554,174.6296
209.14,164.865,149.309266667,136.636466667,146.306333333,118.017933333,145.6456,134.834866667,150.390333333,167.087066667,128.048066667,145.8858,128.948866667
209.52,158.226333333,140.4894,124.587,139.510666667,110.0304,135.7186,128.256866667,140.244466666,157.125466667,119.388333333,135.9022,120.550466667
209.90,170.965733333,154.3924,134.0186,150.9034,115.950133333,146.853666667,141.121466667,153.8942,172.398866667,129.345866667,146.604466667,130.841
210.28,191.466666667,172.733333333,150.533333333,171.333333333,133.933333333,165.066666667,158.4,174.733333333,191.333333334,144.933333333,168.0,150.666666667
210.66,171.2094,158.171066667,138.584066666,153.8644,125.132733333,150.324466667,144.542866667,160.648866667,174.867466667,135.752266667,153.274266667,137.699066667
211.03,182.874666667,171.620866667,150.152733333,165.504466667,136.452533333,159.938866667,155.5352,177.675933333,188.868466667,149.1132,167.583933333,151.437333333
211.41,198.194466666,185.902733333,162.5,180.277666667,149.374933333,172.916666667,166.25,195.416666667,205.0,160.763933333,180.9028,166.4584
211.79,216.1446,207.630533333,178.714866666,195.6626,167.5502,189.8794,183.052266667,213.253133334,225.220933333,176.546333333,195.983866667,179.1968
212.17,252.8358,240.0,213.2338,226.368133334,198.209,232.238933333,218.209,255.0248,267.960133333,208.855733333,230.6466,217.114466667
212.55,344.296466667,322.518666667,300.148266667,304.8888,252.592466667,318.370466667,295.555533333,342.963,366.8148,278.222333333,313.9258,296.889
212.92,268.160866667,247.586333333,232.298733333,239.080466667,194.252866667,255.057466667,233.448266667,275.172466667,286.321733333,222.413733333,247.586266667,239.425333334
213.30,439.999933334,404.0404,377.171666667,392.121266667,309.697,413.737333333,367.6768,438.383933333,480.808,362.424266667,401.010066667,389.899066667
213.68,381.801866666,341.261333333,327.2072,335.495533333,260.360333333,342.882866667,317.6576,380.5404,422.8828,310.270266666,350.991066667,328.468533333
214.06,298.3332,253.75,257.9166,259.027733333,204.8612,264.999866667,238.194533333,296.666533333,314.027666667,240.000066667,272.7778,250.833333333
214.44,185.083333333,157.25,157.583333333,162.666666667,124.916666667,166.0,147.583333333,183.666666667,191.666666667,149.083333333,167.25,149.833333333
214.81,169.718933333,140.9638,140.642533333,151.164666667,108.032133333,151.4056,134.618466667,174.6988,171.1646,128.755133334,151.325333333,129.9598
215.19,159.917733333,129.218066667,130.288133333,143.209933333,99.0124000001,144.444533333,125.185266667,162.14,157.3662,115.143933333,136.625533333,116.461
215.57,172.543933333,135.526333333,145.614,158.245733333,106.491266667,153.421,133.157933333,168.333333333,172.807066667,122.806933334,150.789466666,120.789466667
215.95,141.736066667,108.958333333,119.583333333,132.430733333,86.8749333333,124.375,112.569333333,141.736133333,140.9722,102.8472,125.277933333,98.4027999999
216.32,120.781266667,91.1457999999,97.7602666668,110.520666667,73.4376,97.1352666666,95.3646000001,114.0104,114.427133333,85.9896,103.750066667,82.2915999999
216.70,124.154666667,93.8164666666,98.4540666666,110.193266667,80.0,98.9371333334,98.6957333335,114.009666667,114.347733333,88.0676666667,107.922666667,85.2173999999
217.08,132.162866666,100.050866667,101.323133333,114.554733333,84.173,101.882933333,101.475733333,117.8118,120.7634,89.9235999999,112.3154,86.972
217.46,135.999866667,103.076866666,104.512866667,116.923133333,89.5898666667,106.205066667,107.128133333,121.589666667,121.641066667,91.3846000001,119.5384,91.9486000001
217.83,140.5926,109.975266667,112.888866667,120.987733333,95.5061333333,116.247,110.913666667,125.283866667,127.111066667,96.6914,123.209866667,99.0123333334
218.21,151.653066667,121.5176,123.9024,131.761533333,103.8482,129.0514,123.143666667,134.959266666,139.241266667,106.232933333,135.447133333,108.618
218.59,236.9524,180.571466667,188.381,196.0952,153.809533333,194.285666667,190.0952,201.238133333,214.381066667,155.619066667,203.999866667,161.809533333
218.97,273.870866667,201.3978,217.741866667,221.075266667,173.9784,218.924666667,215.376266666,218.602,244.086066667,178.172133333,228.064466667,187.634466667
219.34,268.405666667,199.6136,220.869666667,213.14,174.009666667,216.0386,212.753733333,211.014466667,242.415466667,182.3188,229.6618,190.145
219.72,210.476133333,160.292933333,172.307666667,163.223533333,137.655666667,173.333266667,171.0624,170.036533333,188.644866667,143.1502,179.8536,151.1356
220.10,220.749066667,165.917533333,181.1984,170.561733334,148.164866667,179.400733333,174.981266667,176.6292,198.0524,148.1648,192.3594,164.6442
220.47,267.4396,212.560466667,225.507266667,214.782666667,183.6716,225.603933333,214.589266667,218.743866667,249.951733333,180.483066667,242.7054,202.705333334
220.85,263.280333333,206.878266667,219.5768,218.201133333,175.238066667,225.7142,208.0422,212.592666667,251.851866667,177.566133333,236.613866667,197.037
221.23,286.9006,227.719133333,243.391866667,244.795266666,200.116933333,253.3334,234.035133333,238.596533333,271.9298,196.491266667,264.5614,219.6492
221.61,281.212133333,225.8182,238.545533333,240.363666667,193.818133333,256.8484,226.9092,234.5454,267.151466667,198.7878,253.4546,206.6666
221.98,472.413866667,374.4828,406.666666667,417.701,332.8736,438.620866667,380.229866667,401.3794,443.2184,327.816066667,439.080466667,343.6782
222.36,351.965733333,283.931666667,307.3504,318.974466667,253.6752,324.615333334,288.717866667,298.461533333,333.6752,252.649533333,329.0598,261.538466667
222.74,338.2906,269.230866667,301.3676,303.589733333,242.051266667,321.3674,282.222333333,296.410333333,325.983066667,248.888866667,333.333266666,248.547
223.11,278.370266667,240.1482,249.777733333,251.111066667,212.1482,276.592533333,230.666666667,250.963,277.4814,206.666666667,291.259133333,207.2592
223.49,495.238,415.555733333,431.745933333,455.872933333,356.507866667,501.904733333,411.111133334,470.793666667,502.222266667,338.412533333,520.952533333,352.698333333
223.87,3215.5556,2635.55553333,2688.88893333,2913.3332,2308.8888,3215.55553333,2533.3334,2977.77773333,3191.11106667,2075.5556,3404.44446666,2186.66666667
224.24,-1563.33333333,-1391.11126667,-1390.00006667,-1485.55553333,-1101.11113333,-1685.55573333,-1307.7778,-1517.7778,-1562.2222,-1134.4444,-1697.77786666,-1147.77773333
224.62,-827.878600001,-677.575666667,-689.090933333,-730.302933333,-509.090866667,-844.242466666,-626.666666667,-781.818266667,-755.151533333,-566.060533333,-848.484800001,-566.060666667
225.00,-229.293,-174.949466667,-181.010066667,-183.2324,-125.0504,-222.424266667,-156.161466667,-221.212066667,-194.949533333,-135.5556,-239.393866667,-144.848466667
225.38,-95.9522666667,-62.9761333333,-75.8332000001,-57.6189333333,-28.9285333333,-93.9286,-50.5953333334,-87.9762666667,-75.3571333333,-45.7141333333,-100.8334,-44.8809999999
225.75,-134.0578,-89.2753999999,-123.333266667,-90.8695333335,-57.2463999999,-130.000066667,-78.9854000001,-126.231933333,-107.5362,-72.7537333334,-147.8262,-76.0868666667
226.13,-319.666666667,-222.666666667,-286.0,-227.0,-144.666666667,-308.666666666,-211.0,-307.666666667,-259.333333333,-195.666666667,-354.333333334,-191.666666667
226.51,-302.592666667,-185.185133333,-269.629533334,-191.851866667,-115.1852,-307.407333333,-194.074133333,-308.518533333,-251.481466667,-170.370466667,-346.6666,-177.407466667
226.88,-323.529466667,-195.294133333,-278.431333333,-243.5294,-137.255,-314.1176,-164.7058,-323.137133333,-270.588133333,-149.804,-350.980333333,-189.411666667
227.26,-324.0,-167.666666667,-249.0,-240.0,-119.666666667,-275.333333333,-166.0,-287.333333333,-247.333333333,-164.0,-301.333333333,-186.333333333
227.64,-367.916666667,-205.833333333,-307.5,-275.416666667,-137.5,-338.75,-154.166666667,-324.166666667,-296.666666667,-214.583333333,-368.75,-209.166666667
228.01,-697.777866666,-443.7036,-634.074133333,-581.481533333,-290.3704,-701.4814,-337.777733333,-671.111,-598.518533333,-475.555533333,-742.222266667,-457.036933334
228.39,-189.565133333,-81.1593333333,-151.5942,-139.420333333,-32.4638,-196.231933333,-43.1883333333,-169.275333333,-163.768133333,-77.971,-197.971,-73.9130666667
228.76,-299.047533333,-178.5714,-299.0476,-237.619,-93.3334000001,-340.000066667,-107.619,-305.238133333,-317.619133333,-181.904866667,-374.7618,-129.999933333
229.14,-389.696733334,-255.151466667,-400.000066667,-329.697,-127.2726,-459.394066667,-168.484933333,-351.515,-420.000066667,-214.545466667,-500.606066667,-156.969666667
229.52,-774.285666667,-526.666599999,-745.714266667,-713.333333334,-386.666533333,-816.190466667,-389.523866667,-673.333333333,-829.523866665,-486.666733333,-936.190466667,-432.380933333
229.89,-366.153733333,-259.487133333,-332.3076,-359.487133333,-171.794866667,-405.641066667,-195.384533333,-326.153933333,-403.589666667,-231.282,-477.436,-190.256533333
230.27,-399.555533334,-309.7778,-361.777666667,-367.555533333,-219.555733333,-423.999933333,-220.8888,-353.777666667,-452.444466667,-248.888866667,-477.333333333,-242.666666667
230.65,-275.151533333,-201.818133333,-236.6666,-244.545533333,-133.030333333,-265.757533333,-130.0,-223.0304,-293.3334,-166.363666667,-321.5152,-150.303133333
231.02,-326.666733333,-260.0,-300.740733333,-289.6296,-177.777866667,-322.222266667,-187.407466667,-278.148133333,-351.481533333,-237.4074,-399.6296,-214.814866667
231.40,-205.2174,-170.4348,-222.318866667,-198.840533333,-123.768066667,-237.971,-121.449333333,-183.4782,-245.217333333,-150.4348,-289.855066667,-137.970933333
231.78,-129.0742,-102.7778,-124.814866667,-117.036933333,-74.2593333335,-142.963,-83.8890000001,-105.5556,-143.703533333,-78.7037333333,-178.333333333,-82.0370666666
232.15,-127.5,-88.9583333334,-124.583333333,-107.708333333,-67.9166666666,-139.583333333,-72.0833333333,-89.1666666667,-151.458333333,-59.7916666668,-180.0,-75.2083333334
232.53,-98.2456666667,-69.6491333334,-106.1404,-80.5263333333,-59.6490666667,-108.772133333,-55.7895333333,-59.9999333333,-111.754333333,-57.1928,-143.158,-69.8246666667
232.90,-84.6031333332,-47.4602666667,-85.2381333335,-75.3968000001,-46.3491333333,-98.2540666667,-34.127,-40.4759999999,-85.3968666667,-37.7778666667,-111.904666667,-64.4443999999
233.28,-63.7909333334,-44.183,-72.0260666667,-68.8887333333,-30.8497333333,-85.3595333333,-27.5816666667,-39.4770000001,-78.3006666667,-41.6994,-90.4574666665,-59.6078
233.66,-42.9760666666,-40.0000666667,-53.0953333333,-55.7142000001,-12.5,-78.3334,-16.9047333333,-28.9286666667,-60.0,-25.7143333333,-71.0714,-47.2618666667
234.03,-26.6666666667,-26.5517333333,-40.6896666667,-38.2760666666,-7.81626666667,-62.6436666666,-1.37926666667,-21.6092666667,-54.4828666667,-12.0689333333,-52.2989333333,-44.1379333333
234.41,-4.37813333334,-6.56713333334,-16.2189333333,-15.0248,8.95526666666,-38.7064,21.0944666667,-2.4876,-30.4478666667,0.597066666673,-26.2688,-24.6766
234.78,17.4902,8.07839999999,4.31366666667,5.5686,25.098,-15.6863333333,35.2941333333,15.6863333333,-6.98026666666,24.2352666667,-4.31373333333,-1.88233333335
235.16,3.37666666667,-5.02166666666,-6.8398,-7.96539999999,13.1600666667,-36.3636,28.658,0.2598,-23.8960666667,12.2944,-24.5023333333,-13.8528666667
235.54,17.6812666667,6.73913333333,10.0001333333,6.81159999999,28.4782666667,-15.2897333333,38.913,12.6086666667,-6.95646666669,23.3334,-5.4348,0.3622
235.91,1.64253333334,-19.7102,-8.88879999998,-16.3285333333,12.8501333333,-42.512,37.1982,-9.17866666667,-32.7536,2.70526666666,-29.5651333333,-29.9518
236.29,7.74773333334,-10.5405333333,3.15306666667,-8.82880000001,20.4503333333,-30.2704,42.2522666667,-0.991,-15.946,9.00899999999,-18.6486666667,-22.883
236.66,-2.18739999999,-22.8124666667,-2.29146666666,-22.9166,13.75,-43.6457333333,43.0208666666,-13.4373333333,-32.9164,-2.5,-35.3124666667,-30.8332666666
237.04,23.2639333333,5.06939999999,20.4166,11.3194,32.5,-5.20833333334,52.4305333333,10.3474,-2.70833333334,22.9166,-0.347199999993,-1.38906666666
237.41,16.0338,-4.47253333333,12.7425333334,6.66673333332,21.7721333333,-20.5062666667,52.7426666667,-3.79753333333,-15.8649333333,12.5739333333,-13.5022,-14.8523333333
237.79,21.4494,2.22226666666,16.1351333333,15.1690666667,29.5653333333,-12.0773333333,68.7923999999,5.21733333334,-16.0387333333,21.4494,-14.3961333333,-17.7778
238.17,21.5584666667,-0.25986666668,23.5496666667,19.9135333333,37.4890666667,-5.97406666667,70.9957333333,12.2943333333,-8.83126666668,30.8226,-7.0996,-10.2164
238.54,25.4,3.46666666666,23.4,20.2,37.0666666667,3.93333333332,67.3333333333,19.4,-1.46666666667,36.9333333333,-1.06666666666,1.06666666665
238.92,10.4951333333,-8.911,12.5413333333,10.6271333333,25.5444666667,-8.84486666667,57.8878,5.61046666667,-18.5478666667,22.5742666667,-11.5512666667,-13.7293333333
239.29,29.9544,13.1963333333,29.6802666667,28.4932,43.1506,17.7625333333,66.8949333333,29.1324,7.85386666667,42.1917333334,15.2510666667,11.0959333333
239.67,27.6422666667,10.0405333333,25.2845333333,23.9431333333,37.4390666667,16.7886,63.8617333333,25.4471333334,2.84553333333,39.6342,11.3414,9.87793333333
240.04,31.5942,18.0032,28.1803333333,26.7311333333,42.1578,21.9003333333,62.029,29.9839333333,8.14826666666,42.6410666667,17.8420666667,18.6152
240.42,29.7354,14.5502666667,23.6772,23.4919333333,37.4339333333,17.9894666667,56.9048,26.8254,4.57680000001,37.4338,14.7884,17.7778
240.79,31.2768666667,16.3616,24.0676666667,24.3164,38.8248,18.1694666667,56.1130666667,27.2994,5.28813333332,38.9604,17.0848,17.3559333333
241.17,26.0776,12.7023333334,21.2196666667,18.4859333334,35.3732666667,13.9432666667,52.5973333334,22.5657333333,1.36700000001,35.3942666667,12.4710666667,14.427
241.54,25.4595333333,14.6848,21.3513333333,19.0810666667,35.7117333333,15.7116666667,51.3514,23.7837333333,3.71173333333,35.9459333334,13.6576,16.6666666667
241.92,25.3594666667,13.6111333333,20.6699333333,18.3986666666,34.6733333333,14.8856666667,51.0458666667,22.026,4.00333333333,34.7712666667,14.5588,17.1895333333
242.29,25.7746,15.086,20.2816,18.1220666667,35.3052666667,14.6634666667,51.2050666667,22.3162,3.95933333333,33.8028,14.5226666667,17.4804666667
242.67,25.1852,14.4908,20.1696,17.5462,34.7530666667,13.3795333333,50.8642,21.3734666667,3.0248,31.9444,13.6572666667,15.8796666666
243.05,25.6124666666,15.0407333333,20.4008666667,17.7728,34.6399333333,14.0460666667,50.6756,21.6184,4.15746666666,32.487,13.9272666667,16.2582666667
243.42,21.839,10.4979333333,16.7356666667,13.2568,30.7586666667,8.8888,47.8621333333,16.521,-0.766333333334,28.6130666667,10.3294666667,11.9539333333
