wavelength,Back_TriMelm,Belly_TriMelm,Breast_TriMelm,Crissum_TriMelm,Crown_TriMelm,DorTail_TriMelm,Patch10_TriMelm,Rump_TriMelm,Throat_TriMelm,WingTip_TriMelm
780.33,18.4842666667,57.8247333333,50.2225333333,53.9588,81.5102,17.5598,13.3446,18.7489333333,61.4201333333,21.8203333333
780.64,18.3834,57.8349333333,50.1113333333,54.2702666667,81.3367333333,17.2351333333,13.0248,18.669,61.3423333333,21.6452
780.95,18.1093333333,58.1500666667,50.1688,54.584,81.6986,17.1726666667,12.7981333333,18.598,61.5473333333,21.5124666667
781.26,17.8763333333,58.3614666667,50.358,54.8062666667,81.9638666667,16.9122,12.5880666667,18.3259333334,61.9343333333,21.2126
781.57,17.8298666667,58.2986666667,50.0030666667,54.5718666667,81.8876,16.7718666667,11.9928,17.9562,62.2001333333,20.7213333333
781.88,17.2093333333,58.4310666667,50.0651333333,54.214,82.5054,15.7271333333,10.9146666667,17.0667333333,62.4558,19.9132
782.19,17.2668,58.2783333333,49.9968666667,53.8674,82.0547333333,15.52,10.6000666667,16.7892666667,62.0546666667,19.6545333333
782.50,17.2450666667,58.3444,50.2333333333,54.1195333334,82.2179333333,14.9760666667,10.214,16.5548666667,62.1157333333,19.2584
782.81,17.2872,58.9570666667,50.6006666667,55.0496666667,83.5906666667,14.5742666667,9.8416,16.4422666667,62.9572,18.9637333333
783.12,16.9808,59.638,51.0108,55.5738666667,84.7540666667,14.1393333333,9.3442,15.9357333333,63.9002666667,18.3674666667
783.43,16.2525333334,58.958,50.5037333333,54.5549333333,84.1614666667,13.2642666667,8.668,15.0862,63.637,17.6259333333
783.74,16.0429333333,58.7318666667,50.1731333333,54.0331333333,83.6104666667,12.6680666667,8.48226666667,14.4490666667,62.8204666667,16.9992666667
784.05,16.0919333333,58.5998,49.6968666667,53.5494666667,83.3786666667,12.5114666667,8.26193333333,14.4200666667,62.5913333333,16.7328
