wavelength,Back_HapRusm,Belly_HapRusm,Breast_HapRusm,Crissum_HapRusm,Crown_HapRusm,DorTail_HapRusm,Rump_HapRusm,Throat_HapRusm,WingTip_HapRusm
381.97,9.3958,14.5213333333,13.0708666667,15.6494,8.235,8.57546666667,10.1489333333,13.0878666667,9.07560000001
382.33,9.42186666667,14.5751333333,13.1104333333,15.6818666667,8.26573333333,8.57186666667,10.1833333333,13.1008666667,9.11673333334
382.69,9.41206666666,14.5781333333,13.1672,15.684,8.2932,8.5338,10.1564666667,13.1483333333,9.10440000001
383.05,9.41226666668,14.5474,13.1655333333,15.6686666667,8.30433333333,8.531,10.1462666667,13.1359333334,9.09906666666
383.41,9.38280000001,14.5018666667,13.1384666667,15.6352,8.27793333333,8.47273333333,10.0570666667,13.0948,9.05293333333
383.77,9.32126666667,14.4731333333,13.0367666667,15.6046666666,8.21433333334,8.37786666667,9.96540000001,13.0678,9.00633333333
384.14,9.36713333333,14.5330666667,13.0653,15.6264666667,8.24566666667,8.41526666667,10.0274,13.0936666667,9.05346666666
384.50,9.35126666667,14.5679333333,13.0649,15.5875333333,8.2544,8.393,10.0442,13.1124666666,9.06613333334
384.86,9.28206666667,14.5144,13.0077333333,15.4971333333,8.17993333333,8.3404,9.92386666666,13.0262666667,9.00166666667
385.22,9.29126666667,14.5322,13.0399333333,15.4797333333,8.149,8.35246666667,9.94546666667,13.0372666667,9.00979999999
385.58,9.32773333334,14.5970666667,13.0733,15.55,8.18273333333,8.33673333333,9.95139999999,13.0414666667,9.021
385.94,9.31399999999,14.6348,13.0842666667,15.5985333333,8.1812,8.30606666667,9.95839999999,13.0810666667,9.03166666667
386.30,9.23739999999,14.5810666667,13.0238666667,15.5812666667,8.11246666666,8.26553333333,9.86926666666,13.0520666667,8.96293333333
386.66,9.29720000001,14.6862,13.0397333333,15.6594,8.149,8.31353333333,9.92686666666,13.0654666667,8.97953333333
387.03,9.31986666667,14.7476,13.0902666667,15.7449333333,8.16,8.3212,9.97326666665,13.1352,8.99800000001
387.39,9.30633333333,14.757,13.0654666667,15.7701333333,8.15626666667,8.3156,9.99420000001,13.1425333333,8.98813333333
387.75,9.33380000001,14.8005333333,13.1319333333,15.8375333334,8.1992,8.3326,10.0314666667,13.1602666667,9.01653333333
388.11,9.31973333333,14.7954666667,13.151,15.8520666667,8.17553333333,8.30846666667,9.99079999999,13.1868666667,9.00126666667
388.47,9.33693333334,14.8112,13.1676333333,15.9209333333,8.18966666667,8.30226666667,9.99379999999,13.1806666667,9.009
388.83,9.37993333333,14.8432,13.1622,15.9707333333,8.23086666667,8.32593333333,10.0381333333,13.1964666667,9.03246666667
389.19,9.3546,14.8157333333,13.1058,15.9891333333,8.24026666667,8.2882,9.98459999999,13.1621333333,9.01886666666
389.55,9.27453333333,14.7599333333,13.0497666667,15.9323333333,8.20246666667,8.25193333333,9.92660000001,13.1325333333,8.9596
389.91,9.31520000001,14.8236666667,13.1013666667,15.9741333333,8.21333333333,8.2808,9.93979999999,13.1519333333,8.98033333334
390.27,9.38753333334,14.8989333333,13.1327333333,15.9882,8.28993333333,8.31593333333,10.0016666667,13.207,9.02946666667
390.63,9.3256,14.8404,13.1155333333,15.9602666666,8.2124,8.26813333333,9.95933333334,13.2098,8.99986666666
391.00,9.32673333333,14.853,13.0993,15.966,8.20006666667,8.24613333333,9.94766666668,13.1818666667,9.0008
391.36,9.32953333334,14.8734666667,13.1459666667,15.9651333333,8.20053333333,8.2434,9.95386666667,13.1797333333,9.03719999999
391.72,9.34673333333,14.9126,13.1127333333,15.9633333333,8.204,8.25793333333,9.93979999999,13.167,9.0372
392.08,9.27400000001,14.8800666667,13.0120666667,15.9029333333,8.15766666666,8.1628,9.86093333332,13.0932,8.95526666667
392.44,9.29026666667,14.9164666667,13.0261333333,15.9292,8.16346666667,8.16146666667,9.8702,13.1173333333,8.94666666666
