wavelength,Back_GeoMagm,Belly_GeoMagm,Breast_GeoMagm,Crissum_GeoMagm,Crown_GeoMagm,DorTail_GeoMagm,Patch10_GeoMagm,Rump_GeoMagm,Throat_GeoMagm,WingTip_GeoMagm
364.20,6.17306666667,5.08353333333,3.9104,4.6264,4.71646666667,6.12466666667,13.168,4.71726666667,4.63613333333,8.05273333333
364.57,6.10906666667,5.00253333333,3.81606666666,4.57746666667,4.637,6.04866666666,13.1475333333,4.65246666667,4.53846666667,7.96083333333
364.93,6.09573333333,4.96876666667,3.8026,4.55026666667,4.61526666667,6.1016,13.2578666667,4.65946666667,4.5321,7.89856666667
365.29,6.11886666667,4.95193333333,3.79766666667,4.57493333333,4.63106666667,6.07873333333,13.2902,4.6372,4.50683333333,7.91853333333
365.66,6.0198,4.79573333333,3.68886666667,4.4778,4.53806666666,6.019,13.3119333333,4.51153333333,4.38386666667,7.78016666667
366.02,5.998,4.73113333333,3.6846,4.39246666667,4.4996,5.92966666667,13.3324666667,4.4696,4.3171,7.707
366.38,6.1178,4.83186666667,3.8298,4.47493333333,4.6246,6.0098,13.5746,4.64313333333,4.43156666667,7.83503333333
366.75,6.24493333333,4.925,3.97073333333,4.5972,4.69833333333,6.11286666667,13.7536,4.75233333333,4.52066666667,7.93286666666
367.11,6.16866666667,4.8495,3.88773333333,4.492,4.6506,6.04126666667,13.7341333333,4.68173333333,4.42526666667,7.8121
367.47,6.13606666667,4.84286666666,3.82613333333,4.4732,4.56746666667,6.02353333333,13.7602666667,4.6136,4.35636666667,7.78806666667
367.84,6.07346666667,4.73753333333,3.72386666667,4.35286666667,4.44813333334,5.93293333333,13.7421333333,4.56693333333,4.22333333333,7.66023333333
368.20,5.9418,4.60053333333,3.55166666667,4.17893333333,4.3254,5.78693333333,13.5742,4.4552,4.0656,7.48116666667
368.56,5.92713333333,4.58923333333,3.57133333333,4.15086666667,4.32286666667,5.76553333333,13.6006,4.47486666667,4.115,7.48343333333
368.93,5.92473333333,4.62493333333,3.57033333333,4.20833333333,4.35326666666,5.74733333333,13.5949333333,4.45966666667,4.16066666667,7.53036666667
369.29,5.98553333333,4.66893333333,3.66486666667,4.27546666667,4.4222,5.8504,13.6856666667,4.5784,4.24763333333,7.58916666667
369.65,6.0962,4.78736666667,3.7744,4.401,4.497,5.94546666667,13.7423333333,4.69766666667,4.36466666667,7.68336666667
370.01,6.06966666667,4.73743333333,3.74053333334,4.39046666667,4.43466666667,5.9196,13.7511333333,4.67906666667,4.31973333333,7.7073
370.38,5.89386666667,4.54146666667,3.5146,4.18353333333,4.20506666667,5.7352,13.556,4.44,4.09106666667,7.5435
370.74,5.74493333333,4.4673,3.36746666667,4.05166666667,4.0762,5.54513333333,13.4689333334,4.29146666667,3.963,7.42083333333
371.10,5.75373333333,4.48756666667,3.41406666667,4.13653333333,4.11246666667,5.5892,13.5419333333,4.35746666667,4.00453333333,7.46113333333
371.46,5.9168,4.60376666667,3.59666666667,4.28733333333,4.33526666667,5.79946666667,13.7592,4.54413333333,4.15716666667,7.60176666667
371.83,6.0492,4.76813333333,3.74666666667,4.4184,4.44593333333,5.92713333333,13.9462,4.66106666667,4.32086666667,7.75906666667
372.19,6.04586666667,4.81443333333,3.83406666667,4.52533333333,4.50966666667,5.98306666666,14.0428666667,4.6692,4.4232,7.79403333333
372.55,6.13113333334,4.9057,3.91573333333,4.63126666667,4.5614,6.04653333333,14.1624666667,4.67326666667,4.493,7.83583333333
372.92,6.02066666666,4.82443333333,3.81913333333,4.537,4.4474,5.90153333333,14.1284,4.5928,4.32703333333,7.7183
373.28,6.12333333333,4.91556666667,3.9118,4.6908,4.52846666667,5.97573333333,14.3076,4.64153333333,4.4297,7.83553333333
373.64,6.00713333333,4.805,3.8396,4.58333333333,4.42453333333,5.849,14.3098,4.53206666667,4.34416666667,7.7022
374.00,5.85166666667,4.68713333333,3.7362,4.48673333333,4.31653333333,5.828,14.2528,4.41893333333,4.3333,7.54906666667
374.37,5.85273333333,4.6957,3.7344,4.51986666667,4.3266,5.82553333333,14.3545333333,4.39386666667,4.38216666667,7.519
374.73,5.7928,4.60693333333,3.68466666667,4.3914,4.27593333333,5.83106666667,14.3791333333,4.40453333333,4.29093333333,7.42733333333
375.09,5.73666666667,4.54466666667,3.61786666667,4.29786666667,4.24346666667,5.77793333333,14.3651333333,4.31866666667,4.18873333333,7.3785
375.45,5.6266,4.49046666667,3.54953333333,4.2444,4.1022,5.68386666667,14.3415333333,4.2304,4.1188,7.32983333333
375.81,5.43813333333,4.22943333333,3.2856,4.04613333333,3.87866666667,5.51,14.1492666667,4.0172,3.83306666667,7.07706666667
376.18,5.33106666667,4.0898,3.14793333333,3.85666666667,3.70306666667,5.38786666667,14.0908,3.91273333333,3.64813333333,6.94173333333
376.54,5.29093333333,3.99093333333,3.05306666667,3.7456,3.63553333334,5.3222,14.125,3.88266666666,3.53626666667,6.92536666667
376.90,5.3306,3.9641,3.07826666667,3.6816,3.63066666667,5.37166666667,14.1236,3.92706666667,3.55663333333,6.94023333333
377.26,5.19466666667,3.81693333333,2.92653333333,3.49913333333,3.49213333333,5.2456,14.0078,3.8148,3.3932,6.77673333333
377.63,5.18053333333,3.80446666667,2.95373333333,3.4734,3.5136,5.22573333333,14.0446666667,3.81433333333,3.37356666667,6.8314
377.99,5.32706666667,3.95283333333,3.06153333333,3.61273333333,3.6512,5.24626666667,14.2357333333,3.9924,3.46016666666,6.98103333333
378.35,5.37926666667,4.0091,3.12386666667,3.6818,3.73613333333,5.29633333333,14.2856666667,4.09553333333,3.4843,7.01606666667
378.71,5.434,4.0585,3.1582,3.76566666667,3.77666666667,5.31106666667,14.3364666667,4.1146,3.5717,7.0946
379.07,5.49233333333,4.09086666667,3.2444,3.79066666667,3.82026666667,5.36373333333,14.4787333333,4.21213333333,3.6662,7.1671
379.44,5.51246666667,4.0888,3.251,3.79493333333,3.87733333333,5.3682,14.5128,4.24833333333,3.72173333333,7.17886666667
379.80,5.55273333333,4.19703333333,3.375,3.8968,3.99546666667,5.43326666667,14.6586,4.37926666667,3.84416666667,7.2861
380.16,5.67326666667,4.33796666667,3.49073333333,4.0426,4.1578,5.60386666667,14.8609333333,4.53066666667,3.99983333333,7.4509
380.52,5.70926666667,4.40593333333,3.56126666667,4.10266666667,4.20833333333,5.6696,14.9342,4.59066666667,4.05603333333,7.49506666667
380.88,5.75913333333,4.48736666667,3.613,4.2082,4.26873333333,5.7724,15.0664,4.64086666667,4.1496,7.52666666667
381.24,5.662,4.48036666667,3.52686666667,4.1282,4.20126666667,5.72206666667,15.0616666667,4.59266666667,4.06466666667,7.47156666667
381.61,5.65733333333,4.44973333333,3.4754,4.15686666667,4.1808,5.72253333333,15.1172,4.60526666667,4.07663333333,7.4463
381.97,5.66533333333,4.50626666667,3.52686666667,4.19866666667,4.213,5.8308,15.1966,4.64733333333,4.13443333333,7.48816666667
