wavelength,Back_SicLebm,Belly_SicLebm,Breast_SicLebm,Crissum_SicLebm,Crown_SicLebm,DorTail_SicLebm,Rump_SicLebm,Throat_SicLebm,WingTip_SicLebm
217.83,-2058.33333333,-2950.0,-66.6666666667,-2233.33333333,-2350.0,-983.333333333,-1666.66666667,-175.0,-275.0
218.21,-324.074166667,-592.592666667,159.259,-385.185333333,-377.777666667,-144.444333333,-270.370333333,161.111,127.778
218.59,-166.6665,-250.877,50.8773333333,-166.666333333,-152.631666667,-31.579,-100.0,65.7895,110.526
218.97,-321.4285,-369.047666667,-64.286,-338.095333333,-230.952333333,-169.047666667,-209.524,57.1425,64.286
219.34,750.0,785.714333333,219.047666667,766.666666667,595.238333333,390.476333333,557.143,-71.4285,-64.2855
219.72,346.875,350.0,104.166666667,375.0,266.666666667,220.833333333,260.416666667,34.375,-43.75
220.10,451.666666667,463.333333333,156.666666667,536.666666667,413.333333333,330.0,333.333333333,15.0,-105.0
220.47,4716.66666667,4733.33333333,1033.33333333,4066.66666667,3800.0,1300.0,2666.66666667,-150.0,-1100.0
220.85,1045.83333333,1016.66666667,158.333333333,900.0,916.666666667,150.0,583.333333333,-25.0,-200.0
221.23,211.805666667,170.833333333,105.555333333,204.166666667,181.944666667,88.889,131.944666667,31.25,-10.4165
221.61,196.825333333,161.905,101.587333333,252.380666667,139.682666667,117.460333333,128.571333333,21.4285,-54.762
221.98,458.333333333,200.0,260.0,546.666666667,256.666666667,283.333333333,293.333333333,25.0,-200.0
222.36,300.980666667,150.980333333,209.804,362.745,170.588333333,176.470666667,160.784666667,123.5295,-88.235
222.74,159.459333333,90.09,121.621666667,197.297333333,97.2973333333,89.189,99.099,64.8645,-12.162
223.11,167.6765,70.707,96.97,184.848333333,68.687,42.4243333333,51.5153333333,50.0,-68.182
223.49,121.031833333,85.7143333333,71.4283333333,151.587333333,60.3173333333,38.095,38.095,54.762,-51.1905
223.87,104.902166667,105.882333333,48.0393333333,138.235333333,65.6863333333,32.3526666667,22.549,41.1765,-67.647
224.24,71.0783333333,87.2546666667,-0.980333333333,99.0196666667,29.412,-17.6466666667,-6.86266666667,-2.9415,-110.294
