wavelength,Back_TerVirm,Belly_TerVirm,Breast_TerVirm,Crissum_TerVirm,Crown_TerVirm,DorTail_TerVirm,Rump_TerVirm,Throat_TerVirm,WingTip_TerVirm
358.02,39.6995,50.1754,52.9903333333,42.6785333333,55.2722,8.27466666667,44.9830666667,6.4362,8.37286666667
358.38,39.9994333333,50.5180666667,53.3804666667,42.9549333333,55.6489333333,8.32933333333,45.3314666667,6.56476666667,8.41466666667
358.75,40.1118333333,50.6146666667,53.6147333333,43.0303333333,55.8612666667,8.32806666667,45.4833333333,6.55163333333,8.43916666667
359.11,40.3365,50.9458666667,53.9456666667,43.2107333333,56.013,8.3868,45.6382,6.63136666667,8.54166666667
359.48,40.6709,51.3635333333,54.4087333333,43.5564666667,56.3945333333,8.47326666668,46.0552,6.7154,8.6694
359.84,40.9986,51.7622666667,54.92,43.8792,56.7932,8.611,46.3511333333,6.84086666667,8.79166666667
360.20,41.1937333333,52.0226,55.2556,44.0172,57.0518,8.67006666667,46.5954666667,6.89066666667,8.8017
360.57,41.2437333333,52.133,55.4112,44.0374,57.2224666667,8.47040000001,46.6999333333,6.70546666667,8.6717
360.93,41.3301,52.2252,55.5956666667,44.1223333334,57.3901333333,8.41086666667,46.771,6.63353333333,8.58716666667
361.29,41.5282666666,52.4151333333,55.8332,44.2972666667,57.6228666667,8.55226666667,46.939,6.7259,8.68716666667
361.66,41.6762,52.5849333333,56.0914666667,44.4823333333,57.8514666667,8.60619999999,47.0735333333,6.7945,8.69316666666
362.02,41.7005,52.692,56.1951333333,44.4985333333,57.9252666667,8.53720000001,47.0725333333,6.7725,8.6934
362.39,41.6066333333,52.5948,56.1498666666,44.376,57.8978666667,8.42606666667,46.9179333333,6.69973333333,8.62883333333
362.75,41.6503666667,52.6402,56.2334,44.3824,58.0270666667,8.3646,46.9429333333,6.6012,8.5292
363.11,41.7667666667,52.8204666667,56.4582666667,44.5491333333,58.3573333333,8.34913333333,47.0834,6.55506666667,8.5176
363.48,41.8504666667,52.8386666667,56.5888,44.5867333333,58.5870666667,8.22373333334,47.0213333334,6.41376666667,8.40683333333
363.84,41.8033666667,52.8942,56.5989333333,44.5572,58.7166,8.1246,46.9957333333,6.31313333333,8.3209
364.20,42.0507666667,53.1879333333,56.9159333333,44.8044666667,59.104,8.17133333333,47.2024,6.35873333333,8.3974
364.57,42.2684,53.445,57.191,45.0178666667,59.4072666667,8.29106666667,47.304,6.44,8.4724
364.93,42.4388,53.6755333334,57.4416,45.1717333333,59.7134666667,8.27366666667,47.4692,6.4505,8.45913333333
365.29,42.6389333333,53.9225333333,57.7819333333,45.3938,60.0625333333,8.16653333333,47.6602,6.40303333333,8.42243333333
365.66,42.7990666667,54.1332666667,58.0175333333,45.5508666666,60.3112666667,8.24493333333,47.7532,6.4646,8.5169
366.02,43.0465666667,54.389,58.3193333333,45.7784,60.6462,8.33253333333,47.9974666667,6.53023333334,8.56763333333
366.38,43.2715,54.6689333333,58.7266666667,46.0135333333,61.0463333333,8.37133333333,48.2042666667,6.4928,8.57893333333
366.75,43.4286666667,54.9482666667,59.119,46.2276,61.4311333333,8.2954,48.3826666667,6.43556666667,8.4946
367.11,43.5351666667,55.0980666667,59.3312,46.3353333333,61.6442,8.4092,48.5207333333,6.55556666667,8.57726666667
367.47,43.5807666667,55.2866,59.5724,46.4448666666,61.8392,8.41193333333,48.6416666667,6.57066666667,8.55533333333
367.84,43.7295,55.5088,59.8347333333,46.6233333333,62.1374,8.3058,48.7668,6.4459,8.39376666667
368.20,43.7533666667,55.56,59.9424666667,46.5945333333,62.2693333333,8.22646666667,48.6817333333,6.3581,8.28863333333
368.56,43.9018666667,55.797,60.1298,46.7615333333,62.5437333333,8.29793333333,48.8279333333,6.4148,8.3652
368.93,44.1084666667,56.1058666667,60.4632,46.9106,62.7982666667,8.362,48.9869333333,6.4405,8.42946666667
369.29,44.2027,56.2365333333,60.5922,46.9512,62.9634666667,8.36513333333,48.9898,6.3709,8.3903
369.65,44.2919,56.4117333333,60.7356,47.0292666667,63.2248,8.24473333334,49.0479333333,6.24703333333,8.298
370.01,44.2603333333,56.5916666667,60.8360666667,47.0727333333,63.4198,8.22626666667,49.034,6.2162,8.24563333333
370.38,44.4386,56.9848666667,61.194,47.3813333333,63.8855333333,8.30486666667,49.2426666667,6.29816666667,8.2863
370.74,44.4363,57.0524,61.1978,47.4172,63.8537333333,8.40946666667,49.1922,6.4494,8.43523333333
