wavelength,Back_LanAurm,Belly_LanAurm,Breast_LanAurm,Crissum_LanAurm,Crown_LanAurm,DorTail_LanAurm,Patch10_LanAurm,Patch11_LanAurm,Rump_LanAurm,Throat_LanAurm,WingTip_LanAurm
765.39,46.5123333333,55.545,51.8358,46.3936666667,7.12633333332,12.3225333334,47.4061333333,32.0953333333,48.3099333333,6.84473333333,12.5770666667
765.70,46.5053333333,55.5680666667,51.9284,46.3675333333,7.2114,12.3727333333,47.3226666667,32.1255333333,48.2724,6.7992,12.5753333333
766.01,46.6874666667,55.5745333333,52.0529333333,46.4246666666,7.30780000001,12.5561333333,47.5413666667,32.1854,48.4426,6.91813333333,12.7056
766.32,46.6526666666,55.2557333333,51.8232,46.2960666667,7.44166666667,12.7071333333,47.4753,32.0868666667,48.4642,6.98966666667,12.9032666667
766.64,46.5150666667,54.8656,51.6371333333,45.9938666667,7.28746666667,12.5008,47.3269333333,31.9962666667,48.1388,6.75793333333,12.806
766.95,46.3464,54.6572666667,51.3606,45.7214666667,7.15126666667,12.4638,47.1275,31.8064,47.8954,6.5738,12.6065333333
767.26,45.9924666667,54.4489333333,50.9992,45.5376666667,6.91526666666,12.2828,46.8974666667,31.4762,47.6433333333,6.4404,12.379
767.57,45.8778666667,54.1897333333,50.9064,45.4682666667,6.63646666666,12.0908,46.7295,31.2599333333,47.5556,6.12913333333,12.0511333333
767.88,45.5444,53.813,50.5443333333,45.0311333333,6.31900000001,11.9783333334,46.4425666667,31.0382666667,47.2328666667,6.03846666667,11.741
768.20,45.6002666667,53.6847333333,50.2617333333,44.9638666667,6.35706666666,12.1168666667,46.3202333333,31.0750666667,47.2023333334,6.1506,11.741
768.51,45.7048666667,53.6081333333,50.1932666667,44.921,6.08893333333,12.0078,46.2416666667,30.9771333333,47.0965333333,5.84233333333,11.4911333333
768.82,45.3375333333,53.163,49.7339333333,44.4568,5.5184,11.5926,45.8828,30.5886,46.6798666667,5.3324,10.9398666667
769.13,45.8046666667,53.3840666667,49.8638666667,44.6222666667,5.9326,12.1162666667,46.3384666667,30.8297333333,46.8294666667,5.87406666667,11.3131333333
769.44,45.6784666667,53.4202666667,49.8154666667,44.5414,6.07226666667,12.2937333333,46.1794,30.9446,46.6612,6.04513333333,11.4386
769.76,45.7801333333,53.6537333333,49.8370666667,44.4988,6.19726666667,12.4661333333,45.9666333333,31.1599333333,46.617,6.30493333333,11.5547333333
770.07,45.9938,53.7744,49.9496,44.6928666666,6.63880000001,12.9842666667,45.9966333333,31.34,46.7896,6.7114,11.7728
770.38,46.0569333333,53.8098,50.0240666667,44.7865333333,6.71213333333,13.1972666667,45.8768333333,31.4448,46.8622666667,6.92746666667,11.9041333333
770.69,46.2323333333,53.7733333333,50.1552,45.0043333333,6.87653333333,13.4281333333,45.9736333333,31.7343333334,47.0462666666,7.03186666667,12.1340666667
771.00,46.4753333333,53.9649333333,50.1868666667,45.163,7.33006666666,13.8028,46.2175666667,32.0729333333,47.055,7.39966666667,12.6204666666
771.32,46.8088666667,54.3754666667,50.6364,45.4738,7.38293333333,13.8572666667,46.5217,32.0514666667,47.3534666667,7.164,12.5636
771.63,46.8251333333,54.1283333333,50.7484666667,45.5251333333,7.55419999999,14.1609333333,46.5023666667,32.0364,47.3060666667,7.32406666667,12.7086666667
771.94,46.942,54.4893333333,50.9095333334,45.774,7.61386666667,14.3530666667,46.6334,32.1199333333,47.5231333333,7.48966666667,12.8491333333
772.25,46.7338,54.3486666667,50.8753333333,45.6632666667,7.64866666667,14.3489333333,46.56,31.9518,47.5268,7.50833333333,12.9673333334
772.56,46.1270666667,53.879,50.645,45.1999333334,6.96746666666,13.7208666667,45.8867666667,31.4138666667,47.1008,6.95193333333,12.3442
772.87,46.4539333333,53.9208666667,50.8782,45.3994,6.55540000001,13.4190666667,45.9710666667,31.3102,47.2575333333,6.6604,11.9866
773.18,46.2927333333,54.0033333333,50.9723333333,45.6911333333,6.08459999999,12.8064666667,46.1723,31.0602,47.2714666667,6.09426666667,11.5448
773.50,46.5136666667,54.4682666667,51.2498,45.9610666667,5.87433333334,12.5544,46.6317,31.1466666667,47.7018,5.77473333334,11.3763333333
773.81,46.1856666667,54.3937333333,51.084,45.6572666667,5.47426666667,12.0257333334,46.5921,30.8842,47.5914666667,5.19986666667,10.8570666667
774.12,46.1298666667,54.5034666667,51.1134,45.376,5.06286666667,11.8670666667,46.3069666666,30.6212666667,47.4271333333,4.95606666666,10.4250666667
774.43,45.4114,53.6929333333,50.5185333333,44.7233333333,4.46053333333,11.4903333333,45.581,30.0138,46.6978,4.585,9.95153333333
774.74,45.2524,53.4542,50.1382666667,44.6957333333,4.69213333334,11.6597333334,45.5151666667,30.2454,46.6218,5.04146666667,10.2316666667
775.05,45.1890666667,53.7344666667,50.0792,44.5839333333,4.20053333334,11.0642,45.5902,30.1846,46.6032666667,4.72826666667,9.89973333333
775.36,45.0591333333,53.7326,50.2561333333,44.5856666667,4.29979999999,11.1005333333,45.5926,30.3054666667,46.868,4.85773333333,9.88166666668
775.67,45.7008666667,54.4499333333,50.7879333334,45.2450666667,4.44446666667,11.2152666667,46.0635333334,30.6875333333,47.478,4.9076,9.91206666666
775.98,45.81,54.3045333333,50.5663333333,45.0825333333,4.64873333333,11.4192666667,45.9534333333,30.7490666667,47.4409333333,5.0072,10.1648
776.30,45.2396,53.7700666667,49.9539333333,44.6574666666,4.62200000001,11.356,45.2893,30.465,46.7944666667,4.89526666667,10.3195333333
776.61,44.6319333333,53.0466,49.3558666667,43.8038666667,4.3418,11.1853333333,44.5363,30.0176666667,46.2385333333,4.6284,10.1168
776.92,44.6408,52.9749333333,49.4056,43.7502,4.27166666667,11.2471333333,44.3445666667,29.9804666667,46.1981333333,4.7082,10.0905333333
777.23,44.9224,53.2548,49.6237333333,43.9843333333,4.3268,11.3464666667,44.2804666667,30.2514666667,46.3635333333,4.80473333333,10.2443333333
777.54,45.1768,53.4583333333,49.8106666667,44.341,4.86253333334,11.6219333333,44.7338333333,30.5394666667,46.6880666667,5.12306666666,10.7932666667
777.85,45.4168666667,53.7760666667,50.2124666667,44.6598666667,5.41340000001,12.0192666667,44.9667333333,30.8837333333,47.1130666667,5.574,11.1765333333
778.16,45.0528666667,53.3190666667,49.9049333333,44.4468,5.11393333333,11.7697333333,44.5005666667,30.5505333333,46.7169333333,5.05286666667,10.7226
778.47,45.0641333333,53.1336,49.7252666667,44.536,5.53886666667,12.0663333333,44.3361333333,30.6638,46.4916666667,5.339,10.8672
778.78,45.5863333333,53.376,49.8472666667,44.8649333333,6.36813333333,12.8570666667,44.7051666667,31.1370666667,46.5635333333,6.07673333333,11.5957333333
779.09,45.4534,53.0016666667,49.6296666667,44.6737333333,6.83253333334,13.2945333333,44.6086666666,31.3122,46.2786666667,6.57146666667,11.9331333333
779.40,45.1922666667,52.9931333333,49.3604,44.5508,6.81906666667,13.1702666667,44.5384333333,31.214,46.1598666667,6.532,11.7952
