wavelength,Back_RamMelm,Belly_RamMelm,Breast_RamMelm,Crissum_RamMelm,Crown_RamMelm,DorTail_RamMelm,Rump_RamMelm,Throat_RamMelm,WingTip_RamMelm
758.81,9.35246666667,10.0962666667,24.4466,34.7856666667,9.2256,9.24546666667,44.8316666667,20.3520666667,7.94199999999
759.13,9.41180000001,10.2061333333,24.4162666667,34.7894,9.3078,9.34886666667,44.8264,20.3168666667,8.1294
759.44,9.73046666667,10.6122666667,24.8445333333,35.3869333333,9.63873333333,9.6278,45.4882,20.6263333334,8.59573333334
759.75,9.6274,10.5756666667,24.9361333333,35.6212,9.80013333333,9.67773333334,45.7970666667,20.8521333333,8.75099999999
760.07,9.45626666667,10.3234666667,24.7161333333,35.395,9.64153333334,9.49773333333,45.6881333333,20.6255333333,8.59753333334
760.38,9.3404,10.1162,24.8189333333,35.3896,9.60333333334,9.35773333333,45.8319333333,20.4348,8.52719999999
760.69,9.45046666666,10.1954,24.8018,35.3702666667,9.66693333333,9.41653333333,45.5718,20.4072666667,8.62933333334
761.01,9.45793333333,10.2972666667,24.6774666667,35.2854666667,9.67793333334,9.40853333333,45.4324,20.4484,8.70306666666
761.32,9.32946666666,10.1183333333,24.5882,35.1078,9.5064,9.31340000001,45.3234,20.2900666667,8.57033333333
761.63,9.41099999999,10.2693333333,24.6607333333,35.0802666667,9.66779999999,9.43573333332,45.3287333333,20.2968666667,8.63833333333
761.94,9.50526666666,10.317,24.7252666667,35.0368666667,9.73213333334,9.46886666666,45.1738,20.2306666666,8.81133333333
762.26,9.53440000001,10.2306666667,24.7045333333,34.9699333333,9.67699999999,9.48726666667,45.3486,20.2106666667,8.73326666667
762.57,9.56759999999,10.179,24.8361333334,35.0454666667,9.56766666666,9.51860000001,45.5742,20.2989333333,8.7302
762.88,9.07219999999,9.72666666667,24.4133333333,34.4248666667,9.09500000001,9.10326666667,45.0744666667,19.8624666667,8.14106666667
763.20,8.74213333333,9.41366666667,24.1109333333,34.0384666667,8.65066666667,8.755,44.6794666667,19.4730666667,7.76220000001
763.51,8.8668,9.62373333333,24.2809333333,34.1858666667,8.78886666666,8.9016,44.8872666667,19.6047333333,7.85406666666
763.82,8.69093333333,9.57526666668,24.0802666667,34.0392,8.67986666667,8.84093333333,44.7860666667,19.5123333333,7.73099999999
764.14,8.69039999999,9.62953333333,24.1752666667,34.1191333333,8.67913333333,8.85326666667,44.9258,19.4937333333,7.7512
764.45,8.648,9.62146666666,24.1368,34.0854,8.60733333333,8.83353333333,44.9442,19.3958666667,7.71840000001
764.76,8.87653333334,9.85953333333,24.2562,34.2276,8.855,9.0654,45.0451333333,19.5284,7.87700000001
765.07,9.04413333334,9.9,24.3743333333,34.4152,8.96773333333,9.24766666667,45.3378666667,19.734,8.10686666667
765.39,9.28193333333,10.0628666667,24.6427333333,34.5327333333,9.16906666668,9.50959999999,45.6348,19.9325333333,8.26273333333
765.70,9.15426666667,10.0709333333,24.5588666667,34.4342666667,9.14846666665,9.54946666667,45.5868666667,19.8446666667,8.23173333334
766.01,9.07146666667,10.1552666667,24.4851333333,34.4393333333,9.1122,9.49359999999,45.4855333333,19.7584666667,8.08933333334
766.32,9.36373333334,10.4438,24.6946666667,34.8134,9.31873333333,9.69966666665,45.6165333333,19.9486666667,8.34140000001
766.64,10.0267333333,11.0618666667,25.2173333333,35.3786666666,9.93273333332,10.2844666667,46.1514666667,20.4257333333,8.8172
766.95,9.9918,10.9268666667,25.0368666667,35.2198,9.87033333335,10.323,46.0534,20.3638,8.76066666667
767.26,10.1822,11.0083333333,25.272,35.345,9.9076,10.3474666667,46.2219333333,20.5344666667,8.87759999999
767.57,10.3195333333,11.1045333334,25.4481333333,35.3892666667,10.1142,10.5477333333,46.4962,20.7245333333,9.08120000001
767.88,10.1221333333,10.921,25.4044666667,35.3005333333,9.9714,10.4188666667,46.547,20.6010666667,8.84453333334
768.20,9.85373333333,10.605,25.1024666667,35.0315333333,9.66606666667,10.2456,46.4305333333,20.4212,8.61153333333
768.51,9.87166666666,10.6948666667,25.0974,35.2506666667,9.6174,10.297,46.396,20.4393333333,8.66693333333
768.82,10.0382666667,10.9780666667,25.2626,35.4848,9.82313333332,10.5705333333,46.412,20.6512,8.89173333334
769.13,10.7931333333,11.53,25.8865333333,35.9890666667,10.4145333333,11.1977333333,46.7013333333,21.2773333333,9.56213333333
769.44,10.9829333333,11.567,25.9183333333,36.0122666667,10.625,11.4583333333,46.7576666667,21.4759333333,9.92066666669
769.76,10.9306,11.6102,25.8608,36.1298666667,10.6811333333,11.6042,46.8018666667,21.6118666667,10.0345333333
770.07,10.7581333333,11.5562,25.8074,36.0772666667,10.5432666667,11.5317333333,46.6266666667,21.5685333333,9.93553333335
770.38,11.3682,12.2388,26.5390666667,36.648,11.1348666667,12.0243333333,46.9682666667,22.189,10.538
