wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
193.99,-248.0,-276.0,-272.0,119.333333333,-327.333333333,-139.333333333,-192.333333333,-324.0,-197.333333333
194.37,-149.7436,-221.538466667,-158.974333333,113.846133333,-237.435933333,-80.5128000001,-134.8718,-276.41,-140.000066667
194.75,2.33333333334,-30.3333333332,-14.8333333333,74.0,-30.4999999999,19.8333333333,2.91666666666,-47.1666666666,-13.0000000001
195.13,-24.2856,-66.9046000001,-55.2380666667,76.4285333333,-69.0474666667,4.76186666666,-32.6190333333,-97.3808666668,-58.5713999999
195.51,-17.5999999999,-65.8666666667,-47.4666666666,101.333333333,-61.8666666667,16.8000000001,-22.6666666666,-104.8,-60.5333333335
195.89,-24.2859333334,-71.1904666666,-37.1428,87.6190000001,-51.9047333332,13.5714000001,-16.1904666667,-110.476066667,-60.0
196.27,-3.96393333327,-51.5313333334,-16.2161999999,85.2254000001,-28.4685333333,19.0991333334,5.76576666667,-66.6666666667,-40.5406000001
196.65,16.3218666667,-62.7585333334,-13.3333999999,129.6552,-21.6091999999,36.0920666666,6.20693333335,-76.3219333332,-44.5978
197.03,43.8597333334,-12.807,16.1402666666,132.456066667,16.1404666667,61.7544000001,41.4912666667,-29.8246,-5.61413333327
197.40,54.503,18.5966000001,39.1814,113.216333333,40.5848,67.2514666667,59.7661333333,10.5262666667,15.2048666667
197.78,61.8751333333,31.0418000001,41.1458666667,112.5002,47.3958666667,66.6667999999,67.6563333333,21.3542,22.7084666667
198.16,58.0852,39.2199333333,38.0851333333,87.4469333334,46.8793333334,60.5672666667,62.4113666666,32.8369333334,31.7730666667
198.54,52.3176,34.1586,29.6508,79.7459333333,40.0634,53.3968,55.9048,29.9046666667,30.0951333333
198.92,41.0774,22.6262666667,19.6631333334,70.2357333333,30.6399333333,40.1346666667,44.6127333333,15.825,21.1446
199.30,44.6104666667,26.9782,23.3021333333,71.2149333333,36.137,44.9844,48.6292,22.0561333333,29.7195333333
199.68,48.3672666667,26.1905333333,20.8844,74.8980666667,40.3401333333,50.0,52.687,24.4897333333,30.1361333333
200.06,52.9372666667,28.8448666666,20.9242,76.0396,42.9704,52.1451333334,53.1353,29.3729333333,30.8912666666
200.44,60.6896666667,30.8810666667,21.226,85.9770666667,44.9808666667,60.1533333333,56.0919,28.8889333333,35.8620666667
200.82,58.1362666666,28.8888666667,21.6486666667,75.2687333334,41.7204666667,57.4194666667,57.4552333333,28.2436,35.2688000001
201.19,69.1358,29.6294666666,25.679,86.996,49.1358666667,64.6914,64.5680333333,36.6256,38.7652666667
201.57,66.3248666667,17.8632,14.9572,82.9060000001,42.6495333333,58.0342,59.4017666666,27.2649333333,31.9658
201.95,61.1236,15.206,18.2020666667,75.6556000001,40.0,55.5056,52.6966666667,28.3145333333,29.5879999999
