wavelength,Back_HemRusm,Belly_HemRusm,Breast_HemRusm,Crissum_HemRusm,Crown_HemRusm,DorTail_HemRusm,Patch10_HemRusm,Rump_HemRusm,Throat_HemRusm,WingTip_HemRusm
193.99,48.16313333,93.60553333,104.7618,100.9523333,122.313,100.4082,74.0136,70.61226667,51.0885,76.46273333
194.37,18.28573333,99.23813333,109.3333333,98.66653333,128,92.5714,72.5714,64.762,34.57143333,70.28566667
194.75,-24.19746667,76.2964,86.91353333,68.39506667,109.1358667,60.7408,43.95053333,30.1234,-18.02463333,33.33333333
195.13,-37.77786667,76.82546667,95.55546667,83.80946667,134.2857333,65.71433333,51.42853333,32.69833333,-21.42856667,27.93666667
195.51,-60,45.66666667,69,69.33333333,107,36,32.33333333,1,-66.5,3
195.89,-375.8333333,-183.3333333,-77.5,-55.83333333,10,-113.3333333,-135.8333333,-217.5,-404.1666667,-203.3333333
196.27,5.03E+15,3.34E+15,2.19E+15,1.83E+15,1.07E+15,2.23E+15,2.28E+15,3.30E+15,5.39E+15,3.20E+15
196.65,788,582.6666667,345.3333333,294.6666667,213.3333333,344,340,506.6666667,877.3333333,533.3333333
197.03,319.1666667,247.9166667,171.6666667,158.75,150.4166667,157.9166667,163.3333333,236.6666667,344.375,236.6666667
197.4,847.7776667,738.889,522.2222667,419.9999333,447.7778667,438.8888667,464.4444667,687.7778667,1008.333267,621.111
197.78,2066.666733,1911.1112,1446.666667,1228.888867,1268.888933,1320.000067,1380,1811.111067,2357.777733,1657.777733
198.16,-2273.333333,-2175.555467,-1733.3334,-1380,-1626.666733,-1631.111133,-1608.888867,-2131.111,-2537.777633,-1922.222267
198.54,-589.6968667,-614.5454667,-501.2120667,-370.303,-453.3333333,-430.303,-447.8788667,-604.2424667,-725.7575667,-509.0908667
198.92,-774.1666667,-818.3333333,-635,-481.6666667,-574.1666667,-519.1666667,-589.1666667,-770.8333333,-954.1666667,-610
199.3,-7826.666667,-8093.333333,-6580,-5573.333333,-6020,-5546.666667,-6240,-7566.666667,-9243.333333,-6306.666667
199.68,672.3076667,691.282,571.2819333,493.8460667,526.1538667,459.4871333,552.8205333,655.3846,783.077,547.6924
200.06,990,964.1666667,805,688.3333333,724.1666667,643.3333333,810.8333333,980.8333333,1167.916667,798.3333333
200.44,1262.8574,1204.761867,1040.9524,914.2856667,924.7618,831.4284667,1068.571333,1274.2856,1466.190233,1054.2858
200.82,1914.666667,1742.666667,1589.333333,1421.333333,1438.666667,1288,1636,1886.666667,2119.333333,1625.333333
201.19,4930,4603.333333,4260,3690,3893.333333,3456.666667,4370,4983.333333,5543.333333,4246.666667
201.57,637.7778667,590.3703333,544.0741333,485.1851333,509.6297333,479.2593333,559.6295333,634.0741333,703.3334,566.6665333
201.95,399.7916667,372.2916667,351.25,310,325,313.125,345.4166667,396.6666667,437.9166667,362.0833333
202.33,310.9524,286.9840667,266.1904667,248.8888667,250.3173333,243.9682,275.5555333,307.4604,344.1270667,280.3175333
202.71,363.6036,321.8016667,296.2162,280.1801333,286.4865333,282.8829333,310.4504667,349.3693333,381.3514,319.0992
203.09,399.8095333,349.1427333,328.9523333,300.5714667,311.6190667,309.9047333,336.1905333,379.238,404.8571,352.5714667
203.47,344.5528,297.0732667,286.179,259.1868,272.5202667,268.1300667,294.1464,332.3578,350.4064667,302.7642
203.85,482.9886667,414.7126,399.3104,362.2988667,380.4596667,382.0689333,402.5286,460.4598667,479.6552,434.9426
204.22,402.3424,358.1981333,331.5315333,310.0899333,318.1982,328.6484667,332.6126,386.3062,397.8379667,373.1532
204.6,287.4829333,256.7346,239.0475333,225.034,232.9251333,239.1836667,241.0882667,280.2721333,286.5306333,270.2040667
204.98,241.2643333,215.7471333,202.069,194.138,199.6550667,200.4597333,206.6666667,237.1264,247.1840667,226.7816667
205.36,224.8587333,200.226,185.3108,182.8248,184.7457333,183.1638667,189.4914,216.2711333,234.9151333,209.6045333
205.74,210.1696667,192.2033333,174.1242667,175.9321333,175.0282667,168.1356,176.7230667,199.9999333,223.7287667,196.2712
206.12,213.2142667,195.5952667,175.8333333,179.881,177.6190667,172.5,180.1190667,205.1189333,225.2381,203.6905333
206.5,190.4616,181.1281333,164.3078,162.6666667,163.4872667,159.1795333,163.1794,183.9999333,202.1538,185.5384667
206.87,144.2635333,138.6046667,126.9769333,122.4808,124.806,117.6744,126.4342,142.1704667,157.2867667,141.2403333
207.25,135.8332667,132.0834,121.1806,119.514,123.8888667,113.4027333,121.3889333,135.625,149.6528667,134.0972667
207.63,135.1815333,131.2210667,120.528,120,124.6204,114.6535333,120.0660667,136.1055333,150.0001,133.3334
208.01,131.5094,123.5849333,116.6038,117.0439333,121.3206667,111.3837333,117.7986,131.1321333,144.8743333,125.4088
208.39,125.0596667,114.4048667,111.3691333,112.6786,119.2260667,104.4047333,112.6190667,123.6308667,137.8571,116.8453333
208.77,125.6812667,116.1738667,111.0724667,114.3186667,122.7824667,106.6088,112.5216667,123.0144667,135.7391,115.4202667
