wavelength,Back_ChlPhof,Belly_ChlPhof,Breast_ChlPhof,Crissum_ChlPhof,Crown_ChlPhof,DorTail_ChlPhof,Patch10_ChlPhof,Patch11_ChlPhof,Patch12_ChlPhof,Rump_ChlPhof,Throat_ChlPhof,WingTip_ChlPhof
184.49,123.4568,158.7654,96.2962666668,55.8025333335,94.8147333333,173.827066667,35.5554666667,168.1482,131.358133333,7.6544666666,42.2221333333,83.7035333334
184.87,75.4022,115.402333333,65.9770666667,18.161,55.1722666666,132.873466667,-4.36793333348,130.8046,89.4252000001,-14.0229333331,8.73566666674,63.4481333333
185.25,72.3457333334,117.530933333,61.2346000001,13.8272,45.4320666666,116.543133333,-9.1358,120.740733333,80.4938666667,-14.5678666667,-12.8395333333,55.0616666667
185.63,68.5416666665,105.0,46.6666666666,16.2499999999,38.9583333334,76.4583333333,-4.375,96.2499999999,78.7499999999,-2.91666666666,-10.8333333332,42.7083333334
186.01,54.9425333332,78.6206000001,47.3563333333,30.3448666667,38.0458,58.9655333333,19.6553333333,68.6205333333,59.6551999999,27.3562,9.5402,46.3217333334
186.39,50.1448666667,76.5218666666,46.9565333333,33.6232666667,37.9710000001,56.1353333333,30.0482666667,62.9951333333,58.8405333333,34.2995333334,14.0098,44.3477333333
186.77,41.941,63.038,42.7004666667,26.8356,30.211,48.7763333333,23.8818666667,55.5273333333,50.3797333333,30.8860666667,14.7678666667,41.4347333333
187.15,40.9722666666,58.125,44.9305333333,29.9999333333,34.2360666667,48.5416666667,30.9028666666,52.0833333333,50.4167333333,33.9584,21.5278,43.4722666667
187.53,38.0272666667,59.3878,46.2584666667,26.9387333333,35.1021333333,44.3535333333,29.7279333333,50.1362,48.0272,34.0816666667,20.5441333333,41.7684666667
187.91,26.1954,49.8989333333,41.2121333333,19.5286666667,25.5218666667,33.6028,20.6060666667,39.3265333333,40.8754,23.5017333333,11.7172,33.9394666667
188.29,25.9848,54.3938666667,42.1211333333,18.1060666667,22.1969333333,33.8636,18.0303333333,39.7728,41.5908,24.7726666667,13.0303333334,34.9242666667
188.67,24.7966666667,59.9186,42.5204,15.6099333333,21.8698,34.3089333334,21.7074,41.7073333333,45.8536,25.8536,15.4471333333,36.6665333333
189.05,25.4460666667,67.6994666667,42.8168666666,13.7088,24.8827333333,36.3380666667,24.7887333333,44.9764666667,52.7700666667,20.5634666667,19.3426,30.4224666667
189.43,27.2072,69.4594000001,48.4683999999,19.0992,29.9098666667,38.3784,29.4594,52.7928,64.8648,25.7658,31.2612,35.5856666667
189.81,24.8401333333,73.4246666667,55.0685333334,23.379,34.1552666666,44.4746666667,32.1461333333,60.5479333333,71.9633333333,29.589,37.5342666667,43.0137333333
190.19,24.8244666667,71.2281333334,53.0702,21.4034666667,37.4562,42.193,37.1053333333,60.5264,74.9123333333,23.6842,41.4912,36.4912666667
190.57,-12.2449333334,69.1157333333,43.6735333334,-10.068,9.79593333333,19.5920666667,22.585,54.8299333333,76.1905333332,-5.03400000006,26.3946666667,18.0951333333
190.95,-44.1442000001,73.5135333333,26.4864666667,-38.3783333333,-9.36939999998,-2.3424666666,13.3332666667,40.1802,85.5855333335,-35.3153333334,10.0902,-4.50446666668
191.33,-138.095266667,68.8888666668,-27.3015333332,-130.158733333,-82.8572666667,-48.2538,-41.9048,27.6189999999,87.3014666667,-127.619066667,-48.8889333332,-74.6030666667
191.71,-388.888866667,103.703666667,-114.8148,-339.259266667,-257.037066667,-196.296266667,-148.888866667,15.5554666668,128.888733333,-293.333333333,-151.851866667,-186.6668
192.09,-415.0,142.5,-124.166666667,-375.833333333,-241.666666667,-180.833333333,-130.0,58.3333333333,153.333333333,-262.5,-137.5,-180.833333333
192.47,-495.238133334,112.380866667,-172.380933333,-423.8096,-241.904866667,-214.285733333,-97.1428,93.3334666667,155.238,-299.047599999,-159.0476,-233.333533333
192.85,-214.901933333,36.4705333333,-71.3728000001,-175.294333333,-95.2941999998,-65.8824666667,-42.3530666667,34.9018666666,60.3921333335,-148.627533333,-88.2353333333,-94.5097333333
193.23,-76.3810000001,42.2856666666,5.71426666667,-48.5714666667,-15.4286,-3.42853333327,10.4762666667,38.6668,59.0475333334,-29.3334666666,-18.0953333333,-2.47613333333
193.61,-119.354866667,11.1828666667,-43.4407999999,-98.0644666668,-53.3333333333,-47.0966666666,-18.4946666667,-4.08613333333,11.8279333333,-64.0858,-62.3654666668,-32.2581333333
193.99,-166.4,-32.8000000001,-89.0666666665,-142.4,-109.066666667,-86.1333333333,-51.4666666667,-53.6000000001,-29.3333333334,-101.866666667,-108.8,-66.6666666667
194.37,-265.5556,-80.7408000001,-148.148,-214.8148,-164.814733333,-127.7776,-102.2222,-93.3333333335,-67.4074666665,-141.1112,-194.814933333,-102.592466667
194.75,-146.666666667,-43.4666666666,-92.7999999998,-121.066666667,-74.1333333334,-64.5333333334,-58.9333333333,-45.0666666668,-30.1333333333,-67.7333333333,-120.8,-53.8666666668
195.13,-233.333266667,-85.0981333333,-164.705933333,-185.490066667,-97.6470666666,-101.176533333,-112.549133333,-110.196066667,-78.4314000001,-101.5686,-190.588266667,-108.235266667
195.51,-365.714466667,-168.571466667,-252.380933333,-266.666666667,-171.904866667,-210.476266667,-180.000066667,-217.619,-162.857133333,-160.476066667,-269.5238,-184.761866667
195.89,-195.2,-90.1333333334,-136.8,-137.866666667,-82.6666666667,-101.866666667,-77.0666666667,-124.8,-69.8666666665,-83.9999999999,-135.733333333,-103.466666667
196.27,-260.7406,-151.851866667,-175.925933333,-192.222266667,-118.888866667,-157.407266667,-111.1112,-193.703666666,-104.074133333,-113.333266667,-179.629666667,-157.777866667
196.65,-274.4446,-145.555666667,-177.4074,-200.370333333,-140.0,-167.407333333,-119.6296,-230.740866667,-108.148066666,-114.444333333,-183.333466667,-154.444466667
197.03,686.666733334,448.148266667,493.333333333,535.555666667,426.6666,519.259066667,388.8888,624.444533334,391.111,330.3704,533.333200001,479.2592
197.40,317.2222,235.833333333,249.722266667,262.500066667,239.722266667,265.833333333,205.5556,298.055466667,217.499933333,188.333266667,268.611,231.6668
197.78,389.583333333,282.083333333,287.083333333,302.5,288.75,328.333333333,222.916666667,381.25,245.416666667,215.833333333,351.25,267.916666667
198.16,461.538466667,291.282066667,327.179466667,336.923066667,312.3076,377.4358,186.666666667,422.051333333,269.230933333,211.794733333,394.359,316.410266667
198.54,396.078466667,251.764666667,292.941266667,294.117666667,282.7452,335.294133333,165.4902,368.627466667,254.902,200.0,321.176533333,278.823466667
198.92,427.777733333,267.7778,282.962933333,306.2962,313.703733333,341.1112,184.4444,397.037,262.222266666,226.666733333,317.037133333,290.740733333
199.30,342.222266667,233.333266667,233.055533334,253.888866667,271.3888,286.111066667,146.1112,313.6112,225.2778,209.444466667,254.444466667,223.8888
199.68,275.632133333,199.999933333,191.2644,219.310466667,232.8736,237.011533333,124.827533333,261.609133333,183.2184,178.850533333,220.9196,185.7472
200.06,246.666666667,195.1516,177.373733333,202.4242,216.969733333,229.090933333,113.333333333,238.989733333,182.626266667,169.697,215.555533333,164.444333334
200.44,527.555666666,392.888866667,365.7778,410.222266667,477.333266667,483.111066667,208.444466667,500.000066667,372.444466667,358.6666,458.222199999,339.111133334
200.82,1853.33333333,1475.0,1233.33333333,1411.66666667,1688.33333333,1751.66666667,688.333333333,1796.66666667,1316.66666667,1260.0,1613.33333333,1218.33333334
201.19,-430.2222,-331.999933333,-276.8888,-292.0,-399.555466667,-419.111066667,-113.333266667,-419.555533333,-279.5556,-266.222133333,-336.889066667,-261.7778
201.57,-166.0214,-128.602066667,-90.1075333332,-95.6989333333,-155.269,-164.516066667,-10.9677333333,-153.118266667,-102.365466666,-84.5160000001,-112.688,-87.0966000001
201.95,-164.902,-131.176466667,-81.1766,-92.7451333334,-154.902066667,-148.2352,-22.5491333334,-145.4902,-109.411733333,-82.3530666667,-102.5492,-80.0000000002
202.33,-286.666666667,-262.666666667,-177.333333333,-200.533333333,-285.066666667,-284.266666667,-114.666666667,-269.6,-226.933333333,-186.4,-210.933333333,-172.266666667
202.71,-205.161333333,-198.064466667,-132.043,-141.720266667,-209.247333333,-223.4408,-76.7742,-206.4516,-172.688133334,-138.924733333,-152.258133333,-113.548466667
203.09,-362.105333333,-340.0,-254.035133333,-250.175466667,-342.4562,-401.4034,-148.070133333,-356.8422,-312.631533333,-229.824466667,-293.684066667,-191.579
203.47,-190.303,-169.696933333,-119.797933333,-111.111066667,-165.2526,-216.161666667,-63.6364,-177.373733333,-155.5556,-95.5554000001,-148.686933333,-87.2727999999
203.85,-116.3398,-96.6012666666,-77.6470666667,-62.3529333333,-93.8563333333,-139.085,-26.4052666667,-107.7124,-100.653733333,-57.1242666667,-80.6538000001,-50.5881333333
204.22,-109.5062,-81.6048666668,-71.2345333334,-51.8517333334,-80.2468666667,-122.098666667,-18.8888666667,-97.9013333333,-88.1480666667,-45.0618,-66.2964666666,-45.1852666666
204.60,-216.363733333,-168.484933333,-154.141466667,-108.0808,-156.767533333,-236.363733333,-56.7675999999,-194.1414,-184.444466667,-99.1919333334,-136.363733333,-96.5656000001
204.98,-303.733333333,-246.133333333,-221.066666667,-175.2,-228.0,-332.0,-67.2000000001,-270.933333333,-282.666666667,-146.666666667,-197.866666667,-133.6
205.36,-424.912266667,-374.737,-331.578933333,-279.298266667,-332.982466667,-470.526266667,-115.789466667,-397.894533333,-414.385933333,-235.087733334,-294.385933333,-197.894666666
205.74,-1130.83333333,-1013.33333333,-933.333333335,-736.666666667,-843.333333333,-1246.66666667,-379.166666667,-1113.33333333,-1084.16666667,-639.166666667,-810.833333333,-605.833333334
206.12,-544.4444,-490.222266667,-447.111066667,-330.222133333,-364.444466667,-611.555466667,-133.777666667,-516.444266667,-524.8888,-274.222133333,-365.7778,-262.666733333
206.50,-454.1178,-396.862733334,-353.333266667,-263.9216,-283.137266667,-505.882333333,-92.9412,-427.058866667,-445.882266667,-203.5294,-294.117666667,-209.411666667
206.87,-492.083333333,-450.833333333,-371.666666667,-303.75,-332.916666667,-556.666666666,-119.583333333,-443.333333333,-495.416666667,-230.833333333,-332.5,-257.916666667
207.25,-224.6666,-215.3334,-171.777733333,-139.333133333,-167.5556,-265.333333333,-37.9999999999,-212.888866667,-238.4444,-110.666666667,-139.777733333,-126.444533333
207.63,-216.7678,-212.121333333,-169.696866667,-146.6666,-176.3636,-249.697066667,-49.8989999999,-215.1516,-233.737333333,-122.424266667,-137.575866667,-140.6062
208.01,-377.255,-404.706066667,-278.039266667,-249.803933333,-329.019666667,-459.999933333,-76.8628666666,-384.313733334,-429.4118,-196.4706,-252.549066667,-232.941066667
208.39,-164.571466667,-192.190533333,-117.5238,-109.142866667,-148.5714,-214.095266667,-28.1904,-169.9048,-199.4286,-85.5238,-115.619066667,-100.571533333
208.77,-96.9231333333,-116.4102,-68.0769333333,-64.1024,-84.1024666666,-124.743666667,-6.79493333335,-97.9488000001,-125.8976,-44.9999999999,-67.1794666666,-55.1282000001
209.14,-81.4689333333,-98.8701333334,-57.2881333333,-46.8927999999,-66.4407333334,-100.338866667,-10.1695333333,-77.1751333333,-101.920933333,-34.0113333333,-56.2712666667,-43.9546666666
209.52,-50.9859333333,-69.3897333333,-32.4882666667,-22.5351333333,-38.1221333333,-71.2675333333,5.72766666666,-44.9764666667,-73.6150000001,-11.3614666666,-35.1174,-24.7888666667
209.90,-39.9146,-60.0854666667,-22.8205333333,-20.6837333333,-29.5727333333,-62.3932,11.1964666667,-35.8974,-61.7949333333,-6.23926666666,-27.0086666667,-20.5982
210.28,-58.8716666666,-89.2307333333,-42.5641333333,-39.1794666667,-51.2820666667,-96.5128666666,-6.25633333333,-63.1795999999,-88.7179333333,-25.7434666666,-50.6666666666,-51.2821333333
210.66,-19.5934666667,-50.7318,-7.39826666665,-1.626,-14.7967333334,-50.6504666667,19.3496,-23.3333333333,-44.065,1.4634,-14.4716666667,-12.5204
211.03,-14.6321333333,-49.4372,-6.66666659999e-05,6.40693333332,-9.87013333336,-51.2555333333,23.2034,-24.7618666667,-38.5280666667,7.79226666667,-10.9955999999,-4.50213333333
211.41,-30.9523333333,-71.4284666666,-14.1905333333,-2.38106666666,-20.0952666667,-72.5713333333,14.0952,-39.5237333333,-59.3332666667,-3.90473333333,-29.5238666666,-18.762
211.79,-48.6524666667,-125.673733333,-28.0850666667,-7.23413333334,-40.5673333333,-122.1278,13.3332666667,-66.0992666666,-98.8651999999,-21.9858000001,-56.1701333333,-24.8226666667
212.17,-70.4761999999,-142.993133333,-48.0271333333,-31.7006000001,-61.3603999999,-127.619066667,-2.99333333333,-84.898,-111.4286,-40.5442666667,-68.8437333334,-38.5034000001
212.55,-110.256466667,-197.265133333,-77.7777333333,-57.0941333333,-97.2649333334,-173.1624,-17.6068,-120.854666666,-154.188,-72.4786666666,-95.0427333334,-62.7350000001
212.92,-125.740733333,-213.3334,-84.0741333333,-66.8517333334,-112.962933333,-187.407333333,-21.8518,-133.518466667,-169.814866667,-79.2592666666,-100.926,-62.4074000001
213.30,-407.222133333,-675.0,-279.4444,-233.333333333,-381.6666,-628.333266667,-123.3334,-444.444466667,-554.4444,-294.4444,-330.000133333,-233.888933333
213.68,-564.0,-838.666666667,-382.0,-335.333333333,-538.666666667,-787.333333333,-218.666666667,-588.666666667,-716.666666667,-444.0,-428.666666666,-349.333333333
214.06,-1181.33333333,-1649.33333334,-796.0,-667.999999999,-1084.0,-1584.0,-537.333333333,-1130.66666667,-1477.33333333,-954.666666667,-909.333333332,-637.333333333
214.44,-586.666666667,-768.0,-392.0,-310.0,-509.333333333,-745.333333333,-210.666666667,-532.666666666,-734.0,-464.666666667,-429.333333333,-259.333333333
214.81,-7506.66666667,-8673.33333333,-5380.0,-4553.33333333,-6726.66666667,-8993.33333334,-3320.0,-6686.66666667,-8486.66666668,-6039.99999999,-5660.0,-4153.33333333
215.19,-2780.0,-3019.99993333,-2020.00006667,-1748.88893333,-2331.11113333,-3026.6666,-1171.11113333,-2313.33346667,-3155.55546667,-2128.88886667,-1988.88886667,-1526.66666667
215.57,-635.000066667,-689.444466667,-437.222266667,-418.8888,-537.222133333,-686.6668,-236.6666,-512.777666667,-747.777733333,-460.555466667,-429.999933333,-281.666533333
215.95,-293.333333334,-280.4762,-186.190466667,-176.9048,-224.5238,-290.4762,-110.238066667,-223.0952,-320.4762,-181.190466667,-193.571466667,-139.2856
216.32,-261.777733333,-235.111066667,-154.2222,-145.7778,-189.333466667,-265.3334,-84.4444666667,-177.3334,-288.222266667,-143.3334,-178.444333333,-118.6666
216.70,-294.102533333,-271.538466667,-184.1024,-168.4616,-216.153933333,-319.230733333,-100.769333333,-213.846133333,-334.8718,-164.358933333,-220.256466667,-141.025733333
217.08,-589.999933333,-581.4286,-391.9048,-359.999933333,-460.952333333,-687.619066667,-229.047666667,-456.666666667,-671.904866667,-376.190466667,-490.9524,-345.238066667
217.46,-241.555533333,-234.000066667,-150.444466666,-138.222266667,-178.000066667,-290.2222,-60.4445333333,-180.444266667,-280.000066666,-132.222266667,-194.222333333,-127.7778
217.83,-187.916666667,-189.375,-107.291666667,-98.125,-122.916666667,-236.666666667,-21.6666666667,-144.166666667,-233.541666667,-84.375,-159.791666667,-72.7083333333
218.21,-175.555533333,-176.666666667,-100.555533333,-94.9999999999,-123.7036,-222.778,-26.1111333333,-143.333266667,-218.7038,-92.5926,-153.3334,-79.6296000001
218.59,-101.333333333,-106.0,-48.1333333332,-48.2666666667,-73.3333333333,-137.866666667,-1.59999999999,-84.2666666666,-130.133333333,-42.5333333333,-88.9333333335,-35.0666666667
218.97,-63.7287999999,-73.5592666667,-20.5650000001,-26.4407333333,-38.3051333333,-92.9943333333,15.3672666667,-50.8476666667,-95.9321333335,-20.5649333333,-56.2712,-12.8812666667
219.34,-46.6665333333,-57.5238,-13.2382,-17.0477333333,-31.4286,-76.0953333333,18.5716,-39.7142666667,-71.1427999999,-18.7618666667,-49.0475999999,-10.3810666667
219.72,-49.7058,-59.0196666667,-15.6861333334,-17.0588,-31.6667333333,-84.5097333333,16.4706,-44.1176,-74.1176666668,-29.5097999999,-52.5489333334,-15.7842
220.10,-27.23,-42.1596,-5.07039999999,-4.69486666665,-18.122,-64.7888,32.2067333333,-26.6666,-58.7792666667,-18.967,-33.4273333334,4.78873333333
220.47,-29.6296666667,-55.1323333334,-3.7036,-3.49206666666,-20.3174666667,-72.8042,23.8094666667,-37.9894666667,-65.6086666667,-31.1109999999,-32.5924666667,5.926
220.85,-33.2222,-56.8887999999,0.555466666654,-8.4444,-22.8889333333,-70.2222000001,18.0,-41.1110666667,-74.6667333334,-37.1112000001,-29.2222666666,-2.22219999998
221.23,-13.9905333333,-26.7605333333,14.7418,8.82639999999,-4.41313333334,-33.6149333333,23.0986666667,-13.0517333333,-49.0140666666,-16.3380666667,-3.56799999998,12.5821333333
221.61,-22.1889333333,-31.8407333333,9.25380000001,3.78106666668,-13.0348666667,-38.6070666667,15.2238666667,-15.4229333333,-55.6219333334,-26.2686,-13.7312666666,9.35313333331
221.98,-47.9532,-56.2572666667,-6.90066666668,-9.12280000002,-32.6316,-58.9474,4.56146666667,-25.1462,-77.0760666666,-47.2514666667,-29.1228666667,-5.84799999999
222.36,-20.7618666667,-30.0952,11.3334,7.52386666667,-11.0475333333,-22.1904666667,21.8096,-0.476133333332,-43.0477333333,-17.9047333333,-7.04753333334,15.8094
222.74,-98.1196666667,-107.350466667,-35.5555333333,-45.6409999999,-81.3675333333,-88.8889333335,-14.1881333333,-47.1794666667,-135.0428,-86.3247333333,-75.0427333334,-30.0853333333
223.11,-103.4074,-109.185266667,-53.7777333333,-59.2593333334,-87.7036,-103.111066667,-30.8149333333,-58.5184666667,-131.5556,-87.8518666667,-79.5554666666,-43.8518
223.49,-145.625,-146.041666667,-73.3333333333,-76.8750000001,-115.208333333,-130.833333333,-39.1666666667,-81.0416666667,-175.208333333,-109.375,-98.5416666668,-46.0416666667
223.87,-99.6579999999,-99.9997999999,-39.6581333333,-38.2906,-72.4785999999,-80.6836666665,-16.0684666667,-45.8120666667,-114.700866667,-57.6067333333,-58.8032666667,-20.1708666667
224.24,-95.8730666667,-96.3491333334,-31.2696666667,-44.6031333334,-69.0476666666,-76.1904666666,-20.3174,-41.2698666667,-107.936466667,-52.5395999999,-55.5555999999,-32.2222666667
224.62,-59.4252,-56.6664666667,-21.7242666667,-28.3908,-41.1494,-46.0920666667,0.804599999986,-16.2069333333,-66.3219333333,-26.8966,-34.2528666667,-13.3334666667
225.00,-23.4166666667,-23.1666666667,-2.66666666667,-1.16666666666,-12.3333333333,-19.25,18.5,10.0833333333,-25.5833333333,3.58333333332,-11.75,12.8333333333
225.38,-16.5542666667,-18.1274,-3.29579999999,1.12373333335,-8.01506666666,-17.2284666667,23.0711333333,11.6103333333,-16.5544666667,5.9176,-12.8089333333,14.2322
225.75,-23.4752,-26.8084666666,-12.5532666667,-6.09933333333,-16.6667333333,-24.539,15.8156666667,0.283599999994,-25.8864666667,-4.46806666667,-22.4824,0.851
226.13,-2.76280000002,-3.48353333333,6.24619999999,10.991,3.84386666667,-5.6456,28.1681333333,15.4954666667,-7.38753333333,11.6517333333,-4.92486666669,14.2943333333
226.51,1.05559999999,4.66666666667,8.05560000001,14.9444666667,7.72219999999,-2.77786666666,28.0555333333,17.5001333333,-2.72226666667,14.2778,-1.00000000001,13.5554666667
226.88,7.13086666665,9.15613333335,11.3501333333,16.7933333333,13.4598666667,2.10953333333,27.0464666667,19.3248666667,1.51899999999,15.0633333333,6.54013333333,16.2446
227.26,9.70480000001,12.4894,14.1772,21.4768,16.0760666667,8.903,31.2234666667,22.5737333333,4.59926666669,19.4092666667,8.22766666666,19.0294666667
227.64,10.4100666667,13.8324,15.1157333333,20.9982,18.2887333333,12.8698,30.8022,25.1337333333,6.13186666669,20.0000666667,10.196,19.6436666667
228.01,3.03040000001,6.59546666667,5.52580000001,11.5508666667,8.69873333333,6.45266666665,24.8484666667,18.1818,-2.28173333333,10.0536,2.70946666667,11.0518
228.39,5.80126666667,9.64726666666,7.11533333333,12.8206666667,10.0962,10.8011333333,26.955,20.6410666667,1.60253333332,11.6668,4.48720000001,14.4872666667
228.76,6.84759999999,10.3467333333,8.41640000001,14.2383333334,10.2564,13.3635333333,26.5762,19.457,2.98633333333,11.0708666667,4.94713333334,13.0316666667
229.14,2.87000000001,7.23466666665,5.97906666668,9.89526666665,6.69660000001,11.9580666667,24.3647333333,16.5621333334,-0.657600000013,6.36760000001,1.6144,9.68606666667
229.52,-0.150799999994,4.46466666666,4.40433333333,5.0376,2.71506666667,9.07999999998,20.4224,13.0618,-3.077,1.2368,-1.3576,6.09339999999
229.89,5.92266666666,10.1574,9.5278,9.7568,8.41193333332,13.9627333334,25.236,18.9126666667,4.43493333334,5.97993333333,5.06439999999,11.4736
230.27,-1.37426666667,3.65493333333,2.89473333333,2.63166666666,0.350733333327,7.92399999999,19.4444666667,13.3917333333,-2.39773333334,-1.05260000001,-0.994066666673,5.26306666667
230.65,-1.52906666667,3.21086666667,2.90513333333,1.92659999999,1.19266666666,8.44040000001,21.8654666667,14.8929333333,-2.75233333335,-1.22320000001,-0.397533333341,7.06419999999
231.02,-2.39053333333,5.421,4.3098,2.28953333334,1.0774,10.5388,25.3871333333,16.6666,-1.17853333333,-0.202000000014,0.437666666658,8.28293333333
231.40,-4.37393333333,6.41973333333,2.36346666666,-0.387999999999,-0.811400000001,7.90119999998,25.9612666667,16.2964,-1.76366666668,-4.09173333332,-0.740733333341,7.866
231.78,-11.9596666667,-1.65660000001,-6.58586666667,-9.57580000001,-12.2021333333,-2.22233333334,18.2626,8.60606666667,-8.76753333334,-13.7374666667,-9.9394,-2.58593333333
232.15,-1.83786666665,6.52246666667,2.59453333333,1.3694,-2.52253333333,5.33340000001,22.6306,15.4954,1.08106666667,-1.94593333333,-3.13506666667,4.82873333333
232.53,0.957599999993,9.50279999999,5.70913333333,6.4824,0.994466666666,6.22459999999,25.4512666667,18.3424666667,3.94119999999,2.21006666665,-0.810333333334,8.47126666667
232.90,-1.3726,8.43140000001,4.15686666666,4.62746666667,1.05879999999,4.54906666666,25.7256,21.0196666667,3.13733333333,3.88233333333,-1.33326666666,7.76473333333
233.28,4.60046666667,12.2416,9.3176,9.55173333333,7.32939999999,9.47366666666,31.8907333333,25.7699333333,8.96693333333,9.62966666665,5.731,14.3858666667
233.66,3.29453333335,9.45733333333,7.71333333334,9.30226666666,6.55033333332,10.0000666667,29.8836666667,24.031,4.88386666666,10.5428,5.50373333332,13.1009333333
234.03,-2.58573333334,4.80806666667,3.19193333333,4.28286666667,1.616,6.86866666667,25.3738,21.0909333333,-1.05033333335,6.86866666665,0.242466666654,11.1516
234.41,1.11100000001,5.78540000001,3.37159999999,6.58993333334,4.36773333333,10.5364666667,27.8160666667,19.1186666667,3.71646666666,8.69733333333,2.68180000001,12.4905333333
234.78,-3.33326666668,1.91006666666,-0.674133333328,2.65906666667,-1.34833333332,7.67793333332,24.1198666667,15.4305333333,-0.636666666666,4.56933333333,-1.34826666667,7.41573333334
235.16,0.066933333326,3.91966666667,2.54606666666,5.86259999999,2.11053333333,10.9548666667,26.1306666667,17.7219333333,2.68,7.03513333333,0.971466666668,8.40866666667
235.54,-3.80966666667,-0.408200000002,-0.373999999998,1.80273333333,-1.19046666666,9.69386666667,22.2448666667,14.4217333333,-1.97273333333,3.40126666666,-2.72113333331,4.55779999999
235.91,3.17306666667,6.891,5.89746666667,8.94233333333,6.1218,15.7372,28.2051333333,19.9679333333,3.9424,10.1602666666,4.00633333333,10.2566
236.29,4.77566666667,10.2883333333,9.39093333331,11.5384,9.58326666667,19.9038,33.4936,24.6154,6.37826666667,13.686,8.75006666667,14.5192666667
236.66,-3.58726666667,1.75973333333,0.676933333332,2.13193333334,2.06433333333,11.7765333334,26.7005333333,17.5633333333,-1.96266666667,3.62093333333,0.812133333333,5.71913333333
237.04,-5.15299999999,0.161066666665,-2.06113333334,0.483066666668,-2.35093333333,8.63126666669,23.4138,13.4621333333,-5.76473333335,-0.8696,-2.86633333333,4.02559999999
237.41,-14.7915333333,-8.229,-13.368,-7.81246666667,-13.4373333333,-0.208133333348,15.0348666667,5.24319999999,-16.8054666667,-11.1108666667,-12.0484,-6.45826666667
237.79,-9.34006666667,-1.89506666667,-8.59566666666,-2.70740000001,-8.93406666666,4.16233333333,22.4025333333,10.423,-10.6261333333,-5.5838,-6.12513333333,0.0338000000066
238.17,-6.60453333334,-0.155133333332,-5.92253333333,-0.465133333332,-6.29459999999,5.64346666667,23.7519333333,10.5736,-7.96893333333,-3.44173333333,-4.03093333333,0.30993333334
238.54,-7.11713333335,-1.74186666667,-6.06613333333,-2.37233333334,-6.54673333334,3.48346666667,22.6426666667,10.4504666667,-9.51960000001,-3.69373333333,-4.62466666667,-0.810800000006
