wavelength,Back_TacDelm,Belly_TacDelm,Breast_TacDelm,Crissum_TacDelm,Crown_TacDelm,DorTail_TacDelm,Rump_TacDelm,Throat_TacDelm,WingTip_TacDelm
378.35,5.54093333333,5.90353333333,5.35336666667,5.58476666667,6.79213333333,7.35146666667,5.48567333333,5.00553333333,8.12773333333
378.71,5.48906666667,5.88573333333,5.31446666667,5.51893333333,6.80366666666,7.2535,5.41961333333,4.96486666667,8.10236666667
379.07,5.5154,5.925,5.3274,5.53893333333,6.8352,7.28886666667,5.41784,4.99,8.11993333333
379.44,5.68893333333,6.11553333333,5.53203333333,5.6894,7.02233333333,7.50223333333,5.61477333333,5.23673333334,8.27006666667
379.80,5.55653333333,5.91953333333,5.3511,5.46163333333,6.79773333333,7.36916666667,5.43309333333,5.06093333333,8.07676666667
380.16,5.42533333333,5.756,5.18993333333,5.27343333333,6.67706666667,7.24733333333,5.22458666667,4.9214,7.91563333333
380.52,5.29173333333,5.58106666667,5.0928,5.1203,6.5306,7.02673333333,5.07710666667,4.79493333333,7.8019
380.88,5.362,5.63453333333,5.24793333333,5.2488,6.59846666667,7.07783333333,5.13972,4.84633333333,7.86746666667
381.24,5.37806666667,5.6382,5.1636,5.15603333333,6.54133333333,7.07546666667,5.09941333333,4.86793333333,7.82663333333
381.61,5.51253333333,5.757,5.33756666667,5.28663333333,6.65913333333,7.2654,5.25028,5.029,7.9862
381.97,5.5156,5.6952,5.272,5.3177,6.65466666667,7.27113333333,5.2485,5.02853333333,7.99256666667
382.33,5.5902,5.79373333333,5.39846666667,5.4253,6.7372,7.3326,5.35216666667,5.1162,8.05466666667
382.69,5.3782,5.514,5.12256666667,5.17226666667,6.49413333333,7.07323333333,5.1466,4.9198,7.77153333333
383.05,5.23633333333,5.3482,5.00073333333,5.0166,6.28233333333,6.8578,4.96778,4.75073333333,7.59433333333
383.41,5.24013333333,5.29746666667,4.91186666667,4.97856666667,6.2024,6.7697,4.87282666667,4.57993333333,7.54176666667
383.77,5.2354,5.2586,4.85946666667,5.0285,6.2218,6.8026,4.87492666667,4.57413333333,7.5815
384.14,5.29253333333,5.31686666666,4.89556666667,5.0868,6.28766666667,6.8528,4.90408,4.62113333333,7.63406666667
384.50,5.301,5.34886666667,4.91006666667,5.10926666667,6.30926666667,6.88916666667,4.91018,4.5862,7.63883333334
384.86,5.13266666667,5.2438,4.71806666667,4.90256666667,6.16153333333,6.77713333333,4.76430666667,4.43553333333,7.4824
385.22,5.00326666667,5.10533333333,4.5949,4.82366666667,6.0128,6.6345,4.63318,4.31506666667,7.3546
385.58,4.9934,5.1634,4.6258,4.85913333333,6.0122,6.6505,4.65014,4.365,7.3466
385.94,5.01873333333,5.27653333334,4.6838,4.91483333333,6.0004,6.71373333333,4.72314666667,4.38206666667,7.38356666667
386.30,5.06486666667,5.26913333333,4.67436666667,4.86873333333,5.96713333333,6.67743333333,4.74518666667,4.38073333333,7.41106666667
