wavelength,Back_CorCucm,Belly_CorCucm,Breast_CorCucm,Crissum_CorCucm,Crown_CorCucm,DorTail_CorCucm,Patch10_CorCucm,Rump_CorCucm,Throat_CorCucm,WingTip_CorCucm
195.89,53.0054666666,33.8798,22.8414333333,26.6666666667,39.4534,54.3170666666,62.9507333333,20.3279333333,27.7595333333,59.0892222222
196.27,47.3874000001,7.20706666668,-18.2882333334,-11.7116666667,19.6396,38.9188,64.3242666667,-16.036,6.00017813213e-12,55.2552888888
196.65,31.9046666666,1.11113333334,-13.9682333333,-19.5237999999,13.9682666667,28.4128,49.2062000001,-13.9683333333,2.06339999999,38.3599111111
197.03,32.4241333333,5.30299999998,-13.4847333333,-12.4241999999,12.7272666667,19.5455333333,40.303,-22.2728,-1.36360000002,23.4343111111
197.40,27.907,0.620199999994,-17.7518333333,-13.7985333333,7.28686666666,18.4496,29.7674,-34.5735333334,-9.61239999999,20.6202
197.78,52.1052,12.8070666667,-9.91226666665,-6.49126666667,25.6141333333,39.6490666666,47.0176,-29.4737333333,9.47373333334,29.4735999999
198.16,77.0115333334,23.4484,-1.83916666666,-8.9655333334,36.5517333334,54.0231333332,73.1033333335,-31.9541333334,13.5632666667,37.547888889
198.54,111.666733333,60.0000666667,43.2142,14.7619333333,70.2380666667,85.7141999999,111.1904,2.38106666668,45.9525333333,81.9841999999
198.92,123.703733333,9.62973333332,-2.03696666667,-34.8148666665,41.1112,60.7407333333,95.1851333333,-52.5925333336,-5.55559999998,51.2346444445
199.30,118.933333333,13.8666666667,26.5333333333,-3.46666666667,70.3999999999,77.3333333333,98.6666666667,-4.26666666648,14.4,40.1777777778
199.68,256.666666667,-95.8333333333,5.41666666666,-122.5,155.833333333,142.5,185.833333333,-130.833333333,-65.8333333333,-61.111111111
200.06,322.222266667,-148.8888,-3.33333399951e-05,-200.000066667,198.888866667,237.777733333,250.0,-226.666666667,-71.1110666667,-67.4073777778
200.44,46.2743999999,-120.392066667,-30.9803000001,-114.117733333,18.0392666666,39.6079333331,39.9999333335,-133.725466666,-55.2941333334,-79.6077777778
200.82,150.0,-203.333333333,15.8333333333,-124.166666667,129.166666667,192.5,174.166666667,-215.833333333,-52.4999999999,-94.7222222222
201.19,137.254933333,-31.3725333333,62.5488666666,3.92153333334,129.0196,166.6666,167.8432,-34.9019333335,42.7450666666,22.0914888888
201.57,435.000000001,-220.0,151.666666667,-11.6666666666,543.333333333,693.333333332,743.333333333,-191.666666666,146.666666667,72.7777777777
201.95,-96.6666666665,119.333333333,-9.33333333334,36.6666666667,-200.0,-234.666666667,-254.0,148.666666666,5.33333333326,31.5555555556
202.33,-16.4705333332,85.8823999999,27.8431,37.6469999999,-116.8628,-122.352866667,-124.313733333,115.6862,38.8235333333,51.6339111111
202.71,28.9743333333,92.0512666666,56.0256666667,47.4358,-50.5128666665,-52.3076666667,-49.4872666666,105.128133333,66.4102666666,78.2050444444
203.09,16.5517333335,54.9424,22.8733333333,22.5286666667,-65.7471333333,-59.5402666668,-58.3909333333,75.4021333334,39.3104000001,51.8774888889
