wavelength,Back_ConLeuf,Belly_ConLeuf,Breast_ConLeuf,Crissum_ConLeuf,Crown_ConLeuf,DorTail_ConLeuf,Patch10_ConLeuf,Patch11_ConLeuf,Rump_ConLeuf,Throat_ConLeuf,WingTip_ConLeuf
185.63,-162.091555556,-45.588,-157.843333333,-142.483666667,-222.875888889,-420.588055556,-286.274333333,-166.339944444,-143.790888889,-94.7711111111,-194.117555556
186.01,-73.6111111111,-8.59375,-55.2083333333,-45.8333333333,-90.9722222222,-181.076388889,-111.458333333,-59.375,-37.5000000001,-23.6111111111,-66.6666666667
186.39,-28.2282222222,32.43275,-4.955,-10.5103333333,-50.4502222221,-113.663833333,-48.9488888889,-11.862,8.40833333333,15.6156666667,-25.8258888889
186.77,14.9051111111,69.512,21.1383333333,25.2032222222,-13.5504444444,-54.8781111111,15.4473333333,28.9973888889,52.5745555555,54.7425555556,5.9621111111
187.15,44.4445555556,80.729,45.4861666666,40.5092222222,20.8333333333,-21.1805555556,51.1575555556,52.8935,73.1483333332,90.2780000001,28.4721111111
187.53,33.9505555556,77.083,54.6293333333,13.5802222222,9.56777777777,-26.3888888889,66.0492222222,51.8516666667,72.2222222221,109.259333333,25.6173333335
187.91,33.7523333333,51.41525,41.8238333333,35.2202222222,18.0295555555,-12.7883888889,64.1508888888,38.0503333333,55.7649999999,96.436,36.8973333334
188.29,27.9202222222,40.3845,50.8548333334,54.1308888889,9.68655555554,-31.0541111111,72.0798888889,37.1795555556,63.248,116.809333333,23.0768888889
188.67,52.2875555555,85.294,112.745166666,139.215777778,26.1437777776,-30.3919444444,154.248555556,64.0522777779,143.791,256.862666667,7.18955555543
189.05,-14.8147777778,77.08325,111.111,105.555666667,-41.6667777776,-79.1666111111,183.333555555,-5.55544444433,148.148,268.518444444,-60.185
189.43,-43.3862222221,15.47625,34.127,2.11655555567,-59.2593333332,-67.4603333333,73.0162222221,-42.5927222223,59.2591111112,131.746,-55.5553333333
189.81,-29.9147777779,35.57675,17.3076666667,3.8461111111,-48.2905555557,-55.3417222222,58.5472222221,-14.5299999999,76.4956666668,112.393333333,-32.0512222223
190.19,-36.9047777777,40.1785,-16.0713333333,-22.222111111,-65.4762222223,-74.4047777778,39.2857777778,-42.8571666668,54.7618888889,94.0477777778,-44.8411111109
190.57,-34.0277777779,27.34375,-27.6041666667,-25.3472222223,-50.6944444446,-71.3541666667,31.9444444444,-50.6944444445,43.0555555557,74.6527777778,-47.9166666668
190.95,-16.3522222222,11.321,-9.43416666667,-2.51566666667,-26.4148888889,-46.7507222222,26.6245555555,-31.9705555556,32.285,48.4276666667,-19.7064444445
191.33,-7.73811111111,8.92825,-13.6903333333,9.7221111111,-26.9842222222,-41.5672777778,15.2777777778,-24.0079444445,34.5237777778,41.2698888889,-13.6901111111
191.71,-3.38988888891,6.35575,-12.147,22.7875555556,-18.6441111111,-38.7005,-1.12999999999,-24.294,30.1317777778,37.4765555556,-19.3974444444
192.09,-23.9507777778,-7.77775,-31.1111666666,2.716,-39.9998888888,-68.2716666667,-28.6418888889,-46.0492777778,23.4567777778,20.9876666667,-55.5555555556
192.47,-8.23044444447,-2.77775,-18.827,1.44066666667,-30.6583333333,-42.1811666667,-18.5187777778,-35.6997777778,25.7201111111,15.0206666667,-40.3293333334
192.85,-15.5556666666,-18.3335,-21.1111666667,-13.7036666667,-39.074,-49.4446111111,-26.4814444445,-48.4259444444,7.96288888887,4.07388888887,-41.111
193.23,-4.71377777777,-14.77275,-12.6261666667,1.17855555557,-29.2927777778,-31.1448888889,-16.6667777778,-32.3232222222,18.3503333333,12.963,-32.4916666666
193.61,7.93655555553,5.0,8.80933333331,22.6984444444,-6.508,-7.30177777777,2.06344444447,-13.2538333333,36.1904444445,23.1744444444,-10.0001111111
193.99,1.62955555557,-5.0,6.889,17.6296666667,-1.33333333333,-7.4813888889,4.59255555557,-15.7777222222,25.1853333333,16.5926666667,-17.1851111111
194.37,8.15988888891,-8.984,18.2295,38.889,14.2363333333,7.37855555557,5.20877777777,-4.7741111111,38.3683333333,27.9517777778,-16.6664444444
194.75,3.98866666667,-5.76925,13.8888333333,43.305,13.6752222222,9.90033333333,-0.997,-6.76638888888,28.0626666667,27.9203333333,-16.5242222222
195.13,-22.5986666667,-24.57625,-8.75716666669,32.3916666667,-4.33133333337,-6.968,-29.3784444445,-37.3821666667,6.77966666667,12.0526666667,-41.6195555556
195.51,-38.78,-29.4115,-4.57533333333,33.5512222222,-13.0716666666,-17.1022777778,-20.6972222222,-55.0108333333,3.70355555557,5.2288888889,-51.416
195.89,-12.7192222222,-3.6185,13.3771666667,39.4735555556,3.65511111113,10.5263333333,10.2341111111,-20.1755,23.2457777778,17.1051111111,-16.3743333333
196.27,10.4496666667,12.20225,35.516,57.0106666667,22.2222222222,37.2352222222,27.9102222222,2.7776111111,40.7406666667,34.7884444444,0.661444444457
196.65,9.6681111111,16.55825,40.2598333334,67.2436666667,29.5816666667,47.2582222222,27.9941111111,6.56577777777,46.0315555555,40.4041111111,3.31888888887
197.03,-10.8933333333,0.9805,32.3531666667,81.9171111111,19.3898888889,57.5162777778,16.5575555556,-6.97183333333,53.8124444445,35.5118888889,-16.5576666667
197.40,-11.8687777778,-7.9545,23.4848333333,90.909,20.7071111111,59.8485555556,16.9191111111,-18.813,45.9596666666,31.3133333333,-21.212
197.78,-31.9087777778,-32.05125,5.55566666665,92.5924444444,5.98277777777,45.869,-0.569777777767,-46.2963333333,30.1994444444,12.8204444444,-51.5668888889
198.16,-147.368444445,-168.42125,-72.8071666665,108.771888889,-77.7777777779,-8.4795,-123.976777778,-197.953277778,-26.9006666667,-40.9358888888,-173.099222222
198.54,-92.8571111111,-106.25,-58.3333333335,74.6032222222,-61.5079999999,-11.9047777778,-74.2063333333,-153.174666667,-17.8572222222,-43.6507777778,-119.047888889
198.92,-1900.0,-2275.0,-1441.66666667,183.333333333,-1433.33333333,-600.0,-1472.22222222,-2647.22222222,-872.222222221,-1550.0,-2027.77777778
199.30,1338.88888889,1800.0,741.66666667,-561.111111111,866.666666667,-205.555555556,1016.66666667,1905.55555555,300.0,622.222222222,1505.55555556
199.68,903.703777777,1466.66675,772.222166667,-218.518666667,425.925888889,-224.073777778,803.703777777,1433.33338889,448.148111111,411.110999999,1077.77777778
200.06,124.444333333,161.42875,117.619,22.54,80.3175555557,24.6033888889,106.349111111,170.9525,93.9682222221,66.6665555554,131.111111111
200.44,162.345666667,170.83325,143.518666667,75.0,103.395111111,57.5617777777,108.024555556,183.024777778,118.518666667,89.5061111112,125.617444444
200.82,143.386333333,158.9285,130.555666667,74.074111111,102.645555556,63.8887222223,90.7406666667,167.195888889,114.285888889,77.2484444443,105.555444445
201.19,276.666666667,302.5,253.333333334,143.888888889,168.888888889,129.444444444,146.111111111,318.333333333,222.777777778,119.444444444,183.333333333
201.57,240.909,243.18175,194.696833333,133.333444444,129.293,94.9495555557,109.596222222,257.828222222,171.717111111,79.2927777778,157.070444444
201.95,194.791666667,193.75,155.208333333,134.375,111.458333333,88.3680555557,102.777777778,201.388888889,139.583333333,73.263888889,120.833333333
202.33,216.203666667,226.04175,161.111166667,107.407666667,99.9999999999,73.8426111111,61.5742222223,215.972166667,135.185222222,68.5186666666,122.685111111
202.71,190.038222222,211.20675,151.724,86.2067777777,97.7011111113,66.0917777778,43.2948888887,181.800722222,118.773888889,58.6205555557,98.0843333332
203.09,202.116444445,232.14275,142.857166667,57.1426666667,82.0104444443,67.7248333333,-0.000111111000005,195.502666667,121.164111111,17.9895555557,84.6561111111
203.47,152.674888889,201.852,138.888833334,38.2713333333,83.5391111111,69.5472777778,1.646111111,167.695333333,108.230555556,52.2634444446,84.7736666666
203.85,127.083333333,169.53125,108.333333333,25.3472222223,75.3472222222,62.5,11.4583333333,139.930555556,89.9305555553,49.6527777777,73.611111111
204.22,256.481444445,397.91675,180.555666667,25.000111111,93.5186666668,112.500055556,-8.333222222,259.722222222,155.555333333,62.0371111111,117.592555555
204.60,230.555444444,412.5,158.333333333,-8.33333333333,90.740888889,116.666611111,53.7037777777,273.611,154.629777778,68.5186666667,137.963
204.98,161.481444444,320.0,95.555666667,-38.5185555557,32.5926666666,68.5183333333,20.7406666667,202.592666667,126.666777778,70.3704444443,59.999888889
205.36,88.3333333332,206.25,23.3333333335,-85.5555555556,-2.22222222223,8.8888888889,-3.33333333323,132.777777778,77.2222222222,9.44444444467,-7.2222222221
205.74,84.259111111,229.16675,47.2221666665,-87.963,17.1295555556,27.0834444444,17.5925555557,140.972,93.5184444442,40.7407777779,-18.0557777777
206.12,8.642,240.2775,-11.1113333335,-209.876555556,-56.7902222223,-50.9261111111,-63.5804444444,106.172888889,65.4322222223,-16.0493333333,-96.9136666667
206.50,15.5555555556,154.0,-9.3333333335,-112.444444444,-20.8888888889,-47.5555555556,-24.4444444446,76.6666666667,69.7777777779,-8.0,-70.2222222223
206.87,3.11111111111,127.0,-51.3333333335,-98.6666666667,-51.1111111112,-62.2222222223,-42.6666666668,42.8888888888,44.0000000001,-22.6666666668,-100.888888889
207.25,-33.3332222222,203.5715,-144.0475,-201.587222222,-138.888777778,-161.111055556,-136.508,38.8889444444,27.7777777778,-121.428666667,-232.539666666
207.63,33.3335555555,-209.091,243.939333333,239.394,224.242444445,217.171555556,149.495,-51.5151666667,-9.0909999999,151.515222222,329.293
208.01,8.18733333333,-78.94725,171.052666667,139.766222222,150.292222222,159.064555556,113.450111111,-6.140388889,9.94155555543,107.017666667,212.280888889
208.39,-1.49267033104e+14,-1.35939619434e+15,1.63127543321e+15,1.52110214687e+15,1.65615327206e+15,1.99022710805e+15,1.34340329794e+15,-5.01110753992e+14,-1.27943171231e+14,1.02354536986e+15,2.35273275988e+15
208.77,74.0741111111,650.0,-977.777666665,-829.629888889,-985.185222221,-1124.07383333,-770.370555557,87.0370555557,-107.407333333,-600.0,-1192.59255556
209.14,-4.9382222222,-150.00025,324.074166667,260.493777778,409.876555555,392.592666667,255.555333333,27.1605555557,103.703777778,275.308777778,338.271777778
209.52,31.8517777778,-86.66675,211.111166666,167.407222222,295.555555556,277.777944444,197.037222222,84.4444444443,121.481444444,180.740777778,214.814777778
209.90,9.40166666667,-80.769,230.769,153.846333333,342.735111111,332.051222222,204.273555556,121.794777778,156.410222222,247.863333333,230.769333333
210.28,966.666666667,1300.0,-625.0,-211.111111111,-1211.11111111,-1144.44444444,-422.222222223,133.333333334,-138.888888889,-622.222222222,-511.11111111
210.66,-251.388888889,-337.5,143.75,45.8333333333,333.333333333,275.0,113.888888889,-49.3055555557,66.6666666669,122.222222222,119.444444445
211.03,-146.031555556,-151.7855,94.0475,30.1584444444,170.634888889,149.999833333,13.4918888889,-44.4444444443,16.6667777779,62.6984444443,64.285777778
211.41,-101.169555555,-93.42125,71.9298333333,18.1285555556,122.222222222,115.204722222,-12.8655555554,-21.6373888889,24.5612222224,29.8247777778,57.8945555553
211.79,-86.8055555554,-90.625,115.625,56.9444444444,176.388888889,162.847222222,26.3888888888,28.125,51.388888889,111.111111111,102.777777778
212.17,-28.5715555556,-82.14275,107.9365,61.9051111111,134.391666667,113.756611111,30.6879999999,52.6453333333,58.7301111112,92.5925555554,89.9469999997
212.55,-0.673333333323,-40.909,68.1818333333,49.8315555556,90.908888889,62.962888889,24.2422222221,42.2558888889,45.1177777778,63.299888889,73.064
212.92,13.0022222222,-28.1915,34.3971666667,38.7706666667,71.8675555554,47.8725,27.4233333333,28.1323888889,25.0594444445,51.0638888888,66.4304444443
213.30,14.6341111111,-48.78025,30.0813333333,30.6232222222,62.0596666665,46.612388889,34.4175555554,30.7589444444,17.0731111112,54.2005555554,71.5448888891
213.68,15.7087777778,-74.138,25.2873333333,30.6513333333,66.6667777778,51.5324444443,29.1187777779,22.9885,14.1763333332,41.7624444443,102.681888889
214.06,50.1501111111,-12.16225,52.7026666667,54.6544444444,86.7867777779,64.564611111,67.5673333333,57.207,45.9457777778,48.3483333334,108.108222222
214.44,64.2701111111,27.94125,68.6273333335,62.9628888889,91.9391111112,77.124388889,77.9955555556,77.3419444445,71.0237777777,72.7666666666,119.171888889
214.81,67.3108888889,46.0145,75.8453333333,67.4718888889,86.9565555556,76.7312222223,72.9468888889,82.6087222222,67.4720000001,85.8292222221,114.170666666
215.19,76.3071111111,51.10275,81.6176666668,84.1505555556,97.0587777776,89.6240555557,84.3138888889,90.7679444444,75.9802222222,100.816777778,120.424888889
215.57,77.9915555556,46.6345,83.6538333332,92.5213333333,110.470222222,100.641111111,87.8204444444,98.6111666667,74.359,118.589888889,136.324777778
215.95,110.394333333,58.06475,113.440833333,137.993,164.516111111,135.663111111,130.107666667,139.964166667,88.1721111112,158.781222222,199.283111111
216.32,134.074111111,21.66675,121.111,140.740888889,240.000111111,131.111111111,129.629777778,152.222166667,60.7407777778,221.481666667,337.777777778
216.70,122.962777778,13.3335,134.4445,145.925888889,261.481444444,147.777833333,111.851888889,135.925777778,54.8147777778,211.851888889,331.851888889
217.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.46,482.539777778,339.28575,604.762,739.682666667,900.000000001,570.635055557,357.143111111,496.031833333,469.841333334,709.523999999,998.412666667
217.83,205.555555556,171.875,293.75,325.694444444,388.888888889,225.347222222,160.416666667,213.541666667,188.194444444,343.75,411.111111111
218.21,134.722222222,64.0625,212.5,227.777777778,293.055555556,153.819444444,69.4444444444,90.2777777778,75.6944444445,288.888888889,309.027777778
218.59,117.284,51.3885,153.703666666,169.753222222,243.827111111,143.209888889,60.4938888889,41.357888889,30.2468888889,222.839555555,235.802333333
218.97,250.926,129.16675,238.888833333,298.148222222,385.185222222,220.370388889,162.963,88.4258333333,122.222111111,348.148222222,399.074
219.34,281.944444445,121.875,245.833333333,344.444444444,520.833333333,188.194444444,195.833333333,63.1944444446,79.1666666667,434.722222222,516.666666667
219.72,227.350444444,148.077,173.076833333,241.880444444,325.641111111,121.367277778,197.435888889,57.2650000001,89.7436666667,275.213777778,325.641111111
220.10,101.666666667,65.0,67.4999999999,86.6666666667,139.444444445,57.2222222223,92.7777777777,2.22222222233,46.6666666666,135.555555556,186.666666667
220.47,98.7653333333,116.66675,73.1479999999,98.1481111111,154.938222222,105.555444444,138.889,10.1851666667,46.2962222221,159.259222222,189.506222222
220.85,154.545555556,247.7275,131.818166667,100.0,206.060666667,165.151555556,254.545555556,30.3031111111,58.5860000001,267.676777778,284.848444444
221.23,-84.7222222223,134.375,-93.75,-236.111111111,6.94444444433,-26.388888889,109.722222222,-195.138888889,-186.111111111,84.7222222223,118.055555556
221.61,472.222222222,231.25,516.666666669,1122.22222222,472.222222222,508.333333333,-5.55555555567,737.5,847.222222223,163.888888889,313.888888889
221.98,402.777777778,256.25,537.5,1269.44444444,477.777777778,348.611111111,-69.4444444443,750.000000001,922.222222222,116.666666667,297.222222223
222.36,-137.777777778,90.0,-216.666666667,-953.333333333,-128.888888889,-64.4444444443,222.222222222,-327.777777778,-486.666666667,55.5555555557,-4.44444444333
222.74,-755.555555556,-125.0,-591.666666668,-2805.55555556,-438.888888889,-536.111111111,-33.3333333333,-1005.55555556,-1505.55555556,38.888888889,-322.222222224
223.11,305.555666667,181.25025,248.611,649.074333333,203.703777778,219.444666667,168.518555555,308.333388889,396.296222222,149.999888889,245.370444444
223.49,205.290888889,140.47625,154.761833333,416.402111111,147.619111111,163.756666667,121.693222222,193.915388889,245.502555556,98.4126666668,165.079444445
223.87,170.498111111,116.37925,135.632166666,306.130333333,110.727888889,133.907944444,109.961666667,142.337111111,180.842777778,83.5248888888,126.053777778
224.24,138.518444444,75.0,98.8891666665,255.926111111,57.0368888889,112.963055556,76.6665555557,109.999944445,143.703666667,33.7034444443,99.2592222222
224.62,158.479666667,78.9475,114.035166667,361.403666667,22.807,105.263111111,42.1052222223,76.0233333334,126.315777778,-12.2805555553,83.0410000002
225.00,160.0,90.0,100.833333333,326.111111111,39.4444444445,99.1666666667,40.5555555553,62.5000000001,97.2222222222,18.888888889,59.4444444447
225.38,115.789555556,84.2105,57.8946666669,303.508666667,12.8654444444,47.9532222223,1.16944444467,48.830388889,69.5906666667,-7.60233333333,23.3916666667
225.75,183.838444444,100.0,40.909,421.212111111,-51.5151111111,-13.1314444443,-32.3231111113,78.2827777777,56.5655555555,-59.5957777777,-48.4847777779
226.13,485.185111111,183.33325,-61.111166667,1074.07411111,-566.666555556,-216.666555557,-455.555666666,11.1110555553,-196.296333333,-403.703666667,-488.889000001
226.51,298.989777778,186.3635,127.272666667,347.474777778,6.06066666667,120.202222222,46.4646666667,147.979777778,73.7373333332,14.1415555553,26.2625555556
226.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.26,-185.714333333,-105.357,-44.0476666665,-130.159111111,60.3175555557,-30.1584444444,93.6507777777,-101.984333333,0.793555555467,1.58744444433,23.0158888889
227.64,-45.2574444443,-29.878,6.91066666665,-25.7454444444,29.2683333333,5.69094444443,39.0243333333,-36.3144444444,4.0651111111,-7.85911111123,21.1384444444
228.01,-14.5297777778,-12.82025,10.0428333333,-10.8263333333,22.0796666667,12.2510555556,32.3361111111,-16.1681666667,3.70377777778,3.84611111113,16.0968888889
228.39,-1.88500000001,-3.12475,11.3095,0.694444444443,20.6348888889,17.0137222222,29.4642222222,-7.14305555556,7.44055555557,7.34155555553,18.75
228.76,-2.46911111113,-7.96275,12.3458333333,3.045,15.72,9.794,21.3991111111,-9.4237777778,3.29222222221,5.51433333334,11.7696666667
229.14,3.18422222221,-2.13425,13.2116666667,6.63933333333,19.5798888889,8.43488888889,21.2737777778,-5.149,3.92955555557,10.2303333333,7.92688888889
229.52,1.82255555554,-0.2645,10.8463333333,7.46622222222,18.107,8.43627777778,19.8707777778,-1.29327777778,1.76355555557,9.93533333334,6.29044444443
229.89,-1.92511111112,-2.10425,7.17816666669,4.34544444444,13.8613333333,2.69544444444,14.3565555555,-2.25538888889,-2.47533333331,4.67566666666,0.659777777767
230.27,-9.03477777779,-7.82825,0.92583333335,-5.38733333333,4.04044444445,-5.61172222222,4.4331111111,-8.97861111113,-11.7285555555,-4.377,-11.3355555556
230.65,-5.95622222222,-7.34525,4.2955,-6.5291111111,7.90388888889,-3.12144444444,9.16377777778,-6.64388888887,-11.8556666667,-2.80622222223,-9.6218888889
231.02,-11.9851111111,-19.24175,-1.87249999999,-13.9827777778,-1.186,-11.1425555556,3.62044444444,-16.0113333333,-20.5368888889,-8.48944444443,-16.2921111111
231.40,-16.9408888889,-29.321,-10.9053333333,-24.28,-10.8366666667,-21.0902777778,-3.36088888888,-18.6898888889,-28.875,-13.2373333333,-26.6804444444
231.78,-18.3761111111,-28.5255,-12.7138333333,-23.7892222222,-10.8973333333,-21.6879444444,-3.775,-17.8418888889,-27.493,-7.33622222221,-29.9146666667
232.15,-26.1284444444,-38.4765,-14.323,-35.5035555556,-18.6633333333,-31.4672222222,-12.2397777778,-25.9983888889,-35.1561111111,-12.4134444444,-41.2325555556
232.53,-32.5536666667,-54.16675,-18.5673333333,-43.8596666667,-22.5147777778,-36.5498333333,-21.6373333333,-31.8712777778,-42.6902222222,-16.5692222222,-50.3897777778
232.90,-30.5296666667,-50.46725,-19.4703333333,-40.8097777778,-20.3531111111,-33.8004444444,-18.588,-33.0218333333,-41.4332222222,-16.1992222222,-51.298
233.28,-39.9136666667,-61.6505,-32.5245,-51.7796666667,-27.6158888889,-32.9017222222,-24.7035555555,-38.3495,-48.6514444444,-20.604,-57.4974444445
233.66,-54.8064444445,-78.09,-47.191,-70.6618888889,-42.1973333333,-47.5653333333,-38.8263333333,-56.6791666667,-62.2971111111,-29.2135555555,-76.1547777778
234.03,-70.3703333333,-92.85725,-62.1031666666,-87.0373333333,-55.0264444445,-62.7646666667,-45.5027777778,-67.8572222222,-76.8518888888,-44.9736666667,-85.8466666667
234.41,-77.5252222222,-103.409,-65.1513333333,-89.7726666667,-55.303,-69.9495,-47.7273333333,-71.8434444444,-77.7776666666,-45.3283333333,-82.7017777777
234.78,-76.2245555556,-95.43,-61.6488333333,-86.0214444444,-58.0645555556,-64.8745,-50.4181111111,-69.9521666667,-75.1493333333,-43.4885555556,-79.0921111111
235.16,-46.0574444444,-52.21775,-33.4676666667,-55.3763333333,-28.4051111111,-36.5144444444,-27.9566666667,-33.1540555556,-41.4874444444,-20.6988888889,-44.0861111111
235.54,-29.3648888889,-29.38325,-14.9351666666,-33.4054444444,-11.977,-21.8617222222,-12.8427777778,-20.9233333333,-23.5928888889,-9.81266666667,-24.6753333333
235.91,-23.6351111111,-18.786,-9.8265,-25.9472222222,-8.28511111111,-16.4741111111,-5.13811111111,-13.7764444444,-18.8824444444,-6.808,-17.2125555556
236.29,-22.4612222222,-19.624,-11.3798333333,-22.1626666667,-8.54233333333,-17.5923888889,-5.79455555554,-12.276,-20.4302222222,-8.42300000001,-16.368
236.66,-29.4871111111,-20.6045,-13.2783333333,-25.5186666667,-14.6522222222,-24.6945,-7.26511111111,-17.2771666667,-25.4578888889,-12.8205555556,-21.1233333333
237.04,-28.1363333333,-17.60775,-11.3798333333,-25.9261111111,-13.9184444444,-24.6712777778,-8.48266666667,-13.9487222222,-25.2686666667,-10.2147777778,-18.3392222222
237.41,-21.4926666667,-10.8585,-4.29299999998,-21.8856666667,-10.0447777778,-26.3185555556,-4.99444444443,-10.3816111111,-19.4166666667,-6.50955555556,-11.6724444444
237.79,-17.2838888889,-7.6085,-3.30116666667,-16.4791111111,-5.85088888889,-24.6646666667,-4.02566666668,-7.32677777778,-16.5861111111,-4.13322222222,-4.93822222223
238.17,-4.23066666667,2.197,5.23,-4.69533333333,3.39377777778,-11.6922777778,4.78844444444,2.51066666667,-4.97433333333,8.04277777778,5.3
238.54,1.72555555556,8.428,8.58583333333,0.336555555556,6.98655555555,-3.74594444444,9.25922222222,4.81916666667,-0.252444444443,9.89055555556,8.75444444443
238.92,3.39611111111,8.97025,9.413,4.725,8.08411111112,-1.14433333333,12.9568888889,4.52177777778,1.99322222222,10.2988888889,10.1512222222
239.29,0.74311111111,4.53825,4.671,1.16766666667,4.77722222221,-3.4325,9.02344444444,-0.973055555557,-2.37066666667,7.67866666668,4.88333333333
239.67,-3.077,-0.3845,0.2565,-2.18811111111,0.342,-7.62394444444,4.75188888889,-5.79494444445,-7.17933333334,4.92300000001,1.60688888889
240.04,-5.66888888889,-4.00875,-2.04083333333,-5.21533333333,-1.45766666667,-9.135,1.45766666667,-8.27677777778,-9.39422222222,2.39722222221,-1.166
240.42,-3.04311111111,-1.00525,0.795666666668,-2.48444444444,1.675,-4.32705555556,3.60122222222,-5.48583333333,-4.66233333333,6.14188888889,1.39622222222
240.79,0.0474444444443,0.9595,1.03066666667,-0.947777777777,3.19822222222,0.402777777777,4.97522222221,-1.93088888889,-1.58722222222,7.43877777778,2.41644444444
241.17,0.417666666666,1.5035,1.9425,-0.188,2.77766666667,2.71505555556,5.47222222221,-1.7335,-0.459555555554,6.97566666666,2.29733333333
241.54,0.0917777777757,1.157,2.0385,1.89155555556,3.23211111111,3.90255555556,5.95022222221,-1.111,-0.0551111111113,6.88711111111,1.83655555556
241.92,0.298555555557,1.082,3.209,2.35477777778,3.068,4.16233333333,6.7331111111,-0.71311111111,0.795888888891,6.51744444444,1.09444444445
242.29,-0.916777777778,1.049,2.84366666667,1.32088888889,2.17555555556,2.97588888889,5.98311111111,-1.88811111111,0.108666666667,5.65666666667,-0.108666666664
242.67,0.278,3.05925,3.6185,2.49988888889,2.89455555555,3.42844444444,7.01755555554,0.0732222222233,1.59377777778,7.49988888889,1.43288888889
243.05,0.830444444444,3.5115,2.98533333333,1.77555555556,2.67755555556,2.93533333333,5.9278888889,0.823222222221,1.89,7.43133333333,0.959333333334
243.42,2.024,5.559,4.75283333334,3.62922222222,3.75488888889,4.02022222222,7.66333333333,2.49844444444,3.769,7.88666666666,2.76388888889
243.80,2.09722222222,5.125,4.60416666667,3.19444444444,3.31944444445,4.15277777778,7.15277777778,3.08333333333,4.04166666667,7.58333333332,2.27777777778
244.17,2.83566666667,4.44775,4.131,2.39955555556,2.95844444445,3.59238888889,7.22544444444,3.09466666667,4.29444444444,7.18488888889,2.24955555556
244.55,2.31922222222,4.09575,4.22733333333,2.31933333333,2.225,3.30383333333,7.33544444445,2.96661111111,3.66777777778,5.82544444445,1.40244444444
244.92,4.00566666667,5.97025,6.56316666667,3.49544444444,4.24788888889,4.00561111111,9.10833333333,4.68816666667,5.17922222222,6.90133333334,3.07433333334
245.30,4.41633333333,6.5355,6.76583333333,4.69933333333,5.57333333333,3.93783333333,9.65900000001,4.90616666667,5.51433333333,7.33244444444,3.60122222222
