wavelength,Back_DubTaem,Belly_DubTaem,Breast_DubTaem,Crissum_DubTaem,Crown_DubTaem,DorTail_DubTaem,Patch10_DubTaem,Patch11_DubTaem,Rump_DubTaem,Throat_DubTaem,WingTip_DubTaem
335.01,9.59386666667,15.0303666667,13.6083,8.41773333334,20.8061333333,6.34796666667,29.5834666667,6.39706666667,9.93933333334,3.2962,6.51253333334
335.38,9.97073333334,15.4075666667,13.9510666667,8.80216666666,21.2665333333,6.774,30.1270666667,6.78646666667,10.3914666667,3.7452,6.9106
335.74,10.2306,15.6027,14.1170666667,9.05269999999,21.5858666667,6.97316666667,30.4037333333,7.02566666667,10.6863333333,3.95906666667,7.00966666667
336.11,10.3734,15.7179333333,14.2443333333,9.15443333333,21.7253333333,7.0337,30.5227333333,7.10493333333,10.8384666667,4.0522,7.0492
336.47,10.2398666667,15.6058333333,14.0470333333,9.00073333333,21.642,6.9128,30.467,6.943,10.6478666667,3.86626666666,6.85733333333
336.84,10.0548666667,15.4616,13.9281666667,8.81939999999,21.5111333333,6.65896666667,30.3472,6.71953333333,10.4278,3.61386666667,6.54006666667
337.21,10.0939333333,15.5119333333,13.9757666667,8.76373333334,21.619,6.61763333333,30.4144,6.69286666667,10.4062,3.56666666667,6.46213333333
337.57,9.94646666667,15.3758,13.85,8.5227,21.5067333333,6.38116666667,30.2292,6.45793333333,10.1852,3.32246666667,6.19313333333
337.94,9.98026666665,15.4522,13.8947666667,8.59686666667,21.674,6.30976666667,30.4300666667,6.49566666667,10.2004666667,3.33126666667,6.1716
338.31,10.1381333333,15.6106333333,14.1277333333,8.71836666667,21.8402666667,6.3791,30.5647333333,6.6354,10.3391333333,3.39653333333,6.18146666667
338.67,10.1484,15.6083666667,14.1304666667,8.67796666667,21.8278666667,6.38816666667,30.5234666667,6.61533333333,10.2833333333,3.3724,6.2404
339.04,10.2566,15.7357,14.1992,8.78346666666,21.8794,6.50163333333,30.4793333333,6.65993333333,10.3464,3.35946666667,6.318
339.40,10.2144,15.7653,14.2133333333,8.72739999999,21.9448,6.47566666667,30.3807333333,6.52413333333,10.3222,3.2894,6.3124
339.77,9.89566666665,15.5422,14.0296,8.39559999999,21.6994666667,6.10353333333,30.2374,6.17053333333,10.0299333333,2.86053333333,6.01113333333
340.14,10.033,15.7309333333,14.1862,8.5403,21.8822,6.24883333333,30.3939333333,6.3596,10.1608,2.9972,6.14486666667
340.50,10.1286666667,15.8641666667,14.3392666667,8.685,22.1378,6.2783,30.5591333333,6.50266666667,10.3318666667,3.0826,6.2414
340.87,10.1644,15.9943666667,14.4457333333,8.75456666666,22.2796,6.3205,30.6782,6.54793333333,10.3938,3.11946666667,6.36786666667
341.23,10.0083333333,15.9265333333,14.3102333333,8.59096666667,22.2244666667,6.1099,30.6046666667,6.3646,10.2249333333,2.87886666667,6.205
341.60,10.132,16.1728666667,14.5426666667,8.72606666666,22.4338666667,6.28303333333,30.8135333333,6.5246,10.4061333333,3.0798,6.4002
341.96,10.076,16.1989333333,14.5519,8.6106,22.4016,6.25083333333,30.8026666667,6.4286,10.3216,3.03833333333,6.36793333333
