wavelength,Back_ThrCypm,Belly_ThrCypm,Breast_ThrCypm,Crissum_ThrCypm,Crown_ThrCypm,DorTail_ThrCypm,Patch10_ThrCypm,Patch11_ThrCypm,Rump_ThrCypm,Throat_ThrCypm,WingTip_ThrCypm
335.38,10.2583333333,25.9880666667,20.9848666667,13.6924,12.3528,12.3921333333,18.8072666667,49.8139333333,13.4295333333,23.0006666667,8.64313333333
335.74,10.3329333333,26.0119333333,21.0467333334,13.6952,12.3512666667,12.3446,18.8584,49.5810666667,13.4539333333,22.966,8.62460000001
336.11,10.1508,25.9055333333,20.8842666667,13.4842666667,12.0939333333,12.1471333333,18.7159333333,49.3346666667,13.3248666667,22.7466666667,8.44186666666
336.47,10.1805333333,25.9378,20.8569333333,13.4740666667,12.1340666667,12.1402,18.7292666667,49.2586666667,13.3123333333,22.6673333334,8.47099999999
336.84,10.2336666667,25.9249333333,20.8912,13.5098,12.2488666667,12.1408,18.6806666667,49.1574,13.3333333333,22.5033333333,8.36400000001
337.21,10.4395333333,26.3171333333,21.1811333333,13.8752666667,12.5431333333,12.386,18.9120666667,49.4466,13.6623333333,22.7179333333,8.69373333334
337.57,10.3230666667,26.3272666667,21.2715333333,13.897,12.5514666667,12.4114,18.9980666667,49.3333333333,13.6830666667,22.8167333333,8.71193333333
337.94,10.2322666667,26.3966666667,21.3563333333,13.9552,12.6051333333,12.3534,18.92,49.2706666666,13.9041333333,22.8577333333,8.74286666667
338.31,10.254,26.2747333333,21.4946666667,13.9438666666,12.6207333333,12.4084666666,18.9239333333,49.219,13.8926666667,22.8748666667,8.74333333334
338.67,10.2081333333,26.4096,21.7114666667,14.0004,12.646,12.4254666667,19.1798666667,49.2147333333,13.9044666667,23.0192,8.71486666666
339.04,10.0244666667,26.4466,21.5688,13.7285333333,12.5630666667,12.3023333333,19.0261333333,49.1015333333,13.6389333333,22.8952666667,8.53080000001
339.40,10.3588,26.6505333333,22.0118,14.075,12.8870666667,12.5374666667,19.3347333333,49.199,14.0548666667,22.9765333333,8.80713333333
339.77,10.2725333333,26.6826666667,21.9873333333,13.9924,13.0328666667,12.4439333333,19.2366666667,49.1044666667,14.0225333333,22.9466,8.64373333334
340.14,10.2268,26.7324,21.959,14.0531333333,13.0946666667,12.4601333333,19.2938,48.9955333333,14.1289333333,23.0289333333,8.58986666667
340.50,10.1144,26.6568666667,21.7988666667,13.8403333333,13.0356,12.3590666667,19.2683333333,48.7396666667,14.0571333334,23.0434666667,8.37273333334
340.87,9.77566666667,26.571,21.5144666667,13.5578,12.8064,12.1312666667,19.0437333333,48.3647333333,13.9148666667,22.8748,8.21226666667
341.23,9.68733333333,26.4162666667,21.3249333333,13.3352,12.6909333333,11.995,18.9275333333,47.7086,13.8552,22.6957333333,7.96479999999
341.60,9.78826666665,26.6027333333,21.4288666667,13.4125333333,12.8624666667,12.0456,19.0867333333,47.4762,14.0299333333,22.6224666667,7.98646666666
