wavelength,Back_ConSpam,Belly_ConSpam,Breast_ConSpam,Crissum_ConSpam,Crown_ConSpam,DorTail_ConSpam,Patch10_ConSpam,Patch11_ConSpam,Patch12_ConSpam,Rump_ConSpam,Throat_ConSpam,WingTip_ConSpam
736.74,9.91977777779,64.8177777778,51.5892222222,48.15855,7.49122222222,8.48788888888,54.2758888889,9.16680555557,37.4447777778,17.1175555556,6.26788888889,9.95866666667
737.06,10.1351666667,64.7608888889,51.2823333333,48.0907722222,7.74322222222,8.59911111111,53.9702222222,9.22638888889,37.603,17.2232222222,6.33422222222,10.0365555556
737.38,10.1144444444,64.8748888889,51.4596666667,48.0399944445,7.78566666667,8.67244444444,53.838,9.24491666666,37.6377777778,17.2638888889,6.33288888889,9.99444444444
737.69,10.0967222222,64.9128888889,51.4026666667,47.9040444444,7.80833333333,8.77511111111,53.7313333333,9.1855,37.7123333334,17.2683333333,6.53466666667,10.0385555556
738.01,10.0884444444,65.1316666666,51.5775555556,48.051,7.72166666667,8.66477777777,53.8854444445,9.20991666668,37.9352222222,17.2906666666,6.51288888889,9.803
738.33,10.3338888889,65.1302222222,51.6127777778,48.1053833333,7.91011111111,8.71566666666,54.1642222222,9.48119444443,38.2305555556,17.442,6.62555555555,9.86888888889
738.64,10.5807222222,64.9555555555,51.4617777778,48.0059611111,7.95077777778,8.86611111111,54.1308888889,9.6141111111,38.2896666666,17.676,6.80533333333,9.81744444444
738.96,10.7618333333,64.8571111111,51.5944444444,47.9663944445,8.19744444445,9.07588888889,54.1975555555,9.96380555555,38.3984444444,17.9787777778,7.07244444445,10.0034444444
739.28,10.7926666667,65.0581111111,51.5837777778,48.2710666667,8.22833333333,8.95788888889,54.3811111111,10.0335555555,38.6575555556,17.9407777778,6.98622222222,9.84055555556
739.59,10.9142777778,65.1807777778,51.4554444445,48.4224777778,8.45055555556,9.01266666668,54.3308888889,10.0108888889,38.6722222222,17.9002222222,7.04344444444,9.78255555556
739.91,10.9380555556,65.186,51.5744444444,48.5174111111,8.43066666666,8.953,54.4711111111,10.09875,38.7087777778,18.0897777778,6.99666666666,9.82855555556
740.23,11.1292777778,64.9856666667,51.761,48.5559666667,8.62,9.04877777779,54.6152222222,10.2550833333,38.7834444445,18.3805555556,6.92822222222,10.08
740.54,11.0022777778,64.9472222222,51.847,48.4220888889,8.42111111111,8.78633333332,54.6772222222,10.1776111111,38.5512222222,18.2773333333,6.78633333333,9.86766666667
740.86,10.7744444445,65.0937777778,51.7626666667,48.5161222222,8.04466666667,8.46977777777,54.9346666667,10.1130555556,38.5296666667,18.1471111111,6.547,9.86566666667
741.18,10.5755555556,64.7722222222,51.6027777778,48.56305,7.97033333333,8.20255555555,55.0485555556,10.2305,38.3076666667,17.9532222222,6.27022222222,9.79622222222
741.49,10.5237222222,64.7691111111,51.8143333334,48.68845,8.04255555556,8.174,55.1111111111,10.3912222222,38.2685555556,17.9053333334,6.21055555556,9.94388888889
741.81,10.7718333333,64.9186666667,52.142,49.0026666666,8.392,8.583,55.2434444445,10.6156944444,38.3894444445,18.1256666667,6.41,10.3191111111
742.12,10.7885555556,64.8617777778,52.1987777778,49.0079166666,8.42322222222,8.56999999999,55.2903333333,10.5637777778,38.3961111111,18.082,6.30955555555,10.6124444444
742.44,11.0570555556,65.0005555556,52.0995555556,49.0664833333,8.634,8.74177777777,55.176,10.6965833333,38.5872222222,18.1707777778,6.53644444445,10.8952222222
742.76,10.8615555556,64.6055555556,51.9284444444,48.6846111111,8.38988888889,8.51044444443,54.9152222222,10.4369166667,38.3815555555,17.9831111111,6.19155555556,10.7651111111
743.07,10.6385555556,64.9251111111,52.138,48.9633222222,8.19066666667,8.33033333332,55.2884444444,10.3931111111,38.3322222222,17.9502222222,5.93544444445,10.7372222222
743.39,10.5136666667,64.6404444444,51.9952222222,48.8183,8.17088888889,8.43144444445,54.9601111111,10.2601944444,38.2748888889,17.8305555555,5.67755555556,10.5611111111
743.70,10.5928333333,65.1051111111,52.2141111111,49.1810555556,8.23977777778,8.40777777778,55.2531111111,10.3249444444,38.6182222222,18.0331111111,5.82633333333,10.7123333333
744.02,10.4160555555,64.9134444444,52.1588888889,49.1914222222,8.18766666667,8.54233333333,55.133,10.1225277778,38.5551111111,17.9678888889,5.85966666666,10.9464444444
744.34,10.7643333333,64.7762222222,52.1422222222,49.1067611111,8.53955555556,9.00055555557,54.9592222222,10.1593888889,38.6711111111,18.2295555555,6.03566666667,10.8784444444
744.65,11.1087777778,64.8346666667,52.5628888889,49.0962,8.80311111111,9.37244444443,55.0837777778,10.29175,38.957,18.5072222222,6.32044444444,11.0727777778
744.97,11.4912777778,65.069,52.6507777778,49.3574777778,8.97522222221,9.81244444443,55.3248888889,10.3666666667,39.1986666667,18.8731111111,6.60855555556,11.3717777778
745.28,11.6167222222,65.4274444445,52.7154444445,49.5148333333,8.95511111111,10.001,55.5124444445,10.2288333333,39.3106666667,19.0547777778,6.726,11.4207777778
745.60,11.5395,65.2762222222,52.4775555556,49.4695611111,8.9501111111,9.95311111111,55.362,10.1768888889,39.102,18.8213333333,6.63833333333,11.0077777778
745.91,11.5908333333,65.34,52.539,49.6817611111,9.03233333333,10.0392222222,55.7932222222,10.3405833333,39.3752222222,18.9204444444,6.53444444444,11.0203333333
746.23,12.2471666667,65.6965555556,52.697,50.0916166667,9.53744444445,10.6755555556,56.0471111111,10.9096388889,39.6672222222,19.3291111111,7.16155555556,11.6068888889
746.55,12.2251111111,65.7987777778,52.8781111111,49.8427333333,9.47022222221,10.6145555555,56.0434444444,10.8238611111,39.7634444445,19.2857777778,7.15544444445,11.4693333333
746.86,12.2054444444,65.9574444444,52.9603333333,49.7934722222,9.42011111112,10.4754444445,55.9966666667,11.0093611111,39.7301111111,19.2378888889,7.39588888889,11.5825555556
747.18,11.8184444444,65.6863333334,52.6401111111,49.5000722222,9.26633333332,10.5606666667,55.6328888889,10.7928888889,39.233,18.8165555556,7.20677777778,11.1626666667
747.49,12.1538888889,66.1464444445,53.0702222222,49.8396111111,9.49433333333,10.7198888889,55.9855555556,10.9970555556,39.6414444445,19.1693333334,7.45622222222,11.0122222222
747.81,12.0055,66.3391111111,53.3316666667,50.0358222222,9.36111111112,10.5678888889,56.1287777778,10.9754444444,39.5914444445,19.1318888889,7.35288888889,10.8996666667
748.12,12.2158888889,66.6965555556,53.2561111111,50.3194888889,9.50122222223,10.8883333333,56.2406666667,11.1667222222,39.8502222222,19.3318888889,7.54855555556,11.0813333333
748.44,12.1608888889,66.5602222222,53.2301111111,50.22965,9.47566666668,10.8941111111,56.0578888889,11.2101944444,39.9344444445,19.3048888889,7.521,11.1621111111
748.75,12.3352777778,66.0724444445,53.1161111111,49.9758833333,9.71622222223,10.8076666667,55.821,11.4987777778,39.9232222222,19.4496666667,7.78655555556,11.1784444444
749.07,12.8697777778,66.4061111111,53.6226666667,50.2901944444,10.1613333333,11.1824444444,56.001,11.9433055556,40.2966666667,19.8056666667,8.11477777778,11.7036666667
749.38,12.4309444444,66.4305555556,53.7635555555,50.4086277778,9.80377777779,10.9128888889,55.8213333333,11.5413333333,40.0335555555,19.5025555556,7.90633333333,11.5496666667
749.70,12.1446666667,66.3615555555,53.7085555555,50.2900166666,9.69622222221,10.6364444444,55.835,11.2827222222,40.0263333333,19.4221111111,7.773,11.3781111111
750.01,12.2195555555,66.0427777778,53.33,50.1927777778,9.83799999999,10.5926666667,55.6902222222,11.3662222222,40.1324444445,19.381,7.80233333333,11.4735555556
750.33,12.3883888889,65.9585555556,53.1361111111,50.2347722222,9.80022222223,10.5798888889,55.9093333333,11.3975277778,40.1954444444,19.5877777778,7.89911111111,11.381
750.64,12.1557222222,65.9816666667,53.0108888889,50.1014888889,9.3961111111,10.2006666667,56.0448888889,11.0100277778,40.1252222222,19.439,7.48555555556,11.1067777778
750.96,12.077,65.7262222222,52.5553333333,49.8338055556,9.41744444444,10.2601111111,55.8576666667,11.0675555555,39.9464444444,19.1964444445,7.34922222222,11.1833333333
