wavelength,Back_BanEdwf,Belly_BanEdwf,Breast_BanEdwf,Crissum_BanEdwf,Crown_BanEdwf,DorTail_BanEdwf,Patch10_BanEdwf,Patch11_BanEdwf,Patch12_BanEdwf,Rump_BanEdwf,Throat_BanEdwf,WingTip_BanEdwf
184.49,277.536166666,342.028833333,471.014666667,394.9275,418.116,401.449166666,415.942166666,354.347666667,336.956666666,434.058,372.463666666,486.231833333
184.87,319.166666666,431.666666667,554.583333334,455.833333334,476.666666667,451.666666667,482.5,434.166666666,415.833333333,500.0,440.833333334,562.5
185.25,339.6825,443.650833334,562.69825,439.682666667,473.8095,416.666666666,492.857166667,445.238,428.5715,488.095166667,453.174333334,540.476166667
185.63,346.296333333,476.852,620.370416666,487.963,518.5185,473.148,517.5925,477.777666666,475.926,531.481333334,562.037333334,576.851833334
186.01,290.151666666,410.606,499.62125,397.727166667,435.606,387.879,409.091,410.606166667,398.485,465.1515,487.121166667,485.606166666
186.39,244.666666666,361.333333334,423.333333334,334.0,392.0,308.0,316.0,348.666666667,334.0,419.333333334,414.0,420.0
186.77,251.515166666,416.666833333,466.666666666,349.999833333,466.666666667,306.818,318.181833333,384.848666667,380.303166667,445.454666667,494.697166667,484.090833333
187.15,180.952166667,319.643,381.54775,260.714166666,377.976166667,232.738,217.262,310.119166666,314.286,359.523833333,384.524,386.3095
187.53,187.931166667,333.333333333,375.574416666,279.885,380.46,245.402333333,230.46,310.345,335.632,366.091833334,373.563666667,393.678
187.91,124.489666667,199.319833334,232.483,175.510333333,236.734833333,165.306166667,155.782166667,203.401333333,219.387833333,227.210833334,240.816333333,241.1565
188.29,103.703666666,185.185166667,224.25925,169.259333333,240.0,148.888833334,152.592666667,199.259333333,219.2595,227.037,240.000166666,244.074166667
188.67,76.3636666665,154.8485,184.242583333,132.727333333,203.939333334,127.575833334,126.060666666,173.9395,185.7575,181.818166667,205.4545,196.060666667
189.05,64.7058333332,141.830166667,173.365916666,116.34,201.960666667,124.51,117.320166667,163.071833333,182.68,182.026166667,216.666666667,182.679833333
189.43,54.0323333335,110.483833333,143.95175,95.6988333335,167.742,112.903,96.2366666668,132.526833334,144.086166666,148.387,171.774333334,150.269
189.81,50.8656666667,93.0736666669,121.861583333,73.1601666665,137.879,95.2381666669,86.3635,111.904833333,122.294333333,122.294333334,124.458666667,127.489166667
190.19,38.4848333334,92.4239999998,137.727083333,69.9998333335,162.727166667,103.6365,83.9391666667,119.393833333,130.303,126.969833334,137.272833333,145.4545
190.57,46.5411666666,89.6228333335,138.83625,77.6731666667,157.232666666,118.553666667,86.478,135.534333334,130.188833333,129.874166667,155.975,137.736
190.95,27.4508333334,52.9413333333,120.097833334,55.8823333334,132.679833333,103.267833333,65.0326666667,118.300666667,109.803833333,118.6275,132.6795,113.725666667
191.33,37.3188333333,62.3189999998,127.173833333,69.5651666665,151.449166666,131.884,94.5653333333,140.2175,123.550666667,128.261,160.8695,124.999833333
191.71,29.2591666667,40.7406666667,120.0,58.1481666666,148.148,133.7035,82.9628333333,131.4815,106.6665,121.851666667,158.518666667,107.777666667
192.09,22.4806666666,29.8451666667,113.953666666,48.8371666667,134.1085,113.953333333,68.2171666667,109.69,86.8218333335,101.5505,150.000166667,90.6978333333
192.47,30.8941666666,33.3333333333,115.6505,32.1136666667,128.455333333,124.390333333,59.7561666667,106.910666666,85.3658333333,104.065166667,156.910666667,72.3576666667
192.85,39.1025,0.641,158.654,28.8461666666,168.589833333,173.076833333,57.0513333333,112.1795,109.615166667,149.358833334,221.794666667,74.3589999998
193.23,53.8888333332,3.3333333333,143.333416666,37.2223333334,157.777833333,168.333333334,57.2221666667,103.333166667,110.0,127.777666666,195.5555,82.2221666667
193.61,63.2183333331,2.8735,143.103333333,47.7013333334,184.482666666,178.735833333,68.9655,120.689833334,127.011666667,143.1035,243.103666667,86.7815
193.99,69.0476666665,1.78566666665,128.273666666,47.619,189.881,168.4525,58.3331666668,111.904833333,136.3095,142.261833334,274.404666667,81.5476666668
194.37,60.4166666667,6.77083333332,108.59375,41.1458333333,163.541666666,160.9375,56.7708333333,112.5,144.270833333,141.666666667,261.979166667,67.7083333335
194.75,25.9258333334,-12.9628333333,71.0649166667,6.9445,127.7775,113.888666667,32.8703333333,85.648,132.407333333,110.648166667,209.259,42.5926666668
195.13,56.6666666667,34.2856666667,95.9523333335,42.8571666667,164.285666666,157.619,59.0478333332,117.142833333,185.238166667,144.762166666,256.190666666,68.5715000001
195.51,85.1851666668,43.21,129.629583333,45.679,211.7285,195.678833333,53.7038333335,120.987666667,244.4445,180.864166667,319.753166667,94.4443333331
195.89,107.0175,31.5791666666,162.7195,22.807,270.175666667,257.894833334,45.614333333,138.5965,335.087666667,192.982333333,417.543833334,112.280666667
196.27,134.4445,-22.2221666667,173.3335,-25.5555,322.222166667,313.333166667,55.555666667,193.3335,411.111,260.0,478.889166667,127.777666667
196.65,188.4615,-5.1281666667,219.871833334,30.7693333333,380.769166667,357.692333333,75.641,269.231,487.179833333,321.794833333,573.077166667,144.871666667
197.03,191.666833333,67.8571666667,210.71425,51.1905,339.285666667,354.761833333,85.7143333335,289.285666667,453.571333333,315.476166666,560.714,151.190333334
197.40,-308.333666666,-16.6666666667,-379.166833333,27.7778333331,-602.778,-619.4445,-13.8888333335,-577.777666665,-986.110833335,-605.5555,-1191.66666667,-141.666666667
197.78,-83.3333333335,6.25,-96.3541666665,32.2916666667,-168.75,-181.25,56.25,-159.375,-369.791666666,-212.5,-378.125,14.583333333
198.16,1.96083333334,31.8626666667,-12.5,33.3335,-36.2743333333,-65.196,59.314,-57.3528333332,-138.725666666,-79.9018333331,-132.843,54.902
198.54,1.56249999999,34.8958333333,-1.04166666665,32.2916666667,-27.6041666667,-45.8333333333,71.3541666667,-38.0208333333,-142.1875,-80.7291666665,-109.895833333,71.8749999999
198.92,19.5833333333,45.8333333333,19.7916666666,35.8333333333,-8.33333333333,-17.5,72.4999999998,-1.66666666665,-84.1666666665,-53.75,-59.1666666667,64.1666666667
199.30,31.1965,67.9486666666,38.8888333333,59.829,17.5211666667,8.1195,69.2306666665,13.6753333333,-51.2821666666,-39.7436666667,-23.5041666665,87.1795
199.68,37.7451666667,95.5881666667,65.9313333333,79.902,35.7843333334,31.8626666667,80.3921666665,3.9216666665,-40.196,-43.1371666667,-0.000166666500007,140.686333333
200.06,41.2281666667,85.0878333334,63.15775,75.4386666666,42.1053333334,47.3685,77.1928333334,3.0703333333,-24.1226666667,-42.9823333333,2.6315,134.210666667
200.44,48.9361666667,67.3758333334,47.3403333334,56.7375,45.7448333334,41.844,81.2053333335,15.2483333333,-4.2555,-17.3758333333,-0.3545,115.9575
200.82,63.1576666665,91.6668333335,47.1491666667,64.0351666666,37.719,46.4909999998,97.8070000001,23.6841666667,-10.0878333333,-13.1578333334,12.2803333335,134.649166666
201.19,103.333333333,178.666666667,70.3333333333,120.0,56.6666666667,87.3333333333,174.0,67.3333333333,3.33333333335,16.0,60.6666666665,229.333333333
201.57,147.826,252.174,138.0435,181.159666667,78.9854999999,134.057833333,231.159666667,115.217333333,74.6376666665,65.2174999998,130.4345,291.304333333
201.95,108.0645,202.688166666,122.580666667,161.290333333,67.7421666665,113.441,179.57,95.1611666667,98.387,91.9356666665,116.129166666,228.494666666
202.33,75.2688333333,196.774166667,102.95725,148.924666667,40.86,97.8495,150.537666667,83.3333333333,101.075166667,72.0430000002,97.3116666665,211.827833333
202.71,60.4938333335,216.6665,62.0369166667,157.407333334,16.0493333334,66.0493333332,130.864166667,40.7406666667,122.839666667,67.2841666668,80.2466666665,219.753
203.09,-30.0,478.333333334,-15.8333333335,310.0,-70.0,36.6666666665,220.0,-69.9999999998,213.333333333,123.333333333,55.0,538.333333333
203.47,-56.060666667,422.727333333,25.0,289.394166666,-74.2425,4.5455,215.151333333,-83.3333333332,189.394166667,98.4850000001,-3.0303333335,504.5455
203.85,35.965,268.421,47.3683333333,199.999833333,-0.877166667,3.5088333335,171.0525,14.9123333333,134.2105,117.544,61.4033333335,324.5615
204.22,25.000166667,275.0,44.9075833333,180.555666667,-12.963,-28.7036666665,172.222166666,-21.296,128.703666666,119.4445,60.1851666665,324.074
204.60,13.1578333335,228.07,50.0000833334,152.631666667,-28.0703333335,-38.5966666665,132.456,-26.3158333334,89.4736666665,103.508833333,71.0528333335,278.9475
204.98,35.606,119.318166667,75.1895833334,110.606166667,33.3331666669,18.9393333333,97.7273333335,26.5151666667,81.4395,79.1665,77.2726666665,154.166833333
205.36,27.381,88.0953333335,65.32725,91.0716666665,33.9285,18.4523333333,74.7025,13.3928333333,63.0951666667,66.6668333333,62.4998333335,120.833333333
205.74,27.8606666667,66.9153333333,51.36825,74.6269999998,40.5473333334,21.8905,60.9451666667,14.9253333333,56.4678333334,54.7259999998,53.4828333335,101.4925
206.12,36.6666666667,61.1903333333,52.0236666667,66.9048333333,42.619,23.0953333333,64.5238333335,17.8571666667,46.1903333333,51.9046666665,64.9998333335,96.4284999999
206.50,33.3331666667,51.3335,47.1110833333,57.9998333333,37.7778333334,25.3335,62.0,20.6665,36.6668333333,50.889,56.6665,82.2223333333
206.87,40.6593333333,52.198,56.68475,63.1868333333,50.3663333333,35.3478333333,70.8788333334,35.7141666667,41.9413333334,55.6775,57.6923333333,83.1503333333
207.25,46.0381666667,49.0436666667,61.4071666666,62.295,54.645,42.8963333333,70.6283333333,45.4916666667,46.448,57.377,66.2568333333,76.6393333334
207.63,49.6623333334,52.365,57.37625,58.5585,55.4055,44.3693333333,72.41,49.5498333333,47.6351666667,61.036,69.1441666666,72.9731666667
208.01,46.1186666667,47.6028333333,50.1141666667,53.0821666666,50.6848333333,42.9225,71.4613333333,44.9771666666,42.466,57.0776666667,62.1006666666,69.064
208.39,46.372,49.7733333333,51.07725,50.2268333334,52.4941666667,46.5988333334,69.7278333334,51.3605,40.703,59.1838333334,59.6368333333,69.5011666666
208.77,45.8073333334,52.8301666667,54.0356666667,50.1048333334,50.9433333333,49.3711666667,70.9643333333,53.7736666667,44.1301666666,59.2243333334,62.4736666667,69.6018333333
209.14,44.3376666667,55.3421666667,52.7779166667,46.6883333334,50.9615,48.8248333333,68.0555,56.3035,44.6581666667,60.684,59.7221666666,70.2991666666
209.52,43.843,55.0955,54.7240833333,43.9493333333,50.7431666666,51.2738333333,68.1528333333,58.811,46.603,57.8555,60.5096666666,67.8346666667
209.90,37.4193333333,53.656,53.0645,43.5483333333,48.0645,51.0751666667,66.774,56.774,45.2688333333,58.0646666666,62.6881666666,66.8818333334
210.28,35.3881666667,56.9635,52.73975,45.3196666667,48.6303333333,55.137,65.2966666666,58.6756666667,49.3151666667,59.9315,64.155,70.3195
210.66,33.3335,55.0228333333,53.3104166666,45.8903333333,48.8585,52.968,63.3561666666,57.9908333333,46.4613333333,61.0733333333,66.7811666666,70.0913333333
211.03,29.669,54.61,52.1868333333,40.78,41.1348333334,54.3735,56.974,57.0921666667,40.5436666667,62.6476666666,71.6313333333,66.0756666666
211.41,25.4666666667,59.0666666667,46.3333333333,37.3333333333,36.9333333333,48.8,53.3333333333,56.4,40.9333333333,63.2,68.0,61.2
211.79,24.8588333333,57.9095,47.4578333333,33.7571666667,33.8983333333,50.4238333333,44.774,58.0508333333,41.2426666666,62.4291666666,63.2765,59.322
212.17,18.9153333333,55.2911666666,50.9259166666,30.9525,30.1588333333,47.0898333334,37.037,53.9681666667,41.1373333333,59.524,56.6136666666,55.0263333333
212.55,9.33333333335,45.8666666667,45.8666666667,26.0,23.4666666667,38.8,27.4666666667,45.2,34.8,52.8,53.0666666667,48.4
212.92,7.62716666665,41.1015,45.2683333334,25.7058333334,24.0113333333,39.8305,22.74,42.6553333334,28.8135,48.164,51.9771666667,50.9888333334
213.30,2.319,31.7391666667,41.8840833334,21.884,21.5941666666,35.3625,14.2028333333,31.884,21.739,41.1591666667,40.8696666667,40.145
213.68,6.753,28.7356666666,42.2411666667,16.2355,18.9655,31.0345,8.1896666667,27.1551666666,18.5343333333,44.1091666667,38.9365,37.7873333333
214.06,13.0363333333,25.4126666667,43.2343333333,9.736,19.8018333334,27.888,8.25083333335,28.0526666666,19.6373333333,49.505,39.7691666667,40.924
214.44,28.2738333333,36.1606666667,50.5208333333,17.7083333333,34.2261666667,35.2678333333,18.006,37.6488333333,30.6545,55.506,40.6251666667,44.9406666667
214.81,38.9786666666,42.8763333334,53.965,25.0,41.6665,35.4838333333,24.5968333334,43.9516666667,41.5323333333,64.2471666667,45.2958333334,47.8495
215.19,41.5406666666,37.1211666666,51.957,21.4646666667,44.5706666666,33.2071666666,25.379,38.5103333333,42.4241666667,61.3636666667,39.5201666666,47.0958333333
215.57,42.0745,28.9045,52.8556666666,16.3171666667,41.3751666666,31.0023333333,23.8926666667,33.45,35.198,54.7785,36.48,41.958
215.95,43.0656666667,27.0073333333,53.8321666666,16.0583333333,44.5255,31.8735,26.2771666667,31.1433333333,37.1046666667,57.0558333334,39.1728333333,42.8225
216.32,45.5313333333,26.9321666666,57.488,20.0481666666,48.913,36.1111666666,31.28,32.0048333333,42.0288333334,60.024,46.0146666667,43.9615
216.70,53.4186666666,32.2651666667,62.8203333334,30.128,56.0896666667,43.1625,44.9786666666,37.5,52.671,65.064,52.0296666667,50.0
217.08,50.4166666667,29.7916666667,57.6041666667,29.5833333334,52.9166666667,39.6875,42.8125,33.75,52.9166666667,66.5625,51.875,46.6666666667
217.46,44.0398333334,23.0685,53.03525,21.7438333333,46.137,33.1126666667,40.287,29.5805,50.5518333334,65.894,51.3246666667,42.8256666667
217.83,42.1716666667,22.7271666667,58.14375,21.4648333334,49.4951666667,30.1768333333,44.8235,28.914,52.7778333334,70.202,54.6715,43.5605
218.21,35.3861666666,19.082,56.03875,15.7005,43.8403333333,28.2608333333,38.768,25.7248333333,44.686,67.995,48.9128333334,39.0098333334
218.59,27.1165,8.73033333335,52.51325,7.0105,33.9946666666,23.942,31.4815,19.312,35.4498333333,63.6245,50.1325,32.672
218.97,18.269,-8.49366666668,46.3941666667,-11.5385,24.0383333333,17.1476666666,22.5963333333,9.4551666667,23.3976666667,59.2948333333,48.7181666667,24.3591666667
219.34,9.54866666665,-17.5348333333,42.62125,-18.2291666666,13.8888333334,10.4168333334,15.6248333333,7.63883333335,16.3193333333,56.4236666666,51.3888333334,17.8818333333
219.72,4.76183333335,-18.3675,38.0955,-17.5168333333,11.0546666667,11.9046666667,8.16333333333,4.42183333335,19.2176666667,54.2518333334,54.4218333334,21.4286666666
220.10,-5.49833333333,-30.2406666667,29.7251666667,-23.8831666666,3.26466666666,3.9518333333,0.858999999999,-3.09283333335,5.67016666667,43.6426666667,54.9828333334,8.07566666667
220.47,-12.4518333333,-38.6971666667,15.7085833334,-29.6935,-0.191666666665,-5.1725,-6.70466666667,-5.1723333333,-1.53250000002,40.4213333333,52.682,0.383
220.85,-30.0996666667,-56.2188333333,4.35316666665,-51.4926666668,-18.4078333333,-15.6716666667,-25.8706666667,-14.1788333333,-17.164,30.0995,56.219,-11.4428333333
221.23,-46.7261666667,-77.9763333333,0.89316666665,-70.5355,-34.5236666667,-30.0595,-50.2975,-27.0833333333,-28.5715,11.0121666667,46.726,-27.381
221.61,-21.2366666667,-58.8708333333,5.242,-58.0643333333,-16.6665,-11.828,-31.9893333334,-7.25816666665,-18.2795,18.5483333333,47.8493333333,-10.7526666667
221.98,-12.9411666667,-39.6078333334,3.03916666665,-37.451,-7.64716666667,4.70583333335,-17.843,4.70583333335,-10.7841666667,17.8431666667,41.9608333333,1.96066666667
222.36,-15.812,-44.8716666667,-6.19666666665,-44.658,-12.6068333334,0.641,-31.4101666667,3.846,-16.4528333333,8.547,40.3846666667,-3.41883333333
222.74,-16.2446666667,-51.4768333334,-10.7594166666,-48.9451666666,-15.8226666667,-11.1815,-33.1221666667,-4.6413333333,-13.7133333334,12.4473333333,28.692,-5.06333333331
223.11,-3.498,-32.9216666666,5.144,-23.2508333333,1.02883333334,10.9053333333,-17.4895,5.14416666665,6.17283333335,26.1316666667,38.0655,12.9628333334
223.49,-0.625,-23.75,8.75,-23.3333333333,8.54166666665,24.1666666667,-11.4583333333,7.50000000002,14.5833333333,29.1666666667,45.8333333333,18.125
223.87,-6.03866666667,-26.8116666666,-1.08666666665,-27.0533333333,8.93733333334,24.6376666667,-13.2851666666,13.5266666666,8.45400000002,32.8501666666,45.8936666667,15.2175
224.24,-42.0635,-72.2221666667,-36.70625,-76.1906666667,-20.6348333333,-1.58716666665,-52.381,-8.73,-24.6031666667,25.7938333334,41.2696666666,-1.984
224.62,-28.5183333333,-67.4073333333,-17.7776666667,-77.7778333335,-5.926,14.4445,-52.9628333333,2.5925,-15.5555,29.6296666667,47.4075,9.99983333335
225.00,-20.8331666667,-69.2308333334,-22.436,-68.269,2.88466666666,8.97433333335,-51.6026666666,3.205,-16.9871666667,28.205,46.7948333333,0.641
225.38,-22.2221666667,-68.8271666667,-28.0863333333,-79.6294999998,2.77783333335,16.358,-43.8271666667,3.08616666667,-30.5555,27.7778333333,36.1115,-3.395
225.75,-20.1755,-71.6375000001,-25.7310833333,-66.3743333333,3.80133333332,12.2808333334,-50.8773333333,-0.2925,-31.2863333333,17.5438333333,35.3803333334,-3.80116666665
226.13,-16.3398333334,-97.3858333332,-25.8168333334,-67.9739999999,-0.9805,7.84316666665,-73.2026666667,-11.438,-38.2351666667,8.49666666666,42.8101666666,-13.7253333334
226.51,-23.8561666666,-108.496666667,-24.8365833333,-63.0719999999,-2.94116666667,10.7843333333,-63.7255,-20.2613333333,-31.6995,-0.326833333335,56.536,-25.4901666667
226.88,-28.4315,-104.902,-20.0979166667,-59.1503333333,-6.2091666667,16.013,-55.5555,-17.647,-23.2023333333,-17.3203333333,59.1505,-28.1045
227.26,-31.4466666666,-108.176166667,-29.0879166667,-67.6101666667,-11.9496666666,0.000166666649999,-60.692,-24.2138333333,-25.1571666666,-22.0126666667,50.629,-35.5346666666
227.64,-119.4445,-304.166833333,-121.875083333,-193.0555,-99.9999999998,-81.2500000001,-214.583333333,-95.8333333335,-120.8335,-130.5555,20.139,-141.666666666
228.01,-1508.33333333,-4008.33333333,-1604.16666667,-2925.0,-1650.0,-1466.66666667,-3008.33333334,-1658.33333334,-1658.33333333,-1983.33333333,141.666666667,-1916.66666667
228.39,2316.66666667,8149.99999998,2800.0,5433.33333333,2916.66666666,2616.66666667,5500.0,2950.0,2150.0,3633.33333334,-433.333333333,3316.66666666
228.76,127.777833333,537.777666667,197.777583333,342.222333333,225.555333333,202.222,360.0,198.888833334,145.5555,258.889,-50.0003333333,220.000166667
229.14,82.7958333333,269.354833333,99.7311666667,174.193666667,143.5485,106.451833333,193.010666667,111.290166666,82.2581666665,141.935666667,0.000166666665,102.150833334
229.52,39.7958333334,163.2655,46.93875,89.1156666667,79.2515,68.7074999999,116.326666667,69.0476666667,26.5306666666,88.0949999998,-15.9863333334,42.8573333333
229.89,45.8331666667,120.833166667,53.3564166667,71.0648333334,80.3241666667,68.0555,96.9906666667,66.6666666667,31.4813333333,73.6111666669,-1.15716666667,46.2961666667
230.27,41.3921666667,93.7728333332,53.6633333334,65.7511666667,67.7655,66.85,80.5858333333,57.1428333333,28.3885,61.5385,8.42516666666,43.9561666667
230.65,34.5793333333,78.3488333335,47.3521666666,61.0593333333,60.9035,67.2898333334,76.6355,52.1805,26.3241666667,59.1896666667,24.4545,39.0966666667
231.02,37.6345,74.3281666667,52.68825,55.914,55.645,68.1451666666,76.4785,51.4785,34.1398333333,60.0808333333,31.7203333333,42.3385
231.40,36.715,72.705,47.9469166667,55.4346666667,54.9518333333,66.7876666667,72.7053333334,51.6908333333,38.5266666667,63.4058333333,30.5553333333,45.1691666666
231.78,31.3333333333,70.2666666666,48.0,53.8666666667,50.5333333334,65.0666666666,67.4666666666,54.0,31.3333333333,60.5333333334,23.3333333333,41.8666666667
232.15,25.6288333334,72.0126666667,39.4651666666,45.1256666666,48.4276666667,58.3335,67.9245,48.5848333333,19.6543333333,61.321,23.7421666667,41.0376666667
232.53,23.9583333333,68.5764999999,34.809,42.5348333334,45.8333333333,54.6876666667,69.2708333333,43.75,14.9306666667,67.3611666667,24.8261666666,40.4513333333
232.90,25.909,62.7271666668,32.6514166667,40.1515,44.5455,53.3331666667,66.515,45.3031666667,16.9696666666,65.4546666667,31.9696666666,44.5456666667
233.28,29.7333333333,60.2666666667,38.7333333333,41.0666666667,44.6666666667,56.1333333334,65.0666666667,49.4666666666,20.1333333333,62.4,32.2666666666,50.8
233.66,36.2373333333,64.3938333334,47.6639166667,47.096,50.8838333333,62.2475,72.2223333333,53.283,31.6916666667,66.2878333333,40.5303333334,61.1111666667
234.03,32.36,60.0973333334,41.241,46.715,45.6201666667,60.9486666666,66.0585,51.8248333333,31.7518333333,64.5985,44.5255,55.1093333333
234.41,34.712,56.767,42.29325,45.8648333333,45.238,53.5086666667,65.6643333334,50.5011666667,26.3158333333,65.5388333333,47.4935,54.7618333333
234.78,29.1666666667,51.961,42.1566666667,37.3776666667,39.7058333334,49.2646666667,58.9461666667,45.2206666667,24.6326666666,61.1518333333,37.7451666667,49.1421666666
235.16,20.1946666667,44.8905,33.75925,29.5621666667,32.1166666666,36.8611666666,51.095,39.0508333333,17.7616666667,50.2431666667,26.6421666666,40.9975
235.54,23.2066666667,43.9871666666,37.6581666667,29.7468333334,33.228,37.6583333334,50.1056666666,37.342,19.0928333334,50.4218333333,29.9578333334,41.8776666667
235.91,26.4205,48.6741666666,38.2574166667,32.1023333333,37.4053333334,40.909,54.924,40.1513333334,26.3258333333,53.2196666667,33.8066666667,45.644
236.29,26.4368333333,48.358,39.7371666666,35.1396666667,34.3185,43.1856666667,50.9853333333,40.6401666667,29.7208333334,50.821,33.2513333333,42.9393333333
236.66,24.5326666667,45.5606666667,40.03125,35.0466666666,34.6573333333,44.081,52.1026666667,41.0435,29.4395,49.221,32.0095,41.2771666667
237.04,23.2556666667,47.907,38.5659166666,34.2638333334,34.3411666666,42.8681666666,50.2325,41.4728333333,29.3025,47.3643333334,29.07,40.0776666667
237.41,13.4166666667,44.25,31.4166666667,28.6666666667,29.6666666667,37.0833333333,44.8333333333,37.75,25.3333333333,46.0,26.3333333333,33.75
237.79,10.7026666667,39.0521666667,25.7761666666,25.9803333333,26.7973333334,32.5165,40.196,34.8038333333,24.8365,41.585,22.9575,31.1273333333
238.17,7.90683333333,35.1163333333,21.6279166667,20.6976666667,21.473,24.5736666667,34.9611666667,30.0,21.6278333333,33.7985,18.1395,28.0621666667
238.54,4.23866666667,32.3275,15.6250833333,17.888,17.0258333333,23.5631666667,30.2443333333,24.9281666667,20.3305,29.4541666667,12.7153333333,24.7845
238.92,3.18133333334,30.3596666666,9.26741666666,16.0443333334,14.246,21.6458333333,26.5561666667,24.6888333333,20.747,26.2791666666,13.0706666667,22.5448333333
239.29,2.35366666667,26.5903333333,5.21633333334,13.8041666667,12.5953333333,23.0916666667,24.173,21.8195,17.8751666667,24.8726666667,11.1321666667,18.1298333333
239.67,-0.867333333335,21.0038333333,-0.216833333333,8.42616666665,9.10783333331,16.4188333333,16.8525,18.3396666667,13.7548333333,19.8885,9.046,11.2143333333
240.04,-3.63316666667,13.6678333333,-5.10375,2.36449999998,3.4025,12.6295,10.669,12.3415,8.01633333333,14.0713333333,5.07466666665,6.57433333333
240.42,-0.248166666665,12.748,-1.90991666667,2.62883333332,5.754,13.9881666667,12.004,11.508,9.87133333335,15.625,8.9285,8.9285
240.79,-0.773166666665,10.0943333334,-2.14758333334,1.54633333334,4.89683333333,12.1993333333,9.87983333335,9.1925,9.75083333332,12.414,7.47433333333,7.81799999998
241.17,0.038166666665,7.09949999998,-2.7335,0.341666666665,4.55566666667,10.4023333333,8.80800000001,8.65600000002,8.35216666665,12.1108333333,7.21316666666,6.492
241.54,1.92416666667,6.62100000002,-2.10358333333,0.48916666667,4.76183333333,10.6978333333,8.38233333331,8.02350000001,8.05616666668,9.78483333333,5.4795,6.32750000002
241.92,2.86983333333,5.65216666667,-2.27516666667,0.145,4.81166666667,9.884,7.15933333333,6.8405,6.37683333334,8.81166666668,4.55083333334,5.33333333333
242.29,2.61633333333,4.13383333333,-2.28958333333,-0.28783333333,4.44783333333,9.28816666665,6.384,5.44216666666,5.67783333334,8.92216666666,4.23883333334,5.1545
242.67,1.34333333333,2.81083333334,-2.66166666666,-1.39316666667,3.9055,8.68166666665,5.67166666667,5.32333333333,5.572,8.7065,4.5525,3.30833333333
243.05,1.11583333333,2.042,-2.291,-1.40066666667,4.036,8.35733333333,5.38933333333,4.17866666667,4.39233333333,8.42833333333,3.8225,2.73033333334
243.42,3.02833333333,3.14366666667,-0.496833333335,0.13866666667,5.24716666667,8.89983333332,7.166,5.96383333333,6.195,8.87666666665,5.98683333333,5.08566666667
243.80,2.53616666667,2.74,-0.702,0.113166666665,4.61933333333,9.26183333332,8.03883333333,5.88766666667,6.06866666666,8.55983333333,5.45716666667,4.89116666666
244.17,2.15,2.77033333333,-0.853333333335,-0.7535,3.70116666667,8.62116666665,7.602,4.80933333335,6.36066666666,7.6905,4.49916666667,4.03366666667
244.55,0.7765,1.5315,-2.896,-2.35233333334,1.95316666667,6.74650000002,5.90333333333,3.55083333333,5.415,6.01433333333,1.02083333333,1.66433333333
