wavelength,Back_SpoSchm,Belly_SpoSchm,Breast_SpoSchm,Crissum_SpoSchm,Crown_SpoSchm,DorTail_SpoSchm,Patch10_SpoSchm,Patch11_SpoSchm,Rump_SpoSchm,Throat_SpoSchm,WingTip_SpoSchm
314.43,7.77173333333,17.4942,12.3361333333,17.1878666667,6.11326666667,8.66953333333,10.6446666667,12.9349333333,8.111,9.44233333333,8.0918
314.80,7.85573333333,17.8262666667,12.5600666666,17.5526666667,6.43386666667,8.7976,10.9216,13.2054,8.35673333333,9.60813333333,8.252
315.17,8.16506666667,18.3223333333,12.9075333333,18.0562666667,6.79526666667,9.1612,11.2373333333,13.6014,8.56526666667,9.83686666667,8.46366666667
315.54,8.52813333333,18.7480666667,13.2818666667,18.5493333333,7.06426666667,9.3788,11.6211333333,13.9648,8.88153333333,10.1518,8.76006666667
315.91,8.53873333333,18.8278666667,13.3595333333,18.6542666667,7.1034,9.2536,11.7786,14.0444,8.91573333333,10.0504666667,8.67873333333
316.28,8.46213333333,18.8588666666,13.4329333333,18.823,7.21946666667,9.17273333333,11.897,14.0965333333,8.87953333333,9.98500000001,8.70653333333
316.64,8.1872,18.5889333333,13.1466,18.6172,6.91186666667,8.8022,11.6374,13.8181333333,8.60406666667,9.61506666668,8.389
317.01,8.16113333333,18.7425333333,13.0755333333,18.7709333333,6.90566666667,8.71513333333,11.6642666667,13.8284666667,8.5272,9.67473333333,8.32246666667
317.38,8.38193333333,18.9022,13.1927333333,19.0979333333,7.09393333333,8.87753333333,11.7814,13.9639333333,8.60786666666,9.82153333333,8.4292
317.75,8.2224,18.9152666667,13.0205333333,19.2412666667,7.06146666666,8.66266666667,11.7548,13.8271333333,8.4644,9.73206666665,8.31193333333
318.12,7.90186666667,18.7704666667,12.6956,19.0547333333,6.84913333333,8.40146666667,11.3909333333,13.5790666667,8.14406666667,9.45233333333,8.00186666667
318.49,7.8278,18.8292666667,12.6591333333,19.0438,6.8212,8.33186666667,11.2624,13.4995333334,7.93786666666,9.42153333333,7.93586666667
318.85,7.91933333333,18.9635333334,12.6771333333,19.1738,6.80566666667,8.23973333333,11.2314666667,13.5496,7.87866666667,9.43453333333,8.00033333333
319.22,7.66113333333,18.8054,12.4261333333,19.0170666667,6.57333333333,7.85346666667,11.0374,13.2692666667,7.67093333333,9.19386666667,7.69806666667
319.59,7.44866666667,18.7204,12.2633333333,18.8358666667,6.28653333333,7.51706666667,10.8192,13.1492,7.42113333333,8.95353333333,7.4114
319.96,7.38893333333,18.8633333333,12.1768666667,18.9401333333,6.17513333333,7.4246,10.6492666667,13.201,7.3022,8.91660000001,7.318
320.32,7.21,18.937,11.9194,18.9113333333,5.95266666667,7.13866666667,10.2518,13.0218666667,7.1424,8.78853333335,7.073
320.69,7.41206666667,19.3162666667,12.1804,19.1572666667,6.0842,7.35433333334,10.3298,13.2518666667,7.31266666667,9.10559999999,7.2908
321.06,7.64426666667,19.6143333333,12.5048,19.4675333333,6.301,7.61046666667,10.5514666667,13.4445333333,7.57273333333,9.33139999999,7.533
321.43,7.65233333333,19.7227333333,12.5490666667,19.6148666667,6.21386666667,7.5326,10.6254,13.479,7.47686666667,9.33046666667,7.48873333333
321.80,7.73526666667,19.8676666667,12.5728,19.7056,6.2006,7.70373333333,10.6271333333,13.5604666667,7.52,9.34720000001,7.46073333334
322.16,7.91486666667,20.2481333333,12.9153333333,20.1209333333,6.31893333333,7.87193333333,10.9210666667,13.8939333333,7.73313333333,9.60453333333,7.5594
322.53,7.60033333333,19.9464,12.4778666667,19.8204666667,5.83026666667,7.45153333333,10.53,13.5090666667,7.27593333333,9.18553333333,7.10966666667
322.90,7.38113333333,19.936,12.2316666667,19.6428,5.63633333333,7.27193333333,10.361,13.3201333333,7.0558,9.01479999999,6.76633333333
323.27,7.3966,20.0328,12.262,19.7738,5.64633333333,7.30366666667,10.5065333333,13.337,7.10466666667,9.08113333333,6.77793333333
323.63,7.41226666667,20.1610666667,12.2546666667,19.9132,5.6926,7.32386666667,10.5436666667,13.3688,7.11833333333,9.13913333332,6.69846666667
324.00,7.42986666666,20.423,12.3818666667,20.1605333333,5.80506666667,7.39006666667,10.6794,13.4058,7.19166666667,9.2118,6.7082
324.37,7.4576,20.6273333333,12.4933333334,20.3542,5.8622,7.45253333333,10.9487333333,13.5542,7.20806666667,9.20146666667,6.73413333334
324.74,7.48566666666,20.8090666667,12.5603333333,20.6066666667,5.92666666667,7.4924,11.1957333333,13.6778,7.2814,9.31026666668,6.72273333333
325.10,7.31306666667,20.8113333333,12.383,20.6772666666,5.66786666667,7.30673333333,11.1579333333,13.6193333333,7.1192,9.18793333333,6.52273333334
325.47,7.31146666667,20.9750666667,12.4604666667,20.7895333333,5.78126666667,7.38846666667,11.3674666667,13.7786,7.24846666667,9.23479999999,6.5976
325.84,7.24553333333,21.0958666667,12.5058,20.9261333333,5.7436,7.30106666667,11.5056666667,13.7964,7.21466666667,9.14406666667,6.55253333333
326.21,7.24626666667,21.2016666667,12.5032666667,20.9967333333,5.808,7.33426666667,11.5614,13.8567333333,7.2386,9.10186666666,6.60293333333
326.57,7.4316,21.5405333333,12.7944666667,21.4002666667,6.0526,7.61413333333,11.9434666667,14.2086,7.51626666667,9.333,6.7934
326.94,7.52073333333,21.672,12.9272666667,21.6087333333,6.13293333333,7.6892,12.1244666667,14.3272666666,7.66646666667,9.352,6.88013333333
327.31,7.52313333333,21.8652666667,12.9397333333,21.7477333333,6.1268,7.72066666666,12.0892666667,14.3963333333,7.72833333333,9.3418,6.834
327.67,7.57,22.0727333333,13.0565333333,22.0438,6.19073333333,7.80406666667,12.2475333333,14.4662,7.84046666667,9.37333333332,6.97393333333
328.04,7.64153333333,22.1712,13.1377333333,22.1942,6.21126666667,7.90426666667,12.3172666667,14.5847333334,7.88153333333,9.38793333333,7.0808
328.41,7.74353333334,22.2365333333,13.1710666667,22.2426,6.22913333333,7.9578,12.2838666667,14.5832,7.95013333333,9.46613333332,7.13326666667
328.78,7.85173333333,22.4098666667,13.3072666667,22.5115333333,6.38053333333,7.9734,12.3869333333,14.7599333333,8.0564,9.52593333332,7.23453333333
329.14,8.0334,22.5386,13.488,22.6114,6.57093333334,7.99773333333,12.4398,14.9676,8.14313333333,9.61653333334,7.32053333333
