wavelength,Back_AniSomf,Belly_AniSomf,Breast_AniSomf,Crissum_AniSomf,Crown_AniSomf,DorTail_AniSomf,Patch10_AniSomf,Patch11_AniSomf,Patch12_AniSomf,Rump_AniSomf,Throat_AniSomf,WingTip_AniSomf
600.87,-0.212444444443,55.0799444444,48.3363333333,49.8128888889,24.6599166667,3.52122222222,14.3282222222,5.1532962963,5.81716666667,2.51022222222,50.2488888889,2.76516666667
601.21,-0.23211111111,55.1721666667,48.4421666666,49.8245555556,24.7054166667,3.48377777778,14.2622222222,5.13636213992,5.76,2.51444444444,50.3101111111,2.75594444444
601.54,-0.261777777777,55.2495,48.5305,49.8867777778,24.7599444444,3.46677777778,14.2514444444,5.13957613169,5.74566666667,2.53177777778,50.3978888889,2.73855555556
601.88,-0.23511111111,55.2901666667,48.6456666667,49.9145,24.8353055556,3.50855555556,14.2641111111,5.20116049382,5.77216666667,2.58944444444,50.455,2.78666666667
602.21,-0.152999999997,55.4806666667,48.7778333334,49.9623333333,24.9246666667,3.63355555556,14.3012222222,5.26409053498,5.85327777778,2.67244444444,50.5573333333,2.9005
602.55,0.0377777777767,55.7051111111,49.0213333334,50.184,25.1580833334,3.81577777778,14.4392222222,5.44441152263,6.04083333333,2.857,50.7361111111,3.10566666667
602.88,0.184666666667,55.8903333333,49.3393333333,50.3701111111,25.306,3.99566666667,14.5205555556,5.56962139918,6.16727777778,2.99833333333,50.9143333333,3.23922222222
603.22,0.32211111111,56.0713333333,49.4716666666,50.4875555556,25.4201111111,4.14466666667,14.6196666667,5.69882304527,6.26777777778,3.14622222222,51.0948888889,3.377
603.56,0.437333333333,56.1253333333,49.5343333334,50.5456666667,25.5065277778,4.24955555556,14.6615555556,5.78546502057,6.36211111111,3.25277777778,51.1885555556,3.46016666667
603.89,0.501333333333,56.2597222222,49.7263333333,50.6846666667,25.5719166666,4.32166666666,14.7143333333,5.84069135803,6.40672222222,3.32455555555,51.2812222222,3.54755555556
604.23,0.543555555557,56.3227777778,49.7858333333,50.6856111111,25.5877777778,4.37266666667,14.7016666667,5.85001234568,6.42655555555,3.36733333333,51.2827777778,3.61816666667
604.56,0.548444444443,56.3408888889,49.8538333333,50.7508888889,25.5981388889,4.41866666667,14.6671111111,5.85959670783,6.44622222222,3.38055555556,51.3222222222,3.64911111111
604.90,0.542777777777,56.3479444444,49.8048333333,50.7483888889,25.5872222222,4.43155555555,14.6357777778,5.84120576131,6.45961111111,3.35744444444,51.337,3.63666666667
605.23,0.570222222223,56.3623333333,49.7808333334,50.7516666667,25.5871944444,4.47533333333,14.596,5.83332510288,6.44461111111,3.35922222222,51.3065555555,3.65972222222
605.57,0.535111111113,56.3407222222,49.671,50.7002777778,25.5305277778,4.443,14.5157777778,5.78271193417,6.40494444444,3.32122222222,51.2556666667,3.63161111111
605.90,0.494111111113,56.2475555556,49.6071666667,50.6562222222,25.4612222222,4.37144444444,14.4202222222,5.75531275719,6.345,3.26744444444,51.2102222222,3.56377777778
606.24,0.346333333333,56.151,49.4166666667,50.5478333333,25.3363611111,4.25,14.2603333333,5.61468724279,6.18866666667,3.12977777778,51.11,3.41911111111
606.58,0.20666666667,56.0234444444,49.1996666667,50.3951666667,25.1881388889,4.11177777778,14.0705555556,5.4957325103,6.04866666667,3.02655555556,50.9683333333,3.32172222222
606.91,0.179333333333,55.9021111111,49.1465,50.2781111111,25.1368611111,4.06522222222,13.9731111111,5.4433744856,6.00583333333,3.01233333333,50.8083333333,3.28138888889
