wavelength,Back_TanRuem,Belly_TanRuem,Breast_TanRuem,Crissum_TanRuem,Crown_TanRuem,DorTail_TanRuem,Patch10_TanRuem,Patch11_TanRuem,Patch12_TanRuem,Rump_TanRuem,Throat_TanRuem,WingTip_TanRuem
184.11,25.5103333333,72.2282807018,104.989,105.442,84.3536666667,111.791333333,79.5916666667,83.6733333333,46.712,81.406,66.44,56.4626666667
184.49,28.728,81.6481403509,106.140666667,115.570333333,94.9563333333,114.912333333,89.693,94.079,52.8506666667,87.719,71.272,65.1313333333
184.87,26.5351666667,80.9673684211,101.316,120.175333333,95.1753333333,110.526333333,92.3243333333,94.737,54.386,84.6493333333,74.342,64.035
185.25,26.1146666667,75.0472982456,95.5413333333,115.711,93.4183333333,102.123,93.6306666667,96.603,54.9893333333,78.981,70.276,60.9343333333
185.63,20.8601666667,72.5073157895,95.0536666667,115.699,90.5376666667,98.0646666667,95.4836666667,99.57,51.398,71.828,72.4733333333,60.0
186.01,27.4508333333,70.351,92.9413333333,117.255,85.6863333333,89.2156666667,94.902,94.902,54.5096666667,68.8236666667,75.294,65.6863333333
186.39,30.539,69.9340175439,90.4193333333,118.762333333,85.03,91.8166666667,96.2076666667,93.2136666667,60.0796666667,66.8663333333,74.8506666667,70.06
186.77,35.0573333333,71.2140526316,90.6133333333,117.05,83.9083333333,87.931,99.8083333333,88.6973333333,63.793,61.6856666667,78.161,68.0076666667
187.15,37.4748333333,68.8145789474,88.283,119.394,81.616,87.0706666667,103.03,89.293,65.4546666667,60.808,82.0203333333,64.6466666667
187.53,30.1745,63.9722105263,82.7886666667,118.300666667,78.4313333333,80.1746666667,99.7823333333,84.096,61.8736666667,58.8233333333,79.085,58.6053333333
187.91,24.2318333333,52.8803157895,71.3946666667,118.203333333,75.65,67.849,99.0543333333,83.2153333333,58.6286666667,49.1726666667,76.832,54.3733333333
188.29,15.8043333333,48.4875614035,69.5403333333,127.873666667,75.862,60.0573333333,98.5633333333,87.356,54.885,48.5633333333,76.1493333333,52.8736666667
188.67,20.7033333333,45.7098070175,62.7603333333,110.937666667,72.917,58.3333333333,85.9376666667,76.0416666667,51.5626666667,47.9166666667,73.177,49.2186666667
189.05,22.8996666667,45.3859298246,64.4986666667,109.756,81.8426666667,66.9376666667,85.637,74.7966666667,54.2006666667,53.9293333333,75.3386666667,49.3226666667
189.43,26.97,51.1165263158,63.0303333333,121.212,89.394,74.2423333333,89.091,65.7576666667,55.7576666667,57.8786666667,85.4543333333,50.303
189.81,30.2288333333,47.2649824561,56.8626666667,123.202333333,98.0393333333,73.2026666667,88.889,50.327,55.8823333333,60.131,83.0066666667,49.0196666667
190.19,32.738,51.8590175439,55.9523333333,130.555666667,122.222333333,96.4283333333,104.761666667,60.7146666667,69.4443333333,73.0156666667,98.8093333333,54.7616666667
190.57,11.4155,41.8407368421,44.749,129.680333333,117.808333333,84.4746666667,98.63,38.356,52.5113333333,52.5113333333,93.6073333333,40.639
190.95,-21.2121666667,23.6681403509,26.667,132.727333333,123.030666667,86.0603333333,106.666666667,12.7273333333,33.3333333333,42.424,79.3936666667,34.5453333333
191.33,-26.0608333333,18.9474912281,24.2423333333,119.394,115.151333333,90.909,89.091,6.06066666667,23.03,34.5456666667,75.1516666667,30.303
191.71,-67.0543333333,5.01822807017,-2.32566666667,108.527333333,109.302,89.9226666667,90.6976666667,-34.8836666667,-7.75166666667,10.0776666667,55.814,3.876
192.09,-116.049666667,5.5229122807,-11.111,123.457,156.79,130.864,124.691,-88.889,-18.5186666667,25.926,51.852,-7.40733333333
192.47,-107.738333333,13.5966666667,-23.8093333333,90.476,163.095333333,121.428333333,154.762,-119.047666667,-13.0953333333,26.1906666667,65.476,-2.38133333333
192.85,-616.666666667,1.7543859649,-246.666666667,480.0,800.0,486.666666667,826.666666667,-820.0,-66.6666666667,-33.3333333333,206.666666667,-173.333333333
193.23,1083.33333333,-400.0,83.3333333333,-1833.33333333,-2483.33333333,-1300.0,-2500.0,1283.33333333,-133.333333333,-200.0,-1066.66666667,16.6666666667
193.61,355.555666667,-129.239649123,88.889,-605.555333333,-872.222333333,-605.555333333,-988.889,144.444333333,-155.555333333,-138.888666667,-355.555666667,-11.111
193.99,-279.166666667,555.701754386,-50.0,1083.33333333,1283.33333333,1158.33333333,1675.0,175.0,408.333333333,325.0,550.0,241.666666667
194.37,-293.75,230.48245614,-150.0,379.166666667,420.833333333,316.666666667,741.666666667,-104.166666667,79.1666666667,58.3333333333,33.3333333333,8.33333333333
194.75,-7.24633333333,121.357754386,0.000333333333328,173.913,221.739,162.319,311.594333333,31.884,108.695666667,108.695333333,39.1306666667,47.826
195.13,40.1961666667,119.246631579,39.2156666667,138.235333333,202.941333333,128.431333333,230.392333333,50.0,126.470666667,100.980333333,50.0,42.1566666667
195.51,35.7145,149.122754386,11.111,177.778,300.0,128.571666667,360.317333333,33.3333333333,182.54,104.762,0.000333333333335,55.5556666667
195.89,155.5555,247.075929825,-5.55533333333,300.0,480.555666667,163.888666667,600.0,25.0,358.333333333,122.222333333,-27.7776666667,122.222333333
196.27,170.238166667,207.142894737,7.14266666667,316.666333333,428.571666667,171.428666667,526.190333333,26.1906666667,292.857333333,59.5236666667,4.762,104.761666667
196.65,1100.0,691.228070175,-433.333333333,2000.0,2283.33333333,450.0,2866.66666667,216.666666667,1683.33333333,-216.666666667,-866.666666667,-83.3333333333
197.03,1900.0,103.50877193,-1533.33333333,3500.0,3500.0,33.3333333333,5700.0,700.0,3900.0,-933.333333333,-1900.0,-466.666666667
197.40,189.393833333,-45.1355438596,-239.393666667,315.151333333,193.939333333,-93.9393333333,515.151333333,12.1213333333,403.03,-184.848666667,-245.454666667,-90.909
197.78,245.833333333,-98.6842105263,-391.666666667,354.166666667,125.0,-254.166666667,620.833333333,-154.166666667,533.333333333,-366.666666667,-520.833333333,-200.0
198.16,-36.6665,156.491245614,331.111333333,-66.6666666667,28.8886666667,204.444333333,-217.778,200.0,-211.111,264.444666667,400.0,204.444666667
198.54,-20.4546666667,115.550245614,245.454333333,-30.303,19.697,130.303,-113.636333333,160.606,-137.879,206.060333333,265.151666667,153.03
198.92,-1.4705,89.6801754386,169.608,9.80433333333,29.4116666667,118.627666667,-52.941,132.353,-67.647,158.823666667,186.274666667,100.0
199.30,-0.854833333333,97.2557894737,162.393,13.6753333333,45.2993333333,128.205,-18.8036666667,124.786333333,-41.8803333333,150.427333333,177.778,100.855
199.68,30.6308333333,103.887789474,173.874333333,13.5133333333,68.4683333333,141.441333333,1.80166666667,128.828666667,-35.135,164.864666667,187.387333333,135.135
200.06,47.7011666667,130.429561404,206.896333333,26.4363333333,85.0573333333,162.069,-18.3903333333,125.287333333,-45.977,182.758666667,235.632,171.264333333
200.44,76.7856666667,131.641789474,240.476,45.2376666667,121.428333333,180.952333333,3.57133333333,113.095333333,-50.0,182.142666667,252.381,189.285666667
200.82,60.4166666667,97.0394736842,200.0,19.7916666667,105.208333333,105.208333333,-30.2083333333,115.625,-31.25,136.458333333,212.5,129.166666667
201.19,68.0953333333,93.032614035,212.381,38.095,143.809333333,121.904666667,16.1906666667,134.285666667,9.524,145.714,255.238,140.952666667
201.57,56.1223333333,82.098017544,169.387666667,74.1493333333,114.286,101.360333333,36.0546666667,114.285666667,23.1293333333,108.843666667,219.047666667,109.524
201.95,75.8168333333,101.960789474,188.889,97.3853333333,122.222333333,134.640333333,62.745,128.758333333,37.2546666667,121.568666667,224.836333333,128.758333333
202.33,83.6878333333,124.337350877,197.163333333,116.312,149.645333333,165.957,78.0143333333,148.936333333,41.8436666667,135.461,236.17,142.553
202.71,56.2501666667,108.615263158,160.714333333,100.000333333,131.547333333,133.928666667,65.476,122.619,26.1903333333,104.166666667,200.595333333,120.238
203.09,57.971,113.653929825,186.956666667,121.739,144.203,130.435,51.449,143.478333333,15.2173333333,119.565,229.71,136.956666667
203.47,58.6805,99.9634561403,172.916333333,108.333666667,126.388666667,110.416666667,25.0,136.805333333,7.639,99.3056666667,204.861333333,109.028
203.85,28.3623333333,90.2431052632,143.859666667,96.4913333333,107.602,77.193,11.696,126.315666667,-2.339,76.6083333333,177.193,83.6256666667
204.22,15.517,83.9684210526,139.655,81.0346666667,102.299,69.5403333333,16.092,126.436666667,-10.9196666667,81.609,168.391,79.3106666667
204.60,9.45283333333,80.9896140351,116.915666667,87.5623333333,87.5623333333,76.1193333333,21.8906666667,134.328333333,-2.985,84.0793333333,148.756333333,70.6466666667
204.98,18.6938333333,84.3527894737,117.567666667,104.504666667,87.3873333333,97.7476666667,35.5856666667,135.135,4.054,94.144,140.540333333,79.2793333333
205.36,15.5093333333,79.5322280702,100.463,109.259333333,74.537,89.3516666667,24.537,126.851666667,-2.77766666667,79.167,125.463,69.9073333333
205.74,26.7543333333,62.9731754386,90.351,104.824333333,63.5966666667,78.5086666667,20.614,115.351,-5.70166666667,67.1053333333,115.789333333,66.667
206.12,-2.60416666667,38.6785789474,58.3333333333,111.979333333,45.3126666667,64.0626666667,-7.292,98.4376666667,-35.4166666667,52.0836666667,110.417,46.8753333333
206.50,-22.3118333333,22.6090877193,48.9246666667,110.752333333,28.4946666667,46.774,-25.269,86.559,-60.215,39.2473333333,100.538,32.7956666667
206.87,-31.0898333333,22.6046491228,55.769,107.692333333,26.923,49.359,-37.1793333333,88.4616666667,-81.4103333333,46.154,95.513,26.282
207.25,-11.0293333333,35.4746842105,51.9606666667,93.1373333333,43.137,58.3333333333,-4.41166666667,75.49,-49.0196666667,46.0783333333,88.7253333333,34.8036666667
207.63,-10.8588333333,37.6660350877,62.1213333333,100.504666667,61.616,65.1516666667,12.6263333333,85.3533333333,-46.97,60.1006666667,98.485,42.4243333333
208.01,-23.4568333333,25.4060175439,67.2836666667,136.419666667,69.753,86.4196666667,22.2223333333,89.5063333333,-59.259,74.0736666667,118.518666667,43.21
208.39,-33.712,23.8834736842,77.2726666667,185.606,87.1213333333,100.757666667,39.3936666667,102.272666667,-76.515,83.333,143.182,41.6666666667
208.77,-44.203,12.5857719298,70.2896666667,174.637666667,86.2316666667,80.4346666667,42.029,76.087,-84.7826666667,72.4636666667,126.087,43.4783333333
209.14,-57.3168333333,0.0425263158,68.2926666667,182.113666667,80.488,55.2846666667,33.333,56.0976666667,-111.382,51.2196666667,118.699333333,30.894
209.52,-47.1633333333,-7.54019298247,70.2126666667,159.574666667,69.5033333333,38.2976666667,26.9503333333,58.156,-93.617,53.9006666667,104.964666667,43.2623333333
209.90,-42.3911666667,17.6584385965,79.7103333333,153.623333333,93.4783333333,39.1306666667,36.2316666667,82.6086666667,-76.8113333333,60.8693333333,109.420333333,48.5506666667
210.28,-20.3333333333,43.5438596491,105.333333333,161.333333333,109.333333333,32.6666666667,56.6666666667,102.0,-50.6666666667,63.3333333333,122.666666667,37.3333333333
210.66,-25.3966666667,62.7820526316,124.603333333,196.825333333,134.127,38.095,71.4283333333,117.460333333,-57.9366666667,69.8416666667,149.206333333,46.0316666667
211.03,-61.9046666667,55.1881578947,125.714333333,225.714333333,146.666666667,27.619,73.333,134.285666667,-67.6186666667,56.1906666667,186.666333333,44.762
211.41,-100.641166667,56.2077017544,152.564,275.641333333,184.615666667,23.0773333333,70.513,156.410333333,-91.0256666667,35.8973333333,203.846,61.5386666667
211.79,-84.375,67.3793859649,144.791666667,246.875,150.0,23.9583333333,63.5416666667,128.125,-57.2916666667,3.125,165.625,64.5833333333
212.17,-122.222333333,68.940754386,169.135666667,251.851666667,165.432,6.17266666667,38.2716666667,132.098666667,-83.9506666667,-39.5063333333,160.494,53.0863333333
212.55,-200.0,60.7573508772,185.965,259.649333333,138.596333333,-73.6843333333,-50.8773333333,147.368,-163.158,-147.368333333,138.596333333,-0.000333333333332
212.92,-520.833333333,167.98245614,441.666666667,500.0,237.5,-337.5,-283.333333333,237.5,-325.0,-487.5,262.5,-141.666666667
213.30,-575.0,153.070175439,370.833333333,450.0,279.166666667,-337.5,-262.5,258.333333333,-341.666666667,-487.5,312.5,-187.5
213.68,3.92359058445e+15,-5.72377344986e+14,-1.74855667351e+15,-1.68458508789e+15,-8.52954474881e+14,2.15371004907e+15,1.5992896404e+15,-1.02354536986e+15,2.40959639154e+15,2.92136907647e+15,-1.47134646917e+15,1.89782370661e+15
214.06,1.68813906487e+15,1.14849571837e+14,-2.98534066208e+14,-4.62017007227e+14,1.20835217275e+14,1.00222150798e+15,6.89471533862e+14,1.0661930936e+14,1.1159487713e+15,1.15148854109e+15,-2.98534066208e+14,8.8138629071e+14
214.44,-478.125,-13.5964912281,79.1666666667,89.5833333333,-41.6666666667,-277.083333333,-172.916666667,-56.25,-320.833333333,-362.5,97.9166666667,-214.583333333
214.81,-264.1025,-11.8759649123,48.718,26.923,7.69233333333,-158.974333333,-110.256,-35.8973333333,-156.410333333,-201.281666667,66.6666666667,-87.1793333333
215.19,-292.7535,-54.6149298246,-1.44933333333,42.0293333333,-5.79733333333,-205.797333333,-163.768333333,-73.913,-194.203,-266.666666667,65.2173333333,-110.145
215.57,-382.407333333,-113.645052632,-35.1853333333,51.852,-66.6663333333,-307.407333333,-242.592666667,-125.925666667,-277.778,-357.407666667,53.7036666667,-175.926
215.95,-925.0,-466.885964912,-325.0,29.1666666667,-245.833333333,-908.333333333,-745.833333333,-466.666666667,-825.0,-854.166666667,-29.1666666667,-487.5
216.32,-547.435833333,-274.898701754,-233.333333333,30.7693333333,-141.025666667,-597.436,-433.333333333,-317.948666667,-517.949,-482.051,10.2566666667,-251.282
216.70,-331.884166667,-156.292719298,-136.232,62.319,-33.3333333333,-333.333333333,-211.594333333,-185.507333333,-291.304666667,-262.319,2.89866666667,-121.739333333
217.08,-138.095166667,-62.5495263158,-42.1766666667,53.7416666667,2.72133333333,-121.088666667,-72.1086666667,-56.4626666667,-135.374,-97.959,18.3673333333,-29.2516666667
217.46,-112.202333333,-38.4395789474,-20.8333333333,58.9283333333,5.95233333333,-92.8573333333,-61.9046666667,-39.881,-113.690333333,-69.0476666667,16.6666666667,0.000333333333334
217.83,-86.6121666667,-20.3336315789,-14.754,68.8523333333,19.126,-69.9453333333,-40.9836666667,-30.0543333333,-88.5246666667,-49.1803333333,21.858,22.4043333333
218.21,-55.787,4.97047368421,11.111,72.6853333333,46.7593333333,-32.4076666667,-20.3703333333,-4.62966666667,-48.1483333333,-18.9813333333,22.685,42.5926666667
218.59,-56.1826666667,6.50810526316,24.1933333333,88.7093333333,67.2043333333,-20.968,-20.9676666667,5.914,-37.097,9.67733333333,18.817,56.4516666667
218.97,-80.6666666667,0.17543859649,27.3333333333,108.666666667,57.3333333333,-40.6666666667,-32.6666666667,2.0,-57.3333333333,3.33333333333,2.0,55.3333333333
219.34,-44.4443333333,16.805245614,41.5203333333,108.771666667,59.0643333333,-17.5436666667,-3.50866666667,14.6196666667,-37.427,39.1813333333,8.772,71.9296666667
219.72,-38.2626666667,11.4158245614,28.169,88.7326666667,51.174,-14.0843333333,-5.63366666667,6.573,-30.9856666667,35.681,16.9013333333,61.5023333333
220.10,-29.0123333333,12.2590175439,37.037,74.4856666667,49.3826666667,1.23466666667,11.934,13.58,-15.6376666667,41.1523333333,22.6336666667,58.0243333333
220.47,-10.3941666667,24.9386842105,47.6703333333,68.8176666667,50.896,16.846,26.8816666667,28.3153333333,-1.792,39.7846666667,30.1076666667,61.6486666667
220.85,-5.14166666667,28.8913684211,54.61,64.5393333333,50.0,21.986,32.9783333333,34.7516666667,2.837,47.163,35.461,68.0853333333
221.23,-27.8608333333,25.4516491228,58.209,71.6416666667,54.2286666667,1.49233333333,23.8806666667,16.9156666667,-20.8956666667,45.2736666667,32.836,68.1593333333
221.61,-44.5271666667,10.0026842105,41.791,65.6716666667,51.2436666667,-18.408,23.3833333333,-9.45266666667,-27.8606666667,13.9306666667,24.8756666667,54.2286666667
221.98,-38.611,8.91787719297,48.8886666667,74.4443333333,56.111,-23.3336666667,25.5556666667,-13.3333333333,-12.2223333333,13.8886666667,25.0,55.5553333333
222.36,-56.8026666667,-3.29389473683,41.497,65.306,45.5783333333,-48.2996666667,26.5303333333,-31.973,-28.5713333333,-2.04066666667,30.6123333333,42.1766666667
222.74,-103.875833333,-29.7430877193,0.775,42.636,18.6043333333,-109.302333333,1.18423789293e-15,-66.6666666667,-77.5196666667,-48.8373333333,-4.65133333333,4.65133333333
223.11,-83.9623333333,-16.5838596491,-0.629,34.591,26.415,-77.9876666667,15.094,-40.2516666667,-64.151,-34.5913333333,7.547,3.14466666667
223.49,-69.2308333333,11.9295964912,22.0513333333,34.3586666667,40.0003333333,-39.4873333333,21.5386666667,-4.61533333333,-32.8206666667,-12.3076666667,23.5896666667,3.077
223.87,-56.9891666667,37.8042631579,51.613,48.9246666667,58.602,-15.5913333333,53.7633333333,23.6556666667,-5.914,9.67733333333,34.9463333333,12.3656666667
224.24,-35.3605,55.7374035088,59.9096666667,54.054,62.6126666667,-4.054,61.712,32.4323333333,13.964,26.5766666667,41.892,21.6213333333
224.62,-55.8443333333,36.5912982456,38.528,34.1993333333,41.9913333333,-16.8833333333,42.424,11.2553333333,4.762,18.6146666667,14.2856666667,-6.49333333333
225.00,-45.7831666667,36.7785263158,38.1526666667,29.3173333333,46.5863333333,2.008,46.1846666667,17.2686666667,14.8593333333,20.482,14.8596666667,-2.008
225.38,-37.9166666667,28.2675438596,22.9166666667,34.1666666667,39.1666666667,2.91666666667,48.75,17.9166666667,22.0833333333,15.8333333333,14.5833333333,0.0
225.75,-45.1283333333,21.0795087719,12.8203333333,32.3076666667,25.1283333333,0.513,44.6153333333,20.5126666667,24.6153333333,23.59,7.692,-18.9743333333
226.13,-55.4793333333,5.71998245614,0.913333333333,15.9816666667,18.265,-4.10933333333,26.0273333333,11.4153333333,5.93633333333,14.612,-2.28333333333,-21.918
226.51,-60.8106666667,-1.32743859649,-13.964,18.919,12.6123333333,-8.55833333333,13.5133333333,8.55866666667,-0.000333333333334,10.811,-10.3603333333,-18.4683333333
226.88,-29.6296666667,6.2705263158,5.86433333333,21.296,24.3826666667,10.1853333333,22.5306666667,20.679,15.432,22.531,5.864,2.778
227.26,-17.5308333333,8.1482631579,9.13566666667,22.2223333333,24.4446666667,13.0863333333,19.9996666667,19.259,16.2963333333,21.9753333333,8.14833333333,4.69133333333
227.64,-15.7761666667,4.88842105263,4.58,18.8296666667,20.102,2.03566666667,18.066,15.7763333333,10.9413333333,15.0126666667,1.272,1.78133333333
228.01,-17.619,-3.48380701754,-4.04766666667,10.7143333333,9.76166666667,-5.0,7.619,6.905,-2.143,5.476,-3.57166666667,-6.19033333333
228.39,-21.5963333333,-5.43628070175,-5.86866666667,4.22566666667,7.51166666667,-5.63366666667,-0.939,3.521,-8.216,1.17366666667,-6.80766666667,-8.68533333333
228.76,-16.1073333333,0.624,4.47433333333,12.7516666667,10.5146666667,-1.78933333333,1.78966666667,10.067,-5.369,5.59266666667,0.223666666667,-2.68433333333
229.14,-21.5055,0.600122807017,-1.29033333333,10.9676666667,3.441,-9.46233333333,-3.871,3.01066666667,-9.67733333333,-1.48029736617e-16,-1.72033333333,-8.60233333333
229.52,-14.5955,14.6683157895,8.87566666667,11.2423333333,14.5956666667,4.33933333333,4.93066666667,14.596,1.381,10.4536666667,6.31166666667,-0.591666666667
229.89,-12.3721666667,20.7836491228,13.2926666667,12.8836666667,23.3126666667,10.0206666667,4.499,17.7913333333,3.681,17.3823333333,8.79333333333,3.681
230.27,-6.707,26.4228070175,18.2926666667,15.0406666667,27.8456666667,15.8536666667,9.34966666667,22.3576666667,7.52066666667,23.577,11.7886666667,8.333
230.65,-1.2525,26.833,22.736,12.524,27.5526666667,15.9923333333,11.5606666667,26.0116666667,10.019,24.47,8.863,10.0193333333
231.02,-1.67783333333,30.5544912281,21.2526666667,16.331,25.2796666667,16.3313333333,9.396,23.4896666667,6.935,21.253,7.60633333333,10.7383333333
231.40,-0.000166666666667,36.6124385965,22.8206666667,20.513,27.4363333333,18.9743333333,8.46166666667,26.923,13.333,25.1283333333,12.0513333333,12.564
231.78,-1.08683333333,31.5532982456,19.082,29.4686666667,26.57,21.981,8.937,19.8066666667,12.3186666667,22.7053333333,11.594,14.251
232.15,-1.20766666667,36.1810175439,21.2563333333,34.058,33.3333333333,25.6036666667,10.628,21.7393333333,12.5603333333,23.43,12.3186666667,21.4976666667
232.53,-6.97666666667,28.7093508772,17.054,35.6593333333,26.0983333333,23.5143333333,6.20166666667,15.504,9.561,14.7286666667,5.68433333333,18.3463333333
232.90,-4.37166666667,28.3865789474,8.19666666667,30.3276666667,27.8686666667,20.2186666667,3.27833333333,14.754,12.5683333333,12.8416666667,3.00566666667,19.9453333333
233.28,13.0115,36.9343508772,20.7603333333,37.4266666667,38.5966666667,34.2106666667,16.082,28.655,18.7133333333,24.269,12.573,31.2866666667
233.66,11.111,30.3662631579,23.306,33.875,33.6043333333,24.932,14.363,24.39,8.943,17.344,8.401,24.119
234.03,7.29916666667,19.3368070175,20.6813333333,27.7373333333,25.3043333333,16.0583333333,14.112,20.1946666667,5.83933333333,10.219,3.64966666667,17.5183333333
234.41,5.40233333333,17.6042105263,21.6093333333,27.8163333333,20.0,9.885,13.563,20.6896666667,4.138,7.12633333333,4.36766666667,15.402
234.78,2.64883333333,22.5979649123,24.062,32.4503333333,28.2563333333,15.4523333333,22.5166666667,24.5033333333,7.285,9.934,12.8036666667,16.3356666667
235.16,-0.508333333333,17.4795087719,21.5446666667,26.2193333333,22.7643333333,11.7886666667,22.1543333333,22.764,4.47133333333,11.789,11.382,13.2113333333
235.54,-2.61633333333,13.0967719298,21.7053333333,19.3796666667,15.6976666667,7.558,24.4186666667,19.5736666667,0.0,9.884,4.651,10.0776666667
235.91,-3.407,10.8170877193,20.81,6.814,12.523,5.52466666667,21.5466666667,16.759,-0.184333333333,9.57633333333,2.394,5.525
236.29,-1.09883333333,7.8178245614,23.993,2.56433333333,13.553,4.94533333333,22.161,13.0036666667,3.84633333333,10.989,6.77666666667,5.31133333333
236.66,1.946,10.4552982456,24.027,5.75333333333,15.3976666667,10.1523333333,23.858,14.7206666667,7.445,15.5666666667,14.5513333333,6.93733333333
237.04,-2.063,8.05098245613,20.462,6.93033333333,12.871,9.406,19.472,16.6666666667,4.45533333333,13.036,15.5113333333,3.96
237.41,-13.8613333333,0.269,8.416,-0.329666666667,4.95033333333,2.64033333333,8.251,9.901,-4.12533333333,6.43566666667,6.27033333333,-2.64033333333
237.79,-19.7278333333,-7.78743859649,-0.510333333333,-3.401,-1.53066666667,-2.381,2.041,4.422,-9.01333333333,3.91166666667,1.02033333333,-4.42166666667
238.17,-16.6665,-5.26321052632,-0.626333333333,-2.34733333333,-2.97333333333,-2.34766666667,1.09533333333,3.91233333333,-7.98133333333,4.85133333333,0.469666666667,-0.939333333333
238.54,-14.1135,-5.0690877193,-2.837,-2.12733333333,-4.681,-2.41133333333,2.553,0.850666666667,-7.518,3.688,-0.283666666667,0.000333333333333
238.92,-17.3106666667,-13.0261403509,-6.867,-7.582,-12.017,-10.5863333333,-6.00833333333,-4.43466666667,-13.3046666667,0.715333333333,-4.864,-2.718
239.29,-18.2335,-16.1717368421,-8.54666666667,-9.97166666667,-15.242,-9.68666666667,-10.5413333333,-5.55566666667,-15.3843333333,-3.846,-7.69233333333,-4.84333333333
239.67,-20.9701666667,-17.5797368421,-12.1586666667,-10.246,-15.7103333333,-9.97266666667,-13.798,-7.24066666667,-17.3496666667,-8.33333333333,-6.96733333333,-6.01066666667
240.04,-17.146,-14.2054561403,-9.83233333333,-4.31633333333,-13.3093333333,-9.11266666667,-11.7506666667,-2.87766666667,-15.5873333333,-5.63533333333,-3.95666666667,-1.19933333333
240.42,-15.202,-11.0792807018,-8.687,-0.101333333333,-12.121,-6.26233333333,-7.77766666667,2.02033333333,-14.1413333333,-4.14133333333,-3.03033333333,-1.212
240.79,-9.52383333333,-5.96022807018,-3.03033333333,4.15633333333,-7.18633333333,-3.723,-4.329,7.35933333333,-10.0433333333,0.693,0.346333333333,2.684
241.17,-6.659,-5.41607017544,0.297666666667,5.208,-4.985,-2.67833333333,-3.05066666667,4.83633333333,-8.18433333333,1.93466666667,0.744,5.134
241.54,-1.28483333333,-1.59887719298,6.42266666667,9.44133333333,-0.963333333333,0.899333333333,1.48029736617e-16,6.48666666667,-2.95466666667,3.85366666667,4.43133333333,7.45
241.92,-0.318333333333,-0.408228070177,8.21733333333,8.912,0.173333333333,2.37266666667,0.405,6.771,-0.868,3.87733333333,6.308,8.27533333333
242.29,0.355166666667,0.140859649123,10.0,8.57933333333,0.601333333333,3.88,1.63933333333,8.08733333333,0.109333333333,3.77066666667,6.99433333333,8.46966666667
242.67,2.425,2.93843859649,12.3323333333,10.0616666667,4.07633333333,7.327,3.50866666667,11.6613333333,2.78633333333,6.86266666667,9.85566666667,9.54566666667
243.05,3.73033333333,4.36054385965,13.13,11.1433333333,4.69966666667,9.69,4.79666666667,11.8216666667,4.16633333333,7.219,10.0776666667,9.254
243.42,3.87816666667,4.539,13.204,11.311,6.04833333333,9.51066666667,5.26333333333,11.7266666667,5.54,7.75633333333,10.2493333333,9.603
243.80,4.82583333333,5.35240350877,14.3876666667,11.618,7.32766666667,10.6793333333,6.211,12.377,6.38966666667,9.026,10.813,10.5896666667
