wavelength,Back_CorCucf,Belly_CorCucf,Breast_CorCucf,Crissum_CorCucf,Crown_CorCucf,DorTail_CorCucf,Patch10_CorCucf,Rump_CorCucf,Throat_CorCucf,WingTip_CorCucf
188.67,54.9426,-16.5518,-44.1378666667,-23.2184666667,25.0574666667,50.3449999999,51.954,17.4714000001,-24.5976666667,24.1379333333
189.05,45.9260000001,-50.7405999999,-109.259133333,-72.5925333333,9.99999999994,45.9260000001,30.7407333333,-0.000133333406001,-90.0000666667,12.9630666667
189.43,766.666666667,-1013.33333333,-2573.33333333,-1733.33333333,-39.9999999994,260.0,-60.0000000006,-140.000000001,-1873.33333333,233.333333334
189.81,96.6667333333,17.7776666667,-63.611,-22.2222000001,69.7221333333,79.7221333335,40.0000000001,68.3332666666,-4.16666666665,86.1110666667
190.19,71.7645999999,36.2090666667,1.17646666666,25.0981333333,51.2417333334,64.8365333334,38.8235333334,46.1437666666,26.0131333333,64.8365999999
190.57,81.3559333334,48.2486666666,19.4351333333,43.3899333333,57.5142000001,65.4238,51.6383333333,57.0057666667,37.1750666667,75.1413333334
190.95,92.0753333332,57.8616666667,32.8302,51.4466,67.1699333333,86.6666666667,61.3837333334,70.6918666667,39.6225333333,88.5533999999
191.33,99.6153333333,75.6410666666,45.8975333334,59.8717333333,77.0511999999,101.5384,74.3588666667,88.0129000001,49.2309333333,98.3334
191.71,97.1794666667,72.4359333333,50.3846,63.8460666667,75.5126666666,101.923066667,73.3333333333,88.7180666667,49.1025333333,89.2306666667
192.09,94.3110666667,79.8222666667,63.1999333333,69.0665333333,77.4222666666,99.0222000001,76.9777333333,85.5999999999,60.2665333333,84.6221333334
192.47,87.6666666667,77.9166666666,62.3333333334,62.5833333333,72.9166666666,97.6666666667,74.0,80.7916666668,55.3333333333,78.4166666667
192.85,99.7058000001,87.549,74.1176666667,74.4118666667,85.2942000001,117.0588,82.8432666667,99.7550333333,63.0392666666,91.1764666667
193.23,99.8313333332,91.7300000001,82.3626666666,83.2911999999,90.0422666667,115.105533333,92.1518666665,102.4052,67.7637333333,97.9746666667
193.61,80.5556666667,76.2499333333,74.7916,70.5556666667,73.9583333334,94.3055333333,79.0278666665,85.7987333334,56.875,82.9167333333
193.99,83.9111333333,85.1556,80.5333333332,71.3778000001,76.1777333333,101.155533333,84.7110666667,91.9999666666,54.7555333333,91.0222666667
194.37,80.5747333334,78.8505333334,71.3793333333,58.276,69.4253333334,97.4714000001,76.2067999999,96.8390333334,35.2873333333,88.046
