wavelength,Back_TanVarm,Belly_TanVarm,Breast_TanVarm,Crissum_TanVarm,Crown_TanVarm,DorTail_TanVarm,Patch10_TanVarm,Patch11_TanVarm,Rump_TanVarm,Throat_TanVarm,WingTip_TanVarm
196.27,-78.3783333333,-33.4835,54.9549999999,86.4865,-22.5225555556,-95.1952222221,78.6785555555,21.9217777778,-23.7236666667,-29.1291111112,-27.928
196.65,-45.7022222222,-7.128,44.8637777778,67.6100555556,-6.49911111113,-60.587,53.0397777778,19.4968888889,-19.2871111111,-6.91811111112,-3.9832222222
197.03,-17.0034444444,16.4141666667,53.8722222222,74.3265555555,17.34,-22.3905555555,63.2996666667,42.7608888889,5.89233333334,17.34,20.3702222222
197.40,-49.8865555556,-4.64844444443,37.4152222222,74.3764444444,-5.8956666667,-62.3582222221,51.7007777778,33.5601111111,-21.3151111111,-11.5645555555,-2.041
197.78,-126.936,-47.8113333333,16.835,65.9932777778,-42.7611111111,-134.343444444,31.9865555555,2.69355555567,-79.1244444444,-46.4646666668,-31.6497777778
198.16,-169.047555556,-65.8731666667,1.98433333323,58.5319444446,-63.492,-178.571444444,7.93666666667,-28.1746666667,-113.095333333,-69.8412222222,-49.603111111
198.54,-496.296444444,-255.0925,-103.703777778,22.2223888887,-262.963,-562.037111111,-61.1111111112,-187.037,-396.296222222,-325.000111111,-242.592666667
198.92,-775.0,-442.361111111,-191.666666667,-10.4166666667,-445.833333333,-943.055555558,-179.166666667,-331.944444444,-673.611111111,-530.555555556,-413.888888889
199.30,-3661.11111111,-2408.33333333,-1227.77777778,-800.000000001,-2216.66666667,-4322.22222222,-1144.44444444,-1872.22222222,-3194.44444444,-2561.11111111,-2172.22222222
199.68,401.932555555,296.860111111,204.830888889,148.309166667,284.541111111,458.937222222,183.574888889,258.937222222,354.106333333,304.830777778,278.744
200.06,572.916666667,419.444444444,302.083333333,252.777777778,407.638888889,611.111111111,254.166666667,368.055555556,488.194444444,442.361111111,392.361111111
200.44,337.993,264.6955,213.261666667,182.616388889,258.422888889,364.874444444,177.419333333,233.691777778,309.677444444,285.304666667,253.405111111
200.82,225.490333334,191.720888889,148.366,132.570777778,180.174222222,241.394333333,126.143888889,164.923777778,201.960777778,199.782111111,182.135111111
201.19,186.151444444,160.225444444,135.587666667,123.591,157.487777778,202.415444444,117.069222222,155.233555556,176.328444444,173.913,159.742333333
201.57,190.370444444,167.703777778,144.740777778,128.296388889,165.037,203.111222222,121.481555556,162.222222222,183.555555556,177.037,164.888888889
201.95,218.463888889,197.875777778,169.444444444,148.856055555,200.163444444,233.823444444,145.588111111,184.640444444,211.111111111,208.987,197.058777778
202.33,265.454555556,245.9595,208.888888889,190.101055556,245.858555556,285.252555555,181.010111111,223.232222222,260.404,250.101,244.242444444
202.71,351.666666667,318.611111111,278.611111111,239.861111111,317.5,371.111111111,235.833333333,291.666666667,332.222222222,317.777777778,310.0
203.09,281.263555555,257.407333333,226.797111111,198.801777778,261.002222222,291.285333333,194.553444444,238.344333333,265.141666667,261.220222222,250.544777778
203.47,300.241555556,258.091944445,242.995111111,214.492722222,286.473444444,304.347888889,206.521666667,256.038555555,290.096666667,292.995111111,261.111111111
203.85,577.294777778,482.125666667,470.048555555,411.835833333,545.410666667,582.608666667,390.821222222,492.270666667,548.792222222,562.802,497.101555555
204.22,1131.31311111,916.161444446,955.555666669,750.505055557,1070.707,1174.74733333,727.272777778,961.61588889,1051.51511111,1110.10088889,955.555666665
204.60,-11944.4444445,-9411.1111111,-10455.5555556,-7922.22222222,-11322.2222222,-12111.1111111,-7344.44444444,-10211.1111111,-11200.0,-11944.4444445,-10355.5555555
204.98,-1172.22222222,-890.0,-1055.55555555,-795.555555554,-1115.55555556,-1231.11111111,-704.444444445,-1042.22222222,-1125.55555556,-1166.66666667,-1026.66666667
205.36,-756.25,-576.388888889,-656.944444444,-506.25,-711.805555555,-788.888888889,-445.833333333,-651.388888889,-686.805555555,-725.694444444,-646.527777778
205.74,-271.771888889,-198.948888889,-251.051,-183.783833333,-265.765888889,-296.696666666,-153.453222222,-245.946,-251.952,-266.366333333,-239.939888889
206.12,-388.444444444,-300.444444444,-385.777777778,-285.555555556,-398.666666667,-447.111111111,-223.555555556,-388.0,-397.777777778,-402.666666667,-360.444444444
206.50,-685.714222222,-515.476222222,-686.507888889,-512.301777778,-707.142888889,-807.936333332,-384.126888889,-694.444444445,-741.269888889,-743.651,-666.666555556
206.87,-1003.33333333,-751.111111112,-1033.33333333,-768.888888889,-1060.0,-1198.88888889,-622.222222222,-1022.22222222,-1164.44444444,-1081.11111111,-997.777777779
207.25,-271.241777778,-196.078277778,-282.679666667,-192.156888889,-278.758111111,-329.738555556,-158.496888889,-269.281222222,-313.071888889,-273.202666667,-266.013111111
207.63,-312.186666667,-245.340444444,-326.881777778,-212.365666667,-304.659444445,-388.172,-183.512555555,-311.111,-349.103888889,-277.061,-298.566333333
208.01,-447.618888889,-350.0,-469.841333333,-298.148222222,-421.693111111,-560.317333333,-264.021111111,-450.793666667,-514.814888889,-370.899444445,-425.926
208.39,-627.083333333,-492.013888889,-642.361111111,-419.444444444,-609.027777778,-754.861111111,-384.027777778,-622.222222222,-751.388888889,-525.694444445,-608.333333333
208.77,-815.384777778,-617.521277778,-800.854666667,-555.5555,-772.649666667,-956.410333336,-484.615333333,-773.504111111,-946.153777779,-646.153777778,-764.957333332
209.14,-2875.0,-2297.22222222,-2875.0,-2020.83333333,-2769.44444445,-3266.66666667,-1780.55555556,-2694.44444444,-3266.66666666,-2261.11111111,-2727.77777778
209.52,5744.44444445,4522.22222222,5705.55555556,4175.0,5505.55555556,6655.55555555,3505.55555556,5488.88888889,6766.66666667,4627.77777778,5572.22222222
209.90,731.481444445,588.888888889,688.271555556,549.074166667,688.271555556,812.345666667,480.864222222,687.037111111,817.284,601.851777778,700.617222222
210.28,1831.746,1396.8255,1668.254,1357.14316667,1679.365,1963.49222222,1150.79366667,1688.88888889,1946.03177778,1466.66655556,1679.36511111
210.66,1065.812,791.025888888,957.264888889,763.675111111,976.923222221,1092.30766666,673.504222222,976.068444445,1058.11966667,835.042777777,934.188
211.03,970.634888889,708.73011111,861.111111111,695.634666667,892.857222221,965.079444444,597.619,883.333333334,933.333444444,743.65088889,863.492222223
211.41,482.638888889,376.909722222,439.583333333,377.604166667,450.0,487.847222222,326.041666667,460.069444444,461.458333333,390.625,428.819444444
211.79,345.370333333,265.277833333,315.509333333,282.638777778,327.314888889,342.592444444,255.092666667,328.935111111,332.870444445,290.509222222,318.287111111
212.17,311.522555555,240.020555555,286.214,262.551388889,297.119444444,308.230444444,228.600888889,294.650333333,297.736666667,268.518555556,292.592777778
212.55,330.786888889,250.115888889,299.073888889,289.0045,304.861,328.935333333,241.435111111,310.879666667,303.009333333,276.157555555,305.324111111
212.92,306.444444444,240.666666667,283.555555556,275.444444444,290.666666667,305.777777778,237.555555556,295.555555556,281.333333333,262.888888889,288.0
213.30,329.135888889,254.814722222,300.987777778,305.925833333,306.913555556,324.444444444,252.345777778,321.481444444,298.765444444,280.987666667,298.518555555
213.68,354.497333333,272.486944444,316.931222222,326.984166667,333.862444444,330.423333333,274.338666667,343.386222222,316.666444444,296.296111111,311.640333333
214.06,406.209111111,307.843,359.477333333,374.346333333,385.621111111,358.823666667,292.810333333,390.196222222,362.745111111,339.215666667,355.555555555
214.44,343.360444445,271.680277778,312.737,316.395555556,323.035111111,301.897111111,249.593555556,333.604555556,319.512222222,281.029777778,310.568888889
214.81,381.381333333,310.510555556,360.360222222,368.769,367.267333333,342.942888889,304.204222222,391.291111111,382.582777778,327.627555556,363.063
215.19,388.888888889,334.722277778,376.234555555,395.216111111,381.79,369.444555556,328.703777778,412.654222222,408.333222222,349.382666667,370.370444445
215.57,401.792111111,329.569722222,387.096888889,417.383666667,410.035777778,378.136111111,333.691888889,434.408555555,439.068222222,355.197222222,384.587777778
215.95,528.571333333,443.386333333,514.814888889,574.867666667,569.312222222,494.709111111,427.513222222,573.015888889,610.053,469.312222222,514.285555556
216.32,504.831,440.579944444,495.169111111,571.980722222,536.232111111,468.599111111,423.671444444,545.410666667,586.956444445,445.893555556,489.371888889
216.70,411.851777778,354.259388889,393.333222222,456.111111111,428.148,374.444333333,340.0,440.370333333,477.777777778,365.185,395.185222222
217.08,456.745888889,375.000055556,425.0,496.031777778,454.365,415.079333333,365.079222222,483.730111111,528.968333333,397.222333333,425.396888889
217.46,326.190555556,260.714333333,306.349222222,335.978666667,324.603111111,296.560777778,259.259111111,330.423333333,371.693333333,290.211777778,315.343888889
217.83,346.666666667,278.472222222,334.722222222,350.555555556,339.166666667,329.444444445,280.0,351.111111111,395.277777778,302.5,339.166666667
218.21,344.961111111,274.935444444,335.659,341.860444444,322.739,335.658888889,287.596888889,351.162777778,392.248,286.563333333,328.423666667
218.59,476.702555556,355.913944445,447.670222222,478.673777778,446.595111111,460.215111111,400.358333333,477.061,530.465888889,393.189888889,429.749111111
218.97,549.382666667,402.469111111,501.234555556,525.925888889,502.469222222,523.457,424.279888889,520.164666667,588.477333333,442.386777778,481.892888889
219.34,849.019555556,587.581722222,745.751666667,793.137166667,752.941,779.085111112,601.307222222,769.934666667,879.085111111,649.673111111,744.444444444
219.72,14266.6666666,10011.1111111,12255.5555556,12944.4444444,12366.6666667,12977.7777778,10077.7777778,12800.0,14488.8888889,10922.2222222,12655.5555556
220.10,-2138.09522222,-1556.34927778,-1866.66666667,-1937.30155556,-1849.20633333,-1955.55555556,-1536.50811111,-2006.34911111,-2168.25388889,-1687.30166667,-1879.36488889
220.47,-579.629555555,-403.935277778,-503.240888889,-500.925777778,-517.129666667,-519.907444444,-415.740888889,-539.351888889,-587.5,-447.685333334,-498.148333333
220.85,-437.634333333,-313.082611111,-394.623666667,-378.494833333,-407.527,-393.906888889,-331.182777778,-428.315333333,-459.139777778,-340.860333333,-386.380111111
221.23,-367.619111111,-270.158722222,-328.571333333,-302.222166667,-351.746111111,-327.619,-268.571444444,-362.539666667,-387.301444444,-296.507888889,-326.031777778
221.61,-241.496777778,-174.489722222,-211.337888889,-205.102222222,-238.775555556,-213.152111111,-173.923,-245.351444444,-264.625888889,-190.476222222,-209.297222222
221.98,-284.920444444,-211.640277778,-252.116333333,-251.455166667,-277.777777778,-248.941777778,-204.761888889,-292.063444444,-318.783,-241.534444444,-252.645444444
222.36,-392.592777778,-291.851888889,-355.185,-357.777722222,-396.296222222,-340.370222222,-290.000111111,-414.074111111,-444.074,-344.444444444,-352.222111111
222.74,-398.518555556,-294.259111111,-354.074,-347.777777778,-392.963,-341.481555556,-288.889,-410.740666666,-445.185222222,-357.407333333,-363.333444444
223.11,-287.749222222,-220.512722222,-262.962888889,-266.809166667,-291.168111111,-252.421555555,-225.641,-306.267777778,-323.361777778,-262.393222222,-262.678111111
223.49,-263.143555555,-210.027111111,-251.761444445,-252.168,-273.983777778,-236.856444444,-220.596222222,-294.851,-301.897,-253.387444444,-246.883444445
223.87,-246.464555556,-197.853388889,-243.434333333,-242.803055556,-261.363666667,-222.474777778,-211.868777778,-278.788,-284.595888889,-242.929333333,-238.889
224.24,-228.985444444,-170.169055556,-221.256,-204.951777778,-237.198111111,-204.106222222,-188.647444445,-250.241444445,-251.690777778,-219.806777778,-224.879111111
224.62,-193.162555555,-143.483,-186.324777778,-174.465777778,-202.350444444,-174.572555555,-152.136666667,-214.316333333,-215.598333333,-190.598222222,-196.367444445
225.00,-252.713222222,-198.578888889,-234.883666667,-228.682055556,-260.206555556,-226.356555555,-202.067222222,-258.397777778,-276.485888889,-252.454777778,-254.263555556
225.38,-384.444555556,-315.555388889,-370.740777778,-374.815,-389.629666667,-354.444444445,-336.296222222,-401.481444444,-419.629555555,-378.148222222,-395.555666667
225.75,-233.333444444,-183.209777778,-225.432222222,-230.493888889,-235.061444444,-210.123444444,-210.123333333,-248.395,-255.308666666,-236.790222222,-237.777777778
226.13,-109.064333333,-78.8011111111,-104.532111111,-108.845111111,-113.304111111,-91.0818888889,-98.0994444446,-116.374333334,-118.859555556,-107.309888889,-109.064333333
226.51,-62.9628888889,-40.1961111111,-59.8037777778,-64.2701666667,-69.499,-51.9607777778,-59.695,-63.5074444444,-68.9542222222,-62.3094444445,-66.0131111111
226.88,-66.3333333333,-51.9444444445,-68.4444444444,-67.7777777778,-75.5555555556,-54.1111111111,-65.0,-70.5555555556,-75.7777777778,-64.0,-75.6666666667
227.26,-65.1651111111,-54.0540555555,-69.069,-66.0660555556,-76.9767777778,-55.3552222222,-67.0671111111,-74.6746666667,-79.8798888889,-68.3684444444,-78.0781111111
227.64,-75.3085555555,-58.9271111111,-72.0797777778,-71.0350555556,-84.5204444443,-60.3986666666,-72.6496666667,-81.5766666667,-85.2801111111,-72.5545555556,-78.4423333333
228.01,-64.4781111111,-47.8956666667,-60.1851111111,-61.1112222222,-71.7168888889,-50.1682222222,-60.3535555556,-66.5824444444,-73.064,-61.7844444444,-63.973
228.39,-55.3256666667,-42.7202777778,-51.8775555555,-57.8544444444,-61.6092222222,-45.5172222222,-56.2453333334,-59.7701111111,-66.6668888889,-56.5517777778,-55.0957777778
228.76,-48.1936666667,-32.9242777778,-44.9217777778,-49.0116111111,-52.2152222222,-40.1498888889,-47.9208888889,-52.2836666667,-56.4417777778,-46.4894444444,-46.6257777778
229.14,-41.3137777778,-26.3966111111,-38.551,-42.5722777778,-44.997,-34.6224444445,-39.4721111111,-45.9791111111,-46.9001111111,-38.183,-38.6127777778
229.52,-35.3686666667,-22.2772777778,-32.5632222222,-35.4785,-40.0991111111,-29.3728888889,-32.0682222222,-39.9888888889,-40.924,-32.2881111111,-31.6831111111
229.89,-35.8457777778,-24.7626111111,-32.7748888889,-33.5566111111,-40.5918888889,-31.7142222222,-33.11,-39.4753333333,-40.8152222222,-31.3233333333,-33.5007777778
230.27,-47.8585555555,-33.9851111111,-45.4376666667,-43.3582222222,-53.9416666667,-43.203,-43.7615555555,-51.4586666667,-52.2655555556,-41.7132222222,-45.0652222222
230.65,-54.3693333333,-36.6727777778,-47.8776666667,-47.0350555556,-58.1147777778,-46.5042222222,-45.5681111111,-55.9301111111,-55.0561111111,-45.8178888889,-46.6291111111
231.02,-50.2731111111,-30.4188888889,-43.9586666667,-42.6532777778,-52.884,-44.8695555556,-44.6264444445,-49.1803333333,-46.873,-42.6228888889,-40.6192222222
231.40,-47.5378888889,-28.7877222222,-39.2045555556,-37.3105,-49.1163333333,-42.9292222222,-41.5402222222,-45.265,-42.7398888889,-35.8586666667,-35.7956666666
231.78,-38.6393333333,-22.5341666667,-33.7703333333,-29.1510555556,-41.5105555555,-37.0161111111,-36.08,-36.7042222222,-36.3295555556,-28.9014444445,-28.402
232.15,-39.2117777778,-24.0634444444,-37.1447777778,-28.4238888889,-41.7958888889,-38.566,-37.7261111111,-40.5683333333,-37.2092222222,-30.1681111111,-28.8757777778
232.53,-46.584,-31.2974444444,-45.6866666667,-36.7497222222,-50.3794444444,-45.2726666667,-43.1333333333,-48.9303333333,-42.581,-35.4035555556,-33.8853333333
232.90,-56.074,-44.074,-55.2593333334,-44.0741111111,-60.1483333333,-55.0371111111,-54.3704444444,-58.0741111111,-53.1111111111,-46.8888888889,-41.3333333333
233.28,-44.0427777778,-35.5086111111,-43.0387777778,-31.7937222222,-47.3225555556,-42.0347777778,-41.834,-46.1845555556,-41.2315555555,-37.8178888889,-29.518
233.66,-33.0864444444,-26.2963888889,-31.2962222222,-23.1790555555,-37.284,-30.8025555556,-32.716,-34.4444444445,-32.1605555556,-27.963,-20.4321111111
234.03,-27.6176666667,-20.1389444444,-26.0683333333,-19.0171111111,-30.0747777778,-23.2906666667,-25.3204444445,-28.3652222222,-26.389,-23.0767777778,-16.0791111111
234.41,-21.4558888889,-15.1101666667,-19.6358888889,-15.8764444445,-23.3237777778,-17.9118888889,-21.1206666666,-21.7912222222,-21.4081111111,-18.9655555556,-11.3026666667
234.78,-17.094,-12.7754444444,-18.1287777778,-14.3724444445,-20.1978888889,-16.5542222222,-19.3883333333,-19.2981111111,-20.0178888889,-17.859,-10.2564444444
235.16,-14.4982222222,-8.79799999999,-14.3328888889,-13.7545,-19.2894444445,-13.5893333333,-16.1914444444,-17.8437777778,-18.9177777778,-15.6546666667,-9.0871111111
235.54,-14.9332222222,-6.56016666666,-12.9627777778,-14.5390555555,-18.4396666666,-11.7022222222,-15.2481111111,-16.0363333333,-15.9573333333,-15.0905555555,-8.07711111112
235.91,-16.5484444444,-7.48611111112,-14.4996666667,-17.3953888889,-20.8036666667,-12.2931111111,-16.5876666667,-16.2332222222,-16.7061111111,-16.7061111111,-10.9535555556
236.29,-17.3317777778,-8.74411111112,-13.1064444445,-18.9162777778,-21.9091111111,-11.9326666667,-17.1752222222,-15.18,-17.449,-15.9624444445,-10.4852222222
236.66,-13.4681111111,-5.92972222222,-9.31544444443,-14.8895555556,-18.2566666667,-8.67944444446,-13.5053333333,-10.213,-13.4678888889,-12.6074444444,-7.03333333333
237.04,-14.1517777778,-4.76733333333,-9.83477777779,-16.2913333333,-18.581,-8.7461111111,-12.425,-10.2852222222,-13.0632222222,-12.6126666667,-7.77
237.41,-15.013,-4.06916666667,-10.5908888889,-15.8491666667,-17.7256666667,-8.91877777778,-13.7495555555,-11.0367777778,-13.6382222222,-13.4151111111,-9.21588888889
237.79,-21.6532222222,-8.9876111111,-16.8751111111,-21.2930555556,-23.1702222222,-14.9793333333,-19.2644444444,-18.468,-18.4298888889,-19.909,-14.9791111111
238.17,-29.988,-16.9255555556,-24.4125555556,-29.5102777778,-31.4218888889,-21.7444444444,-28.7932222222,-26.0851111111,-26.8418888889,-27.8772222222,-21.4257777778
238.54,-25.8398888889,-13.1966666667,-20.4133333333,-25.9504444445,-27.3161111111,-17.977,-23.1082222222,-22.2222222222,-22.3328888889,-23.0711111111,-16.6482222222
238.92,-28.5662222222,-14.5518888889,-21.2902222222,-26.2723333333,-27.9211111111,-18.4588888889,-22.9032222222,-22.6882222222,-22.724,-23.4408888889,-17.6343333333
239.29,-23.3972222222,-11.665,-17.0526666667,-20.3258333333,-21.6514444445,-13.3601111111,-17.3548888889,-16.2806666666,-16.9184444444,-17.9927777778,-11.1447777778
239.67,-18.9042222222,-7.77772222223,-14.551,-15.4340555556,-17.0472222222,-8.91944444443,-12.7245555556,-11.0502222222,-13.3942222222,-14.216,-7.21466666667
240.04,-14.9644444445,-4.86916666668,-10.3458888889,-10.7681111111,-12.1666666667,-5.56877777778,-7.91755555556,-7.78555555554,-9.26377777777,-10.0817777778,-3.98533333333
240.42,-11.7271111111,-1.69972222222,-6.59366666667,-7.0045,-7.84855555557,-3.35377777778,-4.81411111111,-4.83688888889,-4.95077777779,-6.70766666667,-2.07633333333
240.79,-10.2285555556,-0.481444444447,-5.15455555556,-5.93672222222,-6.37788888889,-2.14611111111,-3.50988888889,-3.75066666667,-4.45244444444,-5.395,-2.08577777778
241.17,-6.53088888889,2.37477777778,-1.10255555556,-2.62927777778,-3.274,1.01788888889,-0.916111111112,-0.55988888889,-1.10255555556,-1.86611111111,1.408
241.54,-4.92677777778,3.48433333333,0.576999999999,-1.70133333333,-2.27833333333,1.40555555555,0.443888888889,0.813666666665,0.310666666668,-0.162777777778,2.64833333333
241.92,-2.88355555555,5.56888888889,2.60588888889,0.476222222223,-0.0134444444443,3.26722222222,2.32811111111,3.41266666667,2.26177777778,2.18266666667,4.14033333333
242.29,-0.130888888891,7.9231111111,5.35344444444,3.27138888889,2.42677777778,5.02022222222,4.80611111111,5.91244444444,4.93677777778,4.67511111111,6.06722222222
242.67,-1.48377777778,6.68855555556,4.50866666667,2.34644444445,1.65633333333,3.77266666667,3.232,4.73888888889,3.79577777778,3.08266666667,4.41677777778
243.05,-0.252333333334,7.21172222222,5.528,2.98338888889,2.20455555555,4.44211111111,3.839,4.94677777778,4.39833333333,3.41122222222,4.881
