wavelength,Back_CamPsim,Belly_CamPsim,Breast_CamPsim,Crissum_CamPsim,Crown_CamPsim,DorTail_CamPsim,Rump_CamPsim,Throat_CamPsim,WingTip_CamPsim
758.81,15.6302222222,44.0864333333,9.37356666665,45.5265,9.03206666667,17.4197333333,18.3224,12.1979333333,18.3634
759.13,15.6378888889,44.1717333333,9.52119999999,45.8158333333,9.0758,17.4092,18.4458666667,12.1916,18.4663
759.44,15.8154,44.4209333333,9.82726666667,46.2557083333,9.35639999999,17.8298,18.7639333333,12.5298,18.8318333333
759.75,15.7483222222,44.3244333333,9.64996666667,46.1541666666,9.37159999999,17.7088666667,18.8097333333,12.5568,18.8850333333
760.07,16.0036777778,44.4601666667,9.66039999999,46.0240833333,9.33999999999,17.8584,18.9826,12.5245333334,18.9126333333
760.38,16.2215555556,44.6664,9.51960000001,45.9952083333,9.305,17.8829333333,19.0292,12.5276,18.9301666667
760.69,16.2158888889,44.3520333333,9.33963333333,45.7594166667,9.19293333333,17.9900666667,18.639,12.4236,18.5212333333
761.01,16.1692444444,44.4949,9.52916666667,46.0177916667,9.26239999999,17.9892666667,18.7168666667,12.3451333333,18.4648333333
761.32,16.2790222222,44.5629,9.5365,46.0980833333,9.29126666667,17.9908666667,19.0158666667,12.3226666667,18.6507666667
761.63,16.4933111111,44.3550333333,9.63676666667,46.2685,9.39693333333,18.1712,19.2553333333,12.3024666667,18.9934666667
761.94,16.7514111111,44.6534,9.93593333333,46.6210833334,9.6406,18.4322666667,19.5467333333,12.5948,19.2792
762.26,16.5652555556,44.7744666667,9.77336666667,46.555125,9.498,18.3302,19.6362,12.3483333333,19.0938
762.57,16.3924111111,44.4377333333,9.50713333333,46.531125,9.38966666667,18.1913333333,19.4222666667,12.3944,18.8632
762.88,16.628,44.4591,9.56563333333,46.501875,9.48586666667,18.3430666667,19.6060666666,12.3443333333,18.9874
