wavelength,Back_TanChrm,Belly_TanChrm,Breast_TanChrm,Crissum_TanChrm,Crown_TanChrm,DorTail_TanChrm,Patch10_TanChrm,Patch11_TanChrm,Patch12_TanChrm,Patch13_TanChrm,Rump_TanChrm,Throat_TanChrm,WingTip_TanChrm
748.44,5.65493333333,42.7070666667,17.4536,40.0777898551,5.79738095237,6.30173333333,11.0276666667,39.8662666667,41.5262333333,3.21533333334,18.8277333333,34.4667333333,12.1147333333
748.75,5.68686666667,42.6854333333,17.4058,40.1785652174,5.65828571429,6.17293333333,10.9774666667,39.7471333333,41.3773333333,3.202,18.7721333333,34.5051333333,12.2757333333
749.07,5.46606666667,42.2931666667,16.9376666667,39.7953275362,5.3545904762,5.82813333333,10.5455333334,39.4191333333,41.0061666667,2.7902,18.3618666667,34.1742666667,12.1643333333
749.38,5.59513333333,42.2593,17.0258,39.7589391304,5.60615238095,6.06366666667,10.6137333333,39.2985333333,40.8157333333,3.0196,18.3110666667,34.1214,12.2883333333
749.70,5.49193333333,42.1345666667,16.8697333333,39.5818710145,5.77132380952,6.13813333333,10.5464666666,39.2216666667,40.6043333333,3.04366666667,18.2870666667,33.9508,12.4250666667
750.01,5.20673333333,42.3281333333,16.7553333333,39.6852072464,5.59928571428,6.15253333333,10.3432,39.3378666666,40.7031,2.82533333333,18.2418666667,34.1941333333,12.2348
750.33,4.81233333333,42.2069,16.437,39.2815492754,5.45655238095,5.83553333333,10.0426,39.0157333333,40.4581333333,2.42793333333,18.0824666667,33.9677333333,11.9211333333
750.64,4.49266666667,42.0894,16.2328,39.274515942,5.26964761905,5.46573333333,9.7794,38.8113333333,40.4658,2.13233333333,18.0024666667,33.9534666667,11.674
750.96,4.43626666667,42.0397666667,16.1491333333,39.2137797102,5.20806666667,5.39026666667,9.73793333333,38.8836,40.209,2.09513333333,17.8777333333,33.9751333333,11.6317333333
751.27,4.32493333333,42.0759333333,16.0330666667,39.3544985507,5.04131428571,5.1206,9.55433333334,38.8588666667,39.9976,1.98333333333,17.6978,33.9631333333,11.54
751.59,4.71706666667,42.4686666667,16.333,39.7292188406,5.36787619047,5.61906666667,9.9334,39.1599333333,40.4348,2.429,18.2134,34.4822666667,11.8854
751.90,4.71226666667,42.3709,16.0937333333,39.5182898551,5.34767619047,5.538,9.81393333334,38.8612666667,40.1539666667,2.27233333333,18.0333333333,34.265,11.9064666667
752.22,4.24026666667,42.2577,15.8018,39.2077014493,5.03352380953,5.0732,9.4572,38.7558666667,40.0148333333,1.92553333333,17.7646,33.9505333333,11.3481333333
752.53,4.14206666667,42.6603666667,15.9226666667,39.4809971014,4.99275238095,4.97193333333,9.5476,38.901,40.1096666667,1.94886666667,17.8791333333,34.0861333333,11.2624
752.85,4.11453333333,42.9610666667,16.1502666667,39.8622275362,4.95981904763,5.11433333333,9.73866666667,39.1493333333,40.5086666667,2.01693333333,18.1396666667,34.4010666667,11.3188666667
753.16,4.52246666667,43.2046333333,16.5242,40.3385144927,5.20367619047,5.58453333333,10.1199333333,39.3820666667,40.8324666667,2.3104,18.4362666667,34.8264666667,11.5802666667
753.47,4.8914,43.3608333333,16.693,40.2878144928,5.39604761905,5.87073333333,10.4758666667,39.3647333333,40.8462,2.72193333333,18.6994,34.8925333333,11.9045333333
753.79,5.00566666667,43.2278666667,16.7105333333,40.3125217391,5.30966666666,5.8724,10.5565333333,39.2636666667,40.6394666667,2.96513333333,18.7059333333,34.9291333333,11.9361333333
754.10,5.68726666667,43.4117666667,17.2434,40.4893188406,6.00618095239,6.6494,11.1758,39.5178,40.6972,3.7236,19.1449333333,35.1255333333,12.5802
754.42,6.0364,43.4064333333,17.5553333333,40.582,6.4502,7.062,11.5832666667,39.5106,40.7377,4.2046,19.4587333333,35.2836,12.9156
754.73,6.20253333333,43.5196,17.7266,40.6970710145,6.71982857142,7.29706666667,11.792,39.8014,40.8612,4.40066666667,19.6176666667,35.4604666666,13.1546
755.05,6.0914,43.3383,17.5121333333,40.4912304348,6.58085714286,7.11233333333,11.5527333333,39.6313333333,40.4817333333,4.17626666667,19.3326,35.0516666667,12.9898
755.36,5.53913333333,43.2080333333,17.0530666667,40.2673666667,6.09357142857,6.6008,10.9946,39.5566666667,40.3229666667,3.55513333333,18.8395333333,34.6839333333,12.3754666667
755.67,5.8876,43.5242,17.1440666667,40.6622855073,6.45824761904,6.99246666667,11.274,39.7123333333,40.5893333333,3.87686666667,19.1473333333,34.9142,12.6867333333
755.99,6.2376,43.7816,17.4406666667,41.1060260869,6.87951428571,7.4408,11.6426,40.0664,40.9628666667,4.34486666667,19.5097333333,35.2720666667,13.1441333333
756.30,6.00953333333,43.332,17.0796,40.7916942029,6.6863047619,7.19093333333,11.3158,39.619,40.4602,4.13506666667,19.0870666667,34.878,13.08
756.62,5.79933333333,43.2298,16.9942,40.7477144928,6.66900000001,7.0274,11.2892666667,39.4526,40.3107,4.03173333333,18.8437333333,34.702,13.0032666667
756.93,5.51533333333,42.9445666667,16.7613333333,40.6149507246,6.51858095238,6.69493333333,10.9772,39.2198,40.1011333333,3.7606,18.5034,34.3566666667,12.7398666667
757.24,5.75693333333,43.5029666667,17.1344,41.2590550725,6.87964761905,6.92886666667,11.3569333333,39.7712,40.7838666667,3.9578,18.9950666667,34.7725333333,13.1738666667
757.56,5.2732,43.3268333333,16.7366666666,41.1200550725,6.27198095238,6.4724,10.7977333333,39.6166666667,40.4286666667,3.43966666667,18.5496,34.5764,12.7065333333
757.87,4.75666666667,43.425,16.4547333333,41.039342029,5.75063809523,6.0648,10.2642666667,39.5395333333,40.3245,2.92273333333,18.1057333333,34.3824666667,12.3548666667
758.18,4.76786666667,43.4142666667,16.3776666667,40.9353318841,5.65555238095,6.09653333333,10.2760666667,39.4612,40.4040333333,3.06006666667,18.2371333333,34.3847333333,12.3997333333
758.50,5.202,43.7607333333,16.9012666667,41.4142637681,6.1278952381,6.59633333333,10.6854666667,39.6481333333,40.7413333333,3.56533333333,18.5691333333,34.7511333333,12.9737333333
758.81,6.03333333333,44.2926,17.8395333333,41.9573884058,6.86976190475,7.5086,11.5334,40.0462666667,41.1124333333,4.51146666667,19.1348,35.5194666667,13.8637333333
759.13,6.14313333333,44.0259666667,18.0354,41.6091666667,6.88020000001,7.61206666667,11.5542,39.8423333333,40.7727333333,4.6028,19.0418666667,35.4352,13.834
