wavelength,Back_DolFrif,Belly_DolFrif,Breast_DolFrif,Crissum_DolFrif,Crown_DolFrif,DorTail_DolFrif,Patch10_DolFrif,Rump_DolFrif,Throat_DolFrif,WingTip_DolFrif
385.58,5.66244444445,22.9055,8.278,15.4877777778,5.21166666667,6.07277777778,5.34977777778,4.66366666667,8.58127777778,6.53569444444
385.94,5.54411111111,22.7893333334,8.19944444445,15.4112222222,5.12633333333,5.96977777778,5.239,4.58085185185,8.46927777778,6.37238888889
386.30,5.43133333333,22.6451666666,8.08466666667,15.3223333334,5.04733333333,5.81444444445,5.14977777778,4.49540740741,8.31261111111,6.31244444444
386.66,5.34722222222,22.5603333334,8.01611111111,15.2714444444,4.99933333333,5.75222222222,5.08755555556,4.45640740741,8.24777777778,6.18466666667
387.03,5.29888888889,22.6266666666,7.99555555556,15.2074444444,4.97677777778,5.68333333333,5.015,4.41333333333,8.22877777778,6.12036111111
387.39,5.35411111111,22.742,8.06222222222,15.3271111111,5.01266666667,5.70255555556,5.08722222222,4.4682962963,8.28505555556,6.20269444445
387.75,5.37,22.7983333334,8.11033333333,15.394,5.01088888889,5.744,5.10744444445,4.542,8.36572222222,6.26502777778
388.11,5.457,23.0793333334,8.20622222222,15.5084444444,5.14566666667,5.91666666667,5.21966666667,4.65181481482,8.47138888889,6.35477777778
388.47,5.54122222222,23.1033333334,8.30644444444,15.637,5.24522222222,6.051,5.31522222222,4.75633333333,8.51333333333,6.42602777778
388.83,5.61788888889,23.2228333333,8.37555555555,15.7875555556,5.32488888889,6.17111111111,5.40277777778,4.87325925926,8.619,6.51813888889
389.19,5.598,23.2096666667,8.38155555556,15.8593333333,5.331,6.14577777778,5.39511111111,4.83744444444,8.534,6.48366666667
389.55,5.64788888889,23.3063333333,8.43077777778,15.9861111111,5.40177777778,6.21455555556,5.467,4.88322222222,8.52577777778,6.54358333333
389.91,5.63855555556,23.4985,8.37522222222,16.0645555556,5.33177777778,6.17244444444,5.39611111111,4.84059259259,8.48111111111,6.51763888889
390.27,5.71988888889,23.6033333334,8.50166666667,16.2,5.404,6.30333333334,5.46933333334,4.89485185185,8.59905555555,6.60158333333
390.63,5.81277777778,23.6678333333,8.61377777778,16.3261111111,5.48066666667,6.405,5.55966666667,4.95211111111,8.7255,6.72980555555
391.00,5.77044444444,23.6716666666,8.62577777778,16.4395555556,5.44677777778,6.45766666666,5.50088888889,4.92288888889,8.69966666667,6.69808333333
391.36,5.66766666667,23.6745,8.553,16.3573333333,5.37177777778,6.393,5.42233333333,4.84211111111,8.6135,6.62322222222
391.72,5.64822222222,23.7113333333,8.505,16.3656666667,5.319,6.32688888889,5.39644444445,4.78977777778,8.59122222222,6.58358333333
392.08,5.66088888889,23.7143333333,8.51611111111,16.4221111111,5.27088888889,6.26,5.35666666666,4.77848148148,8.61522222222,6.559
392.44,5.74311111111,23.8325,8.57633333334,16.5343333333,5.30355555556,6.24455555555,5.42322222222,4.835,8.70605555557,6.56838888889
392.80,5.677,23.8773333333,8.53444444444,16.4796666666,5.24788888889,6.17222222222,5.363,4.73111111111,8.67477777778,6.44336111111
393.16,5.68488888889,23.9758333333,8.52666666667,16.4643333333,5.25233333333,6.09488888889,5.38333333333,4.75877777778,8.68205555557,6.42205555555
393.52,5.68966666667,23.9478333333,8.53933333333,16.4483333333,5.21866666666,6.033,5.34933333333,4.717,8.70433333334,6.40938888889
393.88,5.80077777778,23.9605,8.68311111111,16.586,5.32433333333,6.13066666667,5.47422222222,4.81159259259,8.83394444443,6.47838888889
394.24,5.73966666667,23.9195,8.558,16.535,5.27644444444,6.06522222222,5.41822222222,4.76955555556,8.76233333332,6.39244444444
394.60,5.66033333334,23.9328333334,8.50855555556,16.5075555555,5.23055555556,6.01633333333,5.35266666667,4.73507407407,8.67972222222,6.31005555556
394.96,5.58244444444,23.9235,8.41922222222,16.4092222222,5.13244444445,5.888,5.27711111111,4.65548148148,8.64077777778,6.24275
395.32,5.71144444444,23.9948333334,8.52588888889,16.5516666667,5.26411111111,6.00333333333,5.37611111111,4.79588888889,8.81194444444,6.33772222222
395.68,5.69511111111,23.9883333333,8.55844444444,16.5867777778,5.314,6.01066666667,5.38122222222,4.79274074074,8.8288888889,6.31994444445
396.04,5.71433333333,23.952,8.55322222222,16.5748888889,5.36966666667,6.04844444444,5.41877777778,4.83092592592,8.88983333334,6.33436111111
396.40,5.641,23.9516666666,8.46811111111,16.5163333333,5.32755555555,5.99988888889,5.36333333333,4.76237037037,8.84294444444,6.28036111111
396.76,5.736,24.0213333334,8.52444444445,16.6153333333,5.405,6.06433333333,5.47111111111,4.8437037037,8.89283333333,6.374
397.12,5.71422222222,23.9543333334,8.54444444444,16.6421111111,5.37744444445,6.11111111111,5.417,4.82744444444,8.90966666666,6.38675
397.48,5.80888888889,24.1268333333,8.63266666667,16.8153333333,5.50744444445,6.25022222222,5.53666666667,4.92774074074,9.06216666666,6.48663888889
397.84,5.81177777778,24.2273333333,8.60966666667,16.8078888889,5.53244444445,6.29688888889,5.58733333333,4.94596296296,9.11672222223,6.53616666667
398.20,5.85011111111,24.3766666666,8.70677777778,16.9338888889,5.56077777778,6.31344444444,5.60522222222,4.97951851852,9.20083333332,6.5415
