wavelength,Back_TanCyvf,Belly_TanCyvf,Breast_TanCyvf,Crissum_TanCyvf,Crown_TanCyvf,DorTail_TanCyvf,Patch10_TanCyvf,Patch11_TanCyvf,Rump_TanCyvf,Throat_TanCyvf,WingTip_TanCyvf
211.03,16.0616666667,11.5512222222,14.0814444445,37.7338888889,13.6415555555,-1.21011111112,31.7931111111,11.8813333333,-7.48077777777,35.0935555556,14.7415555556
211.41,15.2046666667,3.6551111111,5.40955555553,30.7016666667,2.77777777778,-15.0585555555,25.5848888889,2.193,-23.3916666667,31.7252222222,7.74866666667
211.79,25.8621111111,10.9195555555,10.3447777778,39.655,4.59755555557,-16.475,36.3986666667,-5.17255555567,-29.6935555556,47.1264444444,9.38700000001
212.17,27.4075555555,12.0001111111,21.4815555556,38.963,19.5556666667,-9.03699999999,30.2222222222,5.1851111111,-12.0001111111,50.2222222222,14.2222222222
212.55,38.4614444445,26.0683333333,28.9172222222,47.2934444444,35.1851111111,1.2821111111,40.3132222222,12.1081111111,2.13677777779,61.5383333333,21.795
212.92,30.36,34.2722222222,27.5431111111,48.044,33.3334444445,-5.47733333333,36.4633333333,17.8402222222,-6.57299999999,68.0751111111,20.8137777778
213.30,33.3332222222,39.6825555556,25.17,66.4399999999,54.8752222222,-11.3378888889,38.7755555556,24.9431111111,-14.5124444444,91.6098888889,27.211
213.68,29.7257777778,45.4545555556,34.7763333333,58.5858888889,46.8975555556,9.23522222222,42.7127777778,30.7358888888,6.20500000001,69.4083333333,33.6218888889
214.06,36.5952222222,46.8907777778,42.5076666667,59.4291111111,51.9877777778,19.7757777778,47.5025555556,46.3813333333,22.324,67.6862222222,41.1826666667
214.44,48.9752222222,59.6547777778,53.6138888889,77.9934444445,61.4886666667,34.52,59.9783333334,60.9493333332,35.1672222222,76.2674444445,54.0453333333
214.81,35.1661111111,53.15,43.6426666667,70.9048888889,54.7537777778,25.544,56.701,58.0756666668,17.9838888889,68.6141111112,45.4754444444
215.19,41.0627777778,59.2995555555,42.9953333334,74.396,61.7148888889,30.3138888889,61.3526666667,66.4251111111,22.8262222222,72.3428888888,48.0676666667
215.57,40.8187777778,55.0877777778,46.6665555556,67.1346666667,59.7661111111,31.1108888889,64.7953333333,64.0934444446,23.5087777778,69.3567777779,47.0174444445
215.95,29.817,54.0085555556,35.5836666667,63.8538888889,57.384,15.4712222222,63.2911111111,62.5878888888,12.0956666667,62.4472222223,43.46
216.32,28.3414444444,56.3606666666,30.5958888889,69.2431111111,59.5812222222,19.0016666666,73.43,73.5912222223,4.9918888889,67.3107777779,53.7842222222
216.70,30.843,60.3446666667,39.0804444445,85.2491111113,63.9847777778,20.3065555556,85.8237777778,96.3602222221,6.1302222222,77.0116666666,70.115
217.08,28.7981111112,51.9275555555,29.4783333333,93.1974444442,74.3763333332,19.0474444444,86.8481111111,92.2901111112,-3.62822222223,73.6962222222,75.2833333333
217.46,12.998,32.7044444445,11.74,61.0062222222,38.3646666667,-2.51577777779,65.4086666667,56.1844444444,-21.1742222222,44.2347777778,50.1047777778
217.83,-6.790111111,1.851888889,-27.1606666667,93.2100000001,49.3826666667,-77.7776666667,106.790111111,120.987666667,-109.876555555,73.4568888889,89.506111111
218.21,175.0,230.555555556,302.777777778,-141.666666667,44.4444444443,561.111111111,-258.333333333,-197.222222222,816.666666668,-188.888888889,-213.888888889
218.59,102.222222222,181.111111111,188.888888889,62.222222222,50.0,314.444444444,6.66666666657,-2.222222222,435.555555556,-31.1111111109,4.44444444443
218.97,-39.1813333333,35.0877777779,26.9005555556,-8.7718888889,-36.2573333334,107.602333333,-54.9708888889,-87.1345555557,138.596444444,-85.9649999999,-55.5555555555
219.34,-33.3332222224,29.8245555557,1.1696666667,-2.339222222,-17.5438888888,88.3042222221,-67.2515555557,-69.0058888889,134.502888889,-87.1344444446,-60.234
219.72,39.5063333333,53.9093333333,79.8354444443,39.5062222222,26.749,110.288,14.4032222222,-11.9340000001,151.028666667,-8.64199999997,-2.05777777777
220.10,17.222222222,78.8888888889,87.777777778,38.8888888888,12.7777777778,130.0,-5.55555555544,-48.3333333334,176.111111111,-15.5555555556,-43.8888888889
220.47,3.55555555553,59.1111111111,52.4444444444,22.6666666665,-10.6666666666,120.0,-26.2222222223,-40.0000000002,128.0,-18.2222222222,-39.1111111111
220.85,33.3333333332,75.5555555556,95.111111111,57.7777777779,16.4444444445,132.444444444,-6.66666666668,-13.3333333334,160.444444444,10.6666666667,-23.5555555555
221.23,24.9323333333,65.8536666667,68.8346666666,62.3306666667,17.6151111111,94.5797777777,-4.0651111111,-7.587888889,113.55,8.67200000003,-4.8781111111
221.61,26.4548888889,53.7918888889,51.3227777778,47.7953333333,18.8713333333,68.7833333334,6.34911111111,-2.11644444443,89.0653333333,20.1058888889,10.4056666667
221.98,20.2614444446,67.647,100.000222222,61.7646666667,18.6273333334,106.536111111,-8.82344444443,-26.4705555554,149.346444445,18.6274444444,-11.1112222222
222.36,11.1111111111,29.5635555555,49.4046666667,34.524,1.389,52.1826666667,-15.8731111111,-23.0158888889,76.9841111111,16.8648888889,-14.881
222.74,24.2735555555,23.7607777778,50.0853333333,40.8546666667,8.03422222223,51.7947777778,-3.58977777777,-12.3075555555,73.6753333333,22.0513333333,-3.58966666667
223.11,43.6027777779,37.7104444444,61.2794444444,48.1481111111,26.936,68.1815555556,10.6061111111,11.6162222222,89.7305555556,42.2556666667,9.93244444444
223.49,45.4346666667,43.0143333334,58.7458888889,51.045,30.8031111111,60.1761111111,26.0725555556,17.0515555555,77.1176666667,46.7545555556,22.1123333333
223.87,42.8731111111,44.3323333333,50.1685555556,47.8114444444,27.6094444444,54.321,22.3343333333,14.9271111111,76.5432222222,43.3221111111,18.9673333333
