wavelength,Back_IncWatm,Belly_IncWatm,Breast_IncWatm,Crissum_IncWatm,Crown_IncWatm,DorTail_IncWatm,Patch10_IncWatm,Patch11_IncWatm,Patch12_IncWatm,Rump_IncWatm,Throat_IncWatm,WingTip_IncWatm
192.85,215.686266667,325.490133333,149.411733333,124.313733333,74.5097999999,231.372666667,42.5491000001,103.137266667,179.215733333,-3.9214666664,239.019466667,113.725466667
193.23,170.666666667,285.7778,62.2222666667,68.4443999998,4.8889333334,203.111066667,-29.3333000001,30.2221999999,99.5556666667,-75.5555333333,187.1112,61.3333333333
193.61,116.1906,189.841266667,17.4603333333,46.6666000002,-12.0635333332,144.4444,-21.2698333333,20.9523333334,57.1429333334,-49.8412666667,148.095233333,43.492
193.99,1733.33333333,2760.0,-826.666666668,-160.0,-1233.33333333,2126.66666667,-1450.0,-346.666666667,446.666666667,-1993.33333333,2436.66666666,233.333333334
194.37,-52.2805999999,-116.842066667,71.9297333334,41.0525333333,87.3685333333,-90.1754666667,93.1578666666,31.5788666666,-6.31566666653,132.280733333,-119.649233333,-5.61400000002
194.75,-35.4166666665,-118.333333333,92.0833333333,62.5,128.333333333,-95.0000000001,103.958333333,57.5,2.91666666666,177.916666667,-155.625,-19.1666666667
195.13,26.6666666667,-76.4705999999,104.705866666,92.9411333333,150.9804,-50.9802666667,130.1962,89.0195333334,56.4704666666,200.784333333,-115.882233333,28.2354
195.51,10.4000000001,-61.3333333333,65.3333333333,48.7999999997,96.0,-45.8666666667,64.3999999999,51.2,25.3333333333,117.6,-96.0000000001,2.40000000002
195.89,30.8331999999,-48.6110666667,68.6111333333,53.8888,104.444466667,-49.4443333332,70.9722666667,63.3333333333,44.1666666667,117.7778,-92.5,16.9445333335
196.27,30.2564666666,-115.897533333,108.2052,78.4615333333,163.589733333,-142.564,97.1794333333,75.8974000002,32.3078,180.5128,-215.641133333,-17.4358666667
196.65,162.857066667,-136.190466667,259.0476,182.857066667,387.619,-140.952333333,281.9048,188.571466667,127.619066667,423.809466667,-350.4761,83.8094666667
197.03,-300.0,426.666733333,-491.111066667,-326.666733335,-762.222200001,344.444533333,-473.3334,-233.333400001,-168.8888,-904.4444,941.111066666,-75.5556
197.40,-37.7776000002,313.333266667,-152.222133333,-68.8887333326,-232.2222,257.7778,-163.333466667,36.6667333332,25.5555333333,-336.6666,568.333266667,60.0000666666
197.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.16,84.2424666666,331.515133333,82.4242666667,124.2424,5.45453333346,246.060666667,42.4243666668,171.5152,131.5152,-22.4242666667,386.060666667,168.484733333
198.54,35.9258666667,188.1482,40.7407999999,61.8519333334,-14.4444666667,126.666533333,15.0000333333,75.1851333333,59.6296666666,-18.5184666667,198.888833333,82.9630666667
198.92,37.9710666666,146.956466667,27.8260666666,50.7245999999,-9.27539999986,90.7246666666,16.8116,62.8985333333,50.1449999999,-8.98566666667,145.507166667,44.0579333333
199.30,42.0,147.0,-9.6666666666,38.0000000001,-27.6666666667,92.6666666667,6.83333333326,67.9999999999,56.3333333334,-17.6666666666,141.666666667,36.3333333334
199.68,16.2162666667,72.0721333333,-19.4594666667,18.1982666668,-13.5134666666,38.1982666667,-7.20723333338,36.937,27.3874,-23.0630666666,69.1892333333,16.036
200.06,22.4999333333,69.3055333334,-8.33339999993,26.2498666666,-2.77773333334,27.7777333333,0.83336666666,40.9722666666,35.4166666667,-14.0278,55.6249333333,20.9722
200.44,26.25,74.3055999999,-3.61099999993,33.4723333334,2.63879999996,30.6943333333,4.44446666667,50.6944666667,40.9722666667,-9.16673333334,60.2778,24.5832666667
200.82,19.6297333333,83.1479999999,-35.7406666667,16.2963999999,-12.5928000001,27.0370666667,-18.9815666666,43.8889333334,32.0370666666,-23.7035999999,62.0370333333,10.3703333334
201.19,41.0811999999,107.207133333,-19.9999333334,37.2974000001,14.2342666667,55.6758,-0.09020000002,57.6576000001,47.7477333333,0.180133333326,78.6486000001,29.3694000001
201.57,30.9333333333,79.0666666665,-12.5333333334,36.9333333334,8.53333333327,41.4666666667,5.46666666666,38.3999999999,41.6,2.00000000001,58.8,18.1333333333
201.95,33.5590666667,72.0903333333,-12.2034,42.9378666667,8.0226,44.0677333333,8.53113333334,37.4010666667,47.7966666667,7.68346666666,54.4632333333,21.5818
202.33,0.151466666661,46.6665333333,-60.0,14.8484000001,-37.5758666667,12.5758666667,-32.3483666667,-4.09086666668,24.091,-39.6969333334,24.1666,-9.24240000002
202.71,5.12819999992,51.4529999999,-64.1025999999,18.4615333333,-42.3931999999,19.1451333333,-36.2392666667,7.3503333334,30.2563999999,-39.3162000001,34.0170666667,-2.5642
203.09,22.2220666665,78.2222000001,-62.4443999999,46.2221999999,-41.5555333334,44.0000666667,-34.6668333333,28.4444666667,54.6667333334,-36.2222666665,70.2221000001,14.8889333333
203.47,34.6340666667,78.3740666667,-16.4228,49.4308666668,-11.0570000001,48.1301333333,-5.52833333332,39.3495999999,57.0730666667,-6.6666,77.0731666666,34.3088666667
203.85,39.5958666668,92.5251333333,-12.9292000001,55.3536,-16.1614000001,54.7475999999,-10.4040333333,39.7979999999,73.5353999999,-1.41406666674,97.1717666667,43.2323999999
204.22,60.2563333333,121.794866667,-0.76926666662,78.7178666667,-4.6155333334,88.4616000001,-1.66666666666,55.3845333334,97.9486666667,-4.10246666654,131.7949,75.3846666668
204.60,53.0158666667,139.365266667,-1.58726666666,86.3492,-24.1269999999,89.5238,5.0794,38.4127333333,102.222266667,-25.7143333334,159.8413,86.9841333334
204.98,46.0869999999,125.797133333,17.9709333333,93.6231333335,-31.3044000001,81.7391333334,23.4783,48.1159333333,100.289733333,-33.9130666666,140.869566667,85.7971999999
205.36,38.2608000001,113.913,15.6522666667,93.3333333331,-41.1593333335,76.8116666667,11.3042666667,57.6811999999,107.246333333,-45.7970666667,140.144966667,88.4057333333
205.74,60.5127333332,196.410266667,46.6665333333,159.487066667,-59.9999333332,143.076866667,3.8460666666,135.384533333,191.794933333,-91.7948666667,263.3334,173.8462
206.12,40.0,473.333333332,143.333333334,316.666666667,-238.333333333,316.666666666,-65.8333333334,305.0,411.666666667,-439.999999999,794.166666666,461.666666667
206.50,73.6000000001,136.533333333,78.9333333334,99.2000000001,31.2000000001,118.133333333,53.7333333333,120.533333333,135.733333333,-4.79999999987,190.533333333,127.466666667
206.87,47.8787999999,142.727266667,63.9393333333,102.727266667,27.8788,107.878733333,41.9697,102.7272,139.393933333,-32.7274,189.090833333,104.545466667
207.25,50.9091333334,123.0304,68.2828000001,93.1312666667,36.1615333333,93.7373333333,44.3434333333,98.1818,114.949533333,3.43426666666,144.0404,92.1211999999
207.63,57.0666666667,151.733333333,86.4000000001,121.333333333,36.2666666665,108.266666667,40.2666666666,121.066666667,144.266666667,-16.0,180.0,108.266666667
208.01,57.7777333333,158.055466667,82.4999999999,142.222333333,40.5556000001,134.1666,49.4443666667,134.4444,152.499933333,-16.9443999999,183.333333333,114.166666667
208.39,56.4706666668,206.666666667,91.7646666665,172.9412,34.5098,148.235333333,72.9412,159.607933333,193.333333333,-36.0784,273.725533333,143.9216
208.77,53.3333333333,226.6666,81.7777333333,176.8888,47.5555999999,139.555533333,59.7777333334,175.555533333,224.889,-51.5556,281.3334,142.666733333
209.14,90.7693333332,296.923133333,133.846133333,218.461466667,128.205133333,205.641066667,114.615433333,248.717866667,321.025666667,-10.7692666668,377.692333333,210.769266667
209.52,101.666666667,761.666666667,240.0,468.333333333,311.666666667,418.333333334,182.5,580.0,889.999999999,-238.333333334,1021.66666667,453.333333333
209.90,20.0000000001,565.333333334,118.666666666,309.333333333,198.666666667,236.0,97.3333333334,378.666666667,697.333333333,-162.666666667,673.333333333,290.666666667
210.28,16.1112000001,253.888933333,52.7778666666,120.5556,97.2222666667,77.2222,45.5556000001,166.6666,332.777933333,-57.7776666664,246.388866667,116.666733333
210.66,-33.3333333333,-735.000000001,-216.666666667,-453.333333333,-308.333333333,-183.333333333,-144.166666667,-443.333333333,-1040.0,179.999999999,-754.166666667,-328.333333333
211.03,-249.999999999,-1533.33333333,-510.000000001,-1043.33333333,-596.666666667,-489.999999999,-403.333333333,-923.333333332,-2153.33333333,256.666666665,-1611.66666667,-736.666666667
211.41,46.0606,-178.787933333,16.9696666667,-79.3939333332,-52.1212666667,1.81806666666,15.1515,-40.6061333333,-301.818133333,169.0908,-164.848466667,-44.2424666667
211.79,23.3333333334,-233.333333333,57.4999999999,-88.3333333333,-131.666666667,2.50000000014,20.0,-45.0000000001,-434.166666666,188.333333333,-195.833333333,-70.0
212.17,-163.333333332,-1160.0,-3.3333333342,-373.333333334,-650.0,-26.666666666,-53.333333332,-313.333333333,-1880.0,540.000000001,-985.0,-473.333333333
212.55,51.2820666666,207.1796,26.6665333333,96.9231333335,132.307533333,27.1794666668,3.8460666668,88.2051333334,325.128266667,-65.1280000001,144.615333333,87.1793333334
212.92,29.2309333334,174.3588,16.9230666667,87.6922666667,108.717933333,32.3078,-27.4359333333,70.2563999999,302.051266667,-88.2050666669,142.3078,65.6409999999
213.30,29.1665999999,106.389,17.2222,58.6110666667,56.1112,25.2776666667,-21.6667,47.2222,165.2778,-36.1111333333,76.8054333333,32.2221333335
213.68,33.8738666667,92.9730000001,32.9729333333,62.3422666667,50.9910000001,35.1350000001,-0.81086666666,48.8288,123.063133333,3.60366666673,67.0270333333,42.3423333334
214.06,23.3332666667,118.3334,28.0554666667,80.5555333333,54.7221333333,25.0001333333,-14.3055666666,46.9444666666,166.388933333,-29.1665999999,89.3057,56.3888666665
214.44,-35.9999999999,158.0,-50.6666666666,114.0,30.0000000002,-25.9999999999,-122.0,45.3333333334,286.666666667,-158.0,165.0,53.9999999999
214.81,-66.1539333335,65.6410666667,-85.6410666665,15.3847333333,-40.5128000002,-85.641,-120.256566667,5.1281333332,161.025533333,-171.282,84.1026333335,-1.0257333332
215.19,-76.0784000001,49.0196666667,-51.3725333335,-7.84319999992,-23.5293333334,-64.3135333333,-78.2354333333,17.2549333333,114.509733333,-123.9216,72.9412333333,12.5490666668
215.57,-8.74999999992,51.4583333333,8.75,32.7083333333,12.2916666667,-0.833333333346,-4.89583333333,42.0833333333,92.0833333334,-23.9583333333,82.9166666667,48.7499999999
215.95,-13.8738000001,43.6036666667,6.66673333335,31.8919333333,2.34233333333,1.99992911121e-11,-0.81083333334,36.2161333333,82.5225333333,-33.1531333333,78.1081333333,46.4864666667
216.32,-20.7407333334,37.5924666667,7.77779999999,34.2591333333,1.85186666667,0.740800000014,1.01866666666,40.0,79.2593333335,-44.2593333333,75.0926333333,52.5925999999
216.70,-36.1904666665,24.5238,-4.04760000008,25.2380666667,-22.8571333332,-0.95246666666,-10.1189,46.4285999999,87.3810666667,-61.4286,79.1666666667,57.8570666666
217.08,-37.8494,13.1183333333,-12.6882,9.67733333332,-32.6882666667,-7.95693333334,-12.7956,34.8386666667,71.1828,-56.9891999999,59.3547333333,49.4622666665
217.46,-33.3333333333,16.1905333333,-8.00000000001,14.0952666667,-28.5715333334,-8.38093333333,1.42856666668,25.7142,63.6191333334,-46.4762666667,60.1905,57.1428666665
217.83,-82.5396666667,-9.84120000001,-43.1746666666,-13.9682666667,-86.9841333335,-43.8096666666,-14.7617666667,5.07946666659,75.2380666667,-111.111066667,70.635,70.7936666666
218.21,-7.96746666666,35.6098666667,12.1952666667,29.1056666667,-14.3088666666,23.4146666667,28.0486333333,44.5528,70.0812666666,-17.2358666667,70.4878333333,69.7559999999
218.59,3.53746666668,50.7483333333,25.3061333333,41.3606666667,1.6326,41.6326,34.7618,46.8026666667,69.6600000001,1.0884,69.5918,71.0203333333
218.97,-5.15713333332,48.9307333333,18.3648,37.1068666666,-1.00633333334,36.4779333333,23.0189333333,40.3774,61.7609333333,1.63526666669,59.1823,59.3709333333
219.34,-7.376,43.8297333333,8.65233333334,35.4609999999,-4.11366666666,30.3546,9.78726666666,38.2978,70.0707333332,-8.22686666665,53.3334333333,57.1630666666
219.72,-39.3162666667,26.3248,-19.3162,8.54713333335,-28.5469333333,3.41873333333,-23.2478333333,15.0426,61.8804,-42.0512,27.4358333333,32.3076666666
220.10,-13.1819333333,44.8485333333,7.27273333333,23.1818,-3.48480000008,17.1212666667,-5.98486666667,33.6363333333,71.0607333334,-15.9091333333,36.3636,45.0000666667
220.47,-3.87873333336,49.3333333333,19.6364,30.3029333334,5.57573333335,18.6666666667,2.12140000001,31.3940666667,71.6363333333,-1.5758,37.5756333333,38.6666666667
220.85,-2.09879999992,62.2221333333,26.6666,40.7406666666,15.6790666667,23.4567333333,8.58009999999,36.9135333333,82.716,1.48140000001,44.8148666667,45.1851333333
221.23,4.7618,72.6192,33.2142,50.5951999999,23.9286,23.9287333333,17.381,44.0475333333,90.1190666667,7.85706666668,52.3810333333,54.7618
221.61,3.25920000007,80.7407333333,35.5554666667,56.5926000001,27.7037333333,25.1851333333,11.1110333333,49.1852,110.370333333,2.51840000001,57.7778333333,59.8517999999
221.98,15.8333333334,82.7776666666,44.5834,65.4165999999,42.9167333333,32.0833333333,19.9305,54.4444,111.944466667,9.44446666666,58.6806333333,64.3056000001
222.36,26.9231333333,83.718,53.8461999999,68.5896000001,58.4615333333,34.8718,29.3590666667,60.8974666667,119.487266667,18.0768666667,64.8078333333,68.4614666667
222.74,32.6027333333,71.3242000001,53.6074,56.073,53.6985333333,35.2512,32.5115,56.0731333333,100.730466667,21.2786666666,57.7624,58.1734666667
223.11,43.5833333333,75.1666666666,63.3333333333,61.5,60.25,48.0,40.4166666667,57.9166666667,104.75,22.6666666667,62.4583333333,63.8333333333
223.49,43.4482666667,75.0956666666,62.9118666667,62.5287333333,55.7088666667,44.8276,43.2184,53.7164,100.23,22.7585333333,64.9808333333,64.0614
223.87,41.6066,75.5824,62.2491333333,62.1686666667,53.8153333333,41.0440666667,42.0081,55.1003333333,99.9198000001,22.6506666667,67.9918333333,66.4258000001
224.24,33.9326666666,66.7414,53.2584,56.4794666667,43.8202,33.9324666667,38.427,48.4644666667,88.3146666667,18.1273333333,60.8614666667,58.0526
224.62,36.5986666667,57.9590666667,47.2108,52.449,40.4761333333,31.0204,34.5577333333,44.6257333333,80.4763333333,18.6395333333,54.4557666667,52.721
225.00,34.4,52.8,43.0666666667,46.7333333333,35.4,24.2,30.6333333334,38.7333333333,74.5333333333,17.9333333333,49.7666666667,47.4666666667
225.38,27.9366,47.4921333333,38.5398,41.2698,27.7460666667,20.6348666667,24.9205666667,33.9048,70.7936666667,15.4918666667,44.5078333333,40.3174
225.75,17.4214666667,40.6917333333,31.6352,32.893,15.3458666667,11.4464,14.434,26.8554,62.7673333334,7.29553333333,36.3207333333,31.4465333333
226.13,18.9915333333,41.3446,30.5880666667,31.1483333333,15.7982,12.8290666667,15.0139666667,29.1875333333,61.4566666667,10.8122,38.0671,31.3164666667
226.51,16.1756,35.659,22.7906,24.0828,8.78559999999,8.16539999999,9.30229999999,21.1887333333,51.2660666667,6.30486666667,32.9973666667,25.5815333333
226.88,18.6938,35.9459333333,22.8378666667,25.3604,12.4325333333,9.72960000001,12.545,21.937,49.9099333333,11.6667333333,33.9638666667,27.5674666666
227.26,14.1666666667,30.0397333333,15.9125333334,21.1112,8.92853333333,5.31746666667,9.8612,18.0556666667,41.8254,11.5873333333,28.4522666667,23.9285333333
227.64,12.5203333333,26.3413333333,13.1057333333,17.6586,9.91886666666,8.35773333333,9.18700000001,16.3904,36.3252666667,11.7724,24.2601333333,21.9512
228.01,9.00013333333,20.5278,8.97220000001,13.1943333333,6.16666666667,6.30566666666,6.70846666667,11.9166,29.7778,8.22220000001,18.4583,17.139
228.39,9.773,20.1193333333,10.2030666667,12.234,7.7896,9.2712,8.43476666667,12.8792666667,29.0801333333,10.6333333333,18.3394,17.6821333333
228.76,6.90959999999,17.7042,7.74833333333,10.1324666666,5.25386666666,7.77059999999,6.88743333333,10.2428,26.1369333333,8.47693333334,15.7174,15.8057333333
229.14,7.20073333334,16.9931333333,8.26913333334,10.8606,5.6974,9.13946666667,8.7339,9.29773333335,25.4994,8.72406666665,15.6676333333,16.5380666667
229.52,8.47459999999,16.6666666667,8.94533333333,11.7890666667,7.4012,10.1318666666,9.73626666667,9.83046666667,25.5178666667,9.03959999999,15.9604,17.3822666667
229.89,9.11453333333,16.1284666667,9.51400000001,12.1007333333,9.16673333335,10.4339333333,10.3818666667,9.79166666667,25.1042,9.32300000001,15.4253666667,16.5973333333
230.27,8.75826666667,14.5914,9.16653333334,11.2253333333,7.46739999999,9.86906666665,9.50163333333,8.59473333333,23.3660666667,7.79399999999,13.3823,15.0817333334
230.65,8.03506666667,13.7947333333,8.97379999999,10.7558666667,6.74626666667,9.54660000002,9.1648,8.03513333334,22.7525333333,7.62133333333,12.657,14.813
231.02,5.88133333333,12.4312,6.96753333333,9.74106666665,4.22733333334,7.40193333335,7.48546666666,5.16293333333,20.5681333333,5.17953333333,9.71596666666,13.0660666667
231.40,7.69346666666,13.8711333333,8.96486666666,10.5948666667,5.78653333334,8.72033333333,8.70396666666,6.4872,21.3853333333,6.29166666667,10.7822666667,13.7405333333
231.78,7.92193333331,13.8421333333,9.7878,10.7378666667,5.03813333333,8.346,8.56656666667,6.32733333333,21.9339333333,5.7338,10.3816666667,13.5708666667
232.15,9.61399999999,16.2106,12.2982666667,12.1227333333,6.64906666667,9.89486666668,9.90356666667,7.35086666666,24.4562,7.03506666667,11.6668,15.2982666667
232.53,7.56173333333,14.5904,10.9142666667,10.781,4.39986666667,7.14286666666,7.72376666667,4.76186666666,24.6667333333,4.38093333334,9.77139999999,13.0094
232.90,8.88239999999,16.9019333333,12.4901333333,11.8234,6.3332,8.60773333333,9.43143333334,6.45086666666,27.1764666667,6.13733333335,11.7255666667,14.1567333333
233.28,5.90373333332,13.9357333334,8.71493333333,8.11246666666,3.49393333334,5.58226666667,4.58836666667,3.67473333333,23.3936,2.67053333333,7.87146666667,9.518
233.66,7.47826666667,15.3431333333,9.75846666666,8.90820000001,4.9854,7.34306666666,5.94203333333,4.88893333333,23.6134,4.69566666667,9.11103333333,10.4734
234.03,12.8442,19.7281333333,12.9529333333,13.0072666667,9.31146666666,11.7392,11.1503333333,9.3298,26.1594666667,9.5834,14.1756333333,15.5978666667
234.41,10.8560666667,19.4717333333,12.1493333333,11.6758,8.67026666668,10.6011333333,10.9926333333,8.12379999999,25.7922666667,8.90720000001,13.9254666667,14.8269333333
234.78,8.80373333333,17.0594,10.5022,9.33326666667,6.72133333333,8.34699999999,9.40630000001,5.60739999999,24.3837333333,6.39260000001,11.6712,12.1279333333
235.16,7.10540000001,15.2106,9.71926666667,7.64913333334,5.43866666667,7.80693333333,7.8421,4.9648,22.8070666667,4.80693333333,11.1578666667,10.6666
235.54,4.47453333333,13.1536,6.97226666667,5.98380000001,3.34253333334,6.45113333333,5.32796666667,3.0908,22.1922666667,3.27053333333,9.73950000001,9.11053333332
235.91,3.97273333333,11.2872,6.24033333334,5.45613333333,3.25673333333,6.087,4.50126666667,2.19946666667,20.4092666667,3.0862,9.43743333333,8.28653333333
236.29,4.74800000001,10.4553333333,5.72346666666,6.48773333334,3.25206666666,6.89426666666,5.79669999999,3.0406,19.9837333333,3.75613333334,10.1382,8.6666
236.66,4.08013333333,10.2232,4.88066666667,6.72826666667,3.89526666667,6.60513333334,6.2356,3.35646666667,18.9222,3.63359999999,10.0462666667,9.29946666667
237.04,1.03633333333,7.25426666667,2.47473333333,3.7122,1.40766666667,3.836,3.7124,0.726933333331,16.3958666667,1.02086666668,8.0665,7.11506666668
237.41,3.21886666665,9.41260000001,5.0648,6.30046666666,3.4936,6.2546,6.4606,3.26473333334,19.3590666667,3.753,11.1211666667,10.0228666667
237.79,2.02060000001,7.87593333333,4.05606666667,4.9262,2.21233333333,4.95573333333,5.00733333333,1.81406666667,17.8318,2.6696,10.1623,9.01186666667
238.17,-2.10760000001,4.57393333333,1.1658,1.73373333333,-1.56946666666,1.30033333333,1.33043333333,-1.8834,15.0671333334,-0.837066666653,6.6967,5.59033333333
238.54,1.26533333333,6.8572,4.1906,5.25186666667,1.56453333333,4.12246666667,4.03406666667,0.925133333333,16.6122666667,2.09520000001,9.43543333333,8.16326666666
238.92,3.53826666667,8.92633333333,5.9218,7.62259999999,3.62519999999,5.89706666667,5.71066666667,2.7436,18.3612666667,3.96019999999,10.7511666667,9.75793333333
239.29,4.9284,9.43406666667,7.05540000001,8.67933333333,4.917,7.11273333333,6.7811,3.6478,19.7827333333,5.59173333333,11.4922666667,10.6231333333
239.67,5.01273333333,9.1526,7.33633333333,8.45246666667,4.68793333334,6.51453333334,6.8798,3.0138,18.5285333333,5.55053333334,10.5528666667,10.0964666667
240.04,5.09353333333,9.4476,7.03179999999,8.50173333334,4.56926666667,6.30153333333,7.0505,3.06173333333,19.1854,6.05813333333,10.2996,10.1496666667
240.42,4.89766666667,9.11546666666,6.6258,7.88693333333,4.701,5.92133333333,6.01536666667,2.7928,18.9191333333,6.09333333334,9.6355,9.58233333333
240.79,4.69326666667,8.26306666667,6.14193333333,6.82193333333,3.84333333333,5.5728,4.99266666667,1.84026666667,18.3222,5.41766666667,8.82853333333,8.58846666667
