wavelength,Back_ChrChrm,Belly_ChrChrm,Breast_ChrChrm,Crissum_ChrChrm,Crown_ChrChrm,DorTail_ChrChrm,Patch10_ChrChrm,Rump_ChrChrm,Throat_ChrChrm,WingTip_ChrChrm
558.19,3.00188888889,57.1457777778,59.3506666667,51.27,49.0545555555,5.29755555555,4.27344444445,57.5426666667,53.4385,5.19277777778
558.53,3.026,57.1905555556,59.4006666666,51.3105555556,49.1815555556,5.349,4.31111111111,57.6352222222,53.528,5.23822222222
558.87,3.03322222222,57.2512222222,59.4441111111,51.3165555555,49.2925555556,5.35688888889,4.32655555555,57.6777777778,53.5956666667,5.25877777778
559.21,3.02311111111,57.2788888889,59.4762222222,51.3492222222,49.3903333333,5.31633333334,4.32066666667,57.6843333333,53.5941666667,5.22766666667
559.55,2.99888888889,57.2808888889,59.4864444444,51.3322222222,49.4731111111,5.34577777778,4.33022222222,57.673,53.58,5.22188888889
559.89,2.96211111111,57.3136666666,59.5182222222,51.3605555556,49.567,5.33366666667,4.327,57.7083333333,53.559,5.17833333334
560.23,2.95855555555,57.4153333333,59.6083333333,51.4196666667,49.6791111111,5.34888888889,4.32666666667,57.7863333333,53.635,5.20011111111
560.58,2.98977777778,57.5256666667,59.7446666667,51.4692222222,49.7846666667,5.36966666667,4.35822222222,57.8948888889,53.7498333333,5.24477777778
560.92,2.98311111111,57.5868888889,59.8468888889,51.5414444445,49.8856666667,5.39111111111,4.33,57.9464444445,53.7868333333,5.27055555556
561.26,3.05622222222,57.7412222222,60.0165555556,51.7018888889,50.0427777778,5.45366666667,4.40122222222,58.136,53.9586666667,5.38177777778
561.60,3.07488888889,57.769,60.0577777778,51.7145555556,50.0915555556,5.47577777778,4.43366666667,58.1824444445,53.9615,5.40933333333
561.94,3.07733333333,57.827,60.099,51.7708888889,50.1875555555,5.48055555556,4.46366666667,58.2147777778,54.0156666666,5.44922222222
562.28,3.11533333333,57.9853333333,60.2983333333,51.9287777778,50.4307777778,5.49522222222,4.48066666667,58.4084444444,54.1328333333,5.47888888889
562.62,3.16011111111,58.1303333333,60.4354444444,52.0483333333,50.6258888889,5.52977777778,4.50544444444,58.578,54.2575,5.54011111111
562.96,3.143,58.2304444445,60.5107777778,52.083,50.7034444444,5.53722222222,4.49022222222,58.6473333333,54.3648333333,5.55477777778
563.30,3.12044444445,58.3658888889,60.6257777778,52.1602222222,50.805,5.51422222222,4.46855555555,58.7577777778,54.4703333333,5.54433333333
563.64,3.13788888889,58.4525555556,60.7061111111,52.1878888889,50.9322222222,5.53033333333,4.48933333334,58.8886666667,54.5368333333,5.58877777778
563.99,3.11144444444,58.5032222222,60.7713333334,52.2086666667,50.9733333333,5.50077777778,4.45355555556,58.9807777778,54.5528333334,5.56166666667
564.33,3.08866666667,58.4837777778,60.7468888889,52.2194444444,51.0375555555,5.45577777778,4.41611111111,59.0087777778,54.5033333333,5.50033333333
564.67,3.06622222222,58.4951111111,60.7475555556,52.1838888889,51.0744444444,5.423,4.40311111111,59.0466666667,54.4388333333,5.46511111111
565.01,3.03211111111,58.5091111111,60.7858888889,52.145,51.1493333333,5.38511111111,4.36311111111,59.0873333333,54.3883333333,5.39233333333
565.35,3.05966666667,58.5631111111,60.8648888889,52.2007777778,51.2596666667,5.38611111111,4.38611111111,59.1108888889,54.417,5.41611111111
565.69,3.04577777778,58.62,60.9138888889,52.2281111111,51.3767777778,5.38,4.36277777778,59.2042222222,54.4243333333,5.38633333333
566.03,2.99877777778,58.6524444445,60.8937777778,52.1974444444,51.3756666667,5.36422222222,4.33666666667,59.2018888889,54.429,5.34944444445
566.37,2.98466666667,58.677,60.968,52.2211111111,51.4625555556,5.36322222222,4.35455555556,59.2563333333,54.4328333333,5.316
566.71,3.00433333333,58.7408888889,61.0432222222,52.2684444444,51.605,5.37966666667,4.39555555556,59.3598888889,54.4476666667,5.30644444444
567.05,3.05733333333,58.7984444444,61.1292222222,52.3435555556,51.7473333333,5.42833333333,4.44266666667,59.4843333333,54.5241666667,5.37022222222
567.39,3.045,58.83,61.1643333333,52.3994444444,51.8266666667,5.422,4.42722222222,59.5216666667,54.5656666667,5.32311111111
567.73,3.05,58.8742222222,61.234,52.444,51.9492222222,5.454,4.45222222222,59.5664444444,54.6111666666,5.32044444445
568.07,3.03,58.9351111111,61.335,52.5063333333,52.0837777778,5.44822222222,4.43577777778,59.6395555555,54.6701666666,5.325
568.41,3.075,59.0733333333,61.4461111111,52.5972222222,52.2841111111,5.478,4.47977777778,59.7685555555,54.8141666666,5.35833333333
568.75,3.11622222222,59.158,61.5358888889,52.6635555556,52.4372222222,5.526,4.507,59.8614444444,54.9218333334,5.40322222222
569.09,3.08411111111,59.1602222222,61.5112222222,52.6424444444,52.5018888889,5.52744444444,4.48388888889,59.9394444444,54.9583333333,5.35666666667
569.43,3.08222222222,59.1892222222,61.5577777778,52.6685555555,52.5737777778,5.51666666667,4.48955555556,59.9553333333,54.9775,5.36088888889
569.77,3.088,59.1648888889,61.5821111111,52.6761111111,52.6053333333,5.51411111111,4.49044444444,59.9757777778,54.9785,5.379
570.11,3.08133333333,59.1792222222,61.549,52.6572222222,52.6403333333,5.498,4.49277777778,59.9814444445,54.9973333333,5.39766666667
570.45,3.10166666667,59.2227777778,61.5637777778,52.6712222222,52.6711111111,5.51111111111,4.50188888889,60.0012222222,55.0318333333,5.45777777778
570.79,3.12344444445,59.2297777778,61.5578888889,52.6588888889,52.7124444445,5.50888888889,4.495,60.0032222222,54.9556666667,5.44244444445
571.13,3.14755555556,59.295,61.6061111111,52.6471111111,52.7705555556,5.53933333333,4.51055555556,60.0314444444,55.0031666667,5.5
571.47,3.18655555555,59.344,61.6448888889,52.6892222222,52.8593333333,5.57788888889,4.55733333334,60.1067777778,55.056,5.57088888889
571.81,3.19588888889,59.4093333333,61.665,52.672,52.9062222222,5.59477777778,4.57266666667,60.1583333333,55.0543333333,5.58577777778
572.15,3.174,59.4278888889,61.7405555556,52.7161111111,52.9902222222,5.57822222222,4.55855555555,60.2426666667,55.1271666667,5.56911111111
572.49,3.15166666667,59.4335555555,61.7436666667,52.7223333333,53.0137777778,5.56244444444,4.55911111111,60.2804444444,55.1093333334,5.55877777778
572.83,3.14088888889,59.5036666667,61.7961111111,52.7488888889,53.096,5.55044444444,4.55166666667,60.3293333333,55.177,5.57188888889
573.17,3.12811111111,59.5434444444,61.7782222222,52.7016666667,53.1374444444,5.54855555555,4.54011111111,60.3691111111,55.2206666667,5.55
573.51,3.14,59.5978888889,61.8027777778,52.745,53.206,5.548,4.55711111111,60.4471111111,55.221,5.54966666667
573.85,3.13511111111,59.6817777778,61.8773333333,52.7948888889,53.29,5.55333333333,4.52588888889,60.5248888889,55.2498333333,5.53233333333
574.19,3.08466666667,59.6791111111,61.8984444445,52.7732222222,53.3534444444,5.51755555556,4.48677777778,60.575,55.248,5.48122222222
574.53,3.01944444444,59.7522222222,61.9365555556,52.7891111111,53.4408888889,5.48,4.46044444444,60.6225555556,55.29,5.44611111111
574.87,2.98322222222,59.7927777778,61.9715555556,52.8252222222,53.5318888889,5.44733333333,4.43155555556,60.6742222222,55.3301666667,5.40311111111
575.21,2.94666666667,59.833,62.0068888889,52.8397777778,53.5777777778,5.391,4.38744444444,60.7014444445,55.3356666666,5.32622222222
575.55,2.98266666667,59.8477777778,62.0157777778,52.8633333333,53.6456666667,5.41511111111,4.42322222222,60.7328888889,55.3883333333,5.35144444445
575.89,2.95555555556,59.8243333333,61.9752222222,52.8355555556,53.667,5.389,4.41144444444,60.7356666667,55.3411666667,5.33055555555
576.22,2.909,59.8234444445,61.9211111111,52.7917777778,53.6875555556,5.33566666667,4.35177777778,60.7198888889,55.3298333333,5.27855555556
576.56,2.93277777778,59.8893333333,61.9845555556,52.8281111111,53.7751111111,5.33888888889,4.36033333333,60.7865555555,55.3461666666,5.29655555556
576.90,2.95144444444,59.9603333334,62.139,53.0073333333,53.9333333333,5.34466666667,4.37877777778,60.932,55.4193333333,5.32755555556
577.24,2.89622222222,59.9501111111,62.1437777778,52.9427777778,54.0092222222,5.32944444445,4.34811111111,60.9166666666,55.4301666667,5.29
577.58,2.86,59.9933333333,62.2251111111,52.9805555556,54.1458888889,5.306,4.32977777778,60.9937777778,55.5028333333,5.24466666667
577.92,2.89788888889,60.0931111111,62.3156666667,53.0593333333,54.2602222222,5.34466666667,4.37733333333,61.1003333333,55.592,5.26588888889
578.26,2.92666666666,60.1178888889,62.3936666667,53.0916666667,54.3278888889,5.37888888889,4.40511111111,61.1388888889,55.6763333334,5.28133333333
578.60,2.95555555555,60.1541111111,62.452,53.1523333333,54.4517777778,5.39622222222,4.45833333333,61.2288888889,55.6731666667,5.29777777778
578.94,2.91,60.1823333333,62.455,53.1235555556,54.5236666667,5.35388888889,4.43122222222,61.2562222222,55.681,5.28322222222
579.28,2.89155555556,60.1611111111,62.4455555555,53.1095555555,54.585,5.32577777778,4.38844444444,61.301,55.6773333333,5.25888888889
579.61,2.90033333333,60.258,62.5253333334,53.1591111111,54.6654444444,5.36577777778,4.40055555555,61.3467777778,55.7245,5.28744444444
579.95,2.96066666667,60.3456666667,62.654,53.2395555555,54.7924444445,5.42211111111,4.47988888889,61.4268888889,55.808,5.343
580.29,2.95133333333,60.3116666667,62.6185555556,53.2471111111,54.8296666667,5.41355555555,4.47266666667,61.422,55.7898333333,5.29411111111
580.63,2.872,60.2686666667,62.5134444445,53.0776666667,54.7526666667,5.35211111111,4.41466666667,61.3173333333,55.7426666667,5.19822222222
580.97,2.83588888889,60.3358888889,62.567,53.137,54.8548888889,5.31822222222,4.38511111111,61.4341111111,55.8533333333,5.16566666667
581.31,2.80522222222,60.2364444444,62.4256666667,53.0376666667,54.7806666667,5.26277777778,4.359,61.3468888889,55.7328333333,5.15177777778
581.65,2.72511111111,60.1784444444,62.3202222222,52.9722222222,54.7561111111,5.16866666667,4.26566666667,61.2972222222,55.6575,5.05777777778
581.98,2.66877777778,60.1468888889,62.216,52.919,54.741,5.07611111111,4.192,61.3011111111,55.5945,4.97877777778
582.32,2.62877777778,60.1688888889,62.2627777778,52.9103333333,54.7862222222,5.05311111111,4.14055555556,61.3433333333,55.6483333333,4.93855555555
582.66,2.67088888889,60.2366666667,62.3155555556,53.0197777778,54.8806666667,5.09155555555,4.163,61.4714444445,55.7135,4.93855555556
583.00,2.62544444444,60.3353333333,62.4362222222,53.0948888889,54.9684444445,5.09655555556,4.18244444444,61.5498888889,55.7676666667,4.91622222222
583.34,2.63522222222,60.443,62.4537777778,53.1433333333,55.0651111111,5.07855555556,4.19877777778,61.6327777778,55.8265,4.894
583.68,2.58933333333,60.4423333334,62.4772222222,53.1854444444,55.0923333334,5.04866666667,4.17311111111,61.6564444444,55.8248333333,4.86777777778
584.01,2.54155555556,60.4555555555,62.501,53.1578888889,55.1633333333,5.03022222222,4.15988888889,61.6502222222,55.8376666667,4.84355555556
584.35,2.65044444444,60.5936666667,62.6794444445,53.3321111111,55.3954444444,5.14588888889,4.271,61.8592222222,55.993,4.97122222222
584.69,2.69366666667,60.6291111111,62.7378888889,53.3751111111,55.4781111111,5.15477777778,4.31666666667,61.8833333333,56.024,5.0
585.03,2.714,60.7894444444,62.9216666667,53.555,55.648,5.17833333333,4.34744444444,62.0636666667,56.2348333333,5.02477777778
585.37,2.74977777778,60.962,63.1484444445,53.7368888889,55.8636666667,5.214,4.37488888889,62.2718888889,56.4523333333,5.07322222222
585.70,2.787,61.0376666667,63.2732222222,53.83,56.0253333333,5.29655555555,4.43733333333,62.4177777778,56.6108333334,5.12288888889
586.04,2.79788888889,61.0166666667,63.2525555556,53.825,56.0302222222,5.30366666667,4.47044444445,62.3911111111,56.637,5.16066666667
586.38,2.78166666667,60.9972222222,63.2604444445,53.7931111111,56.1063333333,5.27766666667,4.45933333333,62.3795555555,56.615,5.14944444444
586.72,2.76611111111,61.0274444444,63.2492222222,53.758,56.1766666667,5.23622222222,4.43388888889,62.3935555555,56.642,5.16022222222
587.06,2.72222222222,61.0216666667,63.3195555556,53.8161111111,56.2452222222,5.17677777778,4.37766666667,62.427,56.6736666666,5.13011111111
587.39,2.76244444444,61.1652222222,63.3996666666,53.8646666667,56.354,5.19122222222,4.41644444445,62.4694444444,56.776,5.15355555556
587.73,2.81566666667,61.2343333333,63.4346666667,53.8715555556,56.411,5.24433333334,4.47811111111,62.5693333333,56.8756666666,5.22166666667
588.07,2.818,61.222,63.3897777778,53.841,56.4305555556,5.24977777778,4.47944444444,62.565,56.8106666667,5.22233333333
