wavelength,Back_PhrPunf,Belly_PhrPunf,Breast_PhrPunf,Crissum_PhrPunf,Crown_PhrPunf,DorTail_PhrPunf,Rump_PhrPunf,Throat_PhrPunf,WingTip_PhrPunf
782.50,14.1323333334,35.351,32.6376666666,33.1048333333,10.9125,14.2813333334,16.6071666667,17.6106666667,17.4815
782.81,13.7313333333,34.8413333334,32.4386666667,33.0416666667,10.4943333333,14.1535,16.3953333333,17.3503333334,17.1293333333
783.12,13.6556666666,34.1691666667,32.4975,32.6988333333,10.4431666667,14.4613333333,16.5256666667,16.7976666667,17.0896666667
783.43,14.135,34.4081666667,32.4995,32.319,11.061,14.8585,16.9481666667,17.4403333333,17.3196666667
783.74,15.0846666667,34.5726666667,32.4163333333,32.4163333333,11.3463333333,15.2356666667,17.4728333333,17.7046666666,17.7751666666
784.05,15.017,34.158,32.5185,31.935,11.0643333333,14.8361666667,17.5416666666,17.6926666666,17.6726666667
784.36,15.0426666666,34.6833333333,32.5315,31.8716666667,10.6985,14.8496666667,17.428,17.8541666667,17.9961666667
784.67,15.4088333333,35.0478333333,32.4101666666,32.1465,10.9148333333,15.1348333334,17.8435,18.3203333333,18.0868333334
784.98,14.9433333333,34.4385,31.7315,31.6606666667,10.3811666666,14.5073333334,17.6701666666,17.863,17.4775
785.29,15.0213333334,34.1966666667,31.8301666666,31.556,10.4408333333,14.4425,17.9058333333,18.0481666667,17.4183333333
785.60,15.4001666667,34.64,32.1673333334,31.936,11.0575,14.6865,18.7073333334,18.466,17.6818333333
785.91,15.3808333333,35.1875,32.3563333333,32.2766666667,11.5231666667,15.1315,19.1688333334,18.6603333333,17.8328333333
786.22,15.4051666667,35.4788333333,32.3105,32.3796666666,11.6905,15.0178333333,18.971,18.4146666667,17.4015
786.53,15.4605,35.5871666666,32.2556666667,32.4438333333,11.7438333333,14.4326666667,18.7623333333,18.4953333334,17.062
786.84,15.3126666666,35.564,32.4273333333,33.0508333333,11.8743333333,14.3971666666,18.7023333333,18.3421666667,17.0856666666
787.14,15.6486666667,35.7733333333,33.0836666667,33.7558333333,12.4016666667,14.5246666667,19.0008333334,18.7416666666,17.5215
787.45,15.4718333333,35.7128333333,32.7075,33.9118333333,12.429,14.6948333334,18.9516666666,18.61,17.4631666667
787.76,15.5443333334,35.26,32.37,33.9225,12.4953333334,14.6748333333,18.9113333333,18.4623333334,17.3775
788.07,15.428,35.4318333333,32.3718333333,33.6106666667,12.5531666667,14.6608333334,18.6816666666,18.5063333333,17.8683333334
788.38,15.7841666667,35.9898333333,32.9968333333,33.8428333334,13.173,15.375,19.2686666666,19.4685,18.586
788.69,15.6198333333,36.137,32.9418333334,33.998,13.226,15.6196666667,19.1153333334,19.6068333333,18.8511666667
789.00,15.996,36.5031666667,32.9381666666,34.0866666667,13.3405,15.8855,19.1381666667,19.8731666667,19.2391666667
789.31,15.9468333333,36.1018333333,32.4106666667,33.8223333334,13.123,15.4943333333,18.697,19.8041666666,19.0663333333
789.62,15.9963333333,36.0241666667,32.3743333334,33.9666666666,13.1376666667,15.568,18.8546666667,19.944,19.0316666667
789.92,15.773,36.0046666666,32.2421666667,33.7471666667,12.8856666667,15.6506666667,18.6418333333,19.733,18.7735
790.23,16.198,36.4026666667,32.1763333334,33.649,13.2053333333,15.9971666666,18.9233333334,20.3288333333,19.086
