wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
361.66,21.2908666667,40.4088666667,39.418,31.9346,35.8863333333,13.2382,24.0088666667,60.7564,39.2365666667,36.6251333333,8.03573333333
362.02,21.4204666667,40.538,39.5387333333,32.1252666667,36.0578666666,13.3192666667,24.0839333333,60.9046666667,39.3731333333,36.8172666667,8.068
362.39,21.5558,40.6093333334,39.5954666667,32.227,36.2146666667,13.4066666667,24.157,60.9546,39.4427333333,36.8841333333,8.1388
362.75,21.6515333333,40.6064,39.6030666667,32.2437333333,36.2466666667,13.449,24.1363333333,60.8678,39.4331,36.9614666667,8.17673333334
363.11,21.7482,40.6690666667,39.6246666667,32.3409333333,36.3412,13.551,24.1236666667,60.8124,39.4982333333,37.1082666666,8.24819999999
363.48,21.7319333333,40.579,39.467,32.2608,36.2179333333,13.5212666667,23.9752666667,60.6482666667,39.3630333333,36.9926,8.26166666667
363.84,21.6397333333,40.4626,39.2677333333,32.0594666667,36.1804666667,13.34,23.7968666667,60.5992666667,39.2558,36.8453333333,8.10893333333
364.20,21.4978666667,40.3542666667,39.0842666667,31.9818,36.0848666667,13.1823333333,23.604,60.4103333333,39.0668333334,36.7355333333,7.93346666667
364.57,21.4424666667,40.3638,39.098,31.9655333333,36.0849333333,13.0772,23.4978666667,60.4054,38.9981666667,36.7250666667,7.7752
364.93,21.4241333333,40.3212,39.0213333333,31.9379333333,36.0398,12.9668666667,23.3648666667,60.2694666667,38.9015,36.6384,7.71953333333
365.29,21.5603333333,40.4026,39.098,32.0448666667,36.229,13.0808,23.4410666667,60.4469333333,39.0198,36.7816666667,7.80913333333
365.66,21.5064666666,40.394,39.0842666667,31.9813333333,36.2137333333,12.9921333333,23.3361333333,60.4412,38.9697333333,36.7622,7.76033333333
366.02,21.4990666667,40.3175333333,38.9546,31.9468,36.1863333333,12.941,23.2460666667,60.4200666667,38.9406333333,36.6984666667,7.75693333333
366.38,21.4128666667,40.2872666667,38.8435333333,31.9065333333,36.0838666667,12.7996,23.0631333333,60.3698666667,38.7736333333,36.6764666667,7.65013333333
366.75,21.4713333333,40.3576,38.9067333333,32.0358,36.1553333333,12.7994666667,23.0368666667,60.4978666667,38.7307,36.8024,7.71726666667
367.11,21.5104666667,40.3728,38.858,32.0438666667,36.2074666667,12.7637333333,22.9746666667,60.5680666667,38.6145,36.8118,7.71946666667
367.47,21.4157333333,40.2423333333,38.8249333333,31.9210666667,36.1631333333,12.6196,22.8744666667,60.5108666667,38.5587333333,36.847,7.53326666667
367.84,21.5109333333,40.2492,38.9696666667,32.0838,36.2349333333,12.6899333333,22.8152666667,60.5156,38.5121666666,36.9381333333,7.5658
368.20,21.6523333333,40.3598666667,39.0516,32.2778,36.3338,12.7623333333,22.8026,60.7121333333,38.5319666667,37.0245333333,7.69813333333
368.56,21.8026,40.3642,39.03,32.3360666667,36.4833333333,12.9492666667,22.8635333333,60.6762,38.5206,37.1322666667,7.87993333333
368.93,21.7666666667,40.3544,38.9636666667,32.3874666667,36.5337333333,12.9024666667,22.7398666667,60.7014666667,38.4929666667,37.0969333334,7.78466666667
369.29,21.6039333334,40.2793333333,38.8640666667,32.3047333333,36.3727333333,12.6792666667,22.4786666667,60.6795333333,38.3574,37.0053333333,7.54313333333
369.65,21.6464,40.3656666667,38.8519333333,32.4172666667,36.401,12.6086666667,22.3438,60.8424666667,38.3821,37.0891333334,7.43746666667
370.01,21.6525333333,40.3381333333,38.8101333334,32.4544,36.4180666667,12.5653333333,22.2165333333,60.8755333333,38.347,37.1112,7.3758
370.38,21.7715333333,40.4163333333,38.8873333333,32.5535333333,36.4909333333,12.6662666667,22.2730666667,61.0038,38.4893666667,37.2139333333,7.50986666667
370.74,21.8158666667,40.3881333333,38.8290666667,32.5209333333,36.4726666667,12.6756666667,22.2592666667,61.0250666667,38.5038333333,37.1496,7.49593333333
371.10,21.8852,40.4235333333,38.8294666667,32.5982,36.4279333333,12.7005333333,22.246,61.0318666667,38.5074,37.1338,7.57646666667
371.46,22.034,40.5641333333,38.9392,32.7764,36.6193333333,12.7308,22.2566666667,61.3522666667,38.6476333333,37.222,7.62246666667
371.83,22.0479333333,40.5556666667,38.8414,32.8452,36.6396666667,12.6661333333,22.2066,61.4121333333,38.7395333333,37.2739333333,7.6282
372.19,22.1026666666,40.6279333333,38.9288,32.8238666667,36.7146666667,12.7036666667,22.1993333333,61.4076,38.7783,37.2958666667,7.66306666667
372.55,22.1219333333,40.7164,38.9873333333,32.9071333333,36.7320666667,12.6482,22.1062,61.5608,38.8377333333,37.3542666667,7.65826666667
372.92,22.2959333333,40.9439333333,39.2123333333,33.0851333333,36.887,12.794,22.1776666667,61.8927333333,39.0108333333,37.5304,7.78573333333
373.28,22.3900666667,41.0072,39.1920666667,33.1820666667,36.9588,12.7978666667,22.1713333333,61.9454,39.0194666667,37.5546666667,7.85013333333
373.64,22.4106666667,40.9831333333,39.2012,33.2121333334,36.9389333333,12.8667333333,22.1758666667,61.9024666667,38.9928333333,37.5715333333,7.96513333333
374.00,22.5314666667,41.1224666667,39.3000666667,33.3486666667,37.0505333333,12.9353333333,22.2144,62.1068,39.0514333333,37.6627333333,8.0912
374.37,22.565,41.1305333333,39.2928,33.3853333333,37.1105333333,12.9108666667,22.1516,62.0902,39.0313333333,37.7198,8.09486666667
374.73,22.5163333333,41.1461333333,39.3476666667,33.4486666667,37.1385333333,12.8500666667,22.0876,62.1643333333,39.0381,37.7856666667,8.07473333333
375.09,22.4708,41.1782666667,39.397,33.4622666667,37.1534,12.7483333333,22.0169333333,62.3365333333,39.0517333333,37.8756666667,7.94393333333
375.45,22.4361333333,41.1482,39.3108,33.4098,37.0638,12.6846,21.8954,62.2146,38.9587666667,37.8728666667,7.89133333333
375.81,22.4353333333,41.1632666666,39.2095333333,33.3304,36.9658666667,12.6778,21.8289333333,62.1114,38.8202,37.865,7.9352
376.18,22.4053333333,41.0664666667,39.0899333333,33.3551333333,36.8394666667,12.6056666667,21.7052666667,62.1687333333,38.7542333333,37.8228,7.85846666667
376.54,22.4068,41.0574,39.1402666667,33.4088,36.8481333333,12.5802666667,21.6958666667,62.3393333333,38.7937666667,37.8448,7.87633333333
376.90,22.4435333333,40.9784,39.0867333334,33.4532,36.7659333333,12.5734,21.6833333333,62.2910666667,38.7027666667,37.901,7.93173333333
377.26,22.4696,40.9395333333,39.1162,33.4891333333,36.7382,12.5880666667,21.6507333333,62.3591333333,38.7177333333,37.9244666667,7.93793333333
377.63,22.5047333333,40.9364666667,39.0238,33.5058666667,36.7394,12.5450666667,21.5481333333,62.4569333333,38.662,37.9404666667,7.90073333333
377.99,22.5403333333,40.9422,39.0624666667,33.5411333333,36.7364666667,12.5288666667,21.5071333333,62.5122666667,38.6553,37.9742666667,7.87613333333
378.35,22.5510666667,40.9139333333,39.0484666667,33.6059333333,36.6380666667,12.5492666667,21.4696666667,62.5522666667,38.6396333333,37.9196,7.878
378.71,22.5958,40.9108,38.9353333333,33.5980666667,36.5237333333,12.538,21.3808666667,62.5371333333,38.5884,37.886,7.88413333333
379.07,22.5713333333,40.8779333333,38.8305333333,33.623,36.4501333333,12.4958,21.2815333333,62.5196,38.5518666667,37.8860666667,7.8656
379.44,22.6278,40.9134,38.8686,33.7788666667,36.4783333333,12.5286,21.3176,62.6616,38.5816333333,37.959,7.942
379.80,22.6334666667,40.8684666667,38.8634,33.8698,36.4559333333,12.4623333333,21.2662,62.8230666667,38.6363,37.9635333333,7.85566666667
380.16,22.7166666667,40.9828,38.9285333334,33.9312666667,36.5432,12.5593333333,21.321,62.8876666667,38.7234666667,38.0811333333,7.97113333333
380.52,22.9044,41.1545333333,38.9798,34.0890666667,36.6312666667,12.6710666667,21.3985333333,63.0464666667,38.8207666667,38.2042666667,8.0632
380.88,22.9588666667,41.2044,38.9502666667,34.1233333333,36.6476,12.7016666667,21.3902,63.1096666667,38.8683,38.276,8.0852
381.24,22.9476,41.1703333333,38.9118666667,34.1429333333,36.6075333333,12.6999333334,21.3221333333,63.1083333333,38.8158333333,38.2396,8.13273333333
381.61,22.8658666667,41.0962,38.825,34.1246,36.5011333333,12.6438666667,21.2878,63.0339333333,38.7477666667,38.1307333333,8.10093333333
381.97,22.76,40.9924,38.7034666666,34.0368,36.3639333333,12.5852666667,21.1724666667,63.0114666667,38.6594666667,38.034,8.04306666667
382.33,22.7962666667,41.02,38.7064,34.1065333333,36.3951333333,12.5738666667,21.1484,63.1750666667,38.6911333334,38.0964,8.051
382.69,22.838,41.0196,38.7886666667,34.1808666667,36.4434,12.5528666667,21.1094666667,63.2922666667,38.7181666667,38.1494,8.0284
383.05,22.9078,41.0665333333,38.7786666667,34.2619333333,36.5138,12.5942,21.1197333333,63.4438666667,38.7535,38.1656666667,8.1038
383.41,22.9318666667,41.1075333333,38.7611333333,34.3238666667,36.4718,12.602,21.0982666667,63.6231333334,38.7887333333,38.2041333333,8.1372
383.77,22.9014,41.0929333333,38.7412666667,34.3079333333,36.4388666667,12.6072666667,21.0242666667,63.6620666667,38.7064333333,38.1692,8.1454
384.14,22.9018,41.0512,38.7070666667,34.3812,36.3846,12.5878,20.9775333333,63.7489333333,38.6685666667,38.1629333333,8.08886666666
384.50,22.7760666667,40.8904666667,38.5881333333,34.3112666667,36.2660666667,12.4788666667,20.8356,63.7511333333,38.5514333333,38.085,7.9794
