wavelength,Back_DacBerm,Belly_DacBerm,Breast_DacBerm,Crissum_DacBerm,Crown_DacBerm,DorTail_DacBerm,Rump_DacBerm,Throat_DacBerm,WingTip_DacBerm
201.57,33.24,16.9001111111,62.0915555556,55.4621111111,59.477,57.6096666667,28.0112222222,21.662,60.0373333333
201.95,36.7725555555,21.1638888889,66.7546666667,54.3208888889,65.873,60.4057777778,32.6278888889,26.455,63.4037777778
202.33,39.8222222222,23.5555555555,65.9555555555,52.6222222222,68.4444444444,59.4666666667,32.3555555556,28.6222222222,66.7555555556
202.71,36.65,22.3878888889,59.121,47.3465555556,61.5257777778,52.0728888889,26.2853333333,23.5491111111,61.7746666666
203.09,33.9137777778,21.2271111111,59.0382222222,46.2686666667,58.7063333333,46.6002222222,21.1442222222,21.476,60.7795555556
203.47,27.9031111111,11.4453333333,50.6265555555,40.685,52.8822222222,40.4343333333,13.2831111111,14.7032222222,54.052
203.85,28.8066666667,6.09055555554,49.959,38.354,48.7242222222,39.8352222222,9.9588888889,13.004,52.0162222222
204.22,14.5036666667,-8.56655555558,35.9626666666,20.1017777778,34.1814444444,29.0075555556,-8.31211111112,-0.763333333333,38.7615555556
204.60,20.2237777778,-3.0377777778,37.7297777778,22.7818888889,35.7312222222,28.9367777778,-2.95766666667,6.71466666666,42.3661111111
204.98,22.5952222222,-0.89488888889,36.9872222222,25.8762222222,35.1975555556,31.3198888889,-0.52200000001,5.44366666667,40.1193333333
205.36,25.5197777778,5.01800000001,41.7203333333,29.4623333333,36.9176666667,33.3333333333,3.94277777778,9.1041111111,40.8603333333
205.74,27.972,6.60455555554,44.3666666667,32.9448888889,39.4716666667,34.965,3.72977777779,10.9555555556,46.2314444444
206.12,20.0001111111,0.7936666667,35.3967777778,29.5238888889,30.4762222222,31.3491111111,-1.42866666666,4.84133333332,39.4444444445
206.50,19.0901111111,2.01333333333,32.0655555556,29.6792222222,30.798,33.6315555555,0.149000000013,4.62344444445,36.9872222222
206.87,10.4526666667,-7.40755555553,32.6748888889,28.3127777778,28.5596666667,30.4527777778,-6.99599999999,-5.02077777778,30.4527777778
207.25,6.07644444443,-12.934,30.7292222222,30.2084444444,28.8194444444,32.639,-10.5904444445,-9.20133333333,27.7778888889
207.63,6.33755555553,-10.7817777778,31.3581111111,31.7696666667,31.6048888889,29.1356666667,-8.14822222222,-3.78600000001,29.7121111111
208.01,-1.01022222222,-15.5722222222,26.936,24.8317777778,29.7137777778,18.6026666666,-16.7511111111,-14.6463333333,20.3702222222
208.39,4.0,-12.3555555556,34.7555555555,32.6222222222,36.8,21.0666666666,-14.3111111111,-9.86666666666,22.5777777778
208.77,-6.55266666668,-20.0381111111,33.9031111111,25.0712222222,32.0988888889,17.4738888889,-25.0712222222,-21.4623333333,13.3902222222
209.14,-7.40755555557,-18.6136666667,37.9866666667,27.4454444445,34.4728888889,17.2841111111,-25.356,-19.943,14.8148888889
209.52,-9.88711111111,-24.5762222222,34.5574444444,23.5405555555,31.5443333333,9.22788888888,-32.1093333334,-22.0338888889,11.6761111111
209.90,-13.486,-23.749,29.0075555556,19.5081111111,30.1951111111,7.88799999999,-28.2442222222,-20.8651111111,6.02211111112
210.28,-11.1993333333,-23.4566666667,31.9225555556,20.8995555556,34.3033333333,10.4937777778,-26.2785555556,-20.1941111111,6.34922222222
210.66,-10.7638888889,-22.0485555556,35.9374444444,23.6978888889,33.4201111111,12.4998888889,-23.8714444444,-15.3645555555,9.11466666668
211.03,4.45966666667,-8.1631111111,36.6591111111,30.5366666666,39.2288888889,19.7281111111,-12.396,-1.43622222222,19.1231111111
211.41,6.14033333334,-8.26022222223,34.9414444444,26.6812222222,37.5731111111,17.69,-9.79533333334,-1.3888888889,16.813
211.79,-2.92422222223,-20.7184444444,27.7361111111,16.792,29.24,13.868,-19.9663333333,-14.7033333333,6.01522222221
212.17,-7.19500000001,-25.2276666667,25.9563333333,14.3898888889,27.4135555556,15.8471111111,-23.4972222222,-17.3041111111,5.46433333335
