wavelength,Back_HemFrom,Belly_HemFrom,Breast_HemFrom,Crissum_HemFrom,Crown_HemFrom,DorTail_HemFrom,Patch10_HemFrom,Rump_HemFrom,Throat_HemFrom,WingTip_HemFrom
376.54,5.9968,10.5839,9.55126666666,6.5152,4.30566666667,6.00711491228,4.84806666667,4.58553333333,11.1444,7.309375
376.90,5.9838,10.5118666667,9.52526666667,6.49233333333,4.23733333333,5.98299364035,4.79446666667,4.52593333333,11.1138666667,7.280625
377.26,6.08473333334,10.5827,9.65053333332,6.60473333333,4.37453333333,6.12528267544,4.93366666667,4.64026666667,11.1938666667,7.42141666667
377.63,6.04926666667,10.4932666667,9.64139999999,6.55386666667,4.32246666667,6.0981745614,4.88693333334,4.601,11.1402666667,7.33625
377.99,6.00113333333,10.494,9.64073333334,6.55006666667,4.3604,6.06296754386,4.86373333333,4.5774,11.0619333333,7.32808333333
378.35,5.88386666667,10.3811333333,9.55,6.463,4.28113333333,5.95160614035,4.75246666667,4.48613333333,10.9917333333,7.273625
378.71,5.876,10.3836333333,9.55786666667,6.519,4.33906666667,5.96688399123,4.7654,4.51373333334,11.007,7.30033333333
379.07,6.02373333333,10.4507666667,9.67766666668,6.65146666667,4.50953333333,6.11474758772,4.8978,4.68513333333,11.1096,7.4225
379.44,6.14313333333,10.4731666667,9.735,6.7172,4.63006666667,6.21832916667,4.9916,4.80393333333,11.1451333333,7.54608333333
379.80,6.0754,10.4150666667,9.66546666668,6.70846666667,4.5848,6.16347236842,4.94793333333,4.75273333333,11.0754666667,7.47925
380.16,6.13546666667,10.4179333333,9.67046666668,6.7482,4.63386666666,6.23005921053,4.9902,4.7968,11.115,7.48566666667
380.52,6.1408,10.4014,9.6706,6.79766666667,4.6532,6.30683596491,4.98533333333,4.82606666667,11.1058,7.48441666667
380.88,6.10213333333,10.3623,9.64240000001,6.7788,4.65466666666,6.27693201754,4.98333333333,4.82373333333,11.0681333333,7.47470833334
381.24,5.97206666667,10.2363666667,9.49693333333,6.66726666667,4.51453333333,6.1518252193,4.85253333333,4.70793333333,10.9377333333,7.344375
381.61,5.99966666667,10.3050666667,9.51966666668,6.73626666667,4.564,6.20669517544,4.8838,4.72886666667,10.9733333333,7.35970833333
381.97,5.9936,10.3157333333,9.5116,6.7398,4.51126666667,6.21596447368,4.87506666667,4.73346666667,11.018,7.30970833333
382.33,6.08053333333,10.3969,9.56133333334,6.81786666667,4.5806,6.30298947368,4.97246666667,4.83986666667,11.0363333333,7.35404166667
382.69,6.07953333333,10.3317666667,9.50813333334,6.807,4.5212,6.2890495614,4.9698,4.80993333333,11.0154666667,7.325375
383.05,6.0116,10.2827,9.46960000001,6.75906666667,4.44053333333,6.24226754386,4.89706666666,4.75373333333,10.9638666667,7.314375
383.41,5.92253333333,10.1955333333,9.3942,6.71066666667,4.3456,6.19486162281,4.8558,4.67093333333,10.9220666667,7.267125
383.77,5.9494,10.1921666667,9.41399999999,6.74866666667,4.37313333333,6.22272017544,4.88293333333,4.70873333333,10.95,7.30729166666
384.14,5.92993333333,10.2097666667,9.43846666666,6.76773333333,4.39146666667,6.21474232456,4.90253333333,4.72146666667,10.9920666667,7.33554166666
384.50,5.86446666667,10.1666,9.39626666667,6.6902,4.32273333333,6.14235592105,4.83333333333,4.66553333333,10.9614666667,7.26870833333
384.86,5.933,10.2101333333,9.4326,6.72606666667,4.36353333333,6.21580372807,4.87186666667,4.7326,10.9898666667,7.30429166667
385.22,5.999,10.2533,9.48886666667,6.80366666667,4.4244,6.25579254386,4.92306666667,4.7924,11.0817333333,7.379
385.58,5.94986666667,10.2303666667,9.46680000001,6.76353333333,4.36013333333,6.24761052632,4.89313333333,4.76806666667,11.0461333333,7.35616666667
385.94,5.92146666667,10.1899666667,9.41320000001,6.7472,4.36033333333,6.23729188596,4.86053333334,4.7208,11.0324666667,7.351625
