wavelength,Back_CyaNitm,Belly_CyaNitm,Breast_CyaNitm,Crissum_CyaNitm,Crown_CyaNitm,DorTail_CyaNitm,Patch10_CyaNitm,Rump_CyaNitm,Throat_CyaNitm,WingTip_CyaNitm
218.97,-391.666583334,-753.703666666,-643.518416667,-471.296416667,-520.370333333,-905.555499998,-631.481499999,-734.259333333,-835.185083333,-988.888916666
219.34,-373.333333332,-703.333333333,-580.833333334,-455.833333333,-448.333333333,-802.5,-546.666666667,-650.0,-790.833333332,-870.0
219.72,-647.222333334,-1248.61108333,-959.722250001,-763.888916666,-719.444416666,-1354.16666667,-922.222083333,-1076.38883333,-1330.55575,-1545.83333334
220.10,-923.333333333,-1560.0,-1186.66666667,-1065.0,-936.666666668,-1711.66666666,-1136.66666666,-1273.33333333,-1713.33333333,-1910.0
220.47,5258.33333334,8100.0,6625.0,6358.33333333,5533.33333334,9116.66666668,6233.33333334,7091.66666666,9225.00000001,10150.0
220.85,-344.047666667,-547.619083333,-416.071416666,-437.5,-364.285666667,-613.690416667,-412.5,-463.690583334,-642.857,-695.23825
221.23,-130.246833333,-244.753166667,-145.06175,-180.246916667,-143.209833333,-259.8765,-158.642,-182.407416667,-288.888916667,-305.864166667
221.61,-103.385416667,-210.9375,-105.46875,-137.239583333,-131.510416666,-224.21875,-121.614583333,-142.708333333,-248.4375,-246.614583333
221.98,-50.0000000001,-107.970833333,-47.8261666667,-70.8333333333,-61.2319166668,-134.601416667,-51.8116666666,-65.2174166667,-143.115833333,-141.123083333
222.36,-45.2614166666,-93.7908333333,-49.6733333333,-56.3724166667,-53.1046666667,-115.8495,-55.0654999999,-62.9085,-132.1895,-125.32675
222.74,-39.5389999999,-82.6240833334,-44.5035,-52.3049166667,-59.0426666667,-117.021083333,-53.1915000001,-54.78725,-135.106416667,-129.609833333
223.11,-39.706,-73.039,-42.6470833333,-53.268,-60.6210833332,-104.248416667,-53.1046666666,-44.1176666667,-124.836666666,-126.143666667
223.49,-41.9810833333,-80.1886666666,-42.2955833333,-53.9308333333,-70.4402499999,-104.402416667,-57.3899166668,-49.2138333333,-127.201166667,-129.4025
223.87,-10.5390833334,-45.2205,-14.5833333333,-25.24525,-39.0931666666,-55.7598333333,-27.4510000001,-20.7106666666,-82.7208333334,-74.2648333333
224.24,15.5498333333,-10.9965833333,9.27841666667,3.95183333335,-12.28525,-17.2680833333,-1.46058333333,-0.687416666675,-37.1134166667,-34.1923333333
224.62,16.73625,-1.87491666668,13.5416666667,11.3890833333,-8.81941666668,-7.98591666668,3.88900000001,3.88883333333,-23.8889166667,-21.875
225.00,21.206,0.745249999993,15.8535833333,14.15975,-6.57175,-4.47158333332,6.36849999998,7.85891666667,-16.1246666667,-17.683
225.38,17.5641666666,-2.69225,8.97441666666,10.577,-9.61533333336,-6.98725,-0.32041666665,3.01274999999,-14.8076666666,-21.0898333334
225.75,26.4254166667,9.53941666667,18.0920833333,16.5569166667,4.22158333333,5.75649999997,7.34633333336,12.7193333333,-0.438500000008,-6.19516666667
226.13,29.7764166667,11.1280833334,19.5121666667,17.88625,6.75816666667,8.23166666668,8.38416666666,15.0913333333,4.77658333333,-2.33741666667
226.51,32.3974166667,15.107,24.2869166667,21.9695833333,11.23,10.606,15.0624166667,20.8110833333,12.656,4.50100000001
226.88,30.01575,14.771,24.0521666667,19.9053333334,10.6635,9.91316666668,14.4155833333,19.9448333334,13.2701666667,7.03008333333
227.26,31.1063333333,18.0315833333,25.5029166667,21.7313333333,12.931,11.602,15.98425,20.9409166667,16.2715,10.99125
227.64,30.1053333333,18.5113333333,23.8143333333,20.224,13.5705,11.5613333333,14.6905,21.21225,15.6785833333,12.6154166667
228.01,24.7575,15.9393333333,18.5455,15.8485,10.7575833333,6.33333333333,10.7879166667,17.0,11.6666666667,8.27275000001
228.39,16.48875,9.93466666667,11.26925,8.12558333333,5.13058333333,0.444833333332,3.94416666666,10.9430833333,5.071,0.919333333333
228.76,16.37625,9.58191666665,12.0208333333,6.79433333333,7.02666666667,1.74225,5.11041666666,11.8759166666,4.64583333333,-0.0001666666675
