wavelength,Back_PooWhif,Belly_PooWhif,Breast_PooWhif,Crissum_PooWhif,Crown_PooWhif,DorTail_PooWhif,Patch10_PooWhif,Patch11_PooWhif,Patch12_PooWhif,Rump_PooWhif,Throat_PooWhif,WingTip_PooWhif
359.11,7.79656666667,21.769,4.19106666667,13.0120666667,7.99986666667,7.38223333333,11.7569333333,5.51893333333,26.9651333333,8.49780000001,10.1237333333,8.69483333333
359.48,7.65439999999,21.7661333333,4.105,12.9802,7.90286666667,7.27766666667,11.7244666667,5.3924,26.9152,8.46439999999,10.0098,8.63453333333
359.84,7.60496666667,21.7843333333,3.95353333333,12.9466,7.83686666667,7.17973333333,11.6822666667,5.31506666667,26.9542666667,8.37006666666,9.99506666665,8.55793333333
360.20,7.7591,22.0079333333,4.0702,13.1062,7.92113333333,7.28803333333,11.8584666667,5.49853333333,27.0841666667,8.50566666667,10.1610666667,8.63426666667
360.57,7.73609999999,21.9260666667,4.01213333333,13.1553333333,7.86673333333,7.25546666666,11.8600666667,5.4806,27.0820666667,8.49759999999,10.1430666667,8.57906666667
360.93,7.77853333333,22.0676,4.13153333333,13.2333333333,7.91686666667,7.30393333333,11.9548666667,5.4972,27.1662,8.57946666666,10.1842666667,8.6286
361.29,7.87613333334,22.2105333333,4.2032,13.2904,7.98606666666,7.4037,12.1088666667,5.5582,27.1940333333,8.6932,10.2368666667,8.77846666667
361.66,7.92443333333,22.3814,4.1882,13.3798666667,8.0258,7.43786666667,12.1839333333,5.58093333333,27.2944333333,8.75546666667,10.2618,8.8444
362.02,8.0895,22.5980666667,4.33533333333,13.5357333333,8.18333333332,7.6265,12.3804666666,5.74766666667,27.4543666667,8.9452,10.4406666667,8.99713333334
362.39,8.20610000001,22.7810666667,4.49473333333,13.6851333333,8.34406666667,7.83336666667,12.5168666667,5.89686666666,27.6468666667,9.10606666667,10.597,9.14713333333
362.75,8.18933333333,22.766,4.46606666667,13.6832,8.32893333333,7.84336666667,12.5288,5.881,27.6994333333,9.04426666666,10.6094,9.12106666667
363.11,8.16376666667,22.8752666667,4.50473333333,13.7094,8.33953333333,7.8119,12.5086,5.86273333333,27.771,9.06119999999,10.6137333333,9.08883333333
363.48,8.4268,23.0932666667,4.69453333333,13.8856,8.52973333335,7.9708,12.7260666667,6.04453333333,27.9329666667,9.19646666667,10.7444,9.21673333333
363.84,8.49276666666,23.2504666667,4.80513333333,13.9836,8.63700000001,8.04386666667,12.8626666667,6.0996,27.9571,9.27586666666,10.7825333333,9.31916666667
