wavelength,Back_DigCyaf,Belly_DigCyaf,Breast_DigCyaf,Crissum_DigCyaf,Crown_DigCyaf,DorTail_DigCyaf,Patch10_DigCyaf,Rump_DigCyaf,Throat_DigCyaf,WingTip_DigCyaf
184.11,82.0324000001,95.2846666667,86.5039999999,66.9106,86.7478666667,85.0405733333,66.5042,98.1302000001,71.7885333334,70.0812666668
184.49,82.7027333333,92.3423333333,88.1981333333,64.1441333333,91.2613333333,86.5135933334,67.1170666667,100.720666667,69.8198666667,66.8468000001
184.87,88.9618666665,101.967133333,91.9124666666,66.2295333333,99.2350000001,95.2677800001,70.7102666667,110.273333333,75.7375999999,71.9126
185.25,89.0909999999,103.393866667,89.5757999999,63.9999333333,96.2423999999,91.5092133333,67.8787333333,109.4546,67.0304666666,72.3635999999
185.63,84.6560666665,95.2381333334,85.2909999999,64.3386,88.4654666667,85.8943100001,65.6084666667,99.4708000001,64.8677333333,72.4867999999
186.01,121.626133333,139.837333333,120.812933333,95.4471333332,132.520333333,122.065003333,92.8454,140.813,95.7724666667,106.991866667
186.39,179.57,209.6774,172.043066667,153.9784,189.462466666,170.516266667,139.569933333,199.569866667,151.182866667,164.301066667
186.77,249.866666667,282.933333333,232.0,221.6,261.333333333,229.2,202.4,255.466666667,208.8,223.733333333
187.15,609.696933333,671.515133333,544.8486,530.303066667,600.605933334,521.727283333,468.484866667,600.606133333,496.3636,543.6364
187.53,1865.0,2141.66666667,1743.33333333,1636.66666667,1838.33333333,1552.08333334,1533.33333333,1865.0,1541.66666667,1740.0
187.91,-1384.4444,-1522.2222,-1281.111,-1188.88906667,-1301.1112,-1106.27775,-1080.00006667,-1288.88893333,-1109.99993333,-1288.88873333
188.29,-1628.8888,-1768.88893333,-1532.2222,-1451.11106667,-1496.66673333,-1349.55542333,-1294.4444,-1502.22213333,-1331.1112,-1547.77786667
188.67,-1276.66666667,-1350.83333333,-1166.66666667,-1155.0,-1096.66666667,-1002.33333333,-988.333333334,-1154.16666667,-992.500000001,-1212.5
189.05,-3720.0,-3768.88886667,-3339.99993333,-3313.3334,-3071.111,-2919.00004333,-2846.6668,-3255.55566667,-2844.44446667,-3406.66673333
189.43,-1469.16666667,-1450.83333333,-1305.83333333,-1301.66666667,-1248.33333333,-1171.75,-1102.5,-1304.16666667,-1167.5,-1335.83333334
189.81,-393.3334,-385.7144,-339.761866667,-346.4286,-317.142933333,-299.714403333,-287.142933333,-347.142866667,-303.571333333,-352.1428
190.19,-277.094,-263.760733333,-222.393133333,-228.205133333,-196.923066666,-193.196526667,-190.769266667,-239.1452,-202.563866667,-239.4872
190.57,-195.466666667,-181.6,-146.4,-146.0,-124.8,-122.793333333,-126.0,-166.666666667,-136.533333333,-160.4
190.95,-199.333333333,-188.266666667,-153.6,-150.133333333,-124.666666667,-130.946666667,-132.4,-178.8,-149.466666667,-167.2
191.33,-230.354533333,-213.900666667,-178.156,-174.0424,-138.439733333,-155.971716667,-160.5674,-200.7092,-165.248266667,-191.489333333
191.71,-173.224,-156.939866667,-130.819666667,-130.2732,-96.0656666667,-120.25138,-121.6394,-143.825133333,-117.704866667,-139.672133333
192.09,-158.687,-141.818133333,-116.8688,-118.787866667,-90.6061333333,-116.378843333,-118.181733333,-132.525266667,-104.949466667,-124.646533333
192.47,-180.444466667,-159.6666,-137.111133333,-135.555533333,-102.0,-133.083286667,-138.444466667,-153.777666667,-118.444533333,-143.7778
192.85,-194.942533333,-168.620666667,-151.609133333,-144.827666667,-111.034466667,-147.953986667,-151.3792,-163.448333333,-132.758533333,-153.2184
193.23,-182.9508,-160.0,-145.792333333,-138.47,-109.071,-141.967146667,-142.622866667,-153.879866667,-124.917933333,-143.2788
193.61,-174.6666,-150.564133333,-135.282066667,-133.435866667,-103.282133333,-136.241046667,-141.128333333,-143.076866667,-120.1024,-136.410333333
193.99,-232.242466667,-197.090866667,-183.393933333,-183.393933333,-148.242466667,-186.454563333,-186.6666,-192.484733333,-167.0302,-187.757466667
194.37,-396.952466667,-336.1906,-323.2382,-312.380866667,-271.2382,-327.352353333,-320.190466667,-319.238066667,-292.000066667,-323.0476
194.75,-558.666666667,-475.733333333,-467.733333333,-438.666666667,-382.4,-473.093333334,-443.733333333,-438.933333333,-404.0,-468.266666667
195.13,-810.370333334,-674.814800001,-677.777733335,-625.555466667,-566.296333333,-674.555676667,-650.000000001,-632.592666667,-563.333266668,-679.999999999
195.51,-765.614066667,-637.894733333,-632.982466667,-596.842066667,-546.3158,-634.877246667,-624.5614,-613.684266667,-541.052666667,-649.824466666
195.89,-2990.66666667,-2496.0,-2432.0,-2430.66666667,-2168.0,-2474.93333333,-2468.0,-2480.0,-2150.66666667,-2574.66666667
196.27,15826.6666667,13233.3333333,13166.6666667,13266.6666667,11740.0,13119.0,13146.6666667,13306.6666667,11693.3333333,13973.3333333
196.65,-848.889000001,-681.481533333,-678.888933334,-695.925933332,-608.518466667,-682.648196667,-687.037133333,-697.036999999,-611.4814,-711.481466667
197.03,-845.925933333,-696.666666667,-683.333399999,-698.888866667,-626.2962,-683.222053333,-695.185266666,-717.037066667,-616.2962,-715.925933333
197.40,-1077.77773333,-886.666599999,-880.444466666,-891.555666667,-786.666733335,-862.59987,-908.444466665,-921.777866666,-793.7778,-922.666666668
197.78,-2344.762,-1937.1428,-2006.66646667,-1938.09506667,-1688.5714,-1888.28572667,-2002.8572,-2037.14286667,-1659.99993333,-1987.61906667
198.16,-2298.0952,-1912.38086667,-2041.90486667,-1927.61906667,-1704.76186667,-1885.19045667,-2005.71433333,-2026.66673333,-1609.5238,-1943.80953333
198.54,-1536.0,-1305.33333334,-1392.0,-1328.0,-1162.66666667,-1296.16666667,-1371.33333333,-1381.33333333,-1060.66666667,-1291.33333334
198.92,-1090.95233333,-911.428533333,-992.857133334,-959.047599999,-815.714266665,-917.166693334,-987.619,-994.762,-736.666666666,-909.523800001
199.30,-914.509666667,-759.607866666,-827.843133333,-821.568800001,-673.725600001,-765.549026667,-825.490200001,-830.588266665,-627.451133333,-753.333399999
199.68,-487.957,-401.290333333,-453.9784,-439.569933333,-361.290266667,-411.05372,-435.0538,-439.569933333,-335.914,-388.602066667
200.06,-296.666666667,-232.361066667,-273.75,-247.500133333,-202.6388,-242.729233333,-248.75,-255.138733333,-193.4722,-220.833333333
200.44,-213.672333333,-168.361533333,-197.062133333,-173.785333333,-135.819066667,-172.813486667,-179.095933333,-177.627133333,-139.209133333,-152.203533333
200.82,-238.2052,-186.923133333,-218.333266667,-192.179466667,-152.307666667,-196.73719,-197.307533333,-191.923133333,-156.410266667,-173.076866667
201.19,-219.2726,-161.454466667,-196.121066667,-172.7272,-128.000133333,-179.151483333,-177.575733333,-167.393933333,-137.4546,-157.333133333
201.57,-192.068866667,-130.574733333,-165.517266667,-148.046,-101.609066667,-151.218393333,-148.275866667,-141.6092,-112.643733333,-134.0232
201.95,-143.285133333,-92.5605333334,-120.869666667,-107.0532,-67.9227333333,-106.260693333,-99.7101333333,-95.4589333332,-78.5508,-95.6522000001
202.33,-131.4554,-82.3474000001,-105.8216,-94.3661333335,-52.3943333333,-94.07499,-89.0140666666,-78.8732,-65.8215333333,-84.6009333334
202.71,-122.6484,-75.4337999999,-101.552533333,-94.2465333332,-44.4748666666,-85.9452000001,-81.7352666666,-72.8766666667,-59.2694666667,-82.5571333334
203.09,-150.491733333,-96.8305333333,-123.169466667,-117.923533333,-60.1092666667,-106.98913,-98.7978,-89.5082666667,-74.5355999999,-100.437266667
203.47,-140.655666667,-88.6338000001,-115.956333333,-108.4152,-56.2841333333,-102.404443333,-91.0381999999,-75.8470000001,-64.6994,-94.3169333334
203.85,-186.536066667,-128.496666667,-153.2026,-149.019533333,-89.9346000001,-140.8626,-129.673266667,-110.719066667,-94.6406000001,-136.209066667
204.22,-224.637666667,-159.855133333,-189.855066666,-192.7536,-126.376733333,-176.70289,-170.144866667,-143.4782,-122.753533333,-171.449266667
204.60,-342.9412,-243.137266667,-293.1372,-298.6274,-214.705933334,-280.627356667,-273.725533333,-238.8236,-193.9216,-270.9804
204.98,-275.3846,-196.5812,-242.905933333,-249.0598,-174.359133333,-228.905933333,-227.521333333,-195.726466667,-155.897466667,-226.666733333
205.36,-210.8844,-156.326466667,-190.884266667,-198.639466666,-143.8096,-179.41503,-174.693866667,-159.455733333,-119.319666667,-170.340066667
205.74,-193.962133333,-152.327066667,-184.9056,-193.8366,-147.672866667,-178.14466,-170.943266667,-154.7168,-116.100733333,-156.226533333
206.12,-241.036933333,-198.8148,-227.703866667,-251.259333333,-196.8888,-237.400096667,-228.444333333,-211.407333333,-158.666733333,-201.481466667
206.50,-193.333333333,-160.754866667,-181.383466667,-200.628866667,-163.144666667,-191.333426667,-179.6226,-177.861733333,-127.672933333,-159.496733333
206.87,-160.529133333,-133.756533333,-146.3492,-162.222266667,-135.767266667,-161.947023333,-153.121666667,-152.0636,-106.772533333,-132.381066667
207.25,-101.433533333,-83.1540666667,-91.7561333333,-105.161333333,-84.2293333333,-100.369116667,-100.3584,-96.3440666667,-66.4516,-83.5842
207.63,-99.0278000001,-81.5972666667,-90.4167333333,-103.958133333,-78.8192666667,-98.3924333332,-95.5556666667,-95.9722666665,-63.6110666666,-79.8611333333
208.01,-79.5468,-62.0064666666,-72.0388,-84.2072666667,-58.6408666667,-79.4595000001,-76.5696,-75.5340666667,-46.602,-62.0065333333
208.39,-68.4083999999,-55.3754,-66.1260666666,-73.8739333333,-50.0901333333,-70.7386366665,-66.7267333335,-67.9878666667,-41.4414000001,-54.2944666668
208.77,-60.4481333333,-52.5492,-61.6807333334,-65.3220666668,-43.5855333334,-64.1148100001,-57.1428666667,-61.8487333334,-35.1819999999,-44.7057333334
209.14,-64.5217333334,-57.6230666667,-68.5795999999,-72.4638000001,-47.1304000001,-68.9680433334,-62.4348000001,-70.2029999999,-39.0145333334,-47.0725333333
209.52,-81.2542,-73.7293333333,-89.9009333333,-89.9670666667,-61.3862000001,-87.9439400001,-81.0562000001,-87.3268000001,-55.7754666666,-64.2243999999
209.90,-93.8948000001,-89.2632000001,-104.210533334,-99.1578666666,-70.8771333334,-101.133346667,-88.8421333333,-96.4209333333,-66.5263333333,-78.035
210.28,-121.1382,-110.325333333,-133.983666667,-121.382,-89.4310666667,-122.536586667,-109.5934,-118.374,-86.9104666667,-99.0244000001
210.66,-131.601866667,-117.835466667,-144.935066667,-134.1992,-96.7098666665,-130.779106667,-121.038933333,-127.2728,-98.3550666667,-110.13
211.03,-147.632733333,-133.236866667,-164.347866667,-151.497666667,-113.8166,-146.246403333,-137.971,-141.062666667,-117.004866667,-125.410666667
211.41,-178.947266667,-169.590533333,-205.380133333,-184.4446,-148.070133333,-181.35669,-170.877266667,-178.4796,-151.578866667,-156.1404
211.79,-205.733333333,-202.8,-244.4,-213.6,-179.333333333,-210.16,-208.0,-212.666666667,-182.533333333,-183.866666667
212.17,-217.733333333,-223.466666667,-262.4,-233.066666667,-193.2,-230.0,-220.533333333,-228.133333333,-199.733333333,-198.266666667
212.55,-393.777666667,-403.111133333,-459.999933333,-424.888866667,-348.000066667,-416.38887,-394.6666,-410.888933333,-359.777733333,-360.6666
212.92,-503.589866667,-503.076933333,-552.0514,-536.4102,-441.794666667,-514.461586667,-494.871733333,-514.102666667,-463.333333333,-468.205066667
213.30,-565.555466667,-563.3334,-600.000066667,-589.444466667,-496.111,-574.958476667,-551.388866667,-560.555599999,-509.444466667,-527.500066667
213.68,-380.588266667,-380.980333333,-396.470533333,-397.450933333,-346.8628,-390.000076667,-366.8628,-366.0784,-335.0982,-364.313733333
214.06,-225.850266667,-224.217666667,-241.768733333,-247.619066667,-210.340266667,-232.591863333,-223.4014,-226.530533333,-197.551,-221.496666666
214.44,-129.855,-133.333333333,-144.251133333,-146.1836,-125.7004,-141.826123333,-132.2704,-134.589333333,-110.241466667,-127.4396
214.81,-176.023533333,-181.6374,-194.035066667,-194.970866667,-169.005866667,-191.71919,-180.233866667,-182.5732,-151.344933333,-169.5906
215.19,-175.0576,-180.804533333,-193.6782,-194.367866667,-166.436733333,-187.07471,-176.551733333,-187.356333333,-147.1266,-164.252933333
215.57,-198.1818,-194.5454,-214.9092,-217.8182,-187.757466667,-210.109166667,-197.818266667,-209.5758,-166.666733334,-184.606
215.95,-130.0,-122.9824,-137.193066667,-146.491266667,-117.5438,-140.236843333,-128.0702,-136.228,-108.6842,-120.877066667
216.32,-125.945866667,-114.594466667,-132.1622,-141.081133333,-114.144,-132.96396,-128.108133333,-133.063,-106.036,-116.576533333
216.70,-101.788666667,-93.1706666667,-110.487733333,-116.504133333,-93.252,-104.715453333,-104.796666667,-110.000066667,-89.2684666666,-95.7723333335
217.08,-81.5833333333,-74.3333333333,-96.8333333334,-96.8333333333,-73.4166666666,-86.9041666667,-85.7499999999,-91.7500000001,-70.8333333333,-79.1666666667
217.46,-68.6890666667,-60.2995999999,-85.6179999999,-79.4008,-61.2735333333,-74.1422833332,-73.4831999999,-77.5279999999,-61.498,-66.367
217.83,-75.9550666667,-63.3706666667,-92.3596666667,-78.7265999999,-62.4718666667,-75.4532600001,-79.4757333333,-83.8202000001,-64.6441999999,-68.0149333333
218.21,-93.0864666666,-72.5926,-100.905333333,-84.3622,-68.0658,-86.81488,-89.8765333335,-94.5678666668,-75.4732666667,-77.3662666666
218.59,-94.6511333333,-74.8062,-101.472733333,-90.2324666666,-69.0698,-87.43034,-92.4806666666,-95.1936666667,-80.6202,-81.4729333333
218.97,-70.9615333334,-57.0513333333,-80.6410000001,-67.3077333333,-51.2821333334,-66.2019333333,-70.7052000001,-69.9999333332,-62.1796000001,-62.8847333333
219.34,-71.5595333334,-57.4312,-81.0397333332,-67.0948666667,-54.2506666667,-67.2568333333,-72.2935333333,-68.8074000001,-61.9572666666,-63.4250666667
219.72,-86.4647333333,-74.0068000001,-95.3535999999,-80.8752666666,-64.1077333333,-83.9529099999,-86.3972666665,-81.3469333334,-75.5556666667,-76.2290666666
220.10,-118.166666667,-103.166666667,-129.0,-106.833333333,-91.8333333335,-112.379166667,-117.666666667,-110.083333333,-104.333333333,-106.5
220.47,-116.2602,-103.333333333,-126.503933333,-105.934933333,-91.3821333333,-111.40659,-113.333333333,-112.439,-106.5854,-110.000066667
220.85,-100.797066667,-88.8405333332,-107.6086,-91.4492666667,-78.0434000001,-98.8550833333,-98.9129999999,-97.6811333333,-89.8549333333,-96.3767333333
221.23,-89.1157333333,-79.5917999999,-97.5509999999,-84.4218666666,-72.0407333333,-87.1769266667,-92.7892666667,-88.3674666668,-81.0883999999,-85.2380666666
221.61,-85.4421999999,-76.8708000001,-93.8775333335,-85.6462666667,-71.2924666666,-85.1428166667,-91.1562666667,-85.9863333334,-79.3197333334,-83.0611333333
221.98,-79.0196666667,-77.9739333334,-91.0456666667,-89.2156666667,-68.8235333333,-84.1796466667,-86.8628666668,-86.5358,-78.8236000001,-80.3266666667
222.36,-83.1333333334,-88.4666666665,-102.733333333,-102.2,-77.1999999999,-93.1233333333,-97.7333333333,-96.6666666667,-89.2666666668,-88.0666666667
222.74,-122.0514,-132.222333333,-144.53,-147.264866667,-110.683733333,-130.91871,-138.461466667,-137.9488,-131.9658,-123.589866667
223.11,-153.111066667,-164.111133333,-178.333333333,-186.111066667,-137.666666667,-157.727803333,-169.777733333,-171.222266667,-162.7778,-150.666666667
223.49,-139.5238,-159.5238,-174.047666667,-178.214266667,-127.857066667,-151.77978,-158.0952,-163.333333333,-158.809466667,-139.1668
223.87,-100.645133333,-117.311866667,-135.268866667,-135.483866667,-95.4838000001,-111.18268,-117.956933333,-122.3656,-121.827866667,-101.397866667
224.24,-99.5698666667,-122.7958,-140.8602,-136.129,-100.8604,-112.037693333,-123.548333333,-127.204266667,-127.0968,-103.118266667
224.62,-140.1362,-173.061266667,-196.870866667,-190.8844,-148.299333333,-161.061306667,-176.326466667,-171.156533333,-174.285666667,-136.598666667
225.00,-216.875,-283.125,-311.041666667,-297.083333333,-242.291666667,-263.260416667,-286.666666667,-261.458333333,-280.833333333,-211.25
225.38,-171.746,-226.0318,-237.460266667,-231.428466667,-186.825333333,-218.4762,-223.0158,-199.5238,-218.095266667,-166.031733333
225.75,-180.317466667,-236.031733333,-242.8572,-243.809533333,-194.4444,-229.523833333,-229.365,-205.7142,-224.4446,-171.7462
226.13,-179.349466667,-222.926866667,-230.5692,-231.7074,-180.813133333,-222.959433333,-222.439,-184.3902,-212.195066667,-159.3496
226.51,-176.6668,-216.6666,-218.730066667,-215.396866667,-177.301533333,-210.11117,-210.9524,-167.619,-200.317466667,-148.095266667
226.88,-122.711933333,-145.536666667,-154.011333333,-143.6158,-124.971733333,-142.344603333,-150.0566,-114.463266667,-133.672333333,-102.824933333
227.26,-72.3508,-86.6666666667,-93.1930666667,-84.4911999999,-74.0351333334,-88.5789833333,-93.9648666668,-72.0701999999,-78.4560666667,-59.5088000001
227.64,-61.1299333333,-68.9264666668,-74.7456666666,-68.4744666667,-55.0282666667,-71.1667399999,-78.4179333333,-59.3784666666,-63.6723333333,-51.0169333333
228.01,-54.8716,-63.2168,-65.9206000001,-62.4242666667,-49.6037333333,-63.2307733334,-71.7015333333,-56.0839333333,-57.6223333333,-47.5058
228.39,-43.3904000001,-51.0858666667,-52.3809333333,-50.5141333333,-39.5046666667,-51.8000433334,-56.0380666666,-45.4094666667,-44.0761333333,-36.1903333333
228.76,-36.2276666667,-41.7560666667,-43.2194666667,-40.7804666667,-31.0243333333,-41.67797,-44.813,-36.9756666667,-35.0894,-29.8536
229.14,-31.6166666667,-35.5364,-38.4836,-36.3946666667,-27.6394666667,-35.4291733333,-39.0558,-33.0472,-30.5293333333,-26.2373333333
229.52,-34.728,-38.1033333333,-42.7894,-39.8325333333,-30.6833333333,-36.9218,-41.7573333333,-36.5132,-35.0348666667,-29.7350666667
229.89,-35.8666666667,-39.44,-43.68,-39.52,-32.0266666667,-36.3826666667,-41.9466666667,-37.8133333333,-36.4266666667,-31.44
230.27,-32.4232,-37.4416,-40.3936,-36.9741333333,-30.3320666667,-32.8118733333,-39.6556,-36.2854,-34.4896,-29.6925333333
230.65,-33.6678666667,-38.1602666667,-41.0753333333,-38.9965333333,-31.3978,-34.6940666666,-41.3858,-38.0644666667,-35.1493333333,-31.2067333333
231.02,-31.4482666667,-35.3333333333,-37.655,-37.2183333333,-28.6896666667,-33.5943533333,-38.2069333333,-35.7470666667,-33.5632,-30.138
231.40,-34.1844666667,-38.5343333333,-40.0472,-39.8108,-31.0402,-36.1182333333,-39.8346,-37.8013333333,-36.7848666667,-33.0023333333
231.78,-38.1093333333,-41.5422666667,-42.4626666667,-43.4826,-35.7461333333,-39.33455,-42.5372666667,-41.2687333333,-39.8010666667,-37.0646
232.15,-38.0843333333,-41.9922666667,-42.9374666667,-42.9883333333,-36.5007333333,-39.6807733334,-42.2732666667,-40.4086666667,-38.5951333333,-37.5735333333
232.53,-45.5833333333,-48.3610666666,-50.389,-50.0277333333,-42.8056,-45.4820366667,-49.4721333333,-46.4444,-45.8333333333,-45.6388666667
232.90,-50.8408,-52.7928,-55.5556,-54.0540666667,-46.5765333333,-49.1110366667,-54.985,-51.2312666667,-50.1802,-50.1201333333
233.28,-57.5817333334,-59.5750666667,-61.2745333333,-61.0784,-50.8168666666,-54.2581533333,-61.3725333333,-56.3072666667,-55.2942,-55.5229333334
233.66,-57.5248666666,-59.901,-59.4059333333,-59.3068,-49.5049333333,-53.58907,-61.188,-56.4356666666,-52.3763333333,-55.5446000001
234.03,-52.39,-54.4339333333,-53.8365333334,-54.0881333333,-43.5848666666,-48.0425666667,-54.7484,-49.7170666667,-46.195,-47.5158
234.41,-54.7048666667,-54.6092666667,-55.3428666667,-55.4385333333,-45.2313333333,-48.9823366667,-54.5454666667,-49.9840000001,-48.0702,-47.3046
234.78,-43.4908,-42.4606,-44.4635333333,-43.2333333333,-34.1346,-36.91554,-42.6324666667,-38.5120666667,-38.5407333333,-36.7954666667
235.16,-39.0395333333,-38.7570666667,-40.8758,-38.1639333333,-30.3389333333,-31.6850666667,-38.1356,-34.4068,-34.1524666667,-31.1864
235.54,-35.3468666667,-34.2585333333,-37.1699333333,-34.2858,-26.9931333333,-27.69944,-35.102,-29.7416,-30.6938,-27.5102
235.91,-35.9138,-36.2634666666,-40.2150666667,-36.9354666667,-28.5752,-30.54571,-37.4732,-30.1345333333,-33.3870666667,-28.3334666667
236.29,-32.6771333333,-32.1522666667,-37.2704,-34.5406666667,-25.1180666667,-27.2913933333,-33.8319333333,-27.0604,-31.9684666667,-25.3805333333
236.66,-27.7865333333,-27.8906,-32.3437333333,-30.9896,-20.651,-23.4387766667,-29.5051333333,-23.6718666667,-28.1769333333,-20.677
237.04,-23.2846666667,-23.9901333333,-27.1776,-27.8831333333,-17.4938666667,-20.4975866667,-25.8881333333,-19.9756,-25.1580666667,-16.9100666667
237.41,-23.209,-23.5932,-26.3728666666,-27.7966666667,-18.4407333333,-20.4542933333,-25.4917333333,-20.3162666666,-24.5650666667,-17.1299333333
237.79,-27.2960666667,-26.7598,-30.5361333333,-32.9138,-22.2610666667,-24.6305066667,-28.5082,-23.8228,-29.9067333333,-20.7692666667
238.17,-23.8548666667,-23.288,-26.4399333333,-28.6393333333,-18.0273333333,-20.6746533333,-25.6464,-20.2040666667,-26.372,-17.8458
238.54,-24.2092666667,-24.7327333333,-26.9853333333,-29.1466666667,-18.4981333333,-21.6404366666,-27.3720666667,-21.3196666666,-27.1672666667,-17.884
238.92,-28.5813333334,-31.1418666667,-32.6874,-34.5789333333,-25.1441333333,-28.1786566667,-32.9873333333,-26.9666666667,-32.0185333333,-22.7680666667
239.29,-29.2074666667,-32.3562666667,-34.0934666667,-36.5472666667,-26.5798,-30.1933633333,-34.8316,-28.0782,-32.9425333333,-24.5385333333
239.67,-28.5064666667,-31.1572,-32.3838,-35.7073333333,-26.4886666667,-29.3413133333,-32.9773333333,-27.5372,-31.3155333333,-23.2244666667
240.04,-24.6034666667,-26.7007333333,-27.3315333333,-30.81,-22.8644666667,-23.9565466667,-28.2181333333,-23.8192,-26.6666666667,-18.6360666667
240.42,-23.0555333333,-24.8684666667,-24.9999333333,-27.9970666667,-21.7688666667,-21.6374833333,-26.5643333333,-21.9152666667,-23.9913333333,-16.6814
240.79,-18.7400666667,-20.1834666667,-20.0245333333,-22.5198666667,-17.7247333333,-17.21225,-21.5656666667,-16.8562666667,-19.4739333333,-11.5596
241.17,-16.2038666667,-17.8338666667,-17.3922666667,-19.3272,-15.6784,-14.51204,-18.8538666667,-14.7844,-16.7191333333,-9.16933333333
241.54,-13.7933333333,-15.3426,-15.1830666667,-15.925,-13.2676666666,-11.8093933333,-16.291,-12.5916,-14.3944,-6.86393333333
241.92,-9.50266666667,-11.4344,-11.1632,-11.5496,-9.6176,-7.47635666667,-12.3960666667,-8.51619999999,-10.1356666667,-3.41966666667
242.29,-9.67393333334,-11.4844666667,-11.4843333333,-12.0138,-10.1804,-7.72530000001,-12.7425333333,-9.13693333332,-10.4641333333,-3.8282
242.67,-8.34593333333,-9.81539999999,-10.3075333333,-10.7997333333,-8.30999999999,-6.33815666666,-11.4007333333,-7.75246666667,-8.95399999999,-2.67813333334
243.05,-7.35000000001,-8.40320000001,-9.0238,-9.45613333333,-6.63873333333,-4.78281333333,-9.95813333333,-6.42953333332,-7.81720000001,-1.325
243.42,-6.33673333333,-7.07739999999,-7.87200000001,-7.97980000001,-5.54873333333,-3.40297999999,-8.68686666665,-5.27960000001,-6.80126666667,-0.208666666666
243.80,-5.28706666666,-6.26393333332,-7.10886666665,-7.00333333333,-4.67326666666,-2.79274666666,-8.11213333333,-4.1652,-6.07246666666,0.363066666668
244.17,-4.35886666666,-5.40660000001,-6.0366,-5.95313333333,-3.67720000001,-2.16965333333,-7.53446666665,-3.26573333333,-5.05306666667,1.11213333333
244.55,-3.13179999999,-4.102,-4.68186666668,-4.61880000001,-2.09833333333,-1.18309,-6.21920000001,-1.99126666667,-4.01386666667,2.38813333333
244.92,-2.23240000001,-2.95220000001,-3.861,-3.3974,-0.951466666667,-0.205643333332,-5.39186666667,-1.12846666667,-2.85446666667,2.87286666667
245.30,-0.975399999999,-1.43146666667,-2.73600000001,-2.1588,0.432933333333,1.17144333334,-4.09813333333,0.126933333334,-1.61046666666,3.94240000001
245.67,0.827466666666,0.308933333332,-0.816800000002,-0.4556,1.9062,2.66071666667,-2.34613333333,1.8068,-0.183266666666,5.33633333333
246.05,0.901333333334,0.563866666666,-0.496399999999,-0.0770666666674,2.17886666667,2.83724666667,-2.15953333333,1.86073333333,-0.029066666666,5.84713333333
246.42,2.25146666666,1.58986666667,0.709666666666,1.21766666667,3.28946666667,3.98255666667,-1.038,2.983,1.15646666666,6.74559999999
246.79,2.41826666667,1.35433333333,0.697333333334,1.2898,2.9746,3.90164,-1.09646666667,2.882,1.12046666667,6.53766666665
247.17,2.57486666667,1.50193333333,0.771666666668,1.438,2.8684,4.04459333333,-1.02386666667,3.083,1.21593333333,6.67806666667
247.54,2.7838,1.7672,1.15653333333,1.7492,3.04953333333,4.29103333333,-0.714800000002,3.28646666667,1.80326666667,7.00079999999
247.92,2.82813333333,1.825,1.20946666667,1.68853333333,2.8456,4.38756,-0.674799999999,3.13226666667,1.83186666667,7.11053333333
248.29,2.82393333333,1.73933333333,1.18153333333,1.68753333333,2.8552,4.41547,-0.5544,3.17033333333,1.819,7.16566666666
248.67,2.60626666667,1.46093333333,0.784866666664,1.3768,2.63113333333,4.12925333333,-0.823266666667,2.8062,1.5694,6.92940000001
249.04,2.33026666667,0.731133333334,0.309666666667,0.709599999999,2.05666666667,3.53614,-1.32533333333,2.298,1.00126666667,6.47580000001
