wavelength,Back_SpoLeum,Belly_SpoLeum,Breast_SpoLeum,Crissum_SpoLeum,Crown_SpoLeum,DorTail_SpoLeum,Patch10_SpoLeum,Rump_SpoLeum,Throat_SpoLeum,WingTip_SpoLeum
218.97,13.1313333334,-153.535333333,-209.091111111,-174.747555556,-54.5454444443,-206.060777778,-194.949555555,-47.9798888888,-118.181777778,-210.101111111
219.34,39.0803333336,-72.0306666668,-131.417777778,-111.111111111,-1.14955555556,-113.409888889,-105.363888889,3.0652222222,-53.6398888888,-123.371555556
219.72,51.7242222222,-42.1454444444,-112.260666667,-81.6091111112,6.89655555543,-123.371444444,-80.4597777778,27.9694444444,-49.0423333334,-102.682
220.10,42.5121111113,-50.7246666667,-147.826111111,-124.154666667,-1.93255555544,-173.913111111,-123.188555556,24.1546666667,-95.6524444446,-139.130333333
220.47,58.6805555557,-8.68055555567,-86.4583333334,-61.8055555555,27.4305555554,-85.0694444447,-56.2500000001,53.4722222222,-43.4027777779,-70.1388888888
220.85,50.3265555553,-8.17011111113,-83.986888889,-54.902,16.6665555555,-90.522888889,-40.523,51.9608888889,-35.9477777778,-58.4968888888
221.23,-172.222222223,-1105.55555555,-2344.44444444,-1827.77777778,-238.88888889,-2333.33333333,-1466.66666667,-255.555555554,-1250.0,-1838.88888889
221.61,274.07411111,755.555555554,1666.66655556,1348.14822222,314.814888889,1425.926,1066.66677778,59.2592222224,811.111000001,1170.37044444
221.98,5.55555555567,83.3334444447,225.308777778,193.827222222,31.4814444443,161.728333333,116.666777778,-35.8025555556,104.321111111,145.679222222
222.36,40.0966666665,113.526444444,203.381555555,165.217444444,59.9033333337,154.589333333,115.942111111,3.86477777777,126.570222222,162.801888889
222.74,55.9386666667,103.831222222,162.835222222,153.639888889,40.612888889,153.639888889,93.4865555554,21.8388888889,99.6167777777,140.612888889
223.11,62.9629999999,112.037111111,176.851888889,161.111,13.4259999999,165.740666667,101.388777778,15.7407777778,102.778,135.648222222
223.49,45.7069999999,93.6868888888,117.171777778,102.777777778,22.2221111112,110.858555555,87.3736666667,26.7678888889,74.495,99.2423333332
223.87,56.3220000001,101.149444444,115.325666667,97.318,34.0994444444,102.873333333,95.977,44.4444444444,77.7777777779,99.8083333333
224.24,52.256888889,101.041666667,103.125111111,91.492888889,34.2012222222,105.382,87.6737777777,44.7917777778,62.3264444444,93.9237777778
224.62,48.5468888888,105.470222222,96.4101111112,88.5471111111,31.7947777778,107.521333333,85.4701111112,48.0342222222,64.9573333333,91.9657777777
225.00,53.2627777777,112.345777778,104.761777778,97.7071111112,33.5096666667,110.405666667,93.2980000001,54.3211111111,67.7247777778,102.821777778
225.38,40.0462222221,130.324111111,119.212888889,109.259333333,25.9258888889,127.314888889,96.5277777777,40.0462222222,76.6204444444,112.731555555
225.75,36.0625555554,107.407444444,92.7874444444,80.896888889,11.5008888889,106.432777778,78.7523333333,33.1384444445,59.6491111111,94.1518888888
226.13,43.0303333333,120.606,101.616,91.111,17.3736666667,115.555555556,86.0604444446,35.7575555555,67.0706666667,92.3233333335
226.51,8.4796666668,115.204555556,83.9180000001,81.2865555557,-31.2866666666,107.602222222,82.1635555557,3.50877777777,38.0117777778,74.8537777777
226.88,4.27344444443,148.290666667,107.692444445,96.1537777777,-50.4274444445,122.649555555,112.820444444,-30.342,42.7350000001,90.598222222
227.26,40.3173333334,138.730222222,104.444444445,103.174666667,5.07944444443,117.460333333,115.873111111,7.30155555557,52.6983333333,113.016
227.64,31.8995555555,127.240333333,95.6990000001,94.9818888891,-1.43366666667,114.336888889,112.903222222,-3.94266666668,38.3513333333,103.942555555
228.01,-12.2603333333,69.7317777779,35.6321111111,69.3486666666,-45.977,72.7968888888,87.3564444444,-37.5478888889,-4.2147777778,53.6397777779
228.39,-42.5924444443,44.9074444443,30.0926666668,53.7037777777,-89.8147777777,47.2220000001,69.9075555556,-79.1666666666,-21.2963333333,22.6853333332
228.76,-166.666666667,40.2777777778,-34.7222222223,80.5555555557,-306.944444444,61.111111111,184.722222222,-298.611111111,-163.888888889,-1.388888889
229.14,-164.444444444,-25.5555555557,-88.888888889,11.111111111,-293.333333333,-19.9999999998,107.777777778,-305.555555556,-197.777777778,-81.1111111111
229.52,-24.8365555556,18.3007777777,-10.4574444444,54.2484444443,-130.065444445,1.00005337345e-10,116.339888889,-122.222222222,-63.3988888889,0.653666666557
229.89,0.694444444333,68.0555555554,8.33333333323,90.2777777778,-94.4444444444,6.2499999999,134.027777778,-106.25,-21.5277777778,16.6666666667
230.27,20.2021111112,147.474666667,58.5856666668,109.090888889,-150.505111111,59.5960000001,213.131333333,-113.131222222,4.04033333343,91.919222222
230.65,62.7777777778,106.666666667,85.2777777778,78.3333333334,10.8333333333,77.7777777778,112.777777778,26.388888889,63.3333333334,74.1666666667
231.02,47.2223333333,91.6665555556,76.9232222221,61.3245555557,2.7777777778,66.8803333332,85.6837777779,26.7094444444,47.2222222222,66.2393333333
231.40,34.4016666667,88.2478888888,72.6495555557,51.4957777778,-11.9657777778,54.7006666667,73.2905555556,22.4357777778,37.607,57.9059999999
231.78,52.8888888889,102.888888889,91.5555555557,61.7777777779,-5.55555555553,70.8888888889,84.2222222223,44.4444444443,48.0,61.3333333332
232.15,71.3675555555,124.786333333,105.769,69.4443333333,7.9061111111,86.5383333333,89.9572222221,58.5471111111,50.641,78.846111111
232.53,80.2222222222,134.444444445,107.333333333,68.8888888888,25.3333333333,86.6666666668,98.6666666666,62.0,57.3333333333,86.4444444444
232.90,72.0761111111,114.62,95.1753333332,59.9416666667,27.0467777778,69.0058888889,77.6315555556,59.0642222222,56.5791111111,69.152
233.28,80.3141111111,120.652111111,99.3959999999,72.4636666667,42.1496666667,80.4345555556,81.4011111111,75.4829999999,74.0337777778,79.8311111111
233.66,76.3888888889,123.232222222,92.9291111112,59.2171111111,34.3434444445,74.7474444446,74.1162222222,67.5505555554,59.2171111111,75.6312222222
234.03,65.2632222222,110.292333333,88.538,50.8772222222,30.9941111111,64.4444444445,65.848,56.959,48.0701111111,69.0057777778
234.41,60.7184444444,102.356888889,82.2668888888,46.3523333333,28.0582222222,56.5654444444,62.4017777778,49.9438888889,41.1894444444,63.0753333333
234.78,65.645,112.005,86.3344444444,49.5531111111,29.2464444444,62.8353333335,68.8377777777,50.8301111111,40.613,68.1993333333
235.16,77.0686666667,115.603,89.1251111112,57.565,42.9077777778,68.2032222223,80.7328888888,58.8652222221,54.1372222222,75.4137777778
235.54,74.9141111111,115.693111111,85.3381111111,58.5336666667,46.048,69.0723333333,79.4960000001,57.2736666665,58.3046666666,71.5921111111
235.91,67.6767777778,107.777888889,76.4646666665,53.7373333333,48.586,66.1615555554,73.2324444445,52.1213333333,53.9392222222,66.7677777778
236.29,69.9234444445,105.268333334,78.3524444443,50.9578888889,49.7125555556,64.272,74.138,49.7124444445,60.0574444444,65.3254444444
236.66,67.8063333334,104.178555556,79.4872222223,53.3712222222,44.3493333333,66.6667777777,74.5488888889,51.377,61.1585555555,65.622
237.04,74.2782222222,96.1503333333,79.789888889,58.8801111111,57.0428888889,77.6027777778,77.9527777778,56.2553333333,66.3167777778,71.1285555556
237.41,76.7857777778,94.8412222223,82.9364444447,58.2342222222,59.4245555556,75.892888889,82.9365555554,51.1905555555,64.9801111111,67.0634444445
237.79,86.6858888889,102.011333333,89.8466666666,72.6053333333,72.1264444446,87.7393333332,94.9234444446,68.1033333332,80.9388888889,75.8618888889
238.17,92.8774444445,102.089222222,88.6039999998,77.1130000001,75.3086666665,88.4139999999,97.7206666666,73.3141111111,84.7102222223,75.4985555556
238.54,88.4804444444,95.6697777779,80.8823333333,69.4444444445,70.4248888889,81.9445555557,92.6470000002,71.3234444444,80.0653333333,71.2417777778
238.92,99.283111111,106.361888889,91.1289999998,81.1826666667,79.7491111111,91.8456666666,102.777777778,81.0034444444,90.9497777778,82.0788888889
239.29,89.068,98.0286666665,84.050222222,73.2077777778,71.0572222222,86.7383333334,94.4444444444,73.5662222222,84.9459999999,70.9676666667
239.67,81.508,89.2855555555,80.1586666667,66.9047777778,68.4127777778,79.8413333332,89.2857777776,70.7143333333,77.5397777778,68.4921111111
240.04,73.2066666667,77.2854444444,73.4177777779,59.7046666667,54.7821111111,71.7300000001,77.9185555555,63.4318888889,71.8002222222,63.502
240.42,63.285,67.5122222222,64.07,55.1328888889,51.6906666667,61.4734444444,67.995,60.2656666667,62.983,58.3937777778
240.79,58.4127777778,62.4867777778,58.4654444445,49.7883333334,48.5183333333,53.492,63.1216666667,52.8572222222,57.3015555556,54.2328888889
241.17,48.8127777778,56.8376666667,50.3323333333,43.2098888889,39.9334444444,43.6846666667,56.1728888889,45.9163333333,48.9554444445,45.9638888889
241.54,44.6108888889,53.0171111111,44.0697777778,37.2866666667,35.5387777778,41.4481111111,52.1847777778,44.2781111111,44.6943333333,43.2791111111
241.92,41.6577777778,48.3246666667,41.4813333333,34.8854444444,33.0158888889,36.8254444444,47.4073333333,40.7054444444,41.2697777778,39.6473333333
242.29,39.3575555556,48.293,40.2945555556,33.8353333333,32.4967777778,36.4122222222,46.9545555555,40.9973333333,40.6626666667,40.5622222222
242.67,34.2838888889,42.8383333333,36.185,30.1212222222,29.1378888889,32.6778888889,43.0351111111,35.6276666667,35.8243333333,37.037
243.05,34.3435555555,41.5007777778,35.3246666667,30.0434444444,29.5815555556,32.2944444445,42.1644444444,36.3057777778,34.5165555556,35.7286666667
243.42,33.6083333333,39.879,33.6358888889,29.263,28.1904444444,30.0604444444,40.5938888889,35.4236666667,32.9483333333,34.406
243.80,35.2275555555,39.5248888889,33.7573333333,29.7992222222,28.0182222222,30.4495555556,40.26,35.482,33.7855555556,33.107
244.17,35.7061111111,40.4243333334,32.8866666667,30.6252222222,29.2573333333,28.5596666667,41.7363333333,34.9526666667,33.1937777778,33.808
244.55,34.7021111111,39.9892222222,31.6962222222,31.2935555556,28.3951111111,29.8982222222,40.7677777778,32.9844444445,32.5014444445,32.6355555555
244.92,30.9795555556,36.3197777778,27.8157777778,28.1701111111,25.1578888889,27.6133333334,36.4717777778,31.2072222222,28.8785555555,29.5367777778
245.30,28.4865555555,34.0192222222,26.3374444444,27.2061111111,23.5484444444,27.4347777778,34.568,29.904,28.578,29.6296666667
245.67,26.2605555556,32.0828888889,24.9076666667,26.4043333333,22.9192222222,26.6708888889,32.4517777778,28.3928888889,27.4906666667,29.2946666667
246.05,21.9576666667,28.6091111111,21.5231111111,22.6001111111,19.5201111111,24.5276666666,29.6673333333,24.1117777778,24.282,26.8518888889
246.42,19.4182222222,26.0075555556,19.8387777778,20.2594444445,17.3326666666,22.5725555556,26.8313333334,21.7137777778,21.7664444444,24.6055555555
246.79,20.1227777778,26.6311111111,20.5911111111,21.7861111111,19.073,23.5624444445,27.148,23.8372222222,22.8198888889,25.9043333333
247.17,17.6442222222,25.0775555555,18.6684444444,19.4134444444,17.2873333333,21.617,25.4656666667,22.362,21.0427777778,24.5654444444
247.54,16.3443333333,23.9615555556,17.7836666667,18.8483333333,17.094,20.6927777778,24.4714444444,21.8472222222,20.6625555556,23.7516666667
247.92,15.7941111111,24.0812222222,17.355,17.8801111111,16.6312222222,19.6536666667,23.9394444444,21.2148888889,20.0653333333,23.8114444444
248.29,16.6101111111,24.4358888889,17.8371111111,18.4996666667,17.6677777778,21.63,24.5205555556,22.1797777778,21.348,24.027
248.67,16.7175555556,24.7572222222,17.5431111111,17.8474444445,17.5865555555,21.0488888889,24.2358888889,22.2801111111,20.8171111111,23.4682222222
249.04,19.6491111111,27.6168888889,20.0585555556,21.111,20.8627777778,24.7515555556,27.8801111111,25.3655555556,24.7222222222,26.272
249.42,21.4062222222,29.2686666667,21.3118888889,22.6773333333,22.3476666667,25.5021111111,29.0334444444,27.056,26.0986666667,27.8718888889
249.79,21.9284444444,29.9637777778,21.6346666667,22.5333333333,22.5504444445,26.1274444444,29.4972222222,27.2162222222,26.5075555556,27.2853333334
250.17,22.7053333333,31.3078888889,22.4823333333,23.7643333333,24.3775555556,27.406,29.8772222222,29.7657777778,27.5177777778,28.3352222222
250.54,24.5965555555,32.4406666667,23.8177777778,25.3561111111,25.6218888889,29.2875555556,31.6048888889,31.833,29.5346666667,29.155
250.92,26.2752222222,33.8868888889,24.6934444444,26.5717777778,25.7808888889,30.2886666667,33.2147777778,33.8078888889,31.0203333334,30.2094444445
251.29,25.2447777778,32.3118888889,23.8691111111,26.0786666667,24.7655555555,29.6851111111,31.999,32.2908888889,30.686,29.3933333333
251.66,26.3915555555,34.0105555555,25.1216666667,27.5767777778,25.5662222222,31.7883333333,32.4867777778,33.4813333333,31.1322222222,31.0687777778
