wavelength,Back_DigCaef,Belly_DigCaef,Breast_DigCaef,Crissum_DigCaef,Crown_DigCaef,DorTail_DigCaef,Rump_DigCaef,Throat_DigCaef,WingTip_DigCaef
768.51,7.07808333333,30.0654166666,19.1321666667,23.6730833333,6.16375,7.52641666666,6.57158333333,17.5095,11.83875
768.82,7.37325,30.2783333333,19.4596666667,23.6310833333,6.45441666666,7.62575,6.73483333334,17.5120833333,12.0635833333
769.13,7.52575,30.2754166667,19.3884166667,23.674,6.52666666667,8.09975,6.88149999999,17.6190833333,12.1055833334
769.44,6.62966666667,29.4135,18.48425,22.7648333334,5.63775,7.22766666666,5.83716666666,16.8565,11.17125
769.76,6.19675,29.07475,17.6430833333,22.08525,5.07033333333,7.05741666667,5.36058333333,16.40075,10.6246666667
770.07,6.14083333333,29.2725,17.5711666667,22.178,5.12808333333,7.29133333333,5.27058333333,16.6271666667,10.57525
770.38,6.40183333333,29.8188333333,17.9808333333,22.5109166666,5.50083333333,7.6565,5.73475,17.06,10.7775833333
770.69,6.42833333333,29.96075,18.0135,22.4618333334,5.4885,7.56933333333,5.78016666667,17.08875,10.8313333333
771.00,6.59483333333,29.7099166667,18.0363333333,22.52875,5.66508333333,7.71691666666,6.0845,17.0305833333,11.0926666667
771.32,7.01374999999,29.7756666667,18.0725,22.78725,5.91758333333,8.21666666667,6.49108333334,17.2756666667,11.60175
771.63,7.08458333334,29.8398333333,18.1373333333,23.0649166667,6.04225,8.19416666666,6.66158333333,17.58,11.78525
771.94,6.74025,29.6056666667,17.58675,22.68675,5.56258333333,7.4815,6.47216666667,17.3134166667,11.388
772.25,6.96675,29.9298333333,17.5120833333,23.3246666666,5.802,7.69508333333,6.70066666666,17.576,11.3595
772.56,6.72383333333,29.8875833333,17.4659166667,23.27175,5.62758333333,7.33416666667,6.70775,17.5630833333,11.00125
772.87,7.05458333333,30.3169166667,17.694,23.6010833333,5.97808333334,7.694,7.45366666666,17.87975,11.5465
773.18,6.83833333333,30.3593333333,17.8266666666,23.4938333334,6.18416666667,7.56916666666,7.51983333333,17.6285833333,11.538
773.50,6.35491666667,29.4815833333,17.19175,22.6126666667,5.29391666667,6.9185,7.09541666667,16.744,11.157
773.81,6.05458333333,29.0625,16.7341666667,22.2316666667,4.62533333333,6.64533333333,6.63416666667,16.31225,10.9891666667
774.12,5.18625,28.06175,15.84875,21.3985833333,3.86833333334,5.99841666667,6.1065,15.3715,10.3328333333
774.43,5.29833333333,28.10925,15.9350833334,21.5935,4.15525,6.15566666666,6.13283333333,15.5005833334,10.328
774.74,4.53316666667,27.5140833333,15.3864166667,21.0951666667,3.48566666667,5.28966666667,5.28966666667,14.8219166667,9.75325
775.05,4.446,27.123,14.86125,20.8245,3.05225,5.09283333334,4.83983333334,14.0024166666,9.4155
775.36,4.757,27.55975,15.3575833333,21.19575,3.39533333333,5.838,5.20125,14.2238333333,10.0865833333
775.67,3.18058333333,26.2379166667,14.0488333333,19.5748333333,1.52225,4.50125,4.00375,13.0241666667,8.87233333334
775.98,2.58475,25.7156666667,13.6030833333,18.849,1.00541666667,4.19333333333,3.15233333333,12.1421666667,8.45741666667
776.30,2.75616666667,25.7405,13.9163333333,18.9938333333,1.28116666667,4.5135,3.28508333333,12.3179166667,8.53316666667
776.61,2.82133333333,25.4750833333,13.869,19.3039166667,1.00975,4.44283333333,3.15983333333,12.6931666667,8.48783333334
776.92,3.25991666667,26.0423333333,14.67825,20.0409166667,1.57858333334,4.66366666666,3.6575,13.3164166667,8.88783333333
777.23,3.72708333333,26.09575,15.14325,20.2973333333,2.08941666667,5.06383333333,3.78733333334,13.331,9.18841666667
777.54,4.33108333334,26.6751666667,15.7103333333,20.9125,2.48533333333,5.37275,3.95358333334,13.7731666667,9.54558333334
777.85,3.387,26.1415,15.1136666667,20.2096666667,1.19141666667,4.3725,2.80691666667,12.8991666667,8.68258333333
778.16,3.26383333333,26.2059166667,15.0063333333,20.14525,1.16158333333,4.21091666666,2.89141666667,12.8976666667,8.33333333334
778.47,2.99108333333,26.1028333333,14.943,19.8478333333,1.15966666667,3.87208333333,2.70583333334,13.04825,8.08616666667
778.78,3.03083333333,26.1903333333,15.3088333333,19.8134166667,1.26116666667,3.93825,2.85725,13.2818333334,7.99216666667
779.09,4.15383333333,27.3956666667,16.40275,20.9234166667,2.52458333333,5.24216666666,4.18591666667,14.39325,9.20275
779.40,4.62158333333,27.8475833333,17.0200833334,21.6483333333,2.96541666666,5.53816666667,5.00791666667,15.3441666667,9.88483333333
779.71,3.98558333333,27.2075,16.21725,21.323,2.0195,4.89133333333,4.30091666667,14.6469166667,9.21216666667
780.02,3.69466666667,27.0899166667,15.8239166666,20.8671666667,1.69891666667,4.90833333333,3.98458333333,13.8619166666,9.07491666668
780.33,4.48733333334,27.5034166667,16.0324166667,21.3833333333,2.40216666667,5.88391666667,4.56133333333,13.9069166666,9.55466666666
780.64,4.493,27.9025,15.9461666667,21.377,2.53541666667,5.77075,4.56766666667,14.2469166667,9.43450000002
780.95,4.07775,27.1960833333,15.36675,20.8745,1.77883333333,5.29566666667,3.79033333333,13.9298333333,8.66850000001
781.26,4.65158333333,27.5479166667,15.4371666667,21.1203333334,2.28825,5.683,4.43291666667,14.5424166667,9.13258333334
781.57,4.82175,27.46925,15.7819166667,21.0083333333,2.38,5.79583333333,4.47183333334,14.69125,9.52683333333
781.88,5.035,27.9060833333,16.1205833333,21.5615833334,2.507,6.43566666666,4.82483333333,14.867,10.0279166667
782.19,5.04208333333,27.8711666667,15.60925,21.5545833333,2.71008333334,6.51258333333,4.85291666667,14.6359166667,10.0770833333
782.50,4.94033333333,27.385,15.1618333333,21.2308333333,2.63358333333,5.92708333333,3.99641666667,14.2744166667,9.69624999999
782.81,5.90883333334,27.9331666666,15.6135,21.7415,3.68241666667,6.64408333333,5.10325,14.9985833334,10.5385833334
783.12,6.091,28.68475,15.9810833333,21.5436666667,3.92741666667,6.73383333333,5.40566666667,15.0528333333,10.91125
783.43,6.17766666667,29.12325,16.31225,21.4555,4.0075,6.85041666667,5.60616666667,15.2850833333,10.7784166667
783.74,6.08191666666,29.2325,16.06,21.2573333333,3.94725,6.50591666667,5.4825,15.3801666667,10.6066666666
784.05,6.07891666666,29.47175,16.079,21.65925,4.003,6.65925,5.84833333333,15.7290833333,10.72925
784.36,6.14308333333,29.7861666667,16.3274166667,21.66675,4.36583333333,7.02066666667,6.48966666667,15.8850833333,11.0840833333
784.67,5.14833333333,29.1291666667,15.9921666667,21.1631666667,3.88175,6.10758333333,6.10766666667,14.928,10.4391666667
784.98,4.87591666667,29.1741666666,15.4571666667,20.9005,3.58416666666,5.787,5.77941666667,14.62075,10.1106666667
785.29,4.48841666667,29.1890833333,15.25275,20.6388333333,3.11933333333,5.11675,5.29608333333,14.37,9.84441666668
785.60,4.46775,29.2596666666,15.6259166667,20.93375,3.1445,5.35983333333,5.24825,14.7635833333,10.09525
785.91,4.0275,29.035,15.4145833333,20.4451666667,2.59225,4.9575,5.02341666667,14.1329166667,9.732
786.22,4.33775,29.14125,15.4729166667,20.48025,2.25625,5.04358333333,4.60691666667,13.9300833333,9.41041666666
786.53,5.03733333333,29.2530833333,16.14875,21.60325,2.82091666667,5.67783333333,5.08791666667,14.8460833333,10.0533333334
786.84,5.59075,29.2935833333,16.4199166666,22.2433333333,3.24316666667,5.99258333333,5.5555,15.186,10.4201666667
787.14,4.53708333333,28.2998333333,15.70175,21.1338333333,2.39783333333,4.98458333333,4.60708333333,14.3316666667,9.50091666666
787.45,4.09166666667,27.6570833334,15.3824166667,20.5055833333,1.98766666667,4.4125,4.112,13.5040833333,9.35774999999
787.76,4.6235,28.0551666667,15.7869166666,20.9766666667,2.56408333333,4.71216666667,4.37808333333,13.7205833333,9.91541666666
788.07,5.38866666667,28.757,16.42975,21.886,3.20208333333,5.51033333333,4.82,14.6629166667,10.5536666667
788.38,4.95075,28.2734166667,16.2725833333,21.835,2.72325,5.21575,4.50258333333,14.3709166667,10.0310833333
788.69,4.84925,27.798,15.8529166667,21.5698333334,2.70383333333,5.05125,4.27091666667,14.1578333334,9.57083333333
789.00,4.67516666667,27.4706666667,15.06975,20.9595,2.06808333333,4.23141666666,3.69225,13.7591666667,8.90674999999
789.31,5.23508333333,27.9320833334,15.7745833333,21.4798333333,2.64866666667,4.7995,4.426,14.4675,9.34991666667
789.62,5.15066666667,27.9103333333,15.8014166667,21.4125833333,2.59625,4.5435,4.57158333334,14.4263333333,9.40116666667
789.92,4.31966666667,27.4410833333,15.07975,20.5380833333,2.01408333333,3.6935,3.8855,13.514,8.20524999999
790.23,3.28083333333,26.1884166666,14.1295,19.2841666667,1.19575,2.661,3.07675,12.4743333333,7.01375000001
790.54,3.68708333333,26.8065,14.6671666667,19.91525,1.57591666667,3.12958333333,3.69458333333,12.9720833333,7.21083333334
790.85,3.59133333333,26.9030833334,14.6025833334,19.9048333334,1.24316666667,3.00041666667,3.59108333333,12.9680833333,6.93683333333
791.16,2.7595,26.25,13.8128333333,19.5125,0.393166666667,2.09908333333,2.86941666667,12.3663333333,6.21066666667
791.47,1.505,25.32025,12.55225,18.1716666667,-0.776499999999,1.33683333333,1.42491666667,10.9429166667,4.875
791.78,1.78283333333,26.11225,13.1173333333,18.5885833334,0.130833333333,1.92191666667,1.7745,11.4164166667,5.29116666667
792.08,2.01066666667,26.4623333333,13.5760833333,18.6109166667,0.349083333334,2.21016666667,2.16858333333,11.4738333333,5.61641666666
792.39,1.91025,26.193,14.1809166667,18.5604166667,0.483666666667,2.46908333333,2.319,11.07775,5.96425
792.70,1.49775,25.8366666667,13.8639166667,18.2229166667,0.225833333335,2.1,1.84066666667,10.7513333333,6.14958333334
793.01,-0.0419166666665,24.2705833334,12.3405,16.499,-1.14008333333,0.80483333333,0.0669166666675,9.30583333334,5.11416666667
793.32,0.635916666667,25.0083333333,13.0271666667,16.87575,-0.803083333335,1.58966666666,0.184083333334,10.15725,6.48425
793.62,1.13291666667,26.1749166667,13.9225,17.6905,-0.352499999998,2.1735,0.587416666667,11.2705,7.61166666667
793.93,0.925916666667,26.1280833333,13.8721666667,17.6851666667,-0.791250000001,1.8855,-0.0589166666675,11.2120833333,8.03025
794.24,1.17,26.4648333334,14.1835833333,18.1985833333,-0.336750000001,1.99491666667,0.00850000000075,11.5993333333,8.90558333334
