wavelength,Back_TanChrf,Belly_TanChrf,Breast_TanChrf,Crissum_TanChrf,Crown_TanChrf,DorTail_TanChrf,Patch10_TanChrf,Patch11_TanChrf,Patch12_TanChrf,Patch13_TanChrf,Rump_TanChrf,Throat_TanChrf,WingTip_TanChrf
407.19,3.26033333333,6.11525,11.9715,4.882,3.27675,4.0855,7.411,4.01441666666,4.70166666666,1.82983333333,14.0055833333,9.36866666668,5.64975
407.55,3.24416666667,6.12391666667,11.9670833334,4.88358333334,3.25191666667,4.07183333334,7.42108333333,4.04341666667,4.6925,1.82066666666,14.0353333333,9.38275000001,5.64141666667
407.90,3.22225,6.11458333334,11.9963333333,4.85475,3.2255,4.07083333333,7.41908333333,4.03608333333,4.67158333333,1.78116666667,14.07525,9.40991666665,5.65891666667
408.26,3.10416666667,5.97583333333,11.9386666667,4.75216666666,3.1095,3.96991666667,7.309125,3.94608333333,4.54,1.64875,14.0405833333,9.35433333333,5.5255
408.62,3.02083333333,5.91875,11.8919166666,4.68233333334,3.02658333334,3.8975,7.253625,3.911,4.4605,1.55025,14.0288333334,9.32041666667,5.47133333333
408.98,2.96175,5.88583333333,11.8913333333,4.65083333333,2.97466666667,3.84866666667,7.22004166667,3.87066666667,4.43091666667,1.49116666667,14.0623333333,9.30508333334,5.43033333333
409.34,2.94425,5.88983333333,11.9398333333,4.65533333333,2.97408333333,3.85258333333,7.25316666666,3.89233333333,4.43358333334,1.47175,14.1239166667,9.35433333333,5.42783333333
409.70,2.97433333333,5.9435,12.0264166667,4.68316666667,2.97941666667,3.88941666667,7.29558333333,3.94208333333,4.45358333333,1.50091666667,14.1864166667,9.42025,5.44991666667
410.06,3.03791666666,6.03733333333,12.1375833333,4.74766666667,3.03558333333,3.95741666666,7.387125,4.04258333333,4.54358333333,1.5595,14.343,9.51833333335,5.51541666667
410.42,3.1015,6.07516666667,12.2179166667,4.7895,3.08825,3.97525,7.45,4.12408333333,4.60391666667,1.621,14.4484166667,9.60575000001,5.53708333333
410.77,3.08808333333,6.101,12.2684166667,4.78725,3.07708333333,3.95433333334,7.485875,4.14633333333,4.60983333333,1.60283333333,14.49275,9.63574999999,5.55275
411.13,3.07983333333,6.06858333333,12.29325,4.77391666667,3.05533333333,3.94291666667,7.49083333333,4.15558333333,4.59083333333,1.58641666667,14.50225,9.63841666667,5.51833333333
411.49,3.10183333333,6.10641666666,12.3874166667,4.81566666667,3.0935,3.998,7.56408333333,4.21166666667,4.62375,1.61383333333,14.6268333333,9.72016666668,5.5285
411.85,3.13625,6.13691666667,12.44275,4.86633333333,3.12741666666,4.01158333334,7.62625,4.28025,4.66691666667,1.66041666667,14.66825,9.76741666668,5.5305
412.21,3.20216666667,6.2435,12.57725,4.96558333333,3.19891666667,4.07541666667,7.758875,4.39358333334,4.75333333334,1.76025,14.804,9.88816666667,5.6335
412.57,3.28283333333,6.33958333333,12.71025,5.04016666667,3.26991666666,4.15358333333,7.87325,4.50883333333,4.86191666667,1.83275,14.9555833333,9.99316666668,5.71975
412.92,3.31516666667,6.36733333333,12.7986666667,5.06575,3.2955,4.18641666667,7.932625,4.59866666667,4.88775,1.87666666667,15.0221666667,10.03175,5.72791666667
413.28,3.2915,6.37616666667,12.8169166667,5.01991666667,3.25433333333,4.17566666667,7.95879166667,4.624,4.86458333334,1.86466666667,15.0756666667,10.0438333333,5.69791666666
413.64,3.28475,6.36825,12.8688333334,5.00508333333,3.25108333333,4.15508333333,8.01608333334,4.665,4.8875,1.86383333333,15.1590833333,10.09025,5.70966666667
414.00,3.1975,6.28333333333,12.83775,4.91816666666,3.161,4.05683333333,7.96220833333,4.6065,4.78325,1.76575,15.1419166667,10.0460833333,5.63183333333
414.36,3.156,6.28858333333,12.8896666667,4.92366666667,3.12491666667,4.04658333333,7.97029166667,4.62766666667,4.745,1.72941666667,15.1981666667,10.0650833333,5.63041666666
414.72,3.18241666667,6.31125,12.96,4.96916666667,3.13516666667,4.07258333333,8.00275,4.69283333333,4.75783333334,1.74641666667,15.3173333333,10.12275,5.62566666667
415.07,3.18358333334,6.34391666666,13.0363333333,4.98783333334,3.1405,4.07416666667,8.04741666667,4.74591666667,4.78058333333,1.74983333333,15.4009166667,10.1965,5.66991666667
415.43,3.17108333333,6.35133333333,13.088,4.9775,3.14991666667,4.03516666667,8.078,4.783,4.76983333333,1.7565,15.4568333333,10.2199166667,5.68033333333
415.79,3.17675,6.38933333333,13.1815,4.98375,3.17783333334,4.041,8.12491666667,4.83275,4.7875,1.7635,15.6054166667,10.2785,5.707
416.15,3.2025,6.41408333334,13.2446666666,4.99175,3.18841666667,4.05225,8.15008333333,4.89691666667,4.79025,1.7785,15.6583333333,10.3250833333,5.69258333333
416.51,3.1535,6.35166666667,13.2650833333,4.95575,3.15175,3.98075,8.16104166666,4.87566666666,4.73666666667,1.71683333333,15.6788333333,10.3349166667,5.63541666667
416.86,3.15758333333,6.39125,13.32625,4.95933333333,3.15475,3.9805,8.21266666667,4.90941666667,4.73591666667,1.71583333333,15.7548333333,10.3705,5.643
417.22,3.16908333333,6.3935,13.371,4.98825,3.17158333334,3.96841666667,8.23820833333,4.95191666667,4.73591666667,1.71841666667,15.79525,10.4028333333,5.64133333333
417.58,3.18225,6.41491666667,13.4001666667,4.99883333333,3.17941666667,3.97833333333,8.25587499999,4.98791666667,4.72083333333,1.72766666667,15.8266666667,10.41075,5.61366666667
417.94,3.17875,6.42558333333,13.4309166667,5.01841666666,3.18391666667,3.9725,8.29716666666,5.03833333333,4.71491666667,1.72666666667,15.86775,10.4450833333,5.60725
418.29,3.19325,6.43675,13.4608333333,5.00916666667,3.19141666667,3.9715,8.33604166667,5.082,4.73966666667,1.73808333333,15.9169166666,10.47925,5.61883333333
418.65,3.17541666666,6.44316666667,13.4805,4.995,3.19308333333,3.94925,8.36054166668,5.09116666666,4.7355,1.7245,15.9485,10.49,5.61358333333
419.01,3.19341666667,6.46316666667,13.5251666667,5.01416666667,3.21133333333,3.95266666667,8.384375,5.13766666667,4.74641666667,1.74166666667,15.9971666667,10.5146666667,5.59325
419.37,3.22158333334,6.48583333334,13.5685833334,5.043,3.21533333333,3.9665,8.42129166667,5.17891666667,4.76708333333,1.751,16.0543333334,10.5585,5.62225
419.73,3.23725,6.51308333333,13.6123333334,5.07433333333,3.21758333333,3.99366666667,8.45658333332,5.22716666667,4.79941666667,1.76808333333,16.0810833333,10.58975,5.63633333333
420.08,3.23375,6.50758333333,13.6184166667,5.06916666666,3.21258333333,3.98541666666,8.48345833333,5.2355,4.80183333333,1.76608333334,16.1063333333,10.5949166667,5.63716666667
420.44,3.25975,6.54458333333,13.6626666667,5.09033333333,3.23358333333,4.01833333333,8.51020833334,5.29025,4.83725,1.79875,16.1570833333,10.6301666667,5.65225
420.80,3.27575,6.54508333334,13.6941666667,5.10641666666,3.24458333334,4.03358333333,8.53479166666,5.33116666667,4.85466666667,1.81041666667,16.2048333333,10.66675,5.67225
421.16,3.27358333333,6.56066666667,13.7404166667,5.118,3.24233333333,4.03933333333,8.565375,5.36108333334,4.85925,1.8065,16.2396666666,10.688,5.64666666667
421.51,3.26833333334,6.55833333333,13.7788333333,5.13116666667,3.24358333334,4.02566666667,8.59191666667,5.38608333333,4.86233333334,1.80333333333,16.2831666667,10.7139166667,5.64808333334
421.87,3.29891666667,6.58916666667,13.8383333334,5.15058333333,3.25475,4.05016666667,8.64241666668,5.42875,4.89058333333,1.82575,16.3540833334,10.7666666667,5.66875
422.23,3.31883333333,6.6155,13.88975,5.18375,3.27058333333,4.07225,8.68075000001,5.46683333333,4.901,1.8445,16.4135,10.8013333333,5.68066666667
422.58,3.33991666667,6.635,13.9421666666,5.20608333334,3.272,4.07941666666,8.71508333334,5.51458333333,4.91133333333,1.85858333333,16.4623333333,10.85025,5.69016666667
422.94,3.33275,6.6495,13.9896666666,5.21666666667,3.26816666667,4.07725,8.75866666667,5.538,4.91166666666,1.85716666667,16.51525,10.8871666667,5.69958333333
423.30,3.33333333334,6.65775,14.0269166667,5.22625,3.27108333334,4.09,8.78183333334,5.57125,4.92141666667,1.86516666667,16.5481666667,10.917,5.6855
423.66,3.33491666667,6.66841666667,14.0586666666,5.22516666667,3.26716666667,4.08666666667,8.82808333333,5.6045,4.91641666667,1.86691666667,16.6079166667,10.94975,5.69358333333
424.01,3.35,6.71908333333,14.1231666667,5.25441666667,3.29333333333,4.1145,8.87079166668,5.67216666667,4.9435,1.88483333333,16.67575,11.01075,5.70916666667
424.37,3.35166666667,6.7265,14.1826666667,5.277,3.29133333333,4.12008333333,8.92200000001,5.71241666667,4.93858333333,1.87958333333,16.7440833333,11.0428333333,5.7175
424.73,3.361,6.75766666667,14.23575,5.30158333333,3.29875,4.1365,8.96337499999,5.75816666667,4.94575,1.89258333333,16.7993333333,11.0835,5.72058333333
425.08,3.37466666667,6.77925,14.28525,5.322,3.31308333333,4.14166666667,9.01495833332,5.80908333333,4.969,1.90875,16.8713333333,11.1311666666,5.76308333334
425.44,3.3675,6.80275,14.3266666667,5.32641666667,3.3145,4.142,9.02754166666,5.83616666667,4.97383333333,1.89816666667,16.9174166666,11.1665,5.77375
425.80,3.38058333333,6.83866666667,14.378,5.35108333333,3.34341666667,4.15875,9.063875,5.87816666666,4.99666666666,1.92191666667,16.9636666667,11.1895,5.78275
426.16,3.39075,6.86266666666,14.4220833333,5.37241666666,3.35741666667,4.163,9.10920833333,5.91433333333,5.00741666666,1.92425,17.0164166667,11.2354166666,5.80933333334
426.51,3.40958333333,6.89425,14.46075,5.3965,3.37775,4.18183333333,9.14833333333,5.96591666667,5.035,1.93,17.0843333333,11.27275,5.82316666667
426.87,3.42266666667,6.92633333333,14.49925,5.40625,3.38783333334,4.2,9.17558333334,6.02125,5.05941666667,1.93366666667,17.1429166667,11.3010833333,5.84183333333
427.23,3.42241666667,6.94616666667,14.53625,5.41391666667,3.38758333333,4.19433333333,9.20041666668,6.06458333333,5.05925,1.9135,17.2071666667,11.321,5.84533333333
427.58,3.40566666667,6.95166666666,14.548,5.40266666667,3.37291666667,4.14983333333,9.18179166668,6.069,5.03141666666,1.8765,17.2236666666,11.3285833333,5.79916666667
427.94,3.3875,6.93683333333,14.5841666667,5.393,3.34608333333,4.10883333334,9.19295833332,6.07158333333,5.02708333333,1.82858333334,17.2770833333,11.34325,5.76991666666
428.30,3.39516666667,6.97391666667,14.63425,5.40825,3.35858333333,4.10358333334,9.20675000001,6.11283333333,5.04725,1.83516666667,17.3389166667,11.3885833333,5.77175
428.65,3.3705,6.97708333333,14.64325,5.39591666667,3.34041666667,4.0665,9.21825,6.11758333333,5.03241666667,1.79925,17.3681666667,11.3984166667,5.72758333333
429.01,3.39341666667,7.0015,14.7079166667,5.41258333333,3.35166666666,4.08208333333,9.24175,6.155,5.04275,1.80825,17.44575,11.4380833333,5.72316666667
429.37,3.39958333333,7.01566666667,14.7523333333,5.41525,3.353,4.0985,9.28329166667,6.20375,5.05758333333,1.81475,17.5205,11.45775,5.72725
429.72,3.40158333333,7.02583333334,14.7986666667,5.43983333333,3.3365,4.10066666667,9.31149999999,6.23975,5.05675,1.79841666667,17.5945833334,11.50075,5.72158333333
430.08,3.3975,7.04683333333,14.8579166667,5.44375,3.33475,4.10241666667,9.34,6.28141666667,5.08783333333,1.78116666667,17.63825,11.5289166667,5.6905
430.44,3.38425,7.07458333333,14.9281666667,5.45883333333,3.33025,4.11841666666,9.38554166666,6.31333333333,5.098,1.79508333333,17.7030833334,11.56025,5.70625
430.79,3.35516666667,7.07583333333,14.9565833333,5.45066666666,3.31066666667,4.08566666667,9.40854166666,6.32383333334,5.07516666666,1.76325,17.75475,11.5604166666,5.66875
431.15,3.33883333334,7.09691666667,15.0355,5.45966666667,3.30333333333,4.08841666667,9.46041666666,6.35641666666,5.08508333333,1.76208333333,17.8215,11.6076666667,5.65733333333
431.50,3.35125,7.14683333333,15.139,5.50458333333,3.33741666667,4.1255,9.53316666667,6.41766666667,5.12291666667,1.7885,17.929,11.6766666667,5.71533333333
431.86,3.36641666666,7.18816666666,15.206,5.53383333333,3.34733333333,4.14325,9.58708333334,6.47666666667,5.13658333334,1.81766666667,18.0116666667,11.7151666666,5.74833333333
432.22,3.3585,7.20091666666,15.2253333334,5.54983333333,3.34358333333,4.14783333333,9.61320833334,6.51133333334,5.14508333333,1.8265,18.0543333334,11.752,5.74641666666
432.57,3.36808333333,7.21191666667,15.2755,5.5695,3.35158333333,4.1505,9.66816666667,6.55225,5.17425,1.83958333333,18.123,11.7903333333,5.76941666667
432.93,3.35016666666,7.22125,15.2963333333,5.57925,3.34391666667,4.14683333334,9.70341666665,6.58133333333,5.18058333333,1.83508333333,18.1558333333,11.8175833333,5.77241666667
