wavelength,Back_TanIctf,Belly_TanIctf,Breast_TanIctf,Crissum_TanIctf,Crown_TanIctf,DorTail_TanIctf,Patch10_TanIctf,Patch11_TanIctf,Rump_TanIctf,Throat_TanIctf,WingTip_TanIctf
333.91,5.73111111111,13.027,8.63266666666,11.0302222222,4.03372222222,7.23466666667,5.83955555556,5.77277777778,5.51111111111,9.44844444446,8.17877777778
334.28,5.488,12.8854444445,8.49755555556,10.8552222222,3.82516666666,7.06177777778,5.66966666667,5.60644444444,5.28466666666,9.19933333335,7.90066666667
334.64,5.27633333333,12.8362222222,8.38577777778,10.8112222222,3.73638888889,6.87588888889,5.48066666666,5.50788888889,5.22711111111,8.94166666665,7.84066666667
335.01,5.34322222222,13.0488888889,8.47988888889,10.7268888889,3.74694444444,6.91822222222,5.57433333333,5.63355555556,5.292,9.00133333332,7.94233333333
335.38,5.05922222222,12.972,8.35044444444,10.5271111111,3.58211111111,6.80333333333,5.45733333333,5.53433333333,5.16811111111,8.96899999999,7.84377777778
335.74,4.85955555556,12.7623333333,8.16222222222,10.4191111111,3.41133333333,6.676,5.32611111111,5.29755555555,4.97233333333,8.75722222222,7.66688888889
336.11,4.92255555556,12.635,8.05288888889,10.4122222222,3.34322222222,6.52644444444,5.19322222222,5.10288888889,4.89922222222,8.72333333332,7.545
336.47,4.98055555556,12.5902222222,8.051,10.4505555556,3.29627777778,6.29133333333,5.06211111111,4.98055555556,4.81222222222,8.811,7.39822222222
336.84,5.202,12.7687777778,8.28366666667,10.6128888889,3.50033333333,6.38688888889,5.19955555556,5.109,4.99088888889,9.07600000001,7.48122222222
337.21,5.426,13.1032222222,8.52133333333,10.8471111111,3.83372222222,6.63877777778,5.43111111111,5.441,5.27655555556,9.29344444446,7.57988888889
337.57,5.35766666667,12.9373333333,8.43722222222,10.8715555556,3.75422222222,6.549,5.45922222222,5.43211111111,5.21944444444,9.26244444446,7.597
337.94,5.27455555556,12.8643333333,8.393,11.0253333333,3.86011111111,6.54877777778,5.38988888889,5.47833333334,5.26944444445,9.32833333333,7.56066666667
