wavelength,Back_SpoNicf,Belly_SpoNicf,Breast_SpoNicf,Crissum_SpoNicf,Crown_SpoNicf,DorTail_SpoNicf,Rump_SpoNicf,Throat_SpoNicf,WingTip_SpoNicf
406.47,7.3432,19.7312666667,9.852,9.85206666669,5.28786666667,7.68773333333,7.55706666667,10.295,9.11706666667
406.83,7.32806666667,19.7240666667,9.87746666666,9.8762,5.29666666667,7.6644,7.56033333333,10.3086666667,9.12066666666
407.19,7.3376,19.7794666667,9.92380000001,9.91380000001,5.3384,7.69273333333,7.61546666667,10.3596,9.18246666667
407.55,7.3478,19.7974,9.93680000001,9.98993333333,5.37973333333,7.7242,7.64913333333,10.3957333333,9.2124
407.90,7.3438,19.8226,9.96926666667,10.0118666667,5.3734,7.70573333333,7.65986666667,10.4224,9.21086666666
408.26,7.3836,19.8880666667,10.0337333333,10.0667333333,5.42913333333,7.80266666667,7.72533333333,10.4973333333,9.28353333334
408.62,7.4096,19.9222,10.0804666667,10.0826,5.47166666667,7.8584,7.75146666667,10.5439333333,9.33293333335
408.98,7.53506666667,20.0766666667,10.1861333333,10.1833333333,5.59286666667,7.9886,7.8864,10.6444666667,9.44579999999
409.34,7.6158,20.1731333333,10.2954,10.2574,5.6888,8.06326666667,7.979,10.7410666667,9.53846666667
409.70,7.57073333333,20.1928,10.277,10.2208,5.6486,8.01613333333,7.94286666667,10.7130666667,9.50906666667
410.06,7.66306666667,20.3238666667,10.4,10.2785333334,5.77946666667,8.12886666666,8.03413333333,10.7857333333,9.63413333332
410.42,7.6012,20.2586666667,10.3468,10.19,5.72426666667,8.0706,7.9578,10.7759333333,9.5722
410.77,7.66726666667,20.3309333333,10.4090666667,10.2534,5.765,8.13393333333,7.99786666667,10.8299333333,9.58519999999
411.13,7.718,20.3577333334,10.4274666667,10.2908666667,5.8006,8.1462,8.00766666667,10.8561333333,9.60133333334
411.49,7.75693333333,20.4033333333,10.471,10.2674,5.81913333333,8.14413333333,8.00953333333,10.8804666667,9.61833333334
411.85,7.7938,20.4473333333,10.5329333333,10.2992,5.88213333333,8.2146,8.06193333333,10.9408666667,9.65526666667
412.21,7.6998,20.4024,10.447,10.1937333333,5.79673333333,8.0912,7.97906666666,10.8639333334,9.56093333334
412.57,7.7056,20.3949333333,10.4708,10.2240666667,5.78426666667,8.1044,7.996,10.8873333333,9.57633333333
412.92,7.6972,20.3675333333,10.4626,10.2307333333,5.7648,8.07106666667,7.9834,10.8704,9.52633333333
413.28,7.65273333333,20.3025333333,10.4117333333,10.1994,5.7118,8.006,7.92126666667,10.8036,9.48473333332
413.64,7.69733333333,20.3292666667,10.4342666667,10.2626,5.78113333333,8.02906666667,7.96886666667,10.8700666667,9.52059999999
414.00,7.62493333333,20.2618666667,10.3733333333,10.2148666667,5.69366666667,7.95106666667,7.92626666667,10.8076666666,9.43139999999
414.36,7.64526666667,20.2714,10.3565333333,10.2254666667,5.688,7.9668,7.9454,10.7866666667,9.41353333332
414.72,7.59713333333,20.2267333333,10.3002666667,10.1843333334,5.64906666667,7.933,7.92926666667,10.7306,9.40433333333
415.07,7.5804,20.2034,10.2840666667,10.1530666667,5.616,7.92773333333,7.89993333333,10.7063333333,9.39780000001
415.43,7.58373333333,20.1945333334,10.2934666667,10.1949333333,5.63706666667,7.95526666667,7.93186666667,10.7136666667,9.42486666666
415.79,7.56346666667,20.1731333333,10.2681333333,10.2029333333,5.58546666667,7.9352,7.91,10.6824,9.42233333335
416.15,7.6506,20.2228666667,10.3579333333,10.2879333333,5.6602,8.0152,7.97953333333,10.7539333333,9.51386666668
416.51,7.65313333333,20.2364666667,10.3328,10.2786666667,5.6428,8.00386666667,7.94213333333,10.7128,9.50079999999
