wavelength,Back_PooNigf,Belly_PooNigf,Breast_PooNigf,Crissum_PooNigf,Crown_PooNigf,DorTail_PooNigf,Patch10_PooNigf,Rump_PooNigf,Throat_PooNigf,WingTip_PooNigf
587.73,13.2208666667,42.5149333333,20.6574666667,31.4587333333,12.7544666667,9.37520000001,29.8632666667,15.5889333333,26.4409666667,12.1527333333
588.07,13.1779333333,42.4822666667,20.6729333333,31.4724666667,12.6875,9.29673333333,29.7825333333,15.5292888889,26.4158666667,12.0731333333
588.41,13.0788666667,42.3843333333,20.6210666667,31.4424,12.6045333333,9.2108,29.6805333333,15.4569333333,26.3404666667,11.9982
588.74,13.0870666667,42.3490666667,20.6660666667,31.4480666667,12.6118,9.19866666666,29.6868666667,15.4789777778,26.3315666667,11.9902666667
589.08,13.1334,42.4707333333,20.7477333333,31.5784,12.6520666667,9.23606666667,29.7892666667,15.5494,26.4383333333,12.0210666667
589.42,13.1203333333,42.4596666667,20.7680666667,31.5654666667,12.6390666667,9.21766666667,29.7724,15.5208444444,26.4408,12.0576666667
589.76,13.1179333333,42.5003333333,20.7890666667,31.5614666667,12.6382333333,9.20346666666,29.7698,15.531,26.4765333333,12.0228
590.09,13.0982,42.4981333333,20.8208666667,31.6074666667,12.6873333333,9.17619999999,29.7713333333,15.5228444444,26.5170333333,11.9892
590.43,13.0412,42.4932666667,20.8524666667,31.5842666667,12.6793,9.14133333334,29.7488,15.4940666667,26.4903666667,11.9537333333
590.77,13.0704666667,42.4566,20.9174,31.6084666667,12.7358,9.1958,29.7825333333,15.5369111111,26.5287333333,11.9867333333
591.11,13.107,42.5006,20.9636,31.6533333333,12.7417333333,9.20080000001,29.8194666667,15.5296,26.583,12.0154
591.44,13.1499333333,42.511,21.0801333333,31.6806,12.7629,9.2472,29.8402666667,15.5847555556,26.6336333333,12.0579333334
591.78,13.2869333333,42.5454666667,21.2014,31.7102666667,12.8950333333,9.39553333333,29.9564666667,15.6895111111,26.7497333333,12.1736
592.12,13.3466666667,42.5856,21.2998666667,31.7460666667,12.9597666667,9.47473333333,30.0534666667,15.735,26.8307,12.2140666667
592.46,13.3328666667,42.5787333333,21.3254666667,31.7842666667,12.9334666667,9.45726666667,30.0495333333,15.7032888889,26.8570666667,12.2034
592.79,13.3854,42.6054666667,21.4041333334,31.8379333333,13.0037333333,9.49166666668,30.0726,15.7547555556,26.9376,12.2522666666
593.13,13.406,42.5696,21.468,31.8677333333,13.0284333333,9.51446666668,30.0849333333,15.7508888889,26.9797333334,12.2656
593.47,13.3985333333,42.5265333333,21.4853333333,31.8816666667,13.0275666667,9.5158,30.0468,15.7122666667,26.9760666667,12.2788
593.80,13.5234,42.6231333333,21.6280666667,31.9682666667,13.1012,9.65033333333,30.1304,15.8185555556,27.1212333333,12.4084
594.14,13.5099333333,42.6769333333,21.6439333333,32.0006666667,13.0445666667,9.61066666667,30.1104,15.7787555556,27.1756666667,12.3898666667
594.48,13.4743333333,42.7258666667,21.6958,31.9985333334,12.9749666667,9.56626666667,30.0995333333,15.7453333333,27.1897666667,12.3689333333
594.81,13.4743333333,42.7656,21.7738666667,32.0826,12.9802,9.56846666667,30.1193333333,15.7927555556,27.2795333333,12.4043333333
595.15,13.4692,42.7872666667,21.8186666667,32.1296,12.9996,9.55513333333,30.1454666667,15.7984444445,27.3467,12.4214
595.49,13.398,42.9284666667,21.8471333333,32.2215333333,12.9430333333,9.5076,30.1715333333,15.7534666667,27.3898,12.3728666667
595.82,13.457,43.0044,21.9436,32.3269333333,12.9965666667,9.55213333332,30.1952666667,15.7930888889,27.4844,12.4274666666
596.16,13.4764666667,43.0279333333,22.0108666667,32.3423333333,13.0042,9.57380000001,30.1862,15.7876222222,27.5374333333,12.4450666667
596.50,13.4232,43.0013333333,21.9822,32.2824,12.9307,9.50966666667,30.1241333333,15.6995333333,27.4902,12.3569333333
596.83,13.3779333333,42.9943333333,21.9772666667,32.2830666667,12.8966333333,9.4698,30.0984,15.6849333333,27.5029,12.3295333333
597.17,13.3578666667,43.002,21.9838,32.302,12.8630333333,9.42520000001,30.1086,15.6730222222,27.5230333333,12.3158
597.51,13.2984666667,42.9282666667,21.9708,32.2232,12.8212333333,9.35900000001,30.0544666667,15.6175777778,27.4348666667,12.2562
597.84,13.3091333333,42.9066,22.0048,32.2299333333,12.8379666667,9.39246666667,30.0625333333,15.6459777778,27.4497666667,12.2971333333
598.18,13.3158,42.8510666667,22.0120666667,32.2311333333,12.8477333333,9.37853333333,30.0114,15.6528,27.4397666667,12.2994
598.52,13.3664666667,42.8638,22.0328,32.2348666667,12.8839666667,9.39986666667,30.0246,15.6444444445,27.4318333333,12.2997333333
598.85,13.2823333333,42.8514666667,21.9992666667,32.1876,12.759,9.28233333334,29.9723333333,15.5389777778,27.3728333333,12.1834666667
599.19,13.2184666667,42.7482666667,21.9406666667,32.0846666667,12.6690333333,9.19346666667,29.8680666667,15.4838666667,27.3160333333,12.1087333333
599.53,13.1986666667,42.6914666667,21.9413333333,32.0748666667,12.6486,9.16706666666,29.8462666667,15.4482888889,27.3022666667,12.0800666667
599.86,13.267,42.7801333333,22.0766666667,32.2157333333,12.7284333333,9.23553333334,29.9509333333,15.5542888889,27.462,12.1513333333
600.20,13.3818666666,42.9036666667,22.2422,32.3917333333,12.8177333333,9.34113333333,30.0831333333,15.6771555556,27.6176666667,12.2872666667
600.53,13.3866,42.8554,22.2542,32.3726666667,12.8181333333,9.33666666666,30.0947333333,15.6923111111,27.6346333333,12.2422
600.87,13.3718666667,42.8035333333,22.3413333333,32.3852666667,12.8472,9.35266666667,30.1017333334,15.7278888889,27.6914333333,12.2712
601.21,13.3927333333,42.8730666667,22.4066,32.5284666667,12.8671666667,9.3824,30.175,15.7689111111,27.8043666667,12.3049333333
601.54,13.4045333333,42.9075333333,22.4567333333,32.5712,12.8484666667,9.36079999999,30.1876,15.7335555556,27.8402,12.2686
601.88,13.4462,42.9431333333,22.5068,32.6276,12.8841,9.44313333335,30.2542,15.7573333333,27.9460333333,12.2928666667
602.21,13.3571333333,42.9224666667,22.5311333333,32.6068666667,12.8388,9.43966666666,30.2216,15.7135777778,27.9633666667,12.2368666667
602.55,13.5386666667,43.0413333333,22.7116666667,32.782,13.0152,9.60486666665,30.3882666667,15.9001111111,28.1600333333,12.4128666667
