wavelength,Back_TiaFulf,Belly_TiaFulf,Breast_TiaFulf,Crissum_TiaFulf,Crown_TiaFulf,DorTail_TiaFulf,Rump_TiaFulf,Throat_TiaFulf,WingTip_TiaFulf
188.67,86.9684444445,85.734,93.1414444446,65.8435555556,43.4843333333,78.9437777778,52.5377777778,64.1976666667,102.195
189.05,76.3888888889,77.9166666668,87.3611111112,57.3611111111,33.0555555556,72.8472222222,47.6388888889,61.1111111111,102.083333333
189.43,57.9822222222,64.3677777779,74.7125555556,50.1916666667,24.9043333333,60.9833888889,36.9093333333,50.9578888889,89.5274444443
189.81,54.6097777778,62.7660000001,75.2955555557,54.1371111111,29.6692222222,63.7116666667,41.9623333333,51.1818888889,85.6975555556
190.19,58.1301111111,71.5448888888,80.3524444444,55.0135555555,36.4498888889,73.0353333333,49.729,58.2655555556,98.7806666667
190.57,55.5556666667,70.2742222221,78.355111111,52.8137777778,37.8067777778,72.3665,49.6391111111,59.7403333333,96.2481111111
190.95,58.2621111111,74.3587777779,74.9287777778,51.4245555555,46.1537777778,76.7096111111,50.1423333333,56.8375555556,98.0056666664
191.33,69.7778888889,85.3334444443,80.1482222223,60.4445555555,57.4814444445,82.5184444444,55.7038888889,64.7406666667,106.666888889
191.71,80.0838888889,107.757,88.0503333335,73.1656666666,57.6518888889,95.5975000001,60.5871111111,66.2474444443,130.188666667
192.09,106.552555556,145.014222222,104.843333333,93.4474444445,72.0797777778,125.926055556,75.4986666668,85.7552222223,166.381777778
192.47,120.071444444,173.476666667,124.731222222,108.243666667,82.4373333333,144.444388889,61.6487777779,91.7564444444,183.871
192.85,131.111222222,177.037111111,122.222333333,117.777666667,84.074111111,145.740777778,51.8518888889,98.5185555557,193.703777778
193.23,168.518555556,214.814777778,145.370333333,152.314777778,110.185111111,172.222222222,50.926,144.907555555,242.592444444
193.61,118.233555556,134.188,103.988555556,116.524222222,80.057,114.6725,36.7518888889,102.849111111,161.538444445
193.99,141.975444445,155.864,122.531,146.913555555,100.308555556,147.376611111,58.9505555556,130.555444445,185.185111111
194.37,161.316888889,166.666666667,141.563777778,176.131666667,90.9464444443,172.428166667,63.7861111111,154.321111111,211.522555555
194.75,186.928111111,195.424777778,194.771222222,222.222111111,93.4638888888,216.013166667,41.83,183.660222222,307.842888889
195.13,124.853777778,107.31,127.485333333,136.842,77.1928888889,129.385833333,46.4912222222,122.514555556,178.362444444
195.51,122.469,97.5311111112,126.172777778,136.790111111,75.5554444445,123.209888889,47.1605555556,116.049222222,157.777888889
195.89,124.561444444,105.848111111,118.128555556,140.350888889,85.5748888888,125.243555556,63.1578888889,120.467777778,155.165777778
196.27,158.280888889,129.979222222,139.413,167.714777778,110.062888889,164.046111111,89.9371111111,151.781888889,179.874222222
196.65,166.419666667,130.370333333,132.592666667,171.357888889,104.444555555,180.864222222,84.4444444445,149.382777778,189.382777778
197.03,211.877444444,159.003666667,163.984666667,226.053444445,113.026666667,251.340888889,83.5248888889,195.785555556,244.444333333
197.40,226.388777778,165.277666667,161.574,228.240666667,99.5369999999,265.046277778,56.4814444445,207.870222222,259.722222222
197.78,248.148111111,180.092555556,159.259111111,217.129777778,104.629555556,268.287111111,46.7591111111,206.018555555,253.240777778
198.16,188.288333333,128.828888889,102.102,147.747777778,75.075111111,173.873888889,33.3332222222,153.153222222,160.060222222
198.54,341.666666667,218.75,129.861111111,232.638888889,79.1666666668,293.75,-47.2222222222,279.166666667,269.444444444
198.92,322.962888889,201.481444445,85.1853333332,193.333444445,37.777888889,265.185111111,-86.6666666667,268.888888889,218.518555556
199.30,268.518555555,150.926,1.851888889,108.333444445,-42.5926666663,223.611111111,-213.888777778,220.370444444,126.851888889
199.68,-605.555555553,-144.444444446,733.333333332,455.555555556,1005.55555556,-300.0,2061.11111111,-377.777777777,-111.11111111
200.06,-518.518444443,-214.814888889,300.000111111,233.333333333,629.629777779,-205.555611111,1322.22222222,-262.962888889,-51.8517777777
200.44,277.777777778,154.444444444,-4.44444444457,12.222222222,-122.222222222,128.333333333,-323.333333334,151.111111111,98.8888888889
200.82,203.703666667,94.074,-14.8149999999,37.0369999999,-40.7406666667,109.6295,-211.851777778,121.481444445,79.2592222221
201.19,205.050333333,88.888888889,-77.777888889,14.1413333331,-68.6867777777,109.596,-330.303,140.403888889,86.8686666664
201.57,-462.963,-170.370444444,429.629666667,114.814666667,396.296222222,-379.629555555,1292.59266667,-225.925888889,-96.2962222223
201.95,197.222222222,143.055555556,-94.4444444443,-9.72222222233,-77.7777777777,195.138888889,-355.555555556,137.5,41.6666666667
202.33,258.333333333,55.5555555557,-349.999999999,-94.4444444447,-252.777777778,204.166666667,-875.000000001,105.555555555,102.777777778
202.71,-46.031777778,65.0794444443,166.667,61.9045555555,140.476444444,-4.762,301.587333333,42.0635555555,-3.174777778
203.09,66.6666666666,346.296333333,601.851777777,194.444444444,474.074,122.222277778,892.592555555,264.814888889,212.962888889
203.47,103.703777778,162.5,228.703666667,113.425888889,183.796222222,112.731444444,298.148,131.944444444,124.074111111
203.85,87.2222222221,121.666666667,152.222222222,86.9444444443,120.277777778,81.2500000001,189.444444444,94.7222222221,82.2222222221
204.22,85.1062222222,109.929111111,133.333333333,75.1772222222,116.784777778,77.3051666666,161.702,94.7991111111,78.2505555554
204.60,75.6097777777,108.672111111,117.615333333,49.8644444444,112.737111111,58.5367222221,159.620555555,78.8616666667,69.105888889
204.98,79.487111111,112.250555556,120.228,45.0142222223,108.262111111,53.7036666667,166.666555556,78.9174444443,56.9802222222
205.36,84.2592222221,114.583444445,120.601888889,43.0556666667,105.787,61.8056666668,157.870333333,90.9722222221,58.3333333335
205.74,75.5103333334,97.9591111111,113.151777778,29.025,94.7845555554,53.1746111111,151.247111111,85.2608888889,54.6485555556
206.12,86.1677777778,105.442222222,124.263,43.0839999999,100.453555556,60.0906111112,161.904777778,85.9411111112,63.7187777778
206.50,71.8253333333,91.468,105.357,43.4523333333,93.4524444446,56.746,139.285666667,73.6111111111,56.5475555555
206.87,77.4193333332,125.806444445,145.878111111,38.3511111111,130.107555555,55.5555555555,207.168444445,73.1182222223,59.8564444443
207.25,74.3294444446,126.053666667,160.153111111,22.2223333335,143.678222222,57.2797222222,222.222333333,73.5632222223,70.8813333333
207.63,87.3015555556,149.603111111,172.619111111,43.6506666668,156.746111111,76.7857222221,248.809555556,82.9364444443,79.762111111
208.01,86.1111111112,131.388888889,152.777777778,59.7222222221,131.944444444,87.9166666666,203.611111111,88.6111111111,81.9444444444
208.39,80.4526666665,111.934111111,129.629555556,59.2594444445,115.431888889,89.9176666667,164.609111111,77.3661111112,77.9835555557
208.77,75.9563333332,107.650222222,122.404444444,61.5665555557,110.200222222,87.8871666666,152.823333333,72.4954444443,81.4207777778
209.14,84.4797777777,115.167666667,125.044111111,72.4868888888,116.225777778,99.6472222222,149.735555556,74.4267777777,88.1834444445
209.52,89.6296666666,114.629777778,125.925888889,71.2963333334,122.962888889,109.999888889,153.703666667,79.2592222223,91.6665555554
209.90,91.1109999999,110.925888889,124.444444445,65.9258888888,119.814777778,104.074111111,149.629666667,70.3703333333,84.4445555557
210.28,84.3844444443,93.2432222222,108.708777778,56.006,102.702666666,86.3363888889,127.627777778,65.0151111111,67.8678888889
210.66,90.499111111,95.329888889,112.399444444,61.5136666666,109.500777778,99.758388889,135.587666667,69.243,71.1753333332
211.03,83.1325555554,82.463,104.283777778,58.3668888889,99.7323333336,92.704,119.812555556,65.462,66.9344444445
211.41,89.5663333334,90.5147777779,115.040555555,68.5636666666,108.265444444,100.203222222,123.306222222,71.0026666667,77.6424444445
211.79,98.8603333333,94.4444444443,124.358777778,73.5042222221,116.666666667,104.558333333,129.344666667,75.356111111,88.3191111111
212.17,93.6073333332,85.0838888889,116.134,65.7533333333,111.872111111,93.7594444443,127.549555555,65.7535555554,77.0167777778
212.55,95.0793333333,86.3492222222,113.650666667,63.1746666668,111.587333333,89.1271666666,127.936444445,66.1906666666,76.5077777778
212.92,92.4786666667,93.6751111113,115.384555556,60.3417777778,107.692222222,88.8886111111,128.888666667,69.7435555557,79.4873333332
213.30,80.0321111111,83.5748888889,101.932222222,53.6231111111,87.9227777778,80.5957777778,115.942,70.2092222222,73.5908888889
213.68,79.5794444445,85.1351111111,94.2944444442,55.2553333333,79.7297777778,75.9760555556,114.264333333,77.1772222222,79.1293333333
214.06,76.6821111111,89.9844444444,95.305222222,55.8685555556,74.9608888889,67.0578888889,108.920222222,75.8997777778,84.3505555557
214.44,81.1506666667,104.960444444,109.325333333,57.3413333332,83.9286666667,77.0834444443,119.841333334,85.7142222222,106.746111111
214.81,93.0556666667,122.685111111,123.148222222,65.0462222223,99.0741111112,92.361111111,143.055666667,98.3795555554,115.046111111
215.19,128.806666667,188.477444444,200.411444444,73.6626666666,132.510333333,132.716166667,229.218111111,138.271666666,163.374555555
215.57,170.370444445,248.677111111,262.433888889,109.523777778,170.370444444,200.529055556,287.301666667,185.185222222,237.037111111
215.95,169.841333333,239.682555555,285.714333333,119.047666667,170.370333333,198.148055555,284.656222222,184.656222222,243.386333333
216.32,134.782666667,181.159444444,242.029,94.686,148.309111111,145.893611111,231.400888889,129.951777778,203.381555556
216.70,185.185222222,256.173,333.333222222,133.333222222,216.049444444,202.777833333,306.790111111,167.901111111,269.135777778
217.08,244.444444445,295.833333333,404.861111111,190.972222222,279.861111111,278.819444444,328.472222222,208.333333333,325.694444445
217.46,230.158777778,219.047666667,326.984222222,159.259333333,240.740555556,257.407444444,288.888777778,178.306777778,271.957666667
217.83,300.694444444,254.861111111,389.583333333,189.583333333,299.305555555,305.902777778,379.166666667,199.305555556,321.527777778
218.21,179.762,140.872888889,218.254,98.0158888889,176.190555555,169.643111111,201.984111111,117.857,193.651111111
218.59,147.747777778,133.033,170.570444444,102.402333333,172.672555556,156.756777778,162.162222222,120.720666667,165.765888889
218.97,155.246888889,149.382666667,179.320888889,94.4444444445,184.568,153.240722222,166.049333333,129.629666667,164.506111111
219.34,168.627444445,164.706,185.294333333,102.614222222,203.594777778,172.222222222,186.274555556,148.692777778,165.686333334
219.72,213.492,214.682555556,233.333333333,141.269777778,250.0,227.182555555,232.539555556,184.920777778,201.984111111
220.10,271.957555556,270.899666667,285.714111111,185.185333333,311.640111111,285.978888889,298.412555556,217.460444444,267.725111111
220.47,4511.11111111,5000.0,5144.44444444,3033.33333333,5733.33333333,5377.77777778,5611.11111111,3388.88888889,4522.22222222
220.85,-133.816444444,-183.574888889,-190.821333333,-99.5169999999,-209.178666667,-183.575,-193.719777778,-106.280333333,-118.357555555
221.23,-77.4194444444,-115.412111111,-126.523444444,-67.742,-130.107666667,-106.093111111,-120.430111111,-60.5733333333,-48.0285555555
221.61,-63.5416666667,-98.9583333332,-100.347222222,-58.3333333333,-112.5,-95.4861111111,-116.666666667,-53.4722222222,-25.0
221.98,-47.8393333333,-78.0864444444,-67.9011111111,-32.7158888889,-81.790111111,-63.8887777778,-93.8271111111,-31.173,-16.0493333333
222.36,-73.6111111111,-86.4583333333,-77.0833333333,-60.4166666667,-108.333333333,-95.138888889,-117.361111111,-46.5277777778,-23.9583333333
222.74,-57.4073333333,-62.963,-70.9875555556,-49.0738888889,-92.9012222221,-80.7099444446,-90.7408888888,-34.8765555555,-26.5433333333
223.11,-11.584,-12.293,-28.3686666667,-2.83688888889,-44.208,-34.1606111111,-33.8061111111,-2.12755555557,8.03788888888
223.49,6.9181111111,2.72544444444,-9.01455555556,12.3691111111,-28.0922222222,-13.5218333333,-13.6268888889,6.28944444444,28.5115555556
223.87,-17.2413333333,-9.19533333336,-41.7624444445,-2.6818888889,-83.5248888888,-41.7625555556,-49.4253333332,-16.4748888889,34.8656666668
224.24,-80.9522222222,-45.2382222222,-84.9206666667,-7.1427777779,-197.618888889,-87.3013888889,-108.730111111,-55.5555555557,22.2223333331
224.62,-124.074,-70.3702222221,-122.222222222,13.8888888889,-256.481444444,-131.944333333,-142.592666667,-91.6665555556,-28.7036666667
225.00,-18.6274444444,5.8822222222,-23.5295555555,23.5293333334,-71.8954444444,-16.1763888889,-28.4314444445,3.92155555557,1.6340000001
225.38,-45.7777777778,17.3333333333,-46.2222222221,28.4444444444,-95.5555555555,-20.2222222222,-39.5555555557,-13.7777777778,-6.222222222
225.75,-12.0368888889,40.1235555555,-20.9876666667,43.8272222222,-38.5803333333,13.4257777778,-5.24677777777,25.6173333333,0.617111111133
226.13,-32.5671111111,39.0805555556,-37.9310000001,28.7355555555,-65.9004444444,0.7663888889,-29.1188888889,24.521,-26.0535555556
226.51,-177.124111111,-56.8626666667,-153.594888889,-56.8626666667,-204.575111111,-90.1960555555,-183.006555556,-62.745,-164.705888889
226.88,-159.649222222,-37.427,-144.444444445,-45.0293333333,-168.421,-83.0409444444,-155.555666667,-49.7075555557,-147.953333333
227.26,-54.4714444444,0.541888888867,-52.3033333335,-5.6911111111,-60.9756666667,-31.5716666667,-62.6016666667,-10.2982222222,-60.7046666667
227.64,-30.8641111111,9.25922222221,-34.1564444444,-0.411666666657,-34.1561111111,-26.1316666667,-43.8272222222,-2.26322222223,-39.7121111111
228.01,-11.8826666667,18.5185555555,-8.33355555557,12.8085555556,-8.79644444444,-4.93822222222,-16.2036666667,11.7282222222,-12.6543333333
228.39,-25.641,8.11977777778,-22.0798888889,6.41022222221,-18.2337777778,-17.5926111111,-21.2251111111,-3.41888888889,-16.3818888889
228.76,-8.84766666668,14.1975555556,-9.97944444443,9.87655555555,-6.37844444444,-2.72633333333,-7.20166666667,5.55577777779,-1.44022222222
229.14,-5.79311111111,11.3011111111,-10.8261111111,6.93255555555,-5.22322222222,-5.223,-6.55277777778,-0.284999999989,2.65922222223
229.52,0.508888888888,14.2492222222,-1.27233333333,12.4681111111,6.0221111111,2.71433333333,0.848222222223,3.98655555555,10.9414444444
229.89,2.51133333333,16.1338888889,2.20711111111,11.1112222222,8.67577777779,3.95744444444,2.81577777778,4.64233333333,14.8402222222
230.27,4.94622222223,18.853,4.22944444443,12.043,11.111,6.7025,4.15766666665,8.02866666667,14.3368888889
230.65,6.233,16.4634444445,7.046,11.5176666667,12.0595555555,6.60588888889,4.94577777778,8.94311111111,12.3984444444
231.02,5.37866666667,14.862,6.58188888888,9.76633333334,10.6158888889,5.48488888889,2.90166666668,7.14788888888,10.6157777778
231.40,-3.01588888889,8.88900000001,-2.69844444444,0.714444444447,1.90477777778,-4.16661111111,-5.63511111111,0.555666666667,1.03155555556
231.78,2.22211111111,9.11100000001,1.92588888889,-0.07411111111,6.44433333333,-0.296333333334,-3.9258888889,6.66666666666,2.59266666667
232.15,1.55555555556,9.33333333334,2.14811111111,-1.77766666667,6.29633333333,-3.48144444444,-6.0,8.51855555558,1.03688888889
232.53,4.99288888889,12.8691111111,6.751,2.10955555556,7.66522222222,3.83266666667,-2.81299999999,12.4472222222,4.64122222221
232.90,5.48933333333,11.9708888889,8.00255555557,2.38088888889,3.63766666667,5.32388888889,-1.65333333333,14.9471111111,6.41533333333
233.28,6.30277777778,11.5658888889,9.94166666667,3.24877777778,4.41844444446,6.20516666666,-0.13,17.3487777778,6.04277777778
233.66,3.62455555555,7.665,9.80377777777,1.24777777778,1.48522222222,4.96144444444,-0.594222222223,15.4486666667,5.82311111111
234.03,3.44444444444,7.77777777778,7.33333333333,2.55555555556,2.5,6.80555555557,2.83333333333,14.7222222222,6.72222222222
234.41,-1.59522222222,2.42022222222,3.08033333334,-3.02533333334,-3.08022222222,3.8505,-0.220111111113,10.506,1.92533333333
234.78,-1.89455555556,1.02411111111,3.43066666667,-4.55711111111,-4.65955555557,3.09788888889,-1.536,8.03888888889,1.07555555556
235.16,2.43655555556,6.87122222222,7.01755555556,1.462,0.19488888889,7.94344444443,5.01955555557,9.94144444446,6.96866666666
235.54,3.33322222222,6.94433333332,8.65744444446,3.00922222221,1.20355555556,8.84266666666,7.26855555556,10.8332222222,6.99077777778
235.91,2.86611111111,6.48144444445,9.78822222221,2.55744444445,1.41088888889,8.04677777779,7.09866666668,10.7142222222,5.51122222223
236.29,-0.479222222221,2.87577777778,5.01088888889,-1.30722222222,-1.22011111111,3.44238888889,2.91922222222,6.62311111111,0.653666666663
236.66,-1.84433333333,1.88844444444,1.22955555555,-3.51344444445,-5.92888888889,1.29561111111,1.18577777778,5.48966666667,-2.196
237.04,-2.21322222222,1.65966666667,-0.322777777778,-4.057,-7.09988888889,-1.03722222222,0.922222222221,2.44366666666,-4.426
237.41,-1.48811111111,1.58744444444,1.24,-3.47211111111,-8.18455555555,-0.0991666666667,-0.198333333336,4.66266666668,-4.613
237.79,-1.26055555556,3.12811111111,2.42744444444,0.606999999997,-5.74255555556,0.840333333332,0.746777777777,7.14277777777,-3.22133333333
238.17,-0.189111111112,3.73511111111,3.40411111111,2.26944444444,-4.06611111111,0.850944444443,2.60033333333,8.79433333332,-4.68077777778
238.54,-2.44355555556,-0.553111111112,1.42922222222,-1.56755555556,-7.14600000001,-2.16694444444,-2.02866666667,4.65655555557,-9.82022222222
238.92,-0.899666666668,-0.765000000002,0.854555555557,-0.71966666667,-4.99311111111,-1.50677777778,-1.70922222222,3.28388888889,-8.95177777779
239.29,-1.72,-6.04377777778,-4.23033333334,-4.32344444444,-8.60055555557,-3.7191111111,-4.742,-0.0464444444433,-11.9945555556
239.67,0.769333333334,-3.37622222222,-2.52133333333,-2.43577777777,-6.96577777777,-0.726444444443,-2.906,1.79488888889,-8.71811111111
240.04,7.66933333333,3.77855555555,5.12544444444,5.49944444444,1.87055555555,6.43466666667,4.52688888889,6.58444444445,0.748222222222
240.42,9.83388888889,5.68322222222,7.24777777778,8.10966666667,4.34222222222,10.3288888889,6.28977777778,8.42911111111,5.14044444444
240.79,10.6191111111,7.61455555556,8.23622222222,8.00311111113,6.13833333333,11.7846666667,7.35566666667,7.74422222222,8.00311111112
241.17,10.5052222222,8.08077777779,7.54211111112,6.532,5.94833333333,11.7957222222,6.80144444445,7.20522222222,8.50722222222
241.54,9.97255555555,8.30388888889,6.753,6.55666666667,5.79111111111,12.4951666667,6.08566666667,7.16511111112,9.57999999999
241.92,9.38266666667,8.07755555557,5.64366666667,6.34922222222,5.57322222222,11.896,5.60844444445,6.80777777779,9.8588888889
242.29,9.72811111111,8.34544444443,5.99288888889,6.58066666667,5.182,12.033,5.80188888889,7.48677777778,10.4912222222
242.67,9.77022222222,9.57077777779,6.93211111111,6.73211111111,5.93366666667,12.2378333333,6.70366666667,7.8448888889,11.2964444444
243.05,9.70000000002,9.7,7.38466666667,7.042,6.37055555555,12.2687777778,6.69977777778,7.69977777778,11.6866666667
243.42,7.36288888889,7.40277777778,4.99333333333,4.97988888889,3.98911111111,9.87944444444,4.40433333333,5.82322222222,9.39755555557
243.80,5.81355555556,5.81355555556,3.28711111111,3.57233333333,2.01022222222,7.62016666667,2.68955555556,5.03933333333,7.63366666668
244.17,3.61811111111,3.718,0.81511111111,1.77322222222,-0.715,5.06944444445,0.47177777778,3.67522222222,5.29111111111
244.55,4.33388888889,4.49388888889,1.87611111111,3.06877777778,-0.130888888889,5.83905555556,1.22166666666,4.392,6.06455555556
244.92,4.577,5.03744444444,2.60511111111,3.16644444445,0.460666666667,5.26055555556,1.74144444445,4.47588888889,6.27511111111
245.30,5.24344444445,5.81222222222,4.17522222222,3.84244444444,1.06811111111,5.80538888889,2.63555555556,5.507,7.39344444444
245.67,3.26055555556,5.22933333334,3.54911111111,2.82166666666,-0.188222222222,4.32661111111,1.45455555555,4.151,6.032
246.05,2.26766666667,4.54666666667,2.86866666667,2.97055555555,-1.16777777778,3.67355555556,1.00911111111,3.492,5.41966666667
246.42,2.03466666667,4.33577777778,2.78533333333,2.489,-1.24433333333,3.46177777778,1.294,3.17055555556,5.17522222222
246.79,3.10266666667,4.992,3.73533333333,3.26733333333,-0.164666666667,4.61066666667,2.21866666667,3.86533333333,6.02333333333
247.17,3.62944444445,5.62488888889,4.21477777778,3.58288888889,0.377444444443,5.236,2.74311111111,3.91433333333,6.51866666667
247.54,4.56288888889,6.47177777778,5.183,4.75811111111,1.76955555556,6.3185,4.09622222222,4.85533333333,7.60711111111
247.92,4.67133333333,6.024,4.98144444444,4.612,1.99255555556,6.11633333333,4.09088888889,4.81644444444,7.52177777778
248.29,4.898,5.75522222222,5.10433333333,4.70466666666,1.92688888889,6.43522222222,4.07933333334,4.87866666667,7.70188888889
248.67,4.71533333333,5.61422222222,4.75444444444,4.72188888889,1.79744444445,6.14827777778,3.95322222222,4.75466666667,7.36622222222
249.04,5.06844444445,5.31555555556,4.97944444445,4.86277777778,1.94111111111,6.28938888889,4.01244444444,4.808,7.48311111111
249.42,5.81944444444,5.62877777778,5.475,5.24044444445,2.66044444445,6.79438888889,4.23644444444,5.43844444444,7.53455555555
249.79,6.64255555556,6.21755555555,6.00077777778,6.45811111111,3.32133333333,7.34844444444,5.09433333333,6.37788888889,8.07055555556
250.17,6.92922222222,6.52388888889,6.01333333333,6.62955555556,3.55711111111,7.39977777778,5.63477777778,6.82355555555,8.16155555556
250.54,7.03855555556,5.96,5.84455555555,6.33566666667,3.60122222222,7.08655555556,5.50755555556,6.79766666666,7.645
250.92,6.50555555556,5.473,5.28711111111,5.62788888889,2.93255555556,6.41777777778,4.68822222222,6.02033333334,6.83611111111
251.29,6.52588888889,5.81155555555,5.13977777778,5.83277777778,2.96433333333,7.00044444444,4.70222222222,6.078,6.95233333333
251.66,5.86211111111,5.52888888889,4.34555555556,5.49633333333,2.45244444444,6.46427777778,4.31322222222,5.41033333333,6.57188888889
252.04,5.30377777778,4.85366666667,3.75022222222,4.78933333333,1.75722222222,6.15,3.80366666667,4.84311111111,5.98944444444
252.41,5.10866666667,5.183,3.34177777778,4.48055555556,1.52177777778,6.22066666667,4.12933333333,4.75755555555,5.80022222222
252.79,4.33222222222,4.92533333333,3.02933333333,3.97211111111,0.889777777777,5.82572222222,4.26866666666,4.40633333333,5.82555555556
253.16,4.44444444444,5.11844444445,3.233,3.66511111111,1.27422222222,6.11905555555,4.49711111111,4.47611111111,5.70833333333
253.54,4.06788888889,5.23644444444,3.73266666667,3.81922222222,1.43877777778,6.19383333333,4.34933333333,4.45744444444,5.52866666667
253.91,4.35122222222,6.449,4.83966666667,4.96166666667,2.12011111111,6.97094444445,5.206,5.48344444445,6.44911111111
254.28,5.24333333334,7.43477777778,6.23322222222,6.021,3.05166666667,8.09472222222,6.20944444444,6.85755555556,7.56433333334
254.66,5.61211111111,7.95266666667,6.49322222222,6.07766666667,2.71822222222,7.39288888889,6.63155555556,6.78255555556,7.82722222222
255.03,6.73922222222,8.97222222222,7.33122222222,7.03522222222,3.05333333333,8.00383333333,7.88288888889,7.84233333332,8.87833333333
255.41,8.06944444444,10.6944444445,9.38888888888,8.36111111111,4.5,9.45138888889,9.66666666667,9.08333333332,10.4027777778
255.78,7.748,10.3448888889,9.30899999999,8.401,4.52688888889,9.13866666666,9.15266666667,9.13866666666,10.1178888889
256.15,7.41211111111,9.5401111111,8.85444444444,7.78355555555,4.199,8.419,7.88344444444,8.68322222221,9.14022222221
256.53,7.00511111111,8.69744444444,8.83622222222,7.12988888889,3.71755555556,8.34361111111,7.144,8.04533333332,9.23844444444
256.90,6.62766666667,7.86233333332,8.38188888889,6.47166666667,3.054,8.21961111111,6.66677777778,7.45933333332,9.11000000001
257.28,6.79133333333,8.15922222222,8.29122222222,6.74333333333,3.396,9.179,7.30733333333,7.70344444444,9.47911111111
257.65,6.06644444445,7.43255555555,7.02366666666,5.87288888889,2.63533333333,8.3575,6.49677777778,6.90533333333,8.55122222222
258.02,5.58355555556,7.23355555556,6.66488888889,5.55544444444,2.47,8.40322222222,5.98455555555,6.45977777778,8.11877777778
258.40,5.15711111111,6.82133333333,6.05622222222,5.07855555556,2.53133333333,8.10272222222,5.34655555556,6.07222222222,7.48366666667
258.77,4.77944444445,6.14955555556,5.056,4.52277777778,1.89688888889,7.40855555556,4.69155555556,5.47477777778,7.223
259.15,5.04244444445,6.156,5.03666666667,4.646,2.18622222222,7.48516666667,4.87933333333,5.41566666666,7.71266666667
259.52,5.348,6.43211111111,5.11988888889,4.84488888889,2.42255555556,7.49822222222,5.30644444445,5.37911111111,8.26322222222
259.89,5.24455555555,6.54588888889,4.75988888889,5.04488888889,2.47488888889,7.31788888889,5.21577777778,5.08755555556,8.38922222222
