wavelength,Back_TanFucm,Belly_TanFucm,Breast_TanFucm,Crissum_TanFucm,Crown_TanFucm,DorTail_TanFucm,Patch10_TanFucm,Patch11_TanFucm,Patch12_TanFucm,Patch13_TanFucm,Rump_TanFucm,Throat_TanFucm,WingTip_TanFucm
183.73,23.9057407407,47.8788888888,37.1718888889,41.2122222222,56.5656666667,52.7352288889,41.8181111111,63.0303333333,94.3434444445,67.2726666667,51.9191111112,54.1411111111,-2.8281111111
184.11,37.7608148148,54.4063333335,45.4662222222,44.0614444444,57.2157777778,54.0792688889,43.1672222222,51.8517777778,80.3321111111,61.686,50.9578888889,51.2132222222,21.4556666667
184.49,46.2250740741,56.1966666667,52.2436666667,45.7264444444,60.6837777778,58.2369977778,47.6496666666,54.3802222222,78.7394444444,61.9657777778,51.8162222222,52.6708888889,33.7607777778
184.87,50.489037037,59.7484444443,56.9182222222,46.3313333335,69.4968888889,62.3815777778,53.3542222222,61.74,82.9142222223,64.3606666667,57.5471111111,58.9098888889,39.9368888889
185.25,52.1212222222,59.1921111111,56.8687777778,44.6464444445,70.2021111111,59.2809111111,49.9998888889,59.4948888889,82.3231111111,59.2928888889,60.5051111111,58.0806666667,39.394
185.63,54.8978148148,59.5015555556,58.5668888889,44.756111111,71.2356666667,58.6563511111,47.8712222222,57.9437777778,84.6313333333,55.9707777778,63.0322222222,57.1132222222,38.0061111111
186.01,58.3757407407,59.2252222222,61.7736666667,44.6484444443,70.2346666667,64.97632,50.051,56.4731111111,82.4668888889,51.4781111111,63.6085555555,60.5503333332,38.532
186.39,57.7916296296,63.8365555555,67.2955555555,42.2432222222,72.9558888889,66.9684288889,52.5157777778,57.5472222222,87.8407777779,55.1362222222,72.4318888889,62.0545555555,43.5011111111
186.77,51.8518888889,56.4031111111,64.501,35.6875555555,67.8907777778,61.8606888889,47.1751111111,53.1072222222,82.2034444445,53.39,66.29,53.2955555556,41.4313333333
187.15,50.7337037037,59.7484444446,71.6982222222,34.0671111111,70.5452222222,66.2432333333,47.0647777778,49.4758888889,88.8886666667,51.7821111111,73.4802222222,54.5072222222,42.977
187.53,54.5415925927,64.9472222221,75.6613333333,33.2012222222,81.0846666667,66.7592844444,52.3808888889,52.1164444444,102.645444444,50.529,79.4971111111,48.016,38.2275555556
187.91,49.2543703703,59.3072222223,72.583,27.8498888889,80.808,63.2207511111,48.6292222222,47.9076666666,102.164444444,51.2265555556,78.6435555556,45.3102222222,37.085111111
188.29,36.6312592591,47.6408888889,63.6225555556,15.6773333333,70.6241111111,55.3577466667,32.2678888889,41.5525555556,93.9116666667,41.7047777778,69.7107777778,36.8341111111,24.2007777778
188.67,18.0374444444,30.1587777778,34.7764444444,-2.5971111111,49.4948888889,32.8716266667,11.6883333333,19.9133333333,80.6638888889,27.1284444444,54.401,15.1516666667,-3.17444444443
189.05,9.44444444444,21.6666666667,21.5277777778,-8.19444444443,36.5277777778,24.65,2.08333333334,11.25,69.4444444445,15.6944444445,45.6944444444,4.44444444443,-11.8055555556
189.43,14.9502592593,26.5581111111,27.6423333333,-2.4388888889,44.7154444444,35.2113977778,12.3306666667,21.2738888889,75.3386666667,27.5067777778,52.439,11.1111111111,-3.79411111111
189.81,16.2422962963,27.5463333333,29.9768888889,-4.97666666667,41.0881111111,39.13912,16.7824444444,20.6017777778,69.0972222222,37.2686666667,48.6111111111,20.3704444445,1.50466666668
190.19,5.06607407407,16.7305555555,24.7764444444,-16.6028888889,38.9528888889,30.0612666667,9.45077777777,11.7496666667,69.4764444444,36.5261111111,45.9772222222,11.6218888889,-2.42655555557
190.57,0.0916296296433,12.6201111111,12.3457777778,-22.0851111111,34.0191111111,29.3553066667,8.36744444442,2.05755555553,69.8217777778,33.6076666667,41.1523333333,11.2482222222,-12.62
190.95,-5.43225925926,7.22222222223,3.8888888889,-38.8888888889,32.4075555556,31.9851577778,6.48133333333,-10.3704444444,82.963,32.9628888889,49.2592222222,12.9628888889,-32.4073333333
191.33,7.95218518518,15.5228888889,10.7844444444,-30.2287777778,33.8235555556,35.2025422222,13.8887777778,-3.92144444447,75.4903333333,41.0131111111,48.6927777778,16.5033333333,-23.6927777778
191.71,8.65803703701,17.1718888889,14.7184444444,-24.5312222222,31.3132222222,42.8224577778,18.9034444445,-4.4731111111,64.5022222222,39.5381111111,47.6191111111,23.5207777778,-16.5946666667
192.09,13.2576666667,23.7372222222,18.5605555556,-15.7828888889,30.0504444444,45.1617622222,25.505,-0.1262222222,62.2475555555,35.4798888889,49.3687777778,24.3685555556,-13.2576666667
192.47,12.6113703704,26.1603333334,16.5964444444,-15.4711111111,28.5514444444,45.82278,29.2546666667,-5.2041111111,66.948,37.9746666667,55.9774444444,23.6285555556,-20.6751111111
192.85,24.7097777778,41.1276666668,37.8108888889,-9.61844444444,39.6352222222,66.4311244445,46.7661111112,-2.81922222223,80.431,48.7563333334,72.8025555557,37.1475555555,-20.232
193.23,31.8636296296,53.2627777778,45.8556666666,-6.87822222221,45.3261111111,78.0317355556,51.1463333334,-3.88,89.947111111,55.0264444445,76.366888889,35.8024444445,-16.4023333333
193.61,22.6496296296,45.9401111112,33.7605555556,-20.0854444444,39.1025555557,72.99576,42.7348888889,-25.4272222222,91.8804444444,52.1366666666,67.094,26.0686666667,-37.3931111111
193.99,11.437962963,33.6601111111,12.745,-39.8692222223,32.3531111112,65.4444222222,37.9084444442,-55.2286666667,116.339888889,39.5424444443,74.8365555557,3.2678888889,-90.8495555555
194.37,31.5788888889,56.725,26.6082222222,-19.006,35.0877777779,66.81278,54.0935555557,-31.578888889,121.052666667,55.5556666667,77.7777777779,8.77177777777,-78.3624444445
194.75,27.4852962963,47.3684444443,17.8361111111,-28.9473333332,26.0234444444,49.5263711111,41.5206666668,-44.4442222221,104.970777778,51.7543333333,69.8830000001,-23.3918888889,-96.1987777778
195.13,24.3054444445,46.9905555554,15.5092222222,-20.6018888889,19.4445555555,38.0971622222,28.4721111111,-39.5833333332,83.5647777777,45.1386666667,51.6202222222,-29.6297777778,-72.9165555556
195.51,24.4709259259,47.8174444444,19.6428888889,-4.762,33.5316666667,44.3572777778,37.1032222222,-18.2538888888,87.1029999999,52.1826666666,56.151,-18.4522222222,-45.8331111111
195.89,42.1372222222,59.3805555555,33.1511111111,13.1147777778,49.9091111111,50.4190355556,45.3551111111,7.28599999997,100.182111111,62.6595555555,65.3917777778,-5.1,-31.6941111111
196.27,45.7777777778,54.0000000001,27.3333333333,1.7777777778,46.4444444444,37.6666666667,34.8888888889,-7.1111111111,108.888888889,68.6666666667,62.8888888889,-18.8888888889,-58.8888888889
196.65,74.3589259259,72.0085555554,45.9401111111,11.7521111111,66.0256666667,59.8120066667,61.5384444443,12.1795555556,128.632555555,86.9658888889,81.1967777779,-2.13655555556,-27.137
197.03,106.56562963,113.131333334,63.6362222222,27.7777777778,94.9495555555,88.1060911111,90.404,42.4243333332,169.192,121.717333333,105.303111111,12.6263333333,-5.05033333323
197.40,119.563111111,121.082666667,67.2364444445,22.7921111111,98.0057777778,90.3816822222,100.854666667,45.2992222222,195.726444444,139.601111111,124.216444445,17.6637777778,-7.69244444433
197.78,154.357296296,158.496777778,97.0588888888,32.353,107.516333333,114.130831111,120.261333333,55.8823333335,243.791,151.307111111,163.398555555,31.0457777777,-12.4183333334
198.16,202.074074074,227.555555555,155.555555556,37.3333333333,137.777777778,161.902222222,147.555555555,62.6666666667,327.111111111,211.555555556,213.333333333,36.0,-21.3333333333
198.54,205.864185185,228.240888889,161.111111111,28.7036666667,135.648,145.564786667,122.685111111,60.6481111111,326.388888889,198.148111111,210.648111111,27.3147777779,-22.2222222221
198.92,197.222222222,211.458333333,169.444444445,68.0555555557,126.388888889,156.777777778,127.777777778,92.7083333333,286.111111111,172.222222222,193.75,59.0277777779,35.4166666667
199.30,271.407407407,302.222222222,229.777777778,108.0,176.0,228.631111111,182.666666667,141.333333333,380.444444445,238.222222222,276.444444444,94.6666666665,77.7777777778
199.68,-1809.87648148,-2125.92577778,-1562.963,-477.777777778,-981.481444443,-1440.29633333,-1081.48122222,-725.926000001,-2774.074,-1451.85188889,-1862.96277778,-325.925888889,-185.185222221
200.06,-202.469259259,-249.735444445,-188.359888889,-6.3491111111,-85.7142222222,-153.523846667,-110.052888889,-37.036888889,-348.148222222,-159.788333333,-230.158888889,-6.34922222233,21.6931111111
200.44,-95.5955555556,-137.537444444,-93.3933333333,9.30933333333,-42.0418888889,-88.6305466667,-57.9577777778,-17.4173333333,-191.891777778,-88.2882222221,-141.441444444,9.30944444443,14.4143333334
200.82,-24.6187407408,-48.5295555555,-25.8171111111,36.4377777778,5.719,-16.0032977778,-1.63388888889,15.523,-80.5555555554,-23.3659999999,-50.4903333334,29.2483333333,36.9281111111
201.19,0.624148148157,-9.73777777779,1.24844444443,50.1874444444,29.8376666667,9.70789111111,20.8488888889,34.3321111111,-39.5755555555,0.749222222233,-18.9763333333,42.3221111111,53.0585555556
201.57,2.81481481481,-1.33333333333,4.7777777778,47.3333333333,31.4444444444,11.2422222222,23.8888888889,34.0,-25.3333333333,3.77777777777,-10.4444444444,44.5555555555,54.0
201.95,13.3471851852,7.44222222223,13.4172222222,49.4757777778,35.22,16.7797288889,27.5682222222,34.1718888889,-11.4255555556,7.86177777777,0.524222222233,48.3228888889,55.3457777778
202.33,16.8582222222,10.8557777778,24.9042222222,62.4521111111,40.9962222222,19.9003533333,30.2681111111,39.3358888889,-8.4291111111,15.8364444445,1.53266666667,63.0907777777,70.7533333333
202.71,17.0533333333,9.8901111111,26.862,51.8925555556,36.8743333333,9.12597333333,21.3674444445,38.4616666667,-7.5703333333,10.2563333333,-3.90722222223,59.707,65.8118888889
203.09,23.8402592593,13.1607777778,30.3127777778,51.7798888889,34.5197777778,16.1682733333,24.7034444444,38.4033333334,2.69677777776,12.837,3.77544444447,54.6926666667,65.4797777778
203.47,29.394,21.9191111111,35.1514444444,52.9293333333,36.2626666667,24.3051622222,28.6867777778,41.1111111111,7.77766666667,20.6062222222,12.2222222222,56.2625555556,72.6265555555
203.85,32.5371111111,26.0643333333,41.6405555556,58.8785555556,42.056,27.7424733333,34.6832222222,48.2865555555,13.9147777778,23.4682222222,19.8337777778,63.5515555555,80.2698888889
204.22,27.5719259259,19.0123333333,41.1111111111,57.0372222222,39.0124444444,21.9184422222,29.1358888889,43.3334444444,5.67888888888,12.963,16.4195555555,63.5802222223,76.4198888889
204.60,21.0905185185,11.2654444445,42.5926666667,61.5741111111,39.8147777778,19.1325711111,27.0061111111,43.3642222222,2.7776666667,13.1173333334,19.2903333333,73.9198888889,83.3334444444
204.98,30.8852592592,14.6893333333,53.8605555556,60.0753333333,49.3407777778,23.4462511111,31.261888889,49.9058888889,13.371,21.2805555556,26.3653333333,95.1037777779,104.331444444
205.36,35.8845555556,6.91377777777,55.5555555555,58.0247777778,56.0494444444,23.5456977778,24.4444444445,52.5926666667,6.41966666667,21.2344444445,24.1976666668,119.753111111,119.259222222
205.74,25.24,-33.7448888888,68.3125555555,62.1398888888,66.6667777778,24.0741822222,7.819,38.683,-13.9916666668,2.88055555557,1.23455555544,167.489666667,166.255333333
206.12,7.80411111113,-32.9364444445,75.7935555556,65.0794444444,76.5872222221,33.3967288889,4.365111111,45.6348888889,-22.2222222223,-3.57133333323,-9.5237777779,162.698444444,150.396777778
206.50,6.99585185186,-27.778,62.3456666667,59.2592222222,69.1358888888,32.99986,17.2838888888,53.0863333333,-16.9752222221,-9.87666666667,0.92588888911,130.555666667,114.197555556
206.87,5.66448148147,-13.0718888888,71.2417777777,72.2223333333,91.5032222222,42.7843911111,26.1436666667,55.5554444444,-11.1110000001,0.980444444533,14.3793333333,137.254777778,119.607666667
207.25,-16.4983703703,-26.7675555557,96.9694444444,94.4444444443,133.333333333,45.7475888889,23.2323333334,90.9091111111,-41.9192222222,-3.53555555543,0.000111111099994,197.474666667,162.121111111
207.63,-22.2222222222,-42.2222222221,110.0,107.777777778,155.0,31.4222222222,13.3333333333,97.2222222222,-49.4444444445,21.1111111111,-8.8888888889,216.666666667,155.0
208.01,-52.0833333331,-70.8333333334,102.777777778,94.4444444443,177.777777778,-4.66666666667,-11.8055555553,98.6111111111,-97.9166666667,11.8055555556,-45.138888889,232.638888889,152.083333333
208.39,6.37037037043,-4.8888888891,106.222222222,96.8888888889,156.444444444,29.4044444445,53.3333333332,120.444444444,-25.3333333332,57.3333333333,4.8888888888,192.0,133.333333333
208.77,2.89848148157,-28.0192222223,87.9228888889,84.5409999999,163.285,11.4492511111,32.8502222224,99.0338888889,-55.0724444443,41.0625555557,-16.4253333332,165.217444444,110.628
209.14,-39.3761481482,-79.5323333334,58.4795555555,56.7252222222,154.386,-29.4971933333,2.339111111,76.6079999999,-128.655,-0.5848888889,-60.8186666666,133.918222222,76.0233333333
209.52,-55.5555925927,-140.0,59.9998888889,34.8147777778,142.222111111,-50.6963177778,-28.889111111,83.7036666668,-162.962888889,-33.3333333333,-127.407444444,129.629777778,39.2594444446
209.90,-40.7407407408,-156.25,24.3055555555,9.02777777778,68.7499999999,-79.2083333333,-69.4444444443,91.6666666667,-202.777777778,-50.0,-152.083333334,84.0277777779,-2.7777777779
210.28,611.111111109,2488.88888889,88.8888888867,188.888888888,-11.11111111,2047.33333333,1133.33333333,-1266.66666667,3388.88888889,1044.44444445,2733.33333333,-1300.0,122.222222223
210.66,-55.9672962962,-213.580222222,-12.3456666668,-64.1976666668,-11.1112222223,-233.728295556,-153.086444444,123.456666666,-366.666777778,-81.4813333334,-338.271333333,166.666666667,-50.6172222222
211.03,52.5574074073,-37.0371111112,57.672,37.0369999999,53.9682222222,-29.5238733334,-15.343888889,117.460222222,-92.0635555557,40.211777778,-51.8517777778,174.603222222,63.4922222223
211.41,59.3788148148,8.60199999989,59.4982222222,56.9892222222,55.1972222222,12.6165088888,11.1112222223,99.6416666669,-37.6342222222,46.5946666666,11.8277777779,150.896111111,72.4014444443
211.79,78.6111111111,35.5555555557,58.6111111111,69.1666666668,67.5,43.7111111111,34.9999999999,105.555555556,-1.66666666667,59.1666666664,43.0555555556,138.333333333,64.1666666667
212.17,87.1873703705,35.7357777778,67.2674444445,88.5885555556,84.9850000001,63.3213822222,53.1532222223,107.207222222,17.4174444444,66.0659999999,50.7505555555,159.459333333,68.7686666666
212.55,83.2881481481,24.3903333333,53.9295555556,76.151888889,76.4226666667,62.3199022223,40.9214444443,79.6747777778,16.8021111111,53.6584444446,36.8563333332,135.772444444,70.7317777778
212.92,70.8250740741,33.9182222222,55.3606666667,65.1073333333,67.6414444444,61.15408,41.9102222223,74.6588888889,27.6802222222,49.7075555557,37.6218888888,105.848,75.0485555555
213.30,81.6211851852,48.0084444444,76.5198888888,84.2766666665,74.633,69.4211222223,50.3144444443,90.3564444444,40.2515555555,67.7147777778,50.3144444445,121.173888889,98.3228888888
213.68,94.989148148,61.8735555555,93.2462222222,102.396444445,86.7102222222,75.5426155557,62.0915555557,100.653666667,48.366,86.0567777777,69.7168888888,137.472888889,123.964888889
214.06,98.4822222223,75.592111111,103.278666667,109.654,98.7251111112,85.3333622221,69.7633333332,105.464333333,60.8378888889,93.0782222222,82.6957777779,141.165666667,128.597555555
214.44,87.037,59.7221111111,88.4258888889,97.9937777778,87.962888889,80.5337666668,60.9567777777,89.6605555557,53.3951111111,85.8023333333,76.2345555555,122.376666666,109.722111111
214.81,101.851888889,61.6318888889,103.124888889,108.680555555,103.993111111,97.3126155557,68.7501111111,98.0902222222,63.1943333334,96.0070000001,91.3194444444,135.937666667,127.951444444
215.19,112.108296296,67.9486666668,111.324777778,126.068333333,114.957222222,108.572597778,84.4016666668,108.974333333,70.0854444444,102.991333333,97.6495555557,143.803444444,142.094111111
215.57,110.725296296,52.3148888888,112.037111111,121.527777778,116.203777778,99.1436755554,77.5464444445,98.3795555555,65.0463333333,98.3795555557,86.8055555556,137.037,143.750222222
215.95,104.909592593,47.0284444443,118.604666667,119.121555555,117.829333333,95.0387599999,77.7777777779,84.2377777778,57.6227777778,80.3617777778,78.5531111111,134.108444444,167.442
216.32,127.083333333,46.5277777779,141.666666667,123.611111111,129.513888889,105.291666667,61.4583333334,95.1388888889,38.8888888889,89.9305555554,80.2083333333,144.444444444,214.236111111
216.70,165.843703704,51.8517777779,218.518555556,193.827,174.691333333,148.27152,43.209888889,130.864333333,19.1356666668,120.370444444,112.345888889,227.160555556,337.037
217.08,642.592592592,175.0,924.999999999,852.777777778,741.666666665,574.888888889,102.777777778,552.777777778,5.55555555533,502.777777778,463.888888889,1044.44444444,1305.55555556
217.46,523.703703703,120.0,700.0,573.333333333,646.666666667,418.666666667,111.111111111,420.0,-33.3333333331,406.666666667,344.444444444,857.777777778,900.0
217.83,178.451370371,66.6665555556,291.919333333,225.252333333,277.777888889,166.807988889,73.7374444444,135.353444444,-34.3432222223,139.393777778,122.222111111,354.545444445,376.767666667
218.21,135.493814815,75.9259999999,248.148111111,194.444555556,222.222222222,137.777793333,83.3333333333,103.703555556,-16.6666666668,117.592777778,101.851888889,291.666777778,329.629666667
218.59,63.7038888889,74.0741111112,182.222333333,142.962888889,163.703555556,84.1776666668,17.7778888889,48.8888888889,-19.9999999999,71.8517777777,72.5924444443,208.889,233.333222222
218.97,-24.8148148148,28.8888888889,163.333333333,173.333333333,116.666666666,-0.911111111233,-47.7777777779,-6.66666666667,-114.444444444,32.2222222223,35.5555555553,223.333333333,293.333333333
219.34,-313.580259259,-203.703666667,300.0,440.740666667,55.5555555557,-227.703611111,-400.000111111,-211.111,-625.925888889,-51.8516666657,-151.851777778,525.926111111,796.296444444
219.72,1048.14814815,533.333333336,-811.111111112,-1211.11111111,155.555555555,792.222222223,788.888888887,577.777777778,1900.0,233.333333333,600.0,-1866.66666667,-2011.11111111
220.10,145.555555556,149.444444445,68.8888888888,35.5555555554,107.777777778,128.2,117.222222222,110.0,185.555555556,85.0,122.777777778,-11.111111111,1.111111111
220.47,166.87237037,180.246888889,89.5061111112,36.4198888888,141.358,133.987706667,108.641888889,135.185222222,198.148111111,91.3581111111,135.185222222,-6.17277777777,25.3087777778
220.85,220.061777778,243.518444445,118.518555556,46.2962222223,176.851777778,178.259091111,134.259222222,169.444333333,232.407444444,112.963,184.259111111,-26.8517777778,32.4075555557
221.23,201.543296296,252.777777778,149.074222222,74.999888889,160.185,177.166733333,125.0,196.296222222,206.481444444,138.888666667,168.518444445,-24.9998888889,55.5555555556
221.61,193.266148148,262.626333333,151.515111111,12.1211111112,128.282777778,133.00998,125.252555556,185.858666667,165.656555556,165.656444445,154.545444445,-36.3636666667,-13.1313333333
221.98,120.875407407,224.242333333,104.040444444,-62.6264444443,86.8686666668,63.6161533333,91.9192222221,113.131333333,76.767888889,74.7474444443,68.6867777777,-105.050555556,-65.6565555554
222.36,80.5555555556,157.222222222,96.111111111,11.6666666667,69.4444444444,71.0,79.4444444446,103.333333333,70.5555555555,65.5555555554,53.8888888888,-36.6666666667,7.77777777777
222.74,35.8025185184,249.382666667,100.000222222,-60.4936666666,20.9876666667,72.7406155557,60.4937777779,130.864111111,71.6047777777,48.148,64.1975555557,-166.666777778,-137.036888889
223.11,-75.4629629631,179.166666666,5.55555555543,-141.666666667,-120.833333333,-47.4166666667,-25.0,-4.16666666657,-1.3888888889,-50.0,36.111111111,-255.555555555,-204.166666667
223.49,-16.2394814815,149.572444444,12.8204444446,-17.9486666667,-52.1367777778,-30.615382222,26.4957777777,58.1195555556,44.4443333333,30.7693333333,58.1196666667,-88.0339999999,-58.1195555554
223.87,-31.623962963,134.188,16.2392222222,-26.4956666667,-76.0683333332,-44.4614577777,23.9316666667,57.2648888889,73.5042222221,23.9317777778,48.7180000001,-64.9572222222,-67.5215555555
224.24,-217.12962963,-25.0000000001,-162.5,-209.722222222,-241.666666666,-219.027777778,-95.8333333333,-68.0555555556,-12.4999999999,-47.2222222221,-70.8333333336,-215.277777778,-222.222222222
224.62,626.851851852,311.111111111,494.444444445,622.222222222,702.777777778,567.38888889,338.888888889,350.0,175.0,83.3333333337,286.111111111,669.444444445,605.555555556
225.00,-2362.96296296,-1255.55555555,-1966.66666667,-2522.22222222,-2766.66666667,-2151.55555555,-1400.0,-1300.0,-833.333333335,-111.111111112,-1133.33333333,-2333.33333333,-2111.11111111
225.38,-164.646518519,-101.01,-162.626444444,-182.828333333,-161.616111111,-165.414075555,-81.8181111111,-55.5554444444,-22.2221111109,37.3737777778,-29.2929999998,-171.717222222,-223.232333333
225.75,-49.657,-25.1029999999,-46.0905555556,-57.2016666666,-37.4486666667,-39.9671888889,-18.9298888889,11.5226666667,8.23044444447,29.6295555556,23.8682222223,-55.5556666666,-71.6047777778
226.13,-1.36062962963,17.9138888889,6.5761111111,-7.483,-0.90688888889,2.01805333333,20.6348888889,37.6417777778,35.374,48.9796666665,50.7937777778,-4.30844444447,-12.9253333333
226.51,19.0883333333,32.3076666666,24.4444444444,6.32477777778,15.3847777778,15.2342755555,31.9658888889,45.4701111111,47.3504444444,54.8718888889,57.9487777778,13.6753333333,10.2566666667
226.88,24.4781111111,34.0404444444,31.6163333334,18.3837777778,22.2222222222,21.5171577778,32.8282222222,39.1918888889,41.2121111111,46.0605555556,48.9898888889,23.5353333333,25.6566666667
227.26,18.0408148148,27.7776666667,27.1505555556,15.0537777778,16.7563333333,17.6075977778,25.5375555556,36.4694444444,32.7058888889,41.0393333334,39.2472222222,18.5484444444,18.0108888889
227.64,17.2930740741,23.4752222222,26.1486666667,10.4426666667,14.1186666667,18.05334,24.4777777778,32.9156666667,27.8195555556,34.9206666667,36.842,12.7821111111,15.7058888889
228.01,17.9487037037,22.9992222222,26.1071111111,9.55722222223,16.5502222222,19.4811044444,27.0395555556,34.8095555556,24.8641111111,34.3435555555,38.4614444445,15.6175555555,18.8812222222
228.39,19.8282592593,25.3387777778,29.5393333333,12.3305555555,19.2412222222,21.5948644444,28.4553333333,34.0785555555,22.8997777778,33.8753333333,38.3468888889,15.6503333333,21.1383333333
228.76,23.7147777778,26.7551111111,29.6295555556,16.3074444445,22.7751111111,24.3251111111,28.9663333333,34.7153333333,24.3782222222,31.5092222222,36.042,18.5184444444,24.6544444445
229.14,21.3518518519,24.0555555556,29.0555555555,14.6111111111,21.2777777778,22.92,27.2777777778,32.2777777778,24.4444444444,29.6111111111,34.3333333333,12.8333333333,20.7777777778
229.52,20.9992592593,20.7546666667,28.5638888889,12.5262222222,19.0776666667,22.1049911111,23.7946666667,28.8783333334,23.3752222222,26.258,31.7087777778,10.1678888889,21.1737777778
229.89,16.8621851852,18.928,27.4147777778,10.4412222222,17.7554444444,17.3086066667,20.7147777778,26.6331111111,21.6637777778,24.679,30.3182222222,5.80688888889,21.7195555556
230.27,16.453037037,19.765,26.4423333333,12.8204444445,18.3225555555,18.7937311111,20.5661111111,25.9614444444,22.1688888889,22.81,29.8077777778,7.15788888888,23.5576666667
230.65,9.90022222221,13.9956666667,21.5278888889,8.11955555557,13.9421111111,13.7489022222,17.1475555556,21.421,15.705,18.7501111111,26.015,2.77788888889,18.1624444444
231.02,7.40751851852,12.8625555555,20.3065555555,7.55344444444,14.7783333333,12.5450444444,16.8033333333,21.5654444445,14.3952222222,17.734,25.0684444445,0.71166666668,16.0372222222
231.40,11.0017407408,14.614,24.0832222222,11.549,19.9782222222,15.6309422222,22.0578888889,24.7947777778,17.351,19.5402222222,28.5715555555,2.90077777777,20.7988888889
231.78,11.6779259259,14.5691111111,26.3605555556,13.4918888889,20.7482222222,15.24588,22.2787777778,23.9227777778,16.4966666667,21.3717777778,29.5917777778,3.34488888888,20.0681111111
232.15,7.81459259259,12.1,23.4438888889,11.9255555556,17.8591111111,9.84863555554,18.1501111111,19.139,12.6234444444,19.4878888889,25.4217777778,-4.53766666666,15.4156666667
232.53,2.41262962963,4.69844444445,15.6825555555,4.508,10.857,2.07497555557,13.5238888889,14.6031111111,7.746,13.9682222222,19.746,-12.9522222222,9.26966666666
232.90,1.44655555556,4.33922222222,15.7792222222,4.47077777778,10.651,-0.365615555557,13.478,15.1874444445,7.23199999998,14.3982222222,21.3017777778,-12.4258888889,7.16644444445
233.28,1.4137037037,4.36088888889,11.9475555556,5.37633333334,8.48266666667,-1.64994222222,11.35,12.1865555556,4.89833333332,13.0824444444,19.6534444444,-6.98933333332,4.77877777778
233.66,0.0997407407533,8.48288888888,12.9031111111,6.21277777778,8.60211111112,-1.98327333333,13.7396666667,12.7837777778,4.42055555554,13.7991111111,20.669,-3.28566666668,6.27266666666
234.03,7.49525925928,11.1637777778,16.0084444444,11.585,12.3748888889,4.51615555557,18.1147777778,14.6393333333,9.68944444444,18.2203333333,21.9062222222,3.89688888889,9.68922222222
234.41,4.99837037037,7.71311111109,14.1855555556,9.06155555557,11.0032222222,0.875957777777,15.7497777778,12.8372222222,8.09066666666,18.3923333333,20.8737777778,2.15755555556,7.49722222222
234.78,10.4502962963,11.007,15.9102222222,11.9457777778,14.2932222222,3.53567333333,17.0056666667,15.5973333333,11.4762222222,19.2486666667,23.8913333333,7.6682222222,9.85888888889
