wavelength,Back_DacCaym,Belly_DacCaym,Breast_DacCaym,Crissum_DacCaym,Crown_DacCaym,DorTail_DacCaym,Rump_DacCaym,Throat_DacCaym,WingTip_DacCaym
407.55,5.8916,45.0933333333,37.0821666667,39.7006,33.439,5.21993333333,41.3362,7.98093333333,5.21213333334
407.90,5.86293333333,44.9238666667,36.9729,39.5770666667,33.3294666667,5.21446666667,41.221,7.93153333334,5.20673333333
408.26,5.85266666667,44.7754666667,36.883,39.4627333333,33.2254,5.18466666667,41.0735333333,7.92046666667,5.1814
408.62,5.82993333333,44.5846,36.7755333333,39.3314,33.1088,5.15833333333,40.9898666667,7.87373333333,5.1598
408.98,5.8654,44.514,36.7417333333,39.2558,33.0916,5.18613333333,40.9416,7.89366666666,5.22313333333
409.34,5.87073333333,44.3826666667,36.6505666667,39.1476,32.9766,5.20273333333,40.8531333333,7.88466666667,5.23753333333
409.70,5.90973333333,44.3321333333,36.6155333333,39.1007333333,32.9580666667,5.25006666667,40.8320666667,7.889,5.26733333333
410.06,5.94866666667,44.305,36.597,39.0940666667,32.9848666667,5.27866666667,40.8462666667,7.90080000001,5.28873333333
410.42,5.95126666667,44.1829333333,36.5119666667,38.971,32.9072666667,5.27646666667,40.7283333333,7.88019999999,5.2886
410.77,6.00293333333,44.1285333333,36.5113333333,38.9107333333,32.8928,5.32726666667,40.6968,7.92193333333,5.34353333333
411.13,6.0282,44.1146,36.5217,38.9044666667,32.9034666667,5.36026666667,40.6832666667,7.94753333333,5.34053333333
411.49,6.06486666667,44.0118666667,36.4453666667,38.8397333333,32.8754666667,5.37366666667,40.6064,7.9586,5.34406666667
411.85,6.06833333333,43.9606666667,36.3859,38.7406,32.8367333333,5.365,40.5244666667,7.95453333334,5.32473333333
412.21,6.089,43.9242666667,36.345,38.7346,32.8419333333,5.418,40.5254,7.9522,5.35346666667
412.57,6.1154,43.9738666667,36.3655333333,38.7472,32.9134,5.46186666667,40.5664,7.97686666667,5.388
412.92,6.11693333333,43.9074666667,36.3043,38.7049333333,32.8653333333,5.4492,40.513,7.96266666667,5.35886666667
413.28,6.1362,43.8290666667,36.2329,38.6517333333,32.8646666667,5.45106666667,40.4534666667,7.9648,5.37846666667
413.64,6.10686666667,43.7212666666,36.1407666667,38.5635333333,32.8017333333,5.44066666667,40.3736,7.94999999999,5.38046666667
414.00,6.09753333333,43.6323333333,36.1016333334,38.5010666667,32.736,5.43313333333,40.2877333333,7.93413333334,5.3862
414.36,6.11613333333,43.5324666667,35.9912,38.4452666667,32.6723333333,5.43966666667,40.1955333333,7.93919999999,5.39513333333
414.72,6.11593333333,43.476,35.9363,38.4040666667,32.6423333333,5.43653333333,40.1751333333,7.93133333334,5.38233333333
415.07,6.08673333333,43.3776,35.8562333333,38.3044,32.5736,5.41753333333,40.1037333334,7.92526666667,5.3942
415.43,6.0144,43.2516,35.7531666667,38.1644,32.4621333333,5.3602,39.9734,7.84206666667,5.33546666666
415.79,5.98166666667,43.1925333333,35.6641,38.0804666667,32.3841333333,5.3454,39.8974666667,7.81319999999,5.341
416.15,5.97053333333,43.0881333333,35.6044333333,37.9784666667,32.3273333333,5.3252,39.8352,7.81873333334,5.3348
416.51,5.97733333333,42.9618,35.4927,37.8719333333,32.2400666667,5.3292,39.7146666666,7.82080000001,5.3588
416.86,6.01346666667,42.928,35.4762333333,37.8168666667,32.2092666667,5.36293333333,39.708,7.87553333334,5.41
417.22,5.96653333333,42.8348666667,35.4109666667,37.7233333333,32.1084666667,5.32073333333,39.6549333333,7.83046666666,5.36806666667
417.58,5.91446666667,42.7249333333,35.3588666667,37.6478666667,32.0360666667,5.2542,39.5884,7.75906666667,5.30926666667
417.94,5.8838,42.6414666667,35.2826,37.5596,31.9774,5.2164,39.5197333333,7.71206666666,5.2648
418.29,5.8486,42.5598666667,35.2324666667,37.4725333333,31.9052666667,5.18366666666,39.4685333333,7.66393333334,5.23053333333
418.65,5.82786666667,42.4819333333,35.1773,37.3866666667,31.8415333333,5.17306666667,39.3855333333,7.64573333333,5.22833333333
419.01,5.8062,42.3634666667,35.1159333333,37.2969333333,31.7878666667,5.1544,39.3124,7.61359999999,5.20953333333
419.37,5.82313333333,42.3356,35.0999,37.2932666667,31.7894,5.1702,39.3252666667,7.62386666667,5.22286666667
419.73,5.81573333333,42.2335333334,35.0304333333,37.2071333333,31.7498,5.1698,39.2659333333,7.61333333333,5.22133333333
420.08,5.7932,42.1342666667,34.9648333333,37.1416666667,31.6825333333,5.14853333333,39.1981333333,7.57953333333,5.2022
420.44,5.77186666667,42.0816666667,34.9336333333,37.0824666667,31.6356,5.12013333333,39.146,7.54700000001,5.17093333333
420.80,5.73973333333,41.9997333333,34.8732333333,37.0196666667,31.6015333333,5.09786666667,39.0791333333,7.50906666667,5.15133333333
421.16,5.76413333333,41.964,34.8775,37.0035333333,31.6163333333,5.12546666667,39.049,7.52793333333,5.16513333333
421.51,5.77026666667,41.9155333333,34.8323,36.9634,31.5975333334,5.133,38.9956666667,7.53139999999,5.1762
421.87,5.77206666667,41.8429333333,34.7682,36.9092666667,31.5552,5.136,38.9263333333,7.53013333333,5.1766
422.23,5.7824,41.8275333333,34.7795333333,36.9047333333,31.5584,5.1474,38.9261333333,7.55519999999,5.177
422.58,5.79786666667,41.8086,34.7663666667,36.9088666667,31.5829333333,5.18166666667,38.9266,7.565,5.18426666667
422.94,5.8098,41.7884666667,34.7583333333,36.8915333333,31.5606,5.18806666667,38.9112,7.5632,5.18666666667
423.30,5.804,41.7076,34.7062666667,36.8262666667,31.5375333334,5.19006666667,38.8398,7.56253333333,5.19146666667
423.66,5.8028,41.6724,34.7084,36.8227333333,31.5192,5.18286666666,38.8161333333,7.56313333333,5.1906
424.01,5.8146,41.6714666667,34.6940333333,36.8035333333,31.5161333333,5.19766666667,38.8036666667,7.57153333333,5.19693333333
424.37,5.81333333333,41.6410666667,34.668,36.7911333333,31.5154,5.21733333333,38.7793333333,7.57813333333,5.20006666667
424.73,5.82013333333,41.5918,34.6386333334,36.776,31.4881333333,5.23086666667,38.7327333333,7.57433333334,5.19726666667
425.08,5.7994,41.5446,34.5897333333,36.7542666667,31.4687333333,5.21366666667,38.705,7.54779999999,5.19373333333
425.44,5.7948,41.5046666667,34.5718,36.726,31.4663333333,5.20646666667,38.6839333333,7.53133333333,5.1888
425.80,5.7798,41.4542666667,34.5532666667,36.7003333333,31.4698,5.20126666667,38.6746666667,7.5142,5.18373333333
426.16,5.76826666667,41.4024666667,34.5073666667,36.6688666667,31.4641333333,5.19746666667,38.6334666667,7.49686666667,5.1806
426.51,5.76733333333,41.3405333333,34.4904333333,36.6276666667,31.4338666667,5.17833333333,38.598,7.48986666667,5.1852
426.87,5.76953333333,41.2833333333,34.4324333333,36.5950666666,31.4305333333,5.18306666667,38.5515333333,7.49326666666,5.19093333333
427.23,5.7676,41.2972,34.4679666667,36.6216,31.4522,5.1858,38.5684,7.5012,5.193
427.58,5.76366666667,41.265,34.4443666667,36.6014666667,31.4688,5.17546666667,38.5682666667,7.48819999999,5.1774
427.94,5.7692,41.2618666667,34.4719,36.6324666667,31.5141333333,5.18473333333,38.5886666667,7.49026666667,5.19433333333
428.30,5.78766666667,41.202,34.4566666667,36.6002666667,31.5096,5.18926666667,38.5678666667,7.49793333333,5.223
428.65,5.80206666667,41.193,34.4704333333,36.5877333333,31.5482,5.19946666667,38.5856,7.50673333333,5.2414
429.01,5.82333333333,41.1824,34.4778666667,36.5515333333,31.5457333333,5.20973333333,38.5623333333,7.51759999999,5.2566
429.37,5.83793333333,41.1838666667,34.4775333333,36.5362,31.5484,5.22913333333,38.5678666667,7.53959999999,5.27533333333
429.72,5.8932,41.2192,34.5114666666,36.557,31.5634666667,5.27386666667,38.596,7.5816,5.3232
430.08,5.9318,41.2476666667,34.5618,36.6048666667,31.6257333333,5.30646666667,38.6315333333,7.60866666667,5.36953333333
430.44,5.90426666667,41.2314666667,34.5378333333,36.5832666666,31.6214,5.2898,38.6252,7.58026666666,5.36
430.79,5.90093333333,41.2554666667,34.5729,36.6183333333,31.6558666666,5.30753333333,38.6822666667,7.57366666666,5.36586666667
431.15,5.90273333333,41.2610666667,34.5638333334,36.6337333333,31.6398666667,5.28753333333,38.6984,7.55300000001,5.36093333333
431.50,5.9186,41.2924666667,34.6054333333,36.6725333333,31.6702666667,5.30306666667,38.7248666667,7.56046666667,5.3784
431.86,5.89213333334,41.2392666667,34.5557333333,36.6314,31.6278666667,5.27073333333,38.6902666666,7.53086666667,5.35293333334
432.22,5.90006666667,41.2627333333,34.5631,36.6430666667,31.6218666667,5.27653333333,38.6913333333,7.5298,5.34293333333
432.57,5.90806666667,41.2568,34.5581,36.643,31.6378666667,5.28226666667,38.6836666666,7.53726666666,5.35766666667
432.93,5.877,41.197,34.5191666667,36.6241333333,31.6168,5.27033333333,38.6721333333,7.52139999999,5.33093333333
433.29,5.90486666667,41.1805333333,34.5340666667,36.6304666667,31.6266,5.29893333333,38.6576,7.55440000001,5.3338
433.64,5.89553333334,41.1564,34.5215333333,36.6188,31.6342,5.29626666667,38.6398,7.54326666667,5.33766666667
434.00,5.88493333333,41.1056666667,34.4820666667,36.5531333333,31.5920666667,5.28866666667,38.6033333333,7.52853333333,5.32193333333
434.35,5.9014,41.0885333333,34.4895,36.5572666667,31.6046,5.303,38.596,7.54393333333,5.31873333333
434.71,5.88813333333,41.0518666667,34.462,36.5185333333,31.5894666667,5.2854,38.5522666667,7.54266666666,5.30813333334
435.07,5.87066666667,40.9986,34.4165,36.4632,31.5919333333,5.27466666667,38.496,7.52266666666,5.28493333333
435.42,5.85466666667,40.9573333333,34.3783333333,36.4306,31.5832666667,5.2702,38.4727333333,7.52786666667,5.2804
435.78,5.88873333333,40.9873333333,34.4396,36.4772,31.6416,5.30673333333,38.5066666667,7.56566666667,5.3208
436.13,5.8624,40.9526,34.4264,36.4558666667,31.6674666667,5.2876,38.4936666667,7.55180000001,5.30546666666
436.49,5.85146666667,40.9332,34.4339666667,36.4564666667,31.643,5.27313333333,38.4871333333,7.53126666667,5.2838
436.84,5.8972,41.0426666667,34.529,36.537,31.7323333334,5.30206666667,38.5832,7.56880000001,5.32246666667
437.20,5.88666666667,41.0556666667,34.5375333333,36.535,31.7534,5.2892,38.6217333333,7.54926666667,5.32866666666
437.56,5.89773333333,41.0851333333,34.5638333333,36.5654666667,31.7810666667,5.2966,38.6706666667,7.56040000001,5.3294
437.91,5.8992,41.1352,34.5993,36.6283333333,31.8138,5.298,38.7072,7.56900000001,5.34233333333
438.27,5.91873333333,41.2240666667,34.6528,36.686,31.8504,5.31666666667,38.7542,7.59040000001,5.369
438.62,5.90273333333,41.2073333333,34.6480666667,36.6645333333,31.825,5.28046666667,38.7272666667,7.57613333333,5.35246666667
438.98,5.91513333333,41.2304,34.6861,36.6727333333,31.8275333334,5.29633333333,38.7784666667,7.59853333333,5.3802
439.33,5.927,41.2202666667,34.7025666667,36.6834666667,31.8241333333,5.30206666667,38.7828,7.59433333333,5.3834
