wavelength,Back_RamFlam,Belly_RamFlam,Breast_RamFlam,Crissum_RamFlam,Crown_RamFlam,DorTail_RamFlam,Rump_RamFlam,Throat_RamFlam,WingTip_RamFlam
610.60,1.87353333333,3.17826666667,1.98453333333,3.03993333333,0.753333333334,2.78313333333,61.0766,1.3234,2.0046
610.93,1.86286666667,3.1488,1.9694,3.00586666667,0.736333333333,2.74506666667,61.0333333333,1.29646666667,1.97913333333
611.27,1.84573333333,3.13346666666,1.9486,2.9832,0.705666666666,2.721,61.1119333333,1.27613333333,1.95153333334
611.60,1.8676,3.144,1.9476,2.9942,0.725666666666,2.72666666667,61.168,1.29166666667,1.94906666667
611.93,1.8598,3.129,1.94,2.9794,0.715533333334,2.72146666667,61.1964666667,1.2764,1.94753333333
612.27,1.82433333333,3.1104,1.92686666667,2.955,0.6808,2.71273333333,61.2404666667,1.248,1.95566666667
612.60,1.81046666667,3.12913333333,1.92053333333,2.9698,0.695133333334,2.71853333333,61.3098,1.23713333333,1.9724
612.94,1.84846666667,3.14946666667,1.94853333333,3.0166,0.739333333333,2.75966666667,61.3363333333,1.294,2.0046
613.27,1.87713333333,3.17153333333,1.98373333334,3.0336,0.763866666667,2.78346666667,61.3819333333,1.33273333333,2.0414
613.61,1.8442,3.11946666667,1.94306666667,2.98533333333,0.7186,2.72973333333,61.4120666667,1.2934,2.00813333333
613.94,1.8184,3.11773333333,1.9166,2.998,0.692866666667,2.71953333333,61.4693333333,1.27173333333,1.99173333333
614.28,1.75073333333,3.0466,1.85786666667,2.96233333333,0.6416,2.687,61.5260666667,1.21166666667,1.94793333333
614.61,1.74313333333,3.0498,1.8406,2.97446666667,0.6278,2.68686666667,61.5936,1.21106666667,1.96106666667
614.94,1.70053333333,2.9946,1.79026666667,2.92913333333,0.590533333333,2.628,61.5246,1.17053333333,1.9222
615.28,1.68886666667,2.9704,1.78673333333,2.9254,0.5654,2.6146,61.5710666667,1.1414,1.92166666667
615.61,1.72086666667,2.9846,1.80153333333,2.964,0.560466666667,2.63566666667,61.6456666667,1.1488,1.951
615.95,1.71566666667,2.98226666667,1.7902,2.94006666667,0.542866666667,2.6026,61.5816666667,1.13806666667,1.93026666667
616.28,1.70073333333,2.9604,1.77693333333,2.9114,0.520333333333,2.57753333333,61.6274,1.1392,1.90546666667
616.61,1.6774,2.93593333333,1.75346666667,2.86166666667,0.4972,2.569,61.6585333333,1.1116,1.87526666667
616.95,1.6222,2.9084,1.7024,2.8064,0.444,2.525,61.689,1.071,1.82686666667
617.28,1.5992,2.93986666667,1.70586666666,2.81366666667,0.443533333333,2.52773333333,61.6368666667,1.0748,1.8252
617.62,1.59093333333,2.92353333334,1.7102,2.79673333333,0.426133333333,2.52433333333,61.6368,1.0622,1.83713333333
617.95,1.612,2.9602,1.73246666667,2.81746666667,0.450866666667,2.55606666667,61.6326,1.08673333333,1.8692
618.28,1.63133333333,2.99453333333,1.7852,2.83893333333,0.4824,2.61593333333,61.7014,1.11953333333,1.88966666667
618.62,1.65053333333,3.05146666667,1.8362,2.88993333333,0.510866666667,2.66046666667,61.7412666667,1.1292,1.90933333333
618.95,1.63406666667,3.05893333333,1.85086666667,2.9,0.499933333333,2.645,61.7017333333,1.1312,1.89206666667
619.28,1.604,3.04853333333,1.82966666667,2.8914,0.503866666667,2.63646666667,61.6748666667,1.11706666667,1.86166666667
619.62,1.5836,3.0504,1.82393333333,2.91633333333,0.502933333333,2.6414,61.7042,1.09906666667,1.86586666667
619.95,1.60246666667,3.06666666667,1.85106666667,2.94133333333,0.5134,2.67246666667,61.7444666667,1.11833333333,1.88766666667
620.28,1.62586666667,3.09626666667,1.87666666667,2.979,0.517866666667,2.68293333333,61.7866666667,1.13233333333,1.91833333333
620.62,1.58533333334,3.07546666667,1.87473333333,2.9962,0.484933333333,2.66173333333,61.8250666667,1.10786666667,1.89186666667
620.95,1.54446666666,3.01426666667,1.82953333333,2.94233333333,0.425066666667,2.63626666667,61.8844666666,1.05846666667,1.8488
621.28,1.56793333333,3.01973333333,1.83593333333,2.96333333333,0.450866666667,2.65453333333,61.8982,1.077,1.87366666667
621.62,1.53313333333,2.9794,1.79093333333,2.91033333333,0.409266666666,2.61746666667,61.85,1.0456,1.84126666667
621.95,1.51553333333,2.943,1.72906666667,2.87626666667,0.378533333333,2.56446666667,61.8222,1.00486666667,1.80566666667
622.28,1.52186666667,2.9116,1.70953333333,2.85206666667,0.3802,2.55193333333,61.911,1.012,1.8062
622.62,1.52113333333,2.87186666667,1.6692,2.81126666667,0.358533333334,2.5216,61.9763333333,1.00493333333,1.79713333333
622.95,1.5458,2.87566666667,1.67166666667,2.81406666667,0.363733333334,2.5242,61.9912666667,1.01626666667,1.8168
623.28,1.52333333333,2.8166,1.61093333333,2.76986666667,0.328933333333,2.4728,62.0004,0.987999999999,1.7614
623.62,1.5292,2.7964,1.58413333333,2.74626666667,0.325666666667,2.4476,61.9623333333,0.966466666667,1.74153333333
623.95,1.53553333333,2.80173333333,1.57566666667,2.74193333333,0.345466666666,2.434,61.94,0.9618,1.7518
624.28,1.573,2.81966666667,1.59313333333,2.74973333333,0.382066666667,2.4568,61.8954,0.968333333334,1.7782
624.62,1.56073333333,2.83233333333,1.58733333333,2.7554,0.393266666667,2.45953333333,61.9086,0.954533333333,1.77353333333
624.95,1.52186666667,2.8152,1.57746666667,2.71353333333,0.363,2.42853333333,61.8478,0.933800000001,1.74486666667
625.28,1.55726666667,2.85706666667,1.63406666667,2.75226666667,0.3958,2.4644,61.8668666667,0.9798,1.78246666667
625.61,1.59086666667,2.88986666667,1.69326666667,2.80906666667,0.434733333333,2.4994,61.8002666667,1.02333333333,1.83286666667
625.95,1.61893333333,2.92493333334,1.72426666667,2.84966666667,0.464333333333,2.53513333333,61.7259333333,1.05833333333,1.8692
626.28,1.61886666667,2.9502,1.73573333333,2.8654,0.483133333333,2.5658,61.7215333333,1.05873333333,1.88633333334
626.61,1.61053333333,2.9598,1.7504,2.8568,0.485666666667,2.57746666667,61.7326,1.05593333333,1.88926666667
626.94,1.6604,3.02246666667,1.81353333333,2.89366666666,0.530066666667,2.64493333333,61.7092,1.1094,1.9414
627.28,1.667,3.06353333333,1.84906666667,2.91753333333,0.542733333333,2.67533333333,61.6827333333,1.1372,1.95746666667
627.61,1.65946666667,3.06026666667,1.8528,2.9292,0.528866666667,2.69606666667,61.6933333333,1.13606666667,1.95833333333
627.94,1.71673333333,3.1154,1.88986666667,2.98226666667,0.577866666667,2.75846666667,61.7657333333,1.1858,2.01206666667
628.27,1.77053333333,3.1848,1.93853333333,3.03933333333,0.6256,2.8126,61.7892666667,1.23993333333,2.07386666667
628.61,1.82206666667,3.23693333333,1.98133333333,3.0894,0.680266666667,2.8714,61.8570666667,1.2842,2.1218
628.94,1.83253333333,3.254,1.97793333333,3.1142,0.700466666667,2.882,61.9345333333,1.2874,2.13733333333
629.27,1.8614,3.29213333333,2.00506666667,3.14,0.735999999999,2.92173333333,62.0519333333,1.3174,2.17126666667
629.60,1.85173333334,3.2808,1.98513333333,3.12253333333,0.722733333333,2.91826666667,62.1221333333,1.2948,2.15433333333
629.94,1.8604,3.30753333333,2.00673333333,3.12673333333,0.732866666666,2.9324,62.1255333333,1.30086666667,2.17406666667
630.27,1.89146666667,3.363,2.04346666666,3.163,0.777466666667,2.97133333333,62.1174,1.3414,2.21613333333
630.60,1.88986666667,3.3644,2.03966666667,3.165,0.792133333333,2.95746666667,62.2264,1.33946666667,2.21433333333
630.93,1.8948,3.36153333333,2.0286,3.15973333334,0.808000000001,2.949,62.3386666667,1.3372,2.2228
631.26,1.92013333333,3.38573333334,2.05986666667,3.16533333333,0.848999999999,2.95733333333,62.3074,1.3664,2.2338
631.60,1.8624,3.3248,2.02006666667,3.11553333333,0.813733333333,2.88926666667,62.1984666667,1.32146666667,2.17093333333
631.93,1.88446666666,3.31006666667,2.0248,3.10346666666,0.827266666667,2.87566666667,62.1412666667,1.33226666667,2.144
632.26,1.88966666667,3.30726666666,2.02646666667,3.13066666667,0.842466666667,2.89446666667,62.1056,1.35333333333,2.15313333333
632.59,1.8974,3.2938,2.03246666667,3.1216,0.834066666666,2.9014,62.0010666666,1.35186666667,2.14833333333
