wavelength,Back_TanHeim,Belly_TanHeim,Breast_TanHeim,Crissum_TanHeim,Crown_TanHeim,DorTail_TanHeim,Patch10_TanHeim,Rump_TanHeim,Throat_TanHeim,WingTip_TanHeim
737.38,19.4668,12.5233333333,16.9406666667,14.3161333333,6.70853333333,9.8568,12.5209333333,24.5877333333,17.1482,11.4072666667
737.69,19.3184666667,12.5654666667,16.7259333333,14.1827333333,6.55313333333,9.91346666666,12.5258666666,24.2616666667,17.0371333333,11.3135333333
738.01,18.9131333333,12.3481333334,16.3063333333,13.9917333333,6.4316,9.52853333334,12.3208666667,24.1342,16.6185333333,11.0113333333
738.33,19.1287333333,12.7632,16.6456,14.3082,6.77286666667,9.8408,12.388,24.4131333333,16.6134666666,11.4574
738.64,19.4608666667,13.3432,17.05,14.8418666667,7.48773333333,10.1978,12.9796666667,24.6908666667,16.9088666667,11.9313333333
738.96,19.1794,13.0988666667,16.8176666667,14.6253333333,7.208,9.7568,12.7198666667,24.5418666666,16.5656,11.6198
739.28,19.2346666667,13.2713333333,16.8940666667,14.6552,7.4742,10.046,12.8487333333,24.3906,16.5684666667,11.9146
739.59,19.7576666667,13.7231333333,17.2688666667,14.9976,7.8386,10.4372666667,13.1235333333,24.7675333333,16.9640666667,12.2465333333
739.91,19.6637333333,13.4788,17.2098666667,14.8864,7.7808,10.3424666667,12.9143333333,24.5790666667,16.9061333333,12.0686
740.23,19.7164,13.3306666667,17.1742666667,14.617,7.74773333333,10.2266666667,12.7864,24.3854,16.868,12.0471333333
740.54,19.676,13.3487333333,17.2104666666,14.6471333333,7.60773333333,10.2197333333,12.7343333333,24.3682666667,16.7733333333,12.0247333333
740.86,19.4931333333,12.8990666667,16.8853333333,14.2773333333,7.319,9.91660000001,12.3870666667,23.895,16.5732666667,11.5444
741.18,19.4294666667,12.7578,16.7875333334,14.1061333333,7.34233333333,9.69253333333,12.3554,23.88,16.4484666667,11.5115333333
